Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Stachybotryaceae|genus-Stachybotrys	genus	Stachybotrys	74721	3.367	5.7702	19	5643
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Stachybotryaceae|genus-Stachybotrys|species-Stachybotrys_chlorohalonata	species	Stachybotrys chlorohalonata	388913	3.367	5.9734	19	5643
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	genus	Fusarium	5506	1.8592	3.1862	140	75302
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-[Nectria]_haematococca	species	[Nectria] haematococca	140110	1.971	3.4968	122	61896
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Lanzia	genus	Lanzia	54683	0.0475	0.0814	12	252608
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Lanzia|species-Lanzia_echinophila	species	Lanzia echinophila	1424426	0.0475	0.0843	12	252608
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis	genus	Botrytis	33196	1.3643	2.338	6	4398
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|genus-Cadophora	genus	Cadophora	210567	0.0108	0.0186	4	369337
phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|genus-Cadophora|species-Cadophora_sp._DSE1049	species	Cadophora sp. DSE1049	1485229	0.0108	0.0192	4	369337
phylum-Ascomycota|class-Leotiomycetes|order-Erysiphales|family-Erysiphaceae|genus-Oidium	genus	Oidium	62703	0.0419	0.0717	14	334477
phylum-Ascomycota|class-Leotiomycetes|order-Erysiphales|family-Erysiphaceae|genus-Oidium|species-Oidium_neolycopersici	species	Oidium neolycopersici	212602	0.0419	0.0743	14	334477
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	genus	Alternaria	5598	2.1049	3.6073	1025	486956
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	species	Alternaria alternata	5599	1.0433	1.8508	137	131319
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_tenuissima	species	Alternaria tenuissima	119927	0.9088	1.6123	117	128737
