Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Dothideomycetes|order-Capnodiales|family-Teratosphaeriaceae|genus-Hortaea	genus	Hortaea	91942	1.9884	1.4428	33	16596
phylum-Ascomycota|class-Dothideomycetes|order-Capnodiales|family-Teratosphaeriaceae|genus-Hortaea|species-Hortaea_werneckii	species	Hortaea werneckii	91943	1.9884	1.479	33	16596
phylum-Basidiomycota|class-Malasseziomycetes	class	Malasseziomycetes	1538075	0.5514	0.6421	206	373611
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales	order	Malasseziales	162474	0.5514	0.5469	206	373611
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia	genus	Malassezia	55193	0.5514	0.4001	206	373611
phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	species	Malassezia restricta	76775	0.5484	0.4079	191	348317
class-Polycystinea	class	Polycystinea	65582	16.3934	19.09	42	2562
class-Polycystinea|order-Nassellaria	order	Nassellaria	278980	16.3934	16.2614	42	2562
class-Polycystinea|order-Nassellaria|family-Plagiacanthidae|genus-Lithomelissa	genus	Lithomelissa	366587	16.3934	11.8949	42	2562
class-Polycystinea|order-Nassellaria|family-Plagiacanthidae|genus-Lithomelissa|species-Lithomelissa_setosa	species	Lithomelissa setosa	1054399	16.3934	12.1935	42	2562
class-Dinophyceae	class	Dinophyceae	2864	0.3977	0.4632	54	135765
class-Dinophyceae|order-Prorocentrales	order	Prorocentrales	2942	0.3977	0.3945	54	135765
class-Dinophyceae|order-Prorocentrales|family-Prorocentraceae|genus-Prorocentrum	genus	Prorocentrum	2944	0.3977	0.2886	54	135765
class-Dinophyceae|order-Prorocentrales|family-Prorocentraceae|genus-Prorocentrum|species-Prorocentrum_cordatum	species	Prorocentrum cordatum	2364126	0.3977	0.2958	54	135765
