gene_ID,taxon
OM-RGC.v2.014182457,gramNeg
OM-RGC.v2.013722501,gramNeg
OM-RGC.v2.000102450,gramNeg
OM-RGC.v2.000209323,gramNeg
OM-RGC.v2.000034439,gramNeg
OM-RGC.v2.000302323,gramNeg
OM-RGC.v2.000539112,gramNeg
OM-RGC.v2.005079149,gramNeg
OM-RGC.v2.000213659,gramNeg
OM-RGC.v2.001713726,gramNeg
OM-RGC.v2.002333461,gramNeg
OM-RGC.v2.004154993,gramNeg
OM-RGC.v2.004241845,gramNeg
OM-RGC.v2.005930904,gramNeg
OM-RGC.v2.001817703,gramNeg
OM-RGC.v2.000240518,gramNeg
OM-RGC.v2.001676301,gramNeg
OM-RGC.v2.000178158,gramNeg
OM-RGC.v2.004905426,gramNeg
OM-RGC.v2.003385023,gramNeg
OM-RGC.v2.001021022,gramNeg
OM-RGC.v2.001778886,gramNeg
OM-RGC.v2.004271017,gramNeg
OM-RGC.v2.000469898,gramNeg
OM-RGC.v2.002468568,gramNeg
OM-RGC.v2.005804895,gramNeg
OM-RGC.v2.001900388,gramNeg
OM-RGC.v2.003058187,gramNeg
OM-RGC.v2.002612531,gramNeg
OM-RGC.v2.002262241,gramNeg
OM-RGC.v2.000853105,gramNeg
OM-RGC.v2.002578644,gramNeg
OM-RGC.v2.002956916,gramNeg
OM-RGC.v2.000215074,gramNeg
OM-RGC.v2.000579240,gramNeg
OM-RGC.v2.000414685,gramNeg
OM-RGC.v2.001704547,gramNeg
OM-RGC.v2.000162209,gramNeg
OM-RGC.v2.004938941,gramNeg
OM-RGC.v2.002249086,gramNeg
OM-RGC.v2.003037595,gramNeg
OM-RGC.v2.003037596,gramNeg
OM-RGC.v2.000234259,gramNeg
OM-RGC.v2.000204001,gramNeg
OM-RGC.v2.000207825,gramNeg
OM-RGC.v2.000958234,gramNeg
OM-RGC.v2.002407748,gramNeg
OM-RGC.v2.001797961,gramNeg
OM-RGC.v2.000147969,gramNeg
OM-RGC.v2.000067106,gramNeg
OM-RGC.v2.000503426,gramNeg
OM-RGC.v2.006337164,gramNeg
OM-RGC.v2.000131480,gramNeg
OM-RGC.v2.000194570,gramNeg
OM-RGC.v2.000250048,gramNeg
OM-RGC.v2.000804476,gramNeg
OM-RGC.v2.018328739,gramNeg
OM-RGC.v2.004579565,gramNeg
OM-RGC.v2.003431977,gramNeg
OM-RGC.v2.000363479,gramNeg
OM-RGC.v2.000481424,gramNeg
OM-RGC.v2.008067397,gramNeg
OM-RGC.v2.003078241,gramNeg
OM-RGC.v2.000171525,gramNeg
OM-RGC.v2.000254261,gramNeg
OM-RGC.v2.004611468,gramNeg
OM-RGC.v2.003503379,gramNeg
OM-RGC.v2.001111758,gramNeg
OM-RGC.v2.009249513,gramNeg
OM-RGC.v2.004421273,gramNeg
OM-RGC.v2.002249094,gramNeg
OM-RGC.v2.009903539,gramNeg
OM-RGC.v2.000171526,gramNeg
OM-RGC.v2.006584966,gramNeg
OM-RGC.v2.005079110,gramNeg
OM-RGC.v2.000564742,gramNeg
OM-RGC.v2.013068429,gramNeg
OM-RGC.v2.004017184,gramNeg
OM-RGC.v2.000576694,gramNeg
OM-RGC.v2.000364879,gramNeg
OM-RGC.v2.002249095,gramNeg
OM-RGC.v2.001414936,gramNeg
OM-RGC.v2.002362554,gramNeg
OM-RGC.v2.002976730,gramNeg
OM-RGC.v2.000747650,gramNeg
OM-RGC.v2.006634622,gramNeg
OM-RGC.v2.002183155,gramNeg
OM-RGC.v2.004183491,gramNeg
OM-RGC.v2.004515847,gramNeg
OM-RGC.v2.001134174,gramNeg
OM-RGC.v2.000173244,gramNeg
OM-RGC.v2.000243024,gramNeg
OM-RGC.v2.000265163,gramNeg
OM-RGC.v2.004241824,gramNeg
OM-RGC.v2.000194573,gramNeg
OM-RGC.v2.002861093,gramNeg
OM-RGC.v2.001838605,gramNeg
OM-RGC.v2.005079120,gramNeg
OM-RGC.v2.000288938,gramNeg
OM-RGC.v2.000035069,gramNeg
OM-RGC.v2.002531065,gramNeg
OM-RGC.v2.002546478,gramNeg
OM-RGC.v2.000684629,gramNeg
OM-RGC.v2.000256048,gramNeg
OM-RGC.v2.000222274,gramNeg
OM-RGC.v2.000512448,gramNeg
OM-RGC.v2.001571679,gramNeg
OM-RGC.v2.000369141,gramNeg
OM-RGC.v2.002107725,gramNeg
OM-RGC.v2.001122861,gramNeg
OM-RGC.v2.000643105,gramNeg
OM-RGC.v2.000108184,gramNeg
OM-RGC.v2.002303837,gramNeg
OM-RGC.v2.005044288,gramNeg
OM-RGC.v2.009754702,gramNeg
OM-RGC.v2.012649699,gramNeg
OM-RGC.v2.007586460,gramNeg
OM-RGC.v2.006885655,gramNeg
OM-RGC.v2.009038395,gramNeg
OM-RGC.v2.019006217,gramNeg
OM-RGC.v2.005115920,gramNeg
OM-RGC.v2.006484240,gramNeg
OM-RGC.v2.006243576,gramNeg
OM-RGC.v2.018498371,gramNeg
OM-RGC.v2.003119056,gramNeg
OM-RGC.v2.007202197,gramNeg
OM-RGC.v2.001460197,gramNeg
OM-RGC.v2.001437287,gramNeg
OM-RGC.v2.004330461,gramNeg
OM-RGC.v2.013282343,gramNeg
OM-RGC.v2.001869323,gramNeg
OM-RGC.v2.005226334,gramNeg
OM-RGC.v2.001741849,gramNeg
OM-RGC.v2.001676365,gramNeg
OM-RGC.v2.003037749,gramNeg
OM-RGC.v2.002612659,gramNeg
OM-RGC.v2.003527881,gramNeg
OM-RGC.v2.003829517,gramNeg
OM-RGC.v2.002468656,gramNeg
OM-RGC.v2.000617888,gramNeg
OM-RGC.v2.001145366,gramNeg
OM-RGC.v2.012753020,gramNeg
OM-RGC.v2.004674861,gramNeg
OM-RGC.v2.000521513,gramNeg
OM-RGC.v2.000909009,gramNeg
OM-RGC.v2.000422996,gramNeg
OM-RGC.v2.007822934,gramNeg
OM-RGC.v2.002499420,gramNeg
OM-RGC.v2.003989626,gramNeg
OM-RGC.v2.000928822,gramNeg
OM-RGC.v2.000785999,gramNeg
OM-RGC.v2.006484276,gramNeg
OM-RGC.v2.002468591,gramNeg
OM-RGC.v2.003181606,gramNeg
OM-RGC.v2.000419587,gramNeg
OM-RGC.v2.000724558,gramNeg
OM-RGC.v2.000421303,gramNeg
OM-RGC.v2.003678032,gramNeg
OM-RGC.v2.008967931,gramNeg
OM-RGC.v2.003385037,gramNeg
OM-RGC.v2.000912893,gramNeg
OM-RGC.v2.001205282,gramNeg
OM-RGC.v2.005115779,gramNeg
OM-RGC.v2.000985699,gramNeg
OM-RGC.v2.000569452,gramNeg
OM-RGC.v2.000734124,gramNeg
OM-RGC.v2.004611549,gramNeg
OM-RGC.v2.000826326,gramNeg
OM-RGC.v2.000754284,gramNeg
OM-RGC.v2.001571700,gramNeg
OM-RGC.v2.000081146,gramNeg
OM-RGC.v2.002060435,gramNeg
OM-RGC.v2.001145345,gramNeg
OM-RGC.v2.001944432,gramNeg
OM-RGC.v2.001100399,gramNeg
OM-RGC.v2.000646086,gramNeg
OM-RGC.v2.019898072,gramNeg
OM-RGC.v2.011654596,gramNeg
OM-RGC.v2.005723223,gramNeg
OM-RGC.v2.007761500,gramNeg
OM-RGC.v2.003408135,gramNeg
OM-RGC.v2.000278754,gramNeg
OM-RGC.v2.002275804,gramNeg
OM-RGC.v2.006634750,gramNeg
OM-RGC.v2.004707198,gramNeg
OM-RGC.v2.000623460,gramNeg
OM-RGC.v2.000562358,gramNeg
OM-RGC.v2.007201959,gramNeg
OM-RGC.v2.003361362,gramNeg
OM-RGC.v2.006534156,gramNeg
OM-RGC.v2.018329171,gramNeg
OM-RGC.v2.007822639,gramNeg
OM-RGC.v2.005889206,gramNeg
OM-RGC.v2.000138378,gramNeg
OM-RGC.v2.006534159,gramNeg
OM-RGC.v2.000323152,gramNeg
OM-RGC.v2.002681566,gramNeg
OM-RGC.v2.003078315,gramNeg
OM-RGC.v2.004183577,gramNeg
OM-RGC.v2.002289711,gramNeg
OM-RGC.v2.003881874,gramNeg
OM-RGC.v2.000127125,gramNeg
OM-RGC.v2.003181626,gramNeg
OM-RGC.v2.000208560,gramNeg
OM-RGC.v2.008006399,gramNeg
OM-RGC.v2.006337308,gramNeg
OM-RGC.v2.004905457,gramNeg
OM-RGC.v2.005044388,gramNeg
OM-RGC.v2.004905518,gramNeg
OM-RGC.v2.005643992,gramNeg
OM-RGC.v2.000696870,gramNeg
OM-RGC.v2.000818998,gramNeg
OM-RGC.v2.000114638,gramNeg
OM-RGC.v2.002806482,gramNeg
OM-RGC.v2.002131999,gramNeg
OM-RGC.v2.001475034,gramNeg
OM-RGC.v2.012044752,gramNeg
OM-RGC.v2.009535350,gramNeg
OM-RGC.v2.006784116,gramNeg
OM-RGC.v2.005451471,gramNeg
OM-RGC.v2.003503466,gramNeg
OM-RGC.v2.002562530,gramNeg
OM-RGC.v2.019005451,gramNeg
OM-RGC.v2.003269572,gramNeg
OM-RGC.v2.007945661,gramNeg
OM-RGC.v2.006784122,gramNeg
OM-RGC.v2.004421392,gramNeg
OM-RGC.v2.001848700,gramNeg
OM-RGC.v2.006991157,gramNeg
OM-RGC.v2.023617722,gramNeg
OM-RGC.v2.002578724,gramNeg
OM-RGC.v2.003881910,gramNeg
OM-RGC.v2.001414970,gramNeg
OM-RGC.v2.004707226,gramNeg
OM-RGC.v2.003058280,gramNeg
OM-RGC.v2.019005515,gramNeg
OM-RGC.v2.008698024,gramNeg
OM-RGC.v2.005451480,gramNeg
OM-RGC.v2.003576782,gramNeg
OM-RGC.v2.003727524,gramNeg
OM-RGC.v2.005044421,gramNeg
OM-RGC.v2.000160176,gramNeg
OM-RGC.v2.002664188,gramNeg
OM-RGC.v2.006484112,gramNeg
OM-RGC.v2.001042386,gramNeg
OM-RGC.v2.003247523,gramNeg
OM-RGC.v2.001751152,gramNeg
OM-RGC.v2.004299742,gramNeg
OM-RGC.v2.000103019,gramNeg
OM-RGC.v2.000101640,gramNeg
OM-RGC.v2.003225244,gramNeg
OM-RGC.v2.007308117,gramNeg
OM-RGC.v2.004241968,gramNeg
OM-RGC.v2.000212270,gramNeg
OM-RGC.v2.000936944,gramNeg
OM-RGC.v2.003269591,gramNeg
OM-RGC.v2.006385519,gramNeg
OM-RGC.v2.002249151,gramNeg
OM-RGC.v2.001828080,gramNeg
OM-RGC.v2.000118564,gramNeg
OM-RGC.v2.013068850,gramNeg
OM-RGC.v2.002083864,gramNeg
OM-RGC.v2.001371531,gramNeg
OM-RGC.v2.002531134,gramNeg
OM-RGC.v2.001223537,gramNeg
OM-RGC.v2.003934670,gramNeg
OM-RGC.v2.002209372,gramNeg
OM-RGC.v2.001522516,gramNeg
OM-RGC.v2.001414977,gramNeg
OM-RGC.v2.001068822,gramNeg
OM-RGC.v2.000087195,gramNeg
OM-RGC.v2.003455157,gramNeg
OM-RGC.v2.002144471,gramNeg
OM-RGC.v2.003627200,gramNeg
OM-RGC.v2.001538724,gramNeg
OM-RGC.v2.002957014,gramNeg
OM-RGC.v2.004044287,gramNeg
OM-RGC.v2.001162818,gramNeg
OM-RGC.v2.000491244,gramNeg
OM-RGC.v2.000136897,gramNeg
OM-RGC.v2.008764170,gramNeg
OM-RGC.v2.003269597,gramNeg
OM-RGC.v2.008378727,gramNeg
OM-RGC.v2.000342242,gramNeg
OM-RGC.v2.008006504,gramNeg
OM-RGC.v2.005044459,gramNeg
OM-RGC.v2.000448921,gramNeg
OM-RGC.v2.003829469,gramNeg
OM-RGC.v2.007473550,gramNeg
OM-RGC.v2.002183216,gramNeg
OM-RGC.v2.000617883,gramNeg
OM-RGC.v2.000990555,gramNeg
OM-RGC.v2.001057951,gramNeg
OM-RGC.v2.000747664,gramNeg
OM-RGC.v2.019005702,gramNeg
OM-RGC.v2.001444975,gramNeg
OM-RGC.v2.001386017,gramNeg
OM-RGC.v2.000347528,gramNeg
OM-RGC.v2.004674773,gramNeg
OM-RGC.v2.004905584,gramNeg
OM-RGC.v2.002976816,gramNeg
OM-RGC.v2.004213099,gramNeg
OM-RGC.v2.003881946,gramNeg
OM-RGC.v2.000646099,gramNeg
OM-RGC.v2.006634873,gramNeg
OM-RGC.v2.001788392,gramNeg
OM-RGC.v2.002861200,gramNeg
OM-RGC.v2.002095823,gramNeg
OM-RGC.v2.002048850,gramNeg
OM-RGC.v2.003269611,gramNeg
OM-RGC.v2.000246124,gramNeg
OM-RGC.v2.001400514,gramNeg
OM-RGC.v2.000156768,gramNeg
OM-RGC.v2.002629590,gramNeg
OM-RGC.v2.004183661,gramNeg
OM-RGC.v2.000379738,gramNeg
OM-RGC.v2.003338281,gramNeg
OM-RGC.v2.000967208,gramNeg
OM-RGC.v2.003078373,gramNeg
OM-RGC.v2.003058314,gramNeg
OM-RGC.v2.001563468,gramNeg
OM-RGC.v2.004452712,gramNeg
OM-RGC.v2.003361425,gramNeg
OM-RGC.v2.000609924,gramNeg
OM-RGC.v2.001162822,gramNeg
OM-RGC.v2.001798018,gramNeg
OM-RGC.v2.000734133,gramNeg
OM-RGC.v2.000110788,gramNeg
OM-RGC.v2.003908112,gramNeg
OM-RGC.v2.006634887,gramNeg
OM-RGC.v2.003292108,gramNeg
OM-RGC.v2.000541282,gramNeg
OM-RGC.v2.000310415,gramNeg
OM-RGC.v2.004421474,gramNeg
OM-RGC.v2.001205296,gramNeg
OM-RGC.v2.001769595,gramNeg
OM-RGC.v2.001235886,gramNeg
OM-RGC.v2.004452718,gramNeg
OM-RGC.v2.000808157,gramNeg
OM-RGC.v2.001010431,gramNeg
OM-RGC.v2.003078382,gramNeg
OM-RGC.v2.001242596,gramNeg
OM-RGC.v2.001256028,gramNeg
OM-RGC.v2.001723184,gramNeg
OM-RGC.v2.001343948,gramNeg
OM-RGC.v2.003225246,gramNeg
OM-RGC.v2.002629517,gramNeg
OM-RGC.v2.001713732,gramNeg
OM-RGC.v2.001522488,gramNeg
OM-RGC.v2.001187190,gramNeg
OM-RGC.v2.006634708,gramNeg
OM-RGC.v2.001879588,gramNeg
OM-RGC.v2.000465675,gramNeg
OM-RGC.v2.002157172,gramNeg
OM-RGC.v2.000892805,gramNeg
OM-RGC.v2.010359998,gramNeg
OM-RGC.v2.000567074,gramNeg
OM-RGC.v2.002131976,gramNeg
OM-RGC.v2.002407799,gramNeg
OM-RGC.v2.000797028,gramNeg
OM-RGC.v2.004707170,gramNeg
OM-RGC.v2.008378536,gramNeg
OM-RGC.v2.002562511,gramNeg
OM-RGC.v2.011557102,gramNeg
OM-RGC.v2.000411502,gramNeg
OM-RGC.v2.002788139,gramNeg
OM-RGC.v2.002647024,gramNeg
OM-RGC.v2.001944422,gramNeg
OM-RGC.v2.001889915,gramNeg
OM-RGC.v2.001538702,gramNeg
OM-RGC.v2.003225254,gramNeg
OM-RGC.v2.002036865,gramNeg
OM-RGC.v2.002209340,gramNeg
OM-RGC.v2.000396590,gramNeg
OM-RGC.v2.001106169,gramNeg
OM-RGC.v2.004361110,gramNeg
OM-RGC.v2.000435523,gramNeg
OM-RGC.v2.000454994,gramNeg
OM-RGC.v2.000958248,gramNeg
OM-RGC.v2.006061819,gramNeg
OM-RGC.v2.002222839,gramNeg
OM-RGC.v2.000881238,gramNeg
OM-RGC.v2.001506265,gramNeg
OM-RGC.v2.003058239,gramNeg
OM-RGC.v2.009179477,gramNeg
OM-RGC.v2.008128903,gramNeg
OM-RGC.v2.007202295,gramNeg
OM-RGC.v2.007945978,gramNeg
OM-RGC.v2.004905710,gramNeg
OM-RGC.v2.003882037,gramNeg
OM-RGC.v2.005764300,gramNeg
OM-RGC.v2.000995512,gramNeg
OM-RGC.v2.002751391,gramNeg
OM-RGC.v2.002769707,gramNeg
OM-RGC.v2.004905696,gramNeg
OM-RGC.v2.000754298,gramNeg
OM-RGC.v2.007202258,gramNeg
OM-RGC.v2.002377753,gramNeg
OM-RGC.v2.006434725,gramNeg
OM-RGC.v2.005605227,gramNeg
OM-RGC.v2.011464930,gramNeg
OM-RGC.v2.000649062,gramNeg
OM-RGC.v2.003527896,gramNeg
OM-RGC.v2.004242091,gramNeg
OM-RGC.v2.010053780,gramNeg
OM-RGC.v2.015290031,gramNeg
OM-RGC.v2.003017314,gramNeg
OM-RGC.v2.002170318,gramNeg
OM-RGC.v2.001522551,gramNeg
OM-RGC.v2.000909015,gramNeg
OM-RGC.v2.001042402,gramNeg
OM-RGC.v2.001798037,gramNeg
OM-RGC.v2.006734773,gramNeg
OM-RGC.v2.001944475,gramNeg
OM-RGC.v2.000730872,gramNeg
OM-RGC.v2.000217968,gramNeg
OM-RGC.v2.000607328,gramNeg
OM-RGC.v2.003017319,gramNeg
OM-RGC.v2.005152565,gramNeg
OM-RGC.v2.003338339,gramNeg
OM-RGC.v2.003314764,gramNeg
OM-RGC.v2.002072214,gramNeg
OM-RGC.v2.005115958,gramNeg
OM-RGC.v2.004299851,gramNeg
OM-RGC.v2.001807707,gramNeg
OM-RGC.v2.001111799,gramNeg
OM-RGC.v2.006337551,gramNeg
OM-RGC.v2.000995509,gramNeg
OM-RGC.v2.000702949,gramNeg
OM-RGC.v2.008378940,gramNeg
OM-RGC.v2.003203067,gramNeg
OM-RGC.v2.001175100,gramNeg
OM-RGC.v2.000888939,gramNeg
OM-RGC.v2.005079429,gramNeg
OM-RGC.v2.005079430,gramNeg
OM-RGC.v2.001343957,gramNeg
OM-RGC.v2.003017305,gramNeg
