ERR599112,MES,0.22-3,Tara056,Tara056_ERR599112_MES_0.22-3
ERR599150,SRF,0.22-3,Tara064,Tara064_ERR599150_SRF_0.22-3
ERR599110,DCM,0.22-3,Tara065,Tara065_ERR599110_DCM_0.22-3
ERR599068,SRF,0.22-3,Tara066,Tara066_ERR599068_SRF_0.22-3
ERR599133,DCM,0.22-3,Tara072,Tara072_ERR599133_DCM_0.22-3
ERR599148,DCM,0.22-3,Tara076,Tara076_ERR599148_DCM_0.22-3
ERR599126,SRF,0.22-3,Tara076,Tara076_ERR599126_SRF_0.22-3
ERR599101,DCM,0.22-3,Tara078,Tara078_ERR599101_DCM_0.22-3
ERR599159,MES,0.22-3,Tara078,Tara078_ERR599159_MES_0.22-3
ERR599121,DCM,0.22-3,Tara085,Tara085_ERR599121_DCM_0.22-3
ERR599090,SRF,0.22-3,Tara085,Tara085_ERR599090_SRF_0.22-3
ERR599064,SRF,0.22-3,Tara093,Tara093_ERR599064_SRF_0.22-3
ERR599079,DCM,0.22-3,Tara098,Tara098_ERR599079_DCM_0.22-3
ERR599081,DCM,0.22-3,Tara100,Tara100_ERR599081_DCM_0.22-3
ERR599132,MES,0.22-3,Tara102,Tara102_ERR599132_MES_0.22-3
ERR599065,DCM,0.22-3,Tara109,Tara109_ERR599065_DCM_0.22-3
ERR599118,SRF,0.22-3,Tara109,Tara109_ERR599118_SRF_0.22-3
ERR599086,MES,0.22-3,Tara111,Tara111_ERR599086_MES_0.22-3
ERR599077,SRF,0.22-3,Tara111,Tara111_ERR599077_SRF_0.22-3
ERR598957,DCM,0.22-3,Tara112,Tara112_ERR598957_DCM_0.22-3
ERR599072,MES,0.22-3,Tara112,Tara112_ERR599072_MES_0.22-3
ERR598948,DCM,0.22-3,Tara122,Tara122_ERR598948_DCM_0.22-3
ERR599160,SRF,0.22-3,Tara123,Tara123_ERR599160_SRF_0.22-3
ERR599066,SRF,0.22-3,Tara125,Tara125_ERR599066_SRF_0.22-3
ERR598980,MES,0.22-3,Tara132,Tara132_ERR598980_MES_0.22-3
ERR599142,SRF,0.22-3,Tara132,Tara132_ERR599142_SRF_0.22-3
ERR599115,MES,0.22-3,Tara133,Tara133_ERR599115_MES_0.22-3
ERR599175,MES,0.22-3,Tara138,Tara138_ERR599175_MES_0.22-3
ERR599166,MES,0.22-3,Tara145,Tara145_ERR599166_MES_0.22-3
ERR598958,MES,0.22-3,Tara148,Tara148_ERR598958_MES_0.22-3
