bin,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1,0.004767260095862468,0.004225486436792393,0.0038419591378823998,0.0041759914088260915,0.004059207112117104,0.003917328596527955,0.0045157927745523505,0.003023885963473918,0.0042500992778106254,0.003361062910783901,0.0041403646336851995,0.0052354744326979395,0.004530530097336885,0.004485753726093199,0.0038900110571917445,0.00504805931612751,0.007424867679762554
SAT-101,0.005905487336726446,0.004174199602946559,0.007114588755147795,0.005011848954900246,0.004585059313526223,0.004390990723036,0.006954604256064258,0.00838648351564692,0.010246094838074798,0.007431155461703485,0.004534067380786366,0.006297269990878126,0.008408463840303585,0.007878701965801883,0.014037816363774913,0.011179359270133749,0.014388934046018206
SAT-106,0.011854698715790434,0.016715477816659875,0.0225525045901733,0.04307371118495041,0.01175249571662001,0.024776163993491505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011715534684032436,0.0
SAT-108,0.02465784058574541,0.026985104404214994,0.018672801881697662,0.1566918516115441,0.031420892526400235,0.16306403074107556,0.01763519710386611,0.012540748004580876,0.09334201813982564,0.038141088907709626,0.10573532895598914,0.1042270949197957,0.11465578320451464,0.06241429074711614,0.0877548447509043,0.06562226526009794,0.056702738765156226
SAT-109,0.0036762681336432856,0.007360903496288555,0.00446877083517631,0.008867156426455821,0.0055709548986269605,0.006263136876730706,0.007480915699524208,0.005064164542005848,0.00921388227233265,0.009227803773758116,0.006159904733500973,0.0076247366021288876,0.01676026572349055,0.014191465962672494,0.009953305404461153,0.010703408729827866,0.018610185536068257
SAT-110,0.01354073348259701,0.0,0.035789017810520726,0.01898502442367855,0.03096291778312678,0.01344786774179712,0.03705133346088805,0.052816224435212784,0.017142065430880628,0.012722943293046712,0.024925090110922622,0.014847438840393211,0.02190984941764182,0.029969292629593306,0.0026695417289949847,0.011014243411768746,0.16035634429424028
SAT-111,0.0037547602266859484,0.009595136887350596,0.01017557324827943,0.007797250242678468,0.01192784861022178,0.009145245882367797,0.012891512650390615,0.006062426233751176,0.00918219837442286,0.0112718798767962,0.011473340273850996,0.009558547756772166,0.011973494221261762,0.01091479103208154,0.013172977646612401,0.009177810546055392,0.007555886067650361
SAT-112,0.007042276271346264,0.004270861884969713,0.013233829265615248,0.011702609536440456,0.013840599935231231,0.005394397396992944,0.01247355662975812,0.0408041536770212,0.003939980618739796,0.004595694037947007,0.005856596833182906,0.012020773006438595,0.005374944979804131,0.00931546936503962,0.030857318467348748,0.04991344239343579,0.126759136748148
SAT-113,0.2116789994482147,0.18987961985927373,0.16008484784386057,0.1478157570572538,0.21979818155826733,0.15058473273110062,0.19340484015786838,0.16327708756779763,0.19646115374276804,0.19194221894504243,0.14675073441367117,0.1319781919282998,0.10453672435759087,0.09842329688468494,0.22877462850264207,0.24023112914289013,0.18911455256146867
SAT-114,0.006951575607318359,0.004682699668730291,0.00523171517115383,0.007903909180836409,0.004865202806159794,0.007404594747548275,0.0021202612187202806,0.005426512591645916,0.007173224779083964,0.036436707058957366,0.008827500795539801,0.012863656333254947,0.01087080249598529,0.029350856503727586,0.009559889246060905,0.036209688046953445,0.02455353857516012
SAT-121,0.0016315123127326415,0.0,0.0,0.001564391385068228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SAT-1308,0.0,0.0,0.0,0.0,0.0,0.006134225856990219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002741854464819621,0.0,0.0
SAT-1309,0.014104449963424673,0.0,0.014206237547504077,0.006320647102419218,0.008206660319578505,0.004323537457178133,0.010054414808397435,0.008113153072059353,0.008612922726788123,0.009509197042679603,0.013216761025566121,0.021664674997040584,0.008811634683258542,0.010279402178754412,0.008789790607262924,0.010068316393602771,0.02174677982166526
SAT-134,0.002612800834103083,0.0,0.0023520328741958615,0.014141095256731132,0.0,0.023309451816875115,0.009996354440199437,0.014612196572269235,0.025222286355599123,0.011429484844418898,0.002121124577206435,0.00207341295395996,0.0006859816567540245,0.0008150077960576538,0.0,0.0,0.0
SAT-141,0.016265050855834014,0.005019313162978481,0.012594410913387907,0.010731146305329061,0.015850824555983363,0.013759398942395296,0.009340920955247125,0.012089547739612478,0.022420181293573885,0.027757770433147325,0.0,0.09845261935359463,0.130327583766059,0.1813343021905325,0.1901910939708909,0.08530207546209981,0.2501967284307726
SAT-1462,0.010019542560727231,0.005640142070044962,0.015563587178822,0.006940638950953483,0.007155876972062834,0.007128268728516412,0.003768098655400796,0.005569641443068445,0.002269873663837159,0.004854531798940296,0.005959293429532495,0.013182420440184148,0.006249670547870673,0.008446118924788327,0.005349941323572933,0.01572199890629483,0.03769383715983213
SAT-149,0.0,0.0,0.0007070687659865015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-1611,0.007493850920260258,0.005334619883578033,0.0019201891592455463,0.0024741899686431586,0.012554316064382162,0.010677757857146473,0.003004703816927223,0.006623152601524134,0.005684196291487691,0.005257153142550037,0.004453032979248643,0.008015058423772868,0.00424373995613873,0.0,0.0,0.007379805045344602,0.0
