bin,ERR598955,ERR598963,ERR598968,ERR598976,ERR598983,ERR599003,ERR599029,ERR599078,ERR599123,ERR599136,ERR599170,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-1,0.0,0.004915616479544655,0.0010997613463136113,0.0,0.004945703930280089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011626289110991412,0.0,0.0,0.0,0.003228304619329489,0.0031728139033037317,0.0033514980828692606,0.003134752532434107,0.0037120541441292895,0.002921320847957156,0.0,0.01695797022622934,0.0,0.0,0.0,0.0026594123788440892,0.021230413631185486
NAT-10,0.0,0.004232855587694998,0.005865171209700905,0.004657917326481984,0.0033220189914849717,0.0,0.00557472452086908,0.005374829922837958,0.002562939315874504,0.004908285745753393,0.004208818128882834,0.0,0.002870954901120996,0.005019735685368172,0.0,0.004111234497362033,0.00392951995616847,0.005406989187376742,0.003607713955367868,0.0046493039629294615,0.002178195541103656,0.0031374646082268694,0.0,0.0069949411371730925,0.005791160947567659,0.007245931403988537,0.004424795503342863,0.004602184500271977,0.0027770955052703115
NAT-100,0.0025348084592577997,0.0,0.0023493655208777203,0.01652069132877341,0.0005585179074140934,0.013390019471569276,0.0008662169669772333,0.00919454178093194,0.0,0.004750822285037825,0.001866685244867511,0.0,0.0022955722451812083,0.0,0.0,0.0,0.002224942541177671,0.0015949343390492963,0.002231456810598701,0.0017913455290384894,0.0019156181097700435,0.002418858526121988,0.00295242195517743,0.0022813018223421504,0.0,0.0006442708276334718,0.0032141842681642054,0.0,0.003092201891736513
NAT-101,0.0,0.0,0.0,0.0,0.0009118847666646536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004371160361661933,0.001389241627841929,0.004508429595465188,0.004995308370944689,0.00428543120972562,0.005128261624805108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-102,0.0032579471960442214,0.0004275373195882011,0.000273632451664856,0.0007613935492833736,0.04468942148455439,0.0018890628592293126,0.0,0.0012125978946657598,0.0002754412420399367,0.0,0.0003637290967415712,0.0016681347496778172,0.0005659925974306413,0.0003304378520773367,0.0017265013281729605,0.0,0.0,0.0006449715415975043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-108,0.0012048630568773655,0.000704932353662724,0.0016657812435327888,0.0010091559952386331,0.0009618651730737919,0.0010619500733510887,0.0010652635558987733,0.0011721398195789134,0.0006490028239194281,0.0009679606177075393,0.0013730492027458397,0.0015138789885098744,0.001165733937655644,0.001463852910514343,0.0013953932463071593,0.000826092111183875,0.0,0.0,0.0,0.0,0.00015963229523141518,0.0,0.0,0.0,0.0,0.0,0.0011795293400844603,0.0,0.0
NAT-109,0.0031893801385393683,0.002321650377568189,0.00044507846791118805,0.004856814032562822,0.0,0.0036327625464360196,0.002811892695071648,0.0034450599319173184,0.0012157509597836632,0.0023890095508543987,0.0040210255339582735,0.004470827272400481,0.004779011146362857,0.0033514169874855953,0.0033104311098805534,0.0033481036430295114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00814550905280086,0.0,0.0
NAT-11,0.0,0.001447299460894205,0.0012054125899088452,0.0013641619862055398,0.001224955286043216,0.0,0.0,0.001297746136330663,0.0014204478302076563,0.0005644767213760462,0.0012947500756841485,0.0003299788247926522,0.001528125682911842,0.001389917217355325,0.0009873519191790799,0.0007353608858774817,0.0,0.000800952730382215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-111,0.007032135573970908,0.011855603690362267,0.017691932762263232,0.010075670349608368,0.0160930332004241,0.0,0.0173814427039953,0.01610818189079333,0.006748719729118525,0.018111073881114416,0.012070842544777879,0.0,0.00018215007734955627,0.007560645841179497,0.001641035496108655,0.0019160171020230973,0.0006473131017839483,0.00011794678274224804,0.0006722495133960266,0.0025309923458335416,0.0016621019082316208,0.0006003338762038832,0.000875283495780783,0.0006669541395250263,0.00039194830227727275,0.0,0.0019312861224540416,0.0010355906402311646,0.001453587994882318
NAT-113,0.0,0.0028055860037783805,0.004428350763379931,0.0034837788444378407,0.0026300747706265214,0.0,0.00792792472247612,0.0,0.0073282960932447095,0.009201938385049397,0.002999757367420919,0.0,0.0057754514831529205,0.0032468347527289795,0.0,0.004329346121549893,0.0054578838740705635,0.005265845708554441,0.005677155596893143,0.005025362276093137,0.005283886386891364,0.005659201808839742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
