bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-587,0.003217903523515055,0.002466518331001298,0.0025347210770118945,0.0,0.0009448244140142662,0.0027186125529811765,0.0030556287004251566,0.0030159744919309914,0.0008840838302982525,0.00047139296878719717,0.00206679175827757,0.003036790126073603,0.0016111179742783407,0.003057590241869429
MED-588,0.003234810741419401,0.037275499596083846,0.0,0.0,0.0003346479902838606,0.005320097549654356,0.006123867865726068,0.005352224651024342,0.005265723380641995,7.411879838802706e-05,0.026271555542742155,0.041306060246038584,0.02092987160590137,0.014407840479442567
MED-592,0.007279442423122085,0.008640011818954777,0.008628128568268157,0.0,0.0,0.007970794667123998,0.006433162768954672,0.004457047219843231,0.001102676319033307,0.015106064244782497,0.013957819998820733,0.004637503449505448,0.014057900312427455,0.011072087740727541
MED-597,0.0,0.0008916549399041426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043872997971716835,0.0,0.0
MED-599,0.003257362884124801,0.0006707300605815324,0.0013678488552726694,0.0,0.01552235244170824,0.004380314427314715,0.0,0.0,0.0064136970238436565,0.0,0.022097002575466436,0.00019305371752401443,0.017071800392830325,0.0
MED-601,0.00780135805958584,0.0011232265540759066,0.0005985966966598578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008900060205196356,0.0,0.00039559150539287234,0.0
MED-609,0.0,0.0,0.0,0.0,0.00045446044535095377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-610,0.06153205939399812,0.08935411489001645,0.10699973802442331,0.04929604790937783,0.04525803869123775,0.02502115240336267,0.02814137309199607,0.02543173558017519,0.06459347112709318,0.0669142034153542,0.09561559962000846,0.05407200196006682,0.07703566158318147,0.052785938648568856
MED-621,0.0018433084886325566,0.0009795647037774118,0.0006168909488063838,0.0,7.133355689254292e-06,0.00018895678401100247,0.00019363634230964855,0.00023301176632434804,0.8385479077344791,0.8082443177634318,0.0,0.0014863092406251766,0.0,0.0021562500906355366
MED-633,0.016122208323826947,0.00506807666291584,0.008120781212326646,0.0,0.004121421049632672,0.01912660773973299,0.018833536534652407,0.019100200444726288,0.0027701972936855276,0.004123562239984931,0.004058369407423953,0.004341723207199195,0.0037674382027570357,0.00424303076050673
MED-661,0.0011785996218088989,0.0,0.006820679859438889,0.0,0.003599601403929942,0.0004255386617325579,5.0474472315521016e-05,0.00026935749018430603,0.0,0.0,0.0,0.0006425623743737448,0.0,0.0026136837650040266
MED-665,0.009641189272160074,0.004371376920751896,0.011409807549027566,0.0,0.010907888241144867,0.014000656370812443,0.013030684572657622,0.0125292855422175,0.028033145604087203,0.0,0.008685409658757593,0.0038547765761968314,0.01353494791784393,0.0
MED-668,0.03998898555660159,0.034728516860167195,0.0351156216707167,0.4271277962564866,0.11664494828811539,0.056540919838221765,0.06448674383043619,0.06221015389777825,0.13564339282606958,0.08723157042563431,0.02944820137802687,0.06335428484397393,0.03151964068751803,0.05196091956208309
MED-671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05107845588179623,0.0,0.0,0.0
MED-690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025674779731097136,0.0
MED-697,0.00927436735842799,0.022191522659438946,0.025031916494978164,0.0,0.013966718067125397,0.0053272709293959095,0.008005671799858586,0.005980508898602911,0.02315611481349196,0.1422195467791033,0.006934705500962519,0.02611773586003941,0.007138377916167529,0.039062283932884974
MED-698,0.0003608400527189429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
