bin,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100
NAT-1,0.0,0.000779239912140618,0.020934948663351906,0.0,0.008876469712404515
NAT-10,0.0,0.0014875231548221956,0.0076969712807587526,0.0,0.0036161299709952543
NAT-111,0.0,0.0040547469002114684,0.0050242628393602625,0.0031512727990006834,0.003166338785016935
NAT-113,0.0,0.0006663193382535965,0.004887587879399796,0.0,0.0
NAT-116,0.005496194604703458,0.011294123265158815,0.006382924436948738,0.0,0.013872128574133065
NAT-117,0.0,0.0,0.003188936508534288,0.0,0.004112196825651825
NAT-121,0.0,0.025395832326013234,0.007967021460264373,0.0,0.02328530204084203
NAT-123,0.0,0.0,0.0037732409088005654,0.0,0.0
NAT-125,0.19220380454158892,0.015258297898894036,0.07840780844346301,0.15244587086749117,0.006450077783878327
NAT-127,0.0,0.0,0.007856862063398704,0.0,0.007258482338849229
NAT-129,0.0,0.0526236687717032,0.0077461981626305585,0.0,0.027906351698281616
NAT-130,0.0,0.0,0.005518452163977999,0.0,0.0
NAT-131,0.0,0.0,0.000862710326267208,0.0,0.0
NAT-133,0.0,0.0,0.003569210025099938,0.0,0.010496267649743669
NAT-134,0.0,0.003768775368767979,0.006202473431870663,0.0,0.010965013159743827
NAT-141,0.0,0.0,0.0017923943051332712,0.0,0.0
NAT-15,0.0,0.005090250575716502,0.006656239378176177,0.0043850158057431865,0.005317106128884417
NAT-157,0.20608578194846425,0.029043051396300094,0.012171925314025384,0.11524372224755909,0.06625945719995531
NAT-158,0.0,0.0,0.00040661715284803107,0.0,0.0
NAT-16,0.0,0.0021426708543088482,0.00047319113482697037,5.514956134602496e-06,0.0005715698256140124
NAT-167,0.011105512437511829,0.010138508028489396,0.009101545607567655,0.017430773043282083,0.010614209481410225
NAT-169,0.0,0.00737264154651798,0.0,0.0,0.007837018432615198
NAT-17,0.04235919822601945,0.024324955112841284,0.010337930755338502,0.012187952314339856,0.02881469664172227
NAT-170,0.0,0.006413911849843691,0.0018046495276352627,0.0,0.005538823496495203
NAT-173,0.0,0.003837148484376118,0.004471338142775912,0.0,0.0050151942673499865
NAT-176,0.0,0.0,0.001441858530298317,0.0,0.0012038451536202448
NAT-178,,0.0,0.004141996222930098,0.0,0.0027336395428625704
NAT-19,0.0,0.0,9.609301311495812e-05,0.0,0.0
NAT-20,0.0,0.0,0.0024601414336382467,0.0,0.0
NAT-201,0.0,0.003438877399615074,0.006751656803184294,0.0,0.0026661544244382376
NAT-209,0.0,0.0019831543544472814,0.005675351484564339,0.0,0.0031581994287192537
NAT-21,0.0,0.0020068002447617664,0.007980797939946277,0.0,0.007448928935621146
NAT-212,0.0,0.022586585498394894,0.022069293357436248,0.024640167616423844,0.010990492298754442
NAT-22,0.0,0.0,0.00380536523489186,0.0,0.004793749142933889
NAT-23,0.0,0.0051184649400866245,0.0013134688061806107,0.0,0.0
NAT-239,0.0,0.0014029000597006029,0.003334498044248502,0.0,0.0
NAT-24,0.026450094595579482,0.020348649311964666,0.029532964392617232,0.02201236956316604,0.020618064022293377
NAT-253,0.0,0.005310323191130913,0.005018541883762709,0.0,0.014877784861465827
NAT-26,0.0,0.007607415203422826,0.00928641129961062,0.0,0.020865907324312538
NAT-276,0.0,0.010814371368329963,0.005665140937719321,0.0,0.007085665625886327
NAT-28,0.0012707809710252695,0.0006959428548365261,0.004200629930650198,0.0011585665813102779,0.001575077051905289
NAT-290,0.0,0.0,0.0,0.0,0.0013879598611794568
NAT-291,0.0,0.0024582298715803675,0.00448184975477427,0.0031090619595815243,0.005350628665510576
NAT-3,0.0,0.0038102305494323047,0.002553728354586282,0.0,0.005620248263860395
NAT-30,0.24463581233146478,0.016845622560578585,0.049716193602511935,0.21062254984767015,0.014093518117902222
NAT-32,0.0,0.0013836711680870384,0.017586473655024477,0.0,0.017524298047534744
NAT-33,0.0,0.001114609376216733,0.004154156376963455,0.0,0.0021358237548210887
NAT-4,0.09846771676145302,0.2790671078059138,0.024147198240124765,0.12930302715986258,0.11092229366972316
NAT-46,0.0,0.0,0.005747436785048201,0.0,0.006710648333403627
NAT-5,0.0,0.0,0.0020491577965231662,0.0,0.0019473527410863946
NAT-6,0.0,0.0002723280616165398,0.0,0.0,0.00019827252248830603
NAT-60,0.005511527169863936,0.0006628602344414717,0.001173186478743964,0.004609896960885025,0.0005867140586298442
NAT-64,0.01159298298675639,0.006262010548824296,0.00985602836171386,0.008849543293833216,0.008727811409989988
NAT-67,0.5487821305099846,0.039456733925356556,0.2871144220488691,0.5419548758354089,0.005686521711613703
NAT-7,0.0057600165721767346,0.005757587404661815,0.01693828265718251,0.01915162687537702,0.00924733272174585
NAT-70,0.02693088325020897,0.014640621102787084,0.014883357727167153,0.027755194543390357,0.0012741380267026119
NAT-75,0.11644112897547704,0.07941631717596537,0.02156733179732413,0.13251583125391325,0.01287527282429716
NAT-8,0.0,0.002927250360759376,0.0032689240504915123,0.0,0.003082186632553109
NAT-82,0.0,0.0077442938306900785,0.007024862917205267,0.004908624374462573,0.003086232418425347
NAT-84,0.0,0.06331866479588012,0.0009197272737987472,0.0,0.05745024480278304
NAT-89,0.0,0.0007954996736512443,0.0,0.0,0.0003118582026000826
NAT-9,0.0,0.00010700249668177205,0.0,0.0,1.2736846032814364e-06
NAT-91,0.0,0.0006265363880561806,0.0005279499308782193,0.0,0.001615322264197264
NAT-92,0.012908445352916553,0.0035482672329238355,0.006201495468451133,0.0017590823000110346,0.003140461696320492
NAT-94,0.3930359059004427,0.3480945519788241,0.007085395366545781,0.382325327271175,0.02205688819281264
deep-0008,0.0,0.0013352256442448458,0.0004696405188240476,0.0007066231096524697,0.001710709761631196
deep-0011,0.0,0.0005010600754435266,0.0015930229152190162,0.0,0.0006124114789833427
