bin,ERR598947,ERR599000,ERR599005,ERR599044,ERR599048,ERR599124,ERR599131,ERR599149,ERR599154,ERR599159
SAT-1,0.007909139854981958,0.005476324179836975,0.005231883065773297,0.0068347450885212335,0.0034276955678843287,0.0049302895646967885,0.007047683808358414,0.005456274519512499,,0.005702468598374921
SAT-101,0.018690710691142056,0.00903054407992045,0.041474463493255016,0.010386267411588391,0.03731738050476105,0.010300581349475183,0.01454034335336293,0.00970164065669063,,0.010010626457587742
SAT-106,0.0,0.005610772661056142,0.0014675871901767405,0.0,0.0,0.0,0.0,0.0,,0.0011761225797292467
SAT-108,0.0021518090901670723,0.008939984358029602,0.024068654010901257,0.006508314968128542,0.01558946735590359,0.027987082151167172,0.0022540489043367815,0.008295453432073958,,0.024000612148884975
SAT-109,0.0504174541107329,0.019885851853974377,0.01960022157564897,0.026970456117440793,0.017077516025917262,0.018848681276317274,0.032344078947672404,0.02993432962615855,,0.020022337919724093
SAT-110,0.08187946660410264,0.005764503408647672,0.027466495508268057,0.01813440634440382,0.06327182645296385,0.01707557628534807,0.06103621123584007,0.0,,0.009231389919981209
SAT-111,0.009140384404116533,0.006494600802960603,0.004865770220979583,0.0059136291222764885,0.0032746725805885752,0.00651589407872036,0.006942511171460465,0.006347002738723047,,0.007034742674159517
SAT-112,0.10844593021231777,0.011431043325239993,0.06736005745087628,0.1593717579775528,0.0779017457245474,0.009200023247527033,0.14482779866273673,0.17894047650821351,,0.010165103242318962
SAT-113,0.014434547538826068,0.023562568992546,0.005287725893516897,0.007526557694397341,0.005627558755102711,0.043602485135568914,0.010702990130164982,0.007392406513720028,,0.047939849499861444
SAT-114,0.0062969292438710255,0.006104957841793831,0.005962927029681787,0.00559460341993561,0.005643050173814973,0.003026405043041837,0.007258480546232086,0.007546867041891289,,0.003622683223060483
SAT-115,0.0014880037565209478,0.0008457675014712645,0.0011215927161067737,0.0009885256169371844,0.0,0.0,0.0005938043668102874,0.0006049310881693089,,0.0006681201602748441
SAT-121,0.0,0.0007469828491471059,0.0010510191949638045,0.0,0.0028758870487207923,0.0,0.0,0.0,,0.001569165670580684
SAT-130,0.0,0.0036798059752662583,0.012877366617121652,0.0021249348042379716,0.0,0.03327119883022716,0.0,0.0,,0.0
SAT-1308,0.00034292193985090326,0.0004018880151159563,0.00031659889962810483,0.000445802853412631,0.0,0.0,0.0006817510376945964,0.0,,0.0002039002910075695
SAT-1309,0.009096144445139396,0.0027243685361665795,0.0027403163723674273,0.002345728969879401,0.006101338676904203,0.050260177345146914,0.007554717848848008,0.004529048412744003,,0.04849264870553621
SAT-134,0.0,0.005467389814972174,0.010871052812114815,0.0,0.029210426099726076,0.01500519324630927,0.0,0.0,,0.0
SAT-140,0.0,0.007140775162714742,0.006491484268363171,0.0,0.00570906364609297,0.008123992627762736,0.0,0.0,,0.0030638904258710018
SAT-1401,0.0,0.0007101228785167061,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SAT-141,0.4559399106519479,0.05907922269557336,0.002382224772058338,0.03290511965244407,0.0024092096043142985,0.0,0.34126175897279853,0.020074572840477468,,0.0002280924131588962
SAT-1462,0.00758755913374482,0.005450904506428835,0.015130574816256119,0.015303465885635949,0.014301404024893855,0.0008527277091002874,0.008037104738174426,0.016670072027889556,,0.002124710999276508
