bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353
CPC-1,0.00015069424417210364,0.00025523760337017604,0.0,0.0,0.0,0.0,0.0005930117828910453,0.0,0.0,0.0,9.838245880351151e-05,0.0
CPC-11,0.002603214265751611,0.0041257164400122165,0.0019364807834742113,0.00210404510312795,0.010959607635248754,0.01169685427281852,0.0028981811254094035,0.00671431323481728,0.006146789141340819,0.006871017293068601,0.002222798451338621,0.026495028461504144
CPC-12,0.047636053311590806,0.02256747011481516,0.013362468002261148,0.012739692681866888,0.027417650146063295,0.010459696876532518,0.01956007044254494,0.021611725567637734,0.07667340215425204,0.025521156877943006,0.018108760937498632,0.003922879306125122
CPC-13,0.05641201654181761,0.034924277675783565,0.0,0.0,0.06568267167020336,0.14038687932216035,0.0,0.0,0.017190157857763,0.12729896645445657,0.0,0.02339080688255765
CPC-14,0.1794684933517928,0.03369838791590627,0.254016892717848,0.3084102990369292,0.006132325872028124,0.0037440461935551693,0.34407015615403497,0.0033289009437791534,0.05871571464190445,0.003943756799902072,0.1528172215547828,0.028326747952256284
CPC-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010332795270786076,0.0,0.0,
CPC-17,0.0,0.0,0.0,0.0,0.11088859120802348,0.051334312446947986,0.0,0.06730023750638721,0.016165946014391554,0.04455938655764753,0.0,0.00901129953554156
CPC-19,0.005104491020634215,0.0055199529873727815,0.03806194838372829,0.04587455956709455,0.0,0.0,0.028161134755883454,0.00972740475282039,0.0013717672933191455,0.0002530710835938679,0.006154153840154583,0.008636422951221233
CPC-2,0.010047851849754444,0.0015713567352313468,0.10820989145461817,0.05238329800632202,0.01832685011206649,0.006294685414758296,0.021418355741887867,0.005660513268109995,0.07583439373586498,0.0030596608601455876,0.0,0.07358126778531522
CPC-21,0.0,0.0,0.0,0.0,0.0066257258906350786,0.007911942780346041,0.0,0.006835221888141371,0.006669897244585954,0.006386233296465797,0.0,0.0
