bin,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145
ARS-1,89232.52770556117,2297187.377867408,747767.712165991,648576.4321655422,294861.0206348488
ARS-100,47388.35119755376,4119791.853282963,21416779.491539735,272023.41444580664,311538.4940692789
ARS-1004,86517.07222475809,1047274.1165372872,5775589.939271328,494063.443302891,1529594.3585617382
ARS-1009,1265217.554937665,3626273.6053354987,20575889.511367094,7138810.199425086,7185602.120044256
ARS-1012,352506.1093602736,7368842.14177899,38921340.66674872,1910349.9399004623,18325975.47939688
ARS-1018,3330.7225520305983,10904.035469584267,6767.997350768527,20562.020669223537,18545.73804253481
ARS-1019,7834745.91777402,2280473.771695876,12212837.635865444,41684772.819064595,14096813.721587403
ARS-102,0.0,189606.01667339052,24.96251874062969,61.515625,63.81395348837209
ARS-1030,666595.6238935308,1842010.2526156364,9205405.077715544,3301101.4554181593,23678129.953742508
ARS-1032,930.2568191144676,505110.2376873531,4956.1140670397845,6795.895259342751,6188.307571163791
ARS-1034,7157560.548730755,3390898.1753847906,18750696.063870728,39441168.1928699,41028599.25680087
ARS-1036,681378.9180826846,68148.59460060127,21691.44207661759,3480717.4617587174,838441.8045927786
ARS-1037,1117232.0894606207,7084.143979177537,23971.827961971736,5744057.159406232,583241.4446915918
ARS-104,5514.738374089421,23327.329021026126,19516.495928612465,25459.42297943233,21861.82797661969
ARS-11,2249377.9872951885,24628.86865387787,119405.91365633177,12404418.142401084,320855.3639726601
ARS-112,200211.96040357082,112332.37964427152,543960.4647594896,1062359.021035862,721135.7474075677
ARS-1134,2850999.8039443227,1482331.4219013355,8573516.249997178,16274276.367638187,8612033.623645263
ARS-115,13284.17128815148,13366.353683683485,37651.47189448662,68912.26600513553,38393.52432184035
ARS-1168,33.64299109235818,44649.38693760488,0.0,138.20895165379793,0.0
ARS-117,41.90830324909747,2244.8703155757466,361.89316249340857,694.9752589821674,304.41465166126176
ARS-1176,0.0,4245.986437173351,303.22653721682843,299.53757059553396,268.6467098166128
ARS-1199,268.92586989409983,71774.46822388799,1928.0786686838126,1509.7103154591807,541.5099683866813
ARS-120,182.07350225740737,1555.3317711058367,1740.9949069910595,2394.977832089788,1615.5272344480386
ARS-1203,1181.8886006338162,28485.89477844596,1748.7381024318106,819.2099917559171,11256.256649828807
ARS-1215,912.2499341629788,2495091.2703261394,2488.5920997319363,4352.047739144892,2670.5736332115703
ARS-123,154246.13956874362,123699.30661855389,632527.2279335954,787475.5152682702,8220882.621080621
ARS-125,800.6979434447301,14825.563206495393,3078.826978114005,4621.704044220327,3335.185211956067
ARS-1279,195.42125693987575,690.2629741898772,1721.6939478003378,979.389479150331,864.9570928984316
ARS-1297,642.5306574052292,1150.4519680093156,1848.2062327193591,4898.331485483201,7073.17355765935
ARS-13,28424.680121116002,2728.3461519687485,8942.098129129703,193726.38692310706,106338.27221686121
ARS-1307,0.0,15284.379062755681,1467.973382310022,66.76491228070175,0.0
ARS-1330,65.513316336983,82051.96460336301,462.8589968767661,961.3844247074975,325.2328996024248
ARS-1358,133.46405333475747,57152.32659916642,289.6143790849673,601.8664335510223,443.6368585870622
ARS-1360,13.627840909090908,24776.629785956648,5.323096609085093,56.207444225135404,0.0
ARS-1386,60.72334992512796,50856.60103102478,470.4927427327648,621.9230158568287,283.75160192673115
ARS-14,224749.86159067258,1578.8317737916875,7598.672172180206,1269984.4823868296,1652123.3501990594
ARS-1414,1299.9617063007684,16850.294872584775,13507.72344300959,9148.751184366867,4818.944529244055
ARS-1419,0.0,45211.437946209,10.96474358974359,0.0,0.0
ARS-1426,298.1249928859614,2549372.801849954,896.9491361544291,1949.0629365368718,1364.3555217872174
ARS-1427,113.8477970627503,8984.390519097407,931.075657138329,866.1600738949626,563.9127725856698
ARS-1434,3931.202688152295,3918.4434587479304,10153.733034174937,12486.951259095838,14960.670773029124
ARS-1441,413.0529193916482,41846.25352641241,10829.054862022482,4701.780554288004,2066.7118072489097
ARS-15,2777.617983964612,5685.813289015854,5466.455570400182,12165.549805654931,6372.814784168801
ARS-16,4144.558818789515,93621.91101727443,19398.244811287903,28156.60976805152,18264.0861648627
ARS-17,4339.705542799515,936024.1871575669,27341.105516898082,27230.891039395498,19591.034676980216
ARS-18,97355.91340878261,15840.065379361362,7973.039005708989,541204.0033803881,16431.211803917173
ARS-24,54027.46697028132,393580.16506752966,36698.14729876602,276563.7574314477,710423.3982584957
ARS-27,96.90664884145994,1355612.6530183323,2896.8460210431635,1839.2542815054362,3939.870319008403
ARS-28,743234.4817915877,7376.929199386741,34366.25680608975,4106305.859348003,52030.156117621904
ARS-29,3833.325810901859,54079.477125999496,3221.30682852014,1483.8218152844904,25064.258053280908
ARS-3,64988.15007448802,42791.39008869205,132629.0874232891,331906.43706722127,472330.18559880706
ARS-30,272043.96853198815,244531.06718198207,1233934.1271521128,1374806.941520633,7173577.121968073
ARS-31,705.0806028813668,407424.6437098358,7172.668283604174,6000.558302575,8244.317363724764
ARS-33,686.0994081273368,379.5876104897281,1197.237131611385,4108.755849000164,3215.699639567644
ARS-34,1087.6795661726985,779124.0194937905,12199.585320660106,6799.057130400478,6602.214379024282
ARS-38,24242.340903821143,14261.19696165568,72239.36179944176,125685.13207665624,165580.5410973794
ARS-4,491013.5832380608,67437.57047605333,351910.2249298687,2737236.6141086975,201361.06014551604
ARS-40,67190.07923428484,372243.68152351404,1923771.0806673085,359119.46244958194,1012844.8606837349
ARS-42,3810602.3411373664,418833.70059459255,2185825.655102844,20201616.810404383,19652147.542212255
ARS-45,796.7649159794614,1180.026118069876,1974.233661508301,3392.581297810287,792.7823095425799
ARS-46,15552.991452971683,1017663.8537609021,6701.860207924706,91131.14909220873,23256.277085555706
ARS-49,0.0,49545.478540177915,0.0,180.2615102926001,0.0
ARS-5,55612.82578684691,27244.59195625218,25577.528949265627,300737.091471486,72179.0091043437
ARS-51,1409.6886482569512,8791.405759758034,2514.0943781974706,8956.36486733669,2300.393158736661
ARS-52,41.2265155508698,23262.231901497627,393.95849261032856,402.53507308308264,150.05518828046866
ARS-59,13915.258164473813,2170806.5121505246,11109226.619441355,73974.84569539284,75693.90485697979
ARS-60,127308.85211704137,1567300.62008904,8596571.915079938,728945.0951945311,135180.35184639302
ARS-61,1628.3190190346518,143741.26990781268,4076.9667620088353,12532.72351366238,7658.95333422805
ARS-62,18398.72267756845,62667.245310373044,45002.41485677384,98126.776920185,48546.37386402221
ARS-63,285.2677826955789,2499.2092614217518,1944.2053619560404,1836.3792793028185,2083.26309129199
ARS-65,273.19517687405346,303.8115933618291,2499.2835490227576,3365.3034965939564,3612.165843312331
ARS-66,266.0170134034824,2665.6990460261773,3329.0685251986606,4723.8719898136305,2195.907735127965
ARS-67,160.94469516745966,462.7675024370093,1312.7492670351685,1621.185995771429,899.1279154966226
ARS-68,717.5217730525392,929.7428993250227,3991.268714337146,7226.569153983482,5471.085694692422
ARS-7,78914.14232077374,32129.95177342123,15283.498058066847,423577.1500375159,80453.28916581383
ARS-70,0.0,747236.6516893165,183.34554515054347,312.87409163867517,75.56307959187573
ARS-71,145976.27592736154,38815.85785452819,188609.69107886383,774555.7173268317,7820815.406007001
ARS-73,0.0,7168.299957168464,0.0,0.0,0.0
ARS-74,0.0,2667.8854405940456,165.1185177959856,134.42495763243437,34.566987608429756
ARS-75,1556197.0333527552,2042731.1479937064,10709589.408598978,8250691.371126934,15932688.2273918
ARS-76,8293.98516601962,1419485.8698895574,7853845.186057431,48140.861810646675,250828.49436044344
