bin,ERR594327,ERR594330,ERR594334,ERR598966,ERR599102,ERR599143,ERR599158
ARS-1019,0.0022268738076838697,0.0031278958067703275,0.0007649540223641124,0.0006268746641480931,0.0025055463504885024,0.0008487296777908205,0.0023907683502516932
ARS-1032,0.146556454857354,0.06610746275839186,0.6369265497147624,0.0,0.0036988914469037204,0.017046346742283836,0.028468146619217323
ARS-1036,0.0003756934558074933,0.0,0.0,0.0,0.0,0.0,0.0
ARS-1037,0.013561406216665744,0.01194705542836004,0.0,0.02233267712712291,0.012782594424952687,0.007166711247356555,0.00834171318611947
ARS-104,0.0,0.006811205476735311,0.0,0.0,0.0,0.0,0.0
ARS-11,0.0018030428107571642,0.0019435765228856111,0.0,0.0008232025130663897,0.0023249626505920137,0.0009139188190714917,0.0026559490332605192
ARS-112,0.0035331157825795683,0.004551920830294821,0.003396034321262171,0.0031111251521787502,0.0008297592498320669,0.002518638371129335,0.0020141587417861037
ARS-115,0.0,0.008293747331552678,0.00831099563692453,0.0,0.0,0.0,0.00181730955643015
ARS-13,0.004602903631544936,0.004744697432793179,0.012378610609103382,0.0,0.004489950326263006,0.0,0.0
ARS-14,0.0013008996466963632,0.0007123616231395943,0.0,0.021491509915263256,0.0013174387241342564,0.0,0.0006013487358876692
ARS-15,0.02049427922943459,0.03095450400947023,0.0,0.0,0.0,0.0,0.0
ARS-16,0.0,0.0,0.0,0.0,0.0009995833571775816,0.0,0.0
ARS-18,0.010472296087490304,0.15736424742552768,0.0,0.0,0.4229304781172334,0.0,0.40240686254958347
ARS-29,0.011630054890314101,0.0,0.010663203531760078,0.0,0.0036785199232598083,0.0,0.005036388408880831
ARS-3,0.012838769853240513,0.018083630892041,0.018969366095267906,0.013206492310158255,0.009595254154643244,0.012887525462293624,0.011658075299342445
ARS-31,0.0,0.0,0.0,0.0,0.018627971091206248,0.0,0.0
ARS-33,0.053637951228574794,0.3121798580951564,,0.0,0.0,0.0,0.0
ARS-34,0.0836065023091267,0.0,0.0,0.0,0.019933562325619467,0.0,0.04046572491206869
ARS-38,0.0021091912915298947,0.0021562890889465568,0.0,0.0,0.0,0.005048127438956999,0.0
ARS-4,0.0010438082646326537,0.0007332561393513841,0.0,0.0,0.0005248960252633578,0.0,0.0
ARS-45,0.005884293068033468,0.03400217191104417,0.0,0.0,0.026043963538445077,0.0,0.0
ARS-46,0.048729126391859716,0.0,0.0,0.0,0.009513236252642852,0.0,0.0
ARS-5,0.005794868519037481,0.010550993003089499,0.0,0.05170179632781781,0.07592562295597989,0.005742636839156425,0.06889159680905588
ARS-61,0.0,0.0,,0.0,0.03584543651285499,0.0,0.0
ARS-62,0.0201194944454104,0.08464710915931775,0.057438143072820844,0.002521507147213792,0.0012433942603946762,0.009995882183779704,0.0
ARS-63,0.28194566748165534,0.0,0.0,0.0,0.0,0.0,0.0
ARS-7,0.009161128699229647,0.005407942132302282,0.0,0.0,0.009727074595817687,0.0,0.00822943687912494
ARS-71,0.0,0.0,0.0,0.0021415871422706205,0.00548513835575488,0.004753364501065372,0.004319841586272167
ARS-74,,,,,0.03097338076333853,0.0,0.0
ARS-95,0.0,0.0,0.0,0.0,0.0036863952258690508,0.0,0.0
