bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012881332659186194,0.00021322698603755362,0.0,0.0,0.0,0.0,0.004770360651303483,0.008254092263702892,0.0,0.0,0.0,0.0,0.0009774289713071504,0.0,0.010528721835591387,0.0,0.0,0.006865756168487932,0.0004514247601201993,0.0,0.0063989225127811305,0.003986315410561483,0.0013720134530752835,0.0012460680117463332,0.0034660789707683147,0.0,0.0,0.0,0.0,0.0,0.002708294883480095,0.0022392241380333783
IN-1077,0.0004276024210989501,0.002115592879553398,0.0014486469945328884,0.0007488273353218359,0.0013157691147849724,0.0013814985947641488,0.0016741221189994714,0.0013480177123397453,0.0011736928088569008,0.0012782546445810662,0.0012618682447493557,0.000906616552159601,0.0011024279824680269,0.0009313661230435788,0.001399557521850226,0.0010816784180796189,0.0007509020654995067,0.0012577187505587845,0.0014973930782116568,0.0012654488691248497,0.0011770858086123516,0.0008906642725564746,0.0,0.0,0.011441478555039363,0.0,0.0,0.00038643785498908463,0.005057909360901219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-11,0.00014536990447306668,0.0,0.0005118438772995114,0.0,0.0,0.0,0.00012807032861048294,0.0,0.0001946602736449432,0.0,0.00011124027198244325,0.000984206879702056,0.0,0.0012861692512519602,0.00603637221782005,0.0030847622771325513,0.0020673431291711292,0.00015868144301787367,0.0,0.0,0.0025632100669378127,0.004796234951603706,0.004107983706820853,0.017969375691881718,0.006623441288804614,0.0070480387399232975,0.00395265810505924,0.002804860658156792,0.00542383224671875,0.005513285825661369,0.01105185184035688,0.011310891521145264,0.010387667515656337,0.010984284121247724,0.009869039358356542,0.010950684135809387,0.01086793916777788,0.00956023512908339,0.009688347718344948,0.010898305479602024,0.009770916714158417
IN-12,0.0,0.0,0.0,0.0042237550580623085,0.0,0.0,0.0,0.0,0.0016361034300927176,0.0,0.0,0.004220842709369337,0.0,0.0,0.00456721629748822,0.0012691208597821887,0.0,0.0,0.0,0.002197616312806179,0.0,0.0035627100246561558,0.004885193042921629,0.0,0.005132022855303365,0.0,0.0,0.0011722160252975937,0.0025455120852521766,0.0,0.003935467019160967,0.0034556047106993008,0.004256937747735975,0.005030226165571365,0.004441694498329051,0.004374031394140708,0.0031691971911619694,0.003951815919513307,0.003923480957711882,0.002112765049079945,0.003755764752877267
IN-13,0.003536773904617921,0.0,0.0,0.0,0.0,0.0154634199804511,0.001346420832559583,0.0,0.0,0.011930593022966795,0.023074583477102097,0.0,0.0,0.011420623595587355,0.03957518276979804,0.0,0.0,0.0,0.020601403863617376,0.016272053554500253,0.00986904336617161,0.02152355114009453,0.013450738690889743,0.026502247359342118,0.015244997448253868,0.022991258897231658,0.016843044790204834,0.017485243269351435,0.018126572629280118,0.019078457652971403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-1311,0.0,0.0,0.000218527296676853,0.0009731935409442695,0.0002527686971171372,0.0,0.0,0.0005931294714896977,0.00019116210015220032,0.0,0.0,0.00014794148469192493,0.0,0.00024446875733136105,0.0007360072832531414,9.399000337975752e-05,0.00024502121377275015,0.0008589427228470237,0.0,0.0,0.0004427694443600454,0.0,0.0,0.0,0.0,0.0,0.0,0.0009676941278820966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006288589329635496,0.0,0.0,0.0
IN-15,0.0011602767322956673,0.00018650838541388405,0.0017789737919665927,0.003570681840645609,0.00017371509653335337,0.0034502114906411335,0.0023275284806208874,0.002869677314995294,0.0026380751299898155,0.0015434365934962847,0.0021213912502829647,0.002017917884680652,0.0006974261890576337,0.001094943694900091,0.0052654755752778925,0.003449679732869167,0.0023801084525303193,0.0031292564373789377,0.002068265737220142,0.0031068605320118004,0.001663535183837357,0.005030514563217072,0.004193173940554177,0.0003578947831269712,0.002324360315465449,0.0027094315471785798,0.0018326341499154597,0.0028489301780814367,0.003439471740115995,0.002620967950627686,0.0011494906735386966,0.0,0.002077031352832506,0.003553123968687543,0.0052135456159233306,0.003654678178430481,0.0,0.0,0.0,0.003109790055051282,0.0031168210940685868
IN-19,0.0,0.0,0.0,0.0,0.0,0.0008844226927418725,0.0,0.0,0.00015934093427251848,0.00102336660742423,0.0016807261915522207,0.0,0.0,0.0,0.0,0.00028842384642297706,0.0,0.0,0.0,0.0010123009991426365,0.00044509155383224346,0.0030832471394530406,0.0007147929211936085,0.03478677642462924,0.0,0.0,0.0020957978057440365,0.0022513550291879255,0.0030643000546861647,0.0015648356669763477,0.003558927326083324,0.00329822698749611,0.0022252305886860664,0.0015296890912894553,0.004819174289619097,0.001996562823943365,0.002788659742319748,0.0023512098745607115,0.0,0.0024449373024001513,0.0033493319342436053
IN-20,0.0,0.01226536334665557,0.000255387421600549,0.004465495523871229,0.0,0.00022521270428663698,0.001786564278906095,0.0,0.0,0.0,0.0,0.006988353014928508,0.0,0.014768477259369583,0.012604486985240708,0.0007823147605345248,0.003959584625582364,0.004925459105321652,0.0005093561905785646,0.0005228795973255453,0.013772986494765995,0.014675726722873924,0.013301590424731613,0.0017544844974547553,0.01414094509255042,0.0034304428703898064,0.002216914321685827,0.014919510521102056,0.013285542536564048,0.0038882996606843523,0.014280417531893056,0.015959373882614196,0.014116014558520537,0.01497170898164258,0.01404206878652107,0.013237059800649358,0.014450365554652811,0.014764472202675209,0.013736073086080648,0.014340912130550379,0.0143566218041767
IN-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048679102937956705,0.0,0.0,0.0,0.0017494518712039932,0.0,0.014585930803457181,0.018532642005197084,0.0024707673126912136,0.002248686736060765,0.0020085075862110945,0.0005381206019550954,0.0007239563808373256,0.0,0.0006909782152719644,0.0,0.0,0.0,0.0022265460404187003,0.002551428659151504,0.004311173987066376,0.0,0.0019200441293659107,0.010345712343282434,0.006702220924404441,0.004415426902220957,0.009850080197424785,0.015557334433224658,0.001268026144460107,0.015401323823016655,0.005981337533394872,0.010203315038878155,0.003175892613065492,0.013383723281774715
IN-23,0.0,0.0,0.0,0.0,0.0,0.004374456174671433,0.0,0.0,0.0,0.012240024432888396,0.01592120341211193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004956382498501582,0.005730449403110222,0.0005644747026373533,0.0003790856975845518,0.0,0.002569172392005503,0.0,0.0044045363959008136,0.01605162617806911,0.0001453477943744912,0.0,0.009374648445138831,0.0024114635831735012,0.010658761956600432,0.009125087568582503,0.004414057134449053,0.0027674443301690405,0.0030161508243079535,0.006872897636654713,0.004411865022641905,0.0057142380402781055,0.005725727747421077,0.007972055944208455
IN-27,0.0,0.0,0.0,0.0,0.0,0.008555645849504792,0.0,0.0,0.0,0.003432292395986924,0.005768790044732837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018144826613590232,0.002224668547237029,0.0,0.0,0.0,0.0,0.0,0.002249916012527457,0.0,0.0,0.0,0.002816498121412523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011158293366899251
IN-3,0.0016085437753409835,0.0,0.0,0.0,0.0,0.0,0.003028194080422168,0.0,0.0,0.0,0.0,0.0,0.005083392873879896,0.0,0.0,0.0,0.0,0.005647258627686448,0.001956942396588238,0.0,0.0,0.0059921494931028324,0.0,0.0069834556874630626,0.006978395126014868,0.0033924572299553948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
