bin,ERR598948,ERR598957,ERR598962,ERR599007,ERR599014,ERR599042,ERR599079,ERR599168
SP-1,2.6725650861019263e-06,0.0001754231254483996,0.0,0.0,0.0,0.0,0.0,0.0
SP-10,0.0,0.0030136774448360094,0.0,0.0,0.0016479909060548178,0.0,0.0,0.0
SP-104,0.0,0.0013620727089628643,0.0,0.00013523692904041524,0.00047927031687661263,0.0,0.0,0.0
SP-11,0.0,0.0005685100886678244,0.0,0.0008689173808057127,0.002580087186638441,0.0,0.002083103431396041,0.002294220353640951
SP-112,0.00031199847924936157,0.00039089738648471724,0.0,0.0,0.0,0.0,0.00028126580682748297,0.0
SP-118,0.1433200916888988,0.12040256728762834,0.002815290457349039,0.0029726387081960327,0.006476521241798042,0.017854019662062393,0.016334417226876355,0.004061949590176852
SP-119,0.0,0.0,0.0,0.0007025692984947058,0.0005955496862433319,0.0,0.0009952053201056994,0.0009439626506511405
SP-12,0.0,0.00227477855086535,0.0,0.0,0.0,0.0,0.0,0.0
SP-121,0.0,0.0,0.0010029504704745483,0.002131816865140431,0.0017654785286251725,0.0,0.0,0.003342765108943382
SP-123,0.021477467087456723,0.011662151078324634,0.007028077227784629,0.003794984652762645,0.009445472705649735,0.012554738534010203,0.004895096191727997,0.0
SP-125,0.003689189744090319,0.0029205916246612547,0.09148964193956693,0.09598303565911548,0.024932791074477215,0.03583467317691432,0.06459523526571677,0.13495755346983346
SP-126,0.005955024987336553,0.01012221594802422,0.0014873014775194718,0.0046575511620578144,0.013309012188394568,0.0337197837090648,0.011343144334523969,0.0
SP-133,0.030481541156415343,0.07534871278783101,0.03190302514408417,0.03840947854609783,0.036384840113612815,0.024955126485665082,0.0296797858766408,0.00799453872643429
SP-138,0.0,0.0,0.0,0.012712806185528972,0.0,0.012320238173176677,0.0,0.0
SP-140,0.0013808700331538505,0.0,0.0,0.001245363855000019,0.0,0.0,0.0,0.0014751163709768803
SP-144,0.006992999432880918,0.005621715855467489,0.005228772699156635,0.006110258668682244,0.0057268864700991155,0.00785064185412608,0.006740071600527244,0.007303738747494946
SP-149,0.0,0.0,0.0,0.0010208938508783746,0.0008937572501234438,0.003622173607312803,0.0,0.0029867324808003945
SP-15,,0.0,0.0015900876655935037,0.0028848917012387746,0.00632795545348727,0.0,0.0,0.002504910842743737
SP-151,0.0,0.0,0.0,0.0,0.0018677839691079367,0.0,0.0,0.0
SP-158,0.006428778922059993,0.006630800716136657,0.0,0.0,0.0077560282318573075,0.017249177076217554,0.004363004842509955,0.0
SP-159,0.027616910655276463,0.017376417356545937,0.13779837055964703,0.0746942654523731,0.11829611166557584,0.01598021623029291,0.03945239953539133,0.08559705900504871
SP-16,0.005618467102426289,0.026579774510246772,0.019236761689872005,0.009382160897027984,0.007610747973909554,0.0014757647148451695,0.008624276622298439,0.00629132726908682
