bin,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145
ARS-1019,0.007005099419276814,0.002842575693834623,0.0029053463711649643,0.006795405761035672,0.006701831492253895
ARS-1032,0.0,0.019564423447230184,0.0,0.0,0.0
ARS-1036,0.0,0.0,0.0,0.0,0.00026954762842456973
ARS-1037,0.012578724972665427,0.0066550740335145206,0.009521170104879103,0.01271389965058678,0.02118873765672269
ARS-104,0.0,0.002860150221734715,0.0,0.0023103478031979746,0.0
ARS-11,0.001867099350464841,0.0,0.000726379790558993,0.0017372175804116498,0.010146255507620569
ARS-112,0.0028602226240643817,0.0022555390188817538,0.0022222519428264334,0.0027569215955378407,0.003386081001246705
ARS-115,0.0,0.006361772991909567,0.005334972448893958,0.0008319757375132707,0.0008582226339700038
ARS-1168,0.0,0.01669816262105056,,0.0,
ARS-1203,0.0,0.0020245920597803694,0.0,0.0,0.0
ARS-13,0.005908050274020871,0.0,0.0,0.004265913588928718,0.0058718965443122564
ARS-1360,0.0,0.00018751242465426952,0.0,0.0,
ARS-14,0.0019427276066283328,0.0,0.0,0.0012555818390807831,0.0007644159378668936
ARS-1419,,0.007768273489391732,0.0,,
ARS-15,0.0,0.0,0.0036491748064443907,0.009974941641703833,0.0
ARS-16,0.0,0.003209697319003661,0.0,0.0,0.0
ARS-17,0.0,0.0019447577152279245,0.0,0.0,0.0
ARS-18,0.004477468927859348,0.021173675466987358,0.16383938130020692,0.006304880603831647,0.04104451449833619
ARS-24,0.0,0.0006769580879157065,0.0,0.0,9.329587124375167e-05
ARS-27,0.0,0.00036503678521049694,0.0,0.0,0.0
ARS-28,0.0,0.0,0.0,3.1773269962507666e-05,0.0
ARS-29,0.0,0.005300840205957678,0.0,0.0,0.0
ARS-3,0.011583834120376288,0.007066572142713509,0.01644856402733042,0.011399838937861352,0.012839085690890241
ARS-31,0.0,0.016794872369218224,0.0,0.0,0.0
ARS-33,0.6612635477619141,0.0,0.0,0.530020331692614,0.0
ARS-34,0.0,0.04006500093223887,0.0,0.0,0.0
ARS-38,0.010637721111997797,0.0,0.0009218976029966282,0.009445582262716154,0.001847618571096878
ARS-4,0.0007897641928340447,0.0,0.0,0.0005083744720735838,0.0
ARS-46,0.0,0.019096633661897136,0.0020844310063156497,0.0,0.0014444907986469692
ARS-5,0.0073127790961132165,0.02197409760375242,0.029404538113451926,0.004047839786967874,0.005461530658455221
ARS-61,0.0,0.01463371188609581,0.0,0.0,0.0
ARS-62,0.01611425836614197,0.015654776984564984,0.0007481080020664515,0.007322877715371336,0.004344293582375704
ARS-63,0.0,0.0,0.0,0.01667517792464845,0.008938917137927818
ARS-7,0.005901749403406058,0.04409609609522961,0.0043679297843451596,0.002604756893926589,0.008039719964139774
ARS-70,,0.0003267997103185547,0.0,0.0,0.0
ARS-71,0.004001097677737376,0.0015541623224439992,0.004241910647563136,0.0034700076992219314,0.0031278991286502688
ARS-73,,0.009942178611994099,,,
ARS-81,0.0,0.01750337962835928,0.0,0.0,0.0
ARS-95,0.0,0.0033325810601318533,0.0,0.0,0.0
