bin,ERR594327,ERR594330,ERR594334,ERR598966,ERR599102,ERR599143,ERR599158,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145,ERR594290,ERR594312,ERR594345,ERR594346,ERR599031,ERR599037,ERR599062,ERR599109,ERR599167,ERR599172
ARS-1,0.08017852743597986,0.03682782509577387,0.11483063880838375,0.09912428373690824,0.09539785766526586,0.09796163476198104,0.09515322410952122,0.0923467521393175,0.05569118915496941,0.09932676501789081,0.09387115660820385,0.10310408002993052,0.055406028135166194,0.05028182473891343,0.05476567846056692,0.05404967854805162,0.05374211965659767,0.05740734873746498,0.05324161054361932,0.057234280512915,0.05708000849534719,0.0574708403134633
ARS-100,0.01495628370358958,0.028085637654199958,0.025895078618730513,0.02637716909331989,0.027007585878235,0.02633819572500059,0.026504592053603504,0.02348073315448213,0.026807961132305602,0.027108929667350262,0.01964019421533075,0.020005246461399537,0.02548713203691946,0.0,0.024269947787487346,0.0,0.018554423336552578,0.0,0.014836771582646345,0.045406400075789916,0.029850240707498307,0.0
ARS-1004,0.06203565619067713,0.06375250948818813,0.06272402770801072,0.05952230816465808,0.04937435491622411,0.05912341599234923,0.051457948910057755,0.034314020134915475,0.06181270558076179,0.061016772681496904,0.037591844690590744,0.05359164712414868,0.09801593832343831,0.07370951240520764,0.0698400061560178,0.08028932387209997,0.043301442977484124,0.05191953812379835,0.07250802616620312,0.15485454873605534,0.03513832655582179,0.29137306270999364
ARS-1009,0.07276746746005396,0.10488719356267842,0.06643549001128653,0.09528195059334767,0.095480349748952,0.09273450899184213,0.09496337536053505,0.09411759686892823,0.09532815857545615,0.09240393669922688,0.09502909688138572,0.09604820583965058,0.09539084780156405,0.07536287945035942,0.0945262953517216,0.11554007249126937,0.12327990536457625,0.09356877277287828,0.09688383372106128,0.09391583564175632,0.06106734824590315,0.09927138770562434
ARS-1012,0.05023182256710296,0.03764030409620809,0.04966818619393293,0.04674955252201702,0.04700085807822152,0.04643028946143908,0.04742236468547118,0.04447036648484539,0.04783000246334479,0.04702090821905156,0.045845365921925556,0.04608074508290504,0.029493872680639837,0.06199230688515809,0.03297310973561714,0.03687477225296523,0.026301451889668433,0.057626084026212984,0.040257393833079316,0.06073288852549334,0.04324500102560913,0.021219982187718638
ARS-1018,0.011454903306651424,0.005527886728877626,0.0,0.022685377093724896,0.008454531122184798,0.009544115213880964,0.0,0.0,0.010496419366656488,0.011797849072609801,0.010447515016114566,0.00518676114150232,0.014628820678962429,0.013170369477928186,0.01448937077592826,0.013207893042407277,0.011606123562689691,0.008436105489732348,0.013222451651498941,0.004817066099043468,0.007840809618432889,0.0110785333305102
ARS-1019,0.07974903975272925,0.03291848920804573,0.06206053714985374,0.10773794013601011,0.10506402696353527,0.10891008429453351,0.10257114338503025,0.09559278564001289,0.10805688527496436,0.11138094650095047,0.09527624541518466,0.10648111675030261,0.10486570640159401,0.09111174481976429,0.09153307812877762,0.11536274937703014,0.1311441089793761,0.12028411016572747,0.1343114613271333,0.09142709342461386,0.10279911617186896,0.13846350287669118
ARS-102,0.0,0.0,0.0,0.0,0.04732074162315919,0.0,0.0,0.0,0.02992039865847043,0.0,0.0,0.0,0.030266496670735374,0.028322529476022443,0.03176283219516128,0.030803085192623123,0.032532439075820305,0.03151305906172251,0.03128229110993417,0.03151546104744373,0.03177695765643105,0.030428904013103397
ARS-1030,0.03714643868233036,0.01992243187429279,0.04263497796977083,0.04647835612115238,0.04393726478410891,0.04350698655805291,0.043793762798402705,0.0436936793095097,0.043628276317350764,0.04430794796557196,0.04305732640152127,0.04387652846997287,0.07510610696757912,0.07110874464582259,0.09324958134809593,0.06020160980472952,0.15105813433105467,0.19040174250741093,0.1714318695942117,0.16430093146908742,0.1543036211326715,0.17614748230234292
ARS-1032,0.07349530805225375,0.0,0.0,0.2696209070258032,0.06391589006085882,0.2055822017473791,0.17528929357499445,0.09663521940230853,0.031637807366190186,0.14035726381350205,0.14427707373519907,0.10348407260837754,0.03765851675290929,0.037521726980532875,0.03839871425029857,0.04021822084436594,0.034846942515102765,0.03482409297823721,0.03572496826819328,0.035950295229241716,0.03545322985769859,0.03468350431041219
