bin,ERR598984,ERR599006,ERR599009,ERR599010,ERR599022,ERR599035,ERR599105,ERR599126,ERR599129,ERR599171,ERR599174,ERR599017,ERR599027,ERR599040,ERR599046,ERR599056,ERR599101,ERR599103,ERR599122,ERR599133,ERR599137,ERR599148,ERR598947,ERR599000,ERR599005,ERR599044,ERR599048,ERR599124,ERR599131,ERR599149,ERR599154,ERR599159,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1,0.05071710325431046,0.059853225552028134,0.055672845352788984,0.05341067503978681,0.05797087139989889,0.06077548791258189,0.050288517378219315,0.05214047445109729,0.058470465193755254,0.06044767053660174,0.05811429024384656,0.05994037468148425,0.06534683513298523,0.05431560087545104,0.055525797365036614,0.06555222489016548,0.05687808591751723,0.06606845829710968,0.05882981525804411,0.059114232508902166,0.057688631581422206,0.05291922804693063,0.05735516045429478,0.05500981456579263,0.05798196263698181,0.05482322348557317,0.05405279874340356,0.053484727848570286,0.05387094043718644,0.0530995365557427,0.0,0.056616398256359106,0.06449840101734071,0.07674302384481498,0.059687914874078055,0.06423208124438705,0.05754094882795516,0.06326471477178108,0.05699527369920206,0.05753966512399477,0.06091034680315226,0.05800958037410097,0.061798304499743266,0.060153362387760353,0.06417691705497945,0.06114992671662638,0.07188456953373935,0.06527652860228839,0.06319921122120971
SAT-10,0.03413392394691362,0.029939914804319977,0.0,0.01609402418143458,0.032593853948171894,0.0,0.034124291839233684,0.015125553757868632,0.03622663518652236,0.035151857200370736,0.0401718564968598,0.03755354951247478,0.0,0.04499908699042338,0.04435725234001672,0.03621722971778832,0.04447439547509304,0.04018413823511519,0.00013266172203295874,0.043553492379263675,0.04063535512064071,0.04446365408232388,0.003301132256032818,0.003936370507875969,0.032210792999591994,0.0006689541991592334,0.03021078723225415,0.011335626962484748,0.0,0.0,0.0,0.013391737095973117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027828648145376417,0.0,0.0004465577156844242,0.011072068680877609,0.0,0.0,0.0,0.0
SAT-101,0.09778638450274509,0.08267847797290538,0.13057870810880176,0.08841027272545732,0.07067460359597112,0.1424446463531846,0.1065527554553186,0.09292538990841548,0.09633428651972605,0.10070584759368743,0.09614861674320012,0.09503196946388912,0.10923656890075441,0.09870090562121844,0.06713628376574048,0.09673282042119052,0.0703743364688096,0.09726104140969627,0.11157154728197481,0.10660686319470727,0.1042709008240879,0.10081033699385497,0.09380575084704666,0.104376908013672,0.09160435303483733,0.10006828953317753,0.09106449018314072,0.09189312568073967,0.09555722702378,0.10198644858781516,0.0,0.09261593955325974,0.0999807811764207,0.10482699217367807,0.10085188297487792,0.10347440618807276,0.10692688810084498,0.1087204026425261,0.10100289657657449,0.10102039449806087,0.1027619073287186,0.1004555129760247,0.10391854549166689,0.10525500893686962,0.09698673580764064,0.10155472808157041,0.10267828364270004,0.09957733933153659,0.10281011174280004
SAT-103,0.07275318073385946,0.057117081929921376,0.0674533710604418,0.05360220830154287,0.055766503854167634,0.05821837374129886,0.07363237768647438,0.06489688671551279,0.1494059368795948,0.1342301209200973,0.12743112175677943,0.1773873853297407,0.06695742514677042,0.09034493590833068,0.053623134185292236,0.14658378955401216,0.0574625458403986,0.17268307176567643,0.07225833091948611,0.18838225371249018,0.20766298824107857,0.07500241838030249,0.1730253718536106,0.05019243569671227,0.08195701886305692,0.057063603462449076,0.0484063461044857,0.05582931360319721,0.16136380369472741,0.012025733943167555,0.0,0.05734733892758401,0.0,0.0,0.14019606805781315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16152064644585737,0.0,0.0,0.0,0.13248804618229143,0.0,0.0
SAT-104,0.12168715568311705,0.06808717487202007,0.07557541852322511,0.15010089501757914,0.032929681057207234,0.07573769115391124,0.08663257979237388,0.1682289560732887,0.038369081958005626,0.05139748069792441,0.05981325145364063,0.06431720194105213,0.06499516012092928,0.10978136586918597,0.11680191208560883,0.06315479833551045,0.08509468514811691,0.014794172250606119,0.07367397869049833,0.08003549500110818,0.046407614254628346,0.05833060154881484,0.06250632895964324,0.10879333446612413,0.0903667907480575,0.08836847700657212,0.09275810168184034,0.025027571907703872,0.06516657139043101,0.06632313935832745,0.0,0.10097920248145921,0.1019152581325148,0.17406946873476078,0.10418182898181932,0.1247553524858593,0.09899453299980239,0.11027226811602575,0.11607590902550531,0.20791488573024167,0.1382360009148531,0.14135361656439246,0.14587616833749867,0.17801750388618173,0.12973104124146106,0.1732745850248527,0.14403980814190057,0.11311931792214915,0.1661557943555831
SAT-105,0.06320145684222875,0.05836344298888981,0.46033936356168753,0.05558870554572975,0.059516226045076906,0.4759182348196816,0.05941077009565883,0.05522852773242394,0.19665755996690587,0.2085321253409241,0.24833357197231812,0.24053185204738534,0.45840084342911275,0.05810330995320327,0.05508724962473289,0.25203787485880236,0.057767986752769264,0.22681524421453375,0.44559556840179976,0.1796274513602402,0.2203624473929733,0.0599564107741567,0.22771401137584804,0.06740799020343938,0.061692104997208216,0.04958948534539772,0.05418372954447654,0.061924970824006116,0.11056107447038911,0.1882827824444512,0.0,0.06281967661814367,0.05250581502557785,0.0,0.1634414371296631,0.5493919417375906,0.0,0.16925260427964378,0.07508353441545877,0.0,0.06297518790645582,0.0,0.06577377212374776,0.0,0.0,0.0,0.0,0.0,0.43465533512618165
SAT-106,0.028061543261869003,0.05689079002465679,0.10078208333269972,0.009875420633381211,0.15465767111893178,0.09139172277771067,0.023835710251096227,0.009448128844784522,0.05053505490309751,0.0389508732273879,0.057075573227391624,0.05848875911084878,0.09762123109213719,0.03061669504004227,0.05684740430179542,0.06021557887593699,0.03783082637339783,0.03708513156204354,0.10351501706681494,0.027692649510202564,0.0,0.04457232336128925,0.018712261114632395,0.09316899548919794,0.08241014394159335,0.04516552509485631,0.08497929443977371,0.09238483064808684,0.0563846620187309,0.0,0.0,0.08577111643326467,0.08315503158212807,0.0759727251683845,0.1355629051668931,0.05034776817244725,0.09463109036674063,0.05924938937262113,0.08142836040324455,0.023349061920495694,0.3859690438713213,0.2310263413164565,0.022192407011608482,0.13082116055633763,0.20805675495673845,0.14662917052857824,0.3332932870889673,0.23789175280113184,0.4011253693638928
SAT-107,0.03310483239107996,0.07316464625443109,0.05995972373100797,0.06117455490843614,0.07561285020662735,0.07007907094833356,0.029639154205003047,0.06468392839843373,0.06959575934384567,0.05390096490197535,0.07356457889470011,0.07895661554534839,0.0921360332525881,0.0736914850422514,0.0751762878515982,0.06995793525332658,0.07241876238812586,0.07375059524154795,0.08266982820963596,0.065195234251606,0.07103359791584593,0.07246256090615014,0.1684732456686456,0.08510507600969416,0.030826492124400414,0.103666208120673,0.04253141328077473,0.08364300814104834,0.14495576540479332,0.08894938709388323,0.0,0.07128063475366905,0.0,0.0,0.0,0.0,0.0,0.33354646367223467,0.0,0.0,0.11137712787349267,0.40006423232928523,0.0,0.0,0.0,0.0,0.16679953365266972,0.0,0.0
SAT-108,0.0560636870417807,0.06266627647336093,0.06506444147567421,0.06516049895218293,0.07138091600508847,0.06382949377752467,0.07299617060842552,0.068012291169083,0.06584766643228214,0.06981863586900736,0.07073962819956171,0.05830746504121928,0.05273026579374189,0.06725340810501214,0.04862245422286646,0.049130541626103426,0.06399345047741707,0.02791009412886436,0.06562246226456676,0.05616490563212113,0.05857760682301721,0.07176400253273466,0.05796908202423322,0.06405888730130366,0.06533804886341127,0.062446809922221375,0.0855302851303662,0.07554825644003796,0.06337845086129781,0.05011279640734957,0.0,0.0765480177628734,0.018447406632751594,0.07862760427245273,0.0508183524222633,0.00958527190070396,0.0764028305528119,0.027869624546178782,0.006351869983605682,0.050295922422718777,0.042512264547151714,0.062254063800962635,0.041563001270356656,0.0557937181862022,0.06912106595249709,0.05443496830777876,0.043373790474560366,0.06306734355427268,0.0
SAT-109,0.06593355928529586,0.06792632483489447,0.04523430196504658,0.06846745792727832,0.06542756822963984,0.043459211973288406,0.050136154351472666,0.06258279379587953,0.048908916760721136,0.025764552136693868,0.043671865864943156,0.06044349920194188,0.05421176386609858,0.06294234055357464,0.07845308235380584,0.061686532158701846,0.05464276524880601,0.045866719930684446,0.06769234192186431,0.06692805669613655,0.06521739778280086,0.06392436050043895,0.047455817273668106,0.06642403108125512,0.06185892717611696,0.054869644574617606,0.06371359599059472,0.04823045917299749,0.059057475356294215,0.05800297926940721,0.0,0.055696496885877286,0.05311141146049535,0.05015400219306127,0.049398564256310395,0.055139697804512014,0.05070793562729781,0.04778889583946003,0.05084153630657387,0.04882879457170719,0.057240561271338045,0.05594649000235351,0.058227068122470256,0.048925751846693136,0.054150560153890595,0.054705380370544364,0.07943873174432486,0.08009897755954003,0.042930583702961225
