bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
IN-1,0.017335452132459926,0.06662197571095274,0.0,0.006216216660666269,0.003208593997718241,0.008997806132611393,0.005322123004797177,0.07400847245108162,0.009767049219901439
IN-11,0.003840625362351977,0.010255713480670964,0.0,0.0003439175948984683,0.004138329280721413,0.0362284731225619,0.004653459145151722,0.005007815247984706,0.02419086347090512
IN-12,0.00549022453713003,0.008457806943552278,0.03126500774296366,0.0025752476982546326,0.020700055554247702,0.08015078204917703,0.04038697887897423,0.009369498846453534,0.09306484944222528
IN-13,0.008638000250733722,0.008335947453796837,0.0,0.012572620534801564,0.014689274593289312,0.003550719360888843,0.008073041864216287,0.008194807895021243,0.007192833589813557
IN-15,0.0041575973207829495,0.004015846440503315,0.0024237149758375206,0.0037249824599948035,0.005118314305143225,0.001599171183994363,0.004832371274110843,0.004450308662922865,0.0035825206966991407
IN-16,0.05286367511721632,0.04967273534388198,0.0,0.054196616500528795,0.002348044605327755,0.0,0.049656813075854275,0.0489654255874672,0.0
IN-18,0.11633185733054795,0.11611842986194502,0.04902426354528838,0.06494271335317667,0.03650715613214121,0.032978307085723364,0.11795917868357612,0.12117498086811525,0.03108214331639632
IN-2,0.0,0.0015338271244645539,0.0,0.0,0.0,0.011435884860982546,0.0,0.0008279560479752589,0.02034677255495946
IN-20,0.0022811190153115032,0.002711769107768093,0.0029152265504043345,0.002336564338003755,0.005390748808263182,0.0023753131274590607,0.0018056647187607176,0.0027056581004385244,0.002861150525288099
IN-22,0.001097186492731677,0.0019991287956877555,0.0,0.0,0.0010084153738683143,0.0,0.0002550277954539762,0.0,0.0005506345415387248
IN-23,0.0004980938529689792,0.0,0.0,0.0,0.0,0.0,0.0,0.0005779009778964133,0.0
IN-25,0.014531066453147817,0.015316140929406715,0.0034591751387879053,0.014000220753619574,0.005215827026232878,0.005797230377122053,0.01667055022695721,0.015333785982004567,0.0016825891896419048
IN-27,0.0,0.0,0.0,0.0,0.0011651167354862985,0.0,0.0,0.0,0.0005857177999507402
IN-28,0.0037234162128898705,0.0,0.0,0.008949597900532883,0.0029032248111391327,0.0009282833270817123,0.0039032879850074004,0.018621137452819042,0.0
IN-29,0.3167201640845512,0.13138813048951933,0.2023577293645366,0.2771401341364671,0.22888505312207766,0.05383358276658468,0.05089265100990069,0.1703095012424407,0.05822324395344328
IN-3,0.0,0.0,0.0,0.0,0.00015512074560483503,0.0,0.0,0.0,0.0
IN-32,0.004090417309013286,0.0029616367764882297,0.004172945481575663,0.004187337120226936,0.00413735355379044,0.003309827832630023,0.0057172514450997,0.002994826393667543,0.003424291036170663
IN-40,0.004572922399206919,0.0022692792639152984,0.0406962150881026,0.0007365948897755056,0.04725396288133648,0.01458780137773511,0.00740315560557844,0.0031814518639361224,0.02191502767715845
IN-5,0.0036933723811528258,0.0,0.0,0.012412482834461242,0.0,0.0,0.0,0.0043154115407263854,0.0
IN-6,0.04083793287948004,0.08707636799489632,0.026826415907768207,0.024407159925384468,0.026638086427775928,0.03081504686116116,0.07827142606412278,0.08853793462980966,0.03734205388806579
IN-7,0.0022165091009295423,0.020911680551033793,0.40985032338141103,0.02337954534081158,0.17817169334544627,0.2297394969714631,0.009129252678116444,0.0,0.15603639999093455
IN-8,0.000827390537006302,0.0,0.0,0.0,0.0,0.0,0.0009754123714584106,0.0,0.0
IN-9,0.09542249077679771,0.0957887828881791,0.03303870978008627,0.08695595042544735,0.01874381917201161,0.024725208621790225,0.13237885526219925,0.09327951052143849,0.019902340712362174
IN-912,0.007284720421527827,0.012289632970716398,0.007275494838155154,0.01404952350312525,0.007321898034368874,0.00895502352957744,0.008766035801320153,0.016568218731299916,0.007891431809694094
IN-922,0.0,0.01006126070261446,0.0,0.0,0.003403501531669456,0.0025126703764057827,0.015370181104619676,0.0,0.004580287881079697
IN-928,0.0083264242037259,0.0116928278593831,0.008340553358304102,0.009652895706859089,0.009632409486498293,0.013008967724263885,0.007021971835704087,0.011463016367857836,0.015218342235363256
