bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-1,0.0026686996619718403,0.0,0.0,0.0,0.0,0.004969697652939987,0.0
NAT-10,0.0,0.00040259775142486383,0.0015838899501876582,0.0,0.002418736970289278,0.0,0.0
NAT-111,0.0038374103638753525,0.0009048599349621064,0.001257730273288265,0.0,0.000944563464595117,0.0021911715282801557,0.004889500742739107
NAT-116,0.0008420670595791711,0.006900496900869828,0.005794075787357067,0.007139550666146924,0.010014187197266397,0.009320927005049995,0.0028693453363375786
NAT-121,0.5439976504500672,0.14493428672965758,0.6094409079547489,0.6152085748377369,0.5898088840245767,0.1612090835219256,0.1436695141093721
NAT-125,0.1559533487871289,0.03447742113596251,0.14709120061808356,0.25390445844916204,0.12239311042352276,0.03266733018352494,0.0
NAT-127,0.0035885254930612155,0.0,0.0,0.0024926190507638,0.0,0.0,0.010557330985092131
NAT-129,0.11984955066547445,0.04920425425522452,0.06092202043007667,0.0,0.011974566761985305,0.2993220606895304,0.077580411635434
NAT-133,0.05527163836431243,0.05029543610087145,0.012454859710501415,0.0,0.0,0.01604254888314808,0.0
NAT-134,0.0,0.03091345116280745,0.056508854598276044,0.025028163183628615,0.060990687119686,0.06217464636731382,0.053724765309545695
NAT-15,0.009905549586962416,0.016870263977727038,0.008247018884434007,0.014387179960380105,0.006896073506143813,0.012032873598446774,0.005595334225927442
NAT-157,0.30384355536142554,0.12147452172121635,0.3025385700386931,0.37128104909428217,0.23340319866356024,0.06381141256312294,0.03647682703938779
NAT-16,0.0,0.0034417830978272896,0.0,0.0,0.0011596329324792384,0.0007596317590349688,0.0012361756917994083
NAT-167,0.004229842583608032,0.003018492781607486,0.002075079762338822,0.002248058522453305,0.0026568266944240727,0.0019433199335562484,0.003039544047743896
NAT-169,0.02482088007352291,0.05098343614162587,0.003716407281882642,0.04422071395920055,0.02201204254571459,0.009411251941268338,0.006231623056677573
NAT-17,0.00403058090385936,0.004639152935043225,0.013664092201671816,0.001333304688417286,0.0073206780521477615,0.01083012753261441,0.005734549871291339
NAT-173,0.0009396384740719977,0.0017364903467404341,0.003392397110113699,0.015439433982874923,0.0028794200417182644,0.0009375172253221608,0.00441284129082786
NAT-201,0.004076204019561584,0.006359558491097704,0.0014676723090767392,0.004232576123297937,0.006078353929179818,0.003170860223495383,0.0027185440455014384
NAT-209,0.002238155425399761,0.005944451648173807,0.0010682117321725276,0.004751495626465107,0.004259711321072421,0.004845213389567834,0.00711789541411648
NAT-21,0.002758332240138527,0.040029031114997816,0.010211508593236704,0.006225277813636582,0.003043516982981736,0.02235831727640852,0.01743626574414948
NAT-212,0.03735061348259036,0.028470279101654984,0.05080669406528236,0.06762091854451933,0.031798061254735784,0.04151717757516527,0.19850707618394742
