bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-1,0.0,0.00020994936444056292,0.0008658330305807029,0.00013108175576805313,0.0,0.0,0.0003073820265958443,0.0
CPC-11,0.0031438396759396418,0.017090063258746995,0.005555124621741718,0.013076382592539114,0.004722405147723467,0.004629845883986444,0.013857642750244396,0.006600978103301264
CPC-12,0.036101161150109855,0.14523699592745437,0.15123531020593783,0.14004897170982245,0.018116916101994833,0.025408202803505354,0.11827122791507375,0.009239723790602108
CPC-13,0.0,0.053546029786711774,0.007092309617704895,0.04383598777862502,0.03285348334529471,0.03261491549304154,0.0662271701074233,0.0013695107530580417
CPC-14,0.004099588291708251,0.0,0.0025506717804400373,0.009632802185369764,0.004621665293426227,0.005210871184189779,0.0,0.03004275433258093
CPC-16,0.0,0.0,0.00501898000599459,0.0,0.0,0.0,0.0,
CPC-17,0.0,0.0,0.009995356258684722,0.0013005843677965482,0.0,0.0,0.0,0.0015743510996359552
CPC-19,0.0,0.006077599458745812,0.005417954634790486,0.002578862542203256,0.0004056777672830246,0.0,0.002200286697773528,0.011090525385476809
CPC-2,0.006626824210126777,0.027878046933513614,0.000563277341896954,0.03368443211877295,0.008791612125029413,0.012373717884091025,0.03658431209381165,0.01822702275869973
CPC-21,0.002873934428579547,0.007453117821824786,0.002385139804827093,0.009266501769634925,0.007154835619392911,0.00529963294373418,0.006176921646759828,0.0
CPC-24,0.05106737790006688,0.04947159833631065,0.0146593867350263,0.04190832321314009,0.04455606839282247,0.05210096511190578,0.03526841407175498,0.28017338560244537
CPC-25,0.0,0.13045919586106666,0.031143389602278786,0.10014778828756751,0.025366043969510164,0.034636579000964264,0.10874244584038895,0.0216014493461855
CPC-27,0.0,0.0,0.0005436319488246725,0.0,0.0,0.0,0.0,0.0
CPC-28,0.05927193240825758,0.04024376644205307,0.009117134591125611,0.04769179036002141,0.0667652680841838,0.06338194950704351,0.0452761113214367,0.020529626807525396
CPC-294,0.0014479692606233308,0.007096941552823897,0.007004523728008588,0.006319187742956484,0.004205912262932826,0.005369712670572436,0.006428431991441848,0.02781986788452953
CPC-297,0.0,0.0,5.901319889453149e-05,5.3200751233478994e-05,0.0,0.0,0.0,0.0
CPC-309,0.0,0.0,0.0012158299632475643,0.0,0.0,0.0,0.0,0.0
CPC-310,0.0,0.0,3.532524960915311e-05,0.0,0.0,0.0,0.0,0.0
CPC-316,0.0,0.0,0.00011118561405361819,0.0,0.0,0.0,0.0,0.0
CPC-32,0.0,0.0,0.0,0.022803393834151482,0.0014004025559341334,0.02029125262692678,0.0,0.00465555165965348
CPC-320,0.03902938140725205,0.0,0.0016179198489402863,0.004539331330417877,0.06905025544353403,0.09913304567179364,0.0028195532123298558,0.0
CPC-327,0.0030264761630339793,0.002075365447473495,0.0015236013274116057,0.002809717379531184,0.0037935009497974182,0.004009491303881739,0.002291580424557047,0.07380887109737974
CPC-33,0.6723194581835291,0.873122637807762,0.1461988399335312,0.8297934117047621,0.6235844773616716,0.6013239981590213,0.7903785046548527,0.013967230310235565
CPC-34,0.0,0.0,0.0027667664176219305,0.0,0.0,0.0,0.0,0.0013889425983129435
CPC-38,0.00198547668528299,0.003886309405861928,0.0012557735459288466,0.0033952070638061426,0.002062825974168919,0.002465624493790186,0.004082091965138141,0.0
CPC-39,0.006507554786836929,0.006545237805449183,0.05944743416728981,0.009996825686162919,0.007174718639130521,0.0064850860850776985,0.01138120756257544,0.06049854376302501
CPC-40,0.009322210371367545,0.007938515568931607,0.012474595824627023,0.007179069119624792,0.0045246240144062614,0.00552799948741434,0.004231000629523476,0.013509282422191411
CPC-41,0.0010605981651920062,0.0026274556560886685,0.0,0.00031292737824856144,0.0011822864378313184,0.001079378375749575,0.002597965534452478,0.001835833278068597
CPC-42,0.021506446817903768,0.0,0.0681389931447338,0.0020489546633389146,0.0217878789655206,0.02512993863394241,0.0,0.026510050307471743
CPC-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009761550185627117
CPC-45,0.08873500204578762,0.008953601859858086,0.004047202599179995,0.010036232877064294,0.14021202728798607,0.1487228568158848,0.012077294705445146,0.00484374188513543
CPC-46,0.0006199895470798901,0.0,0.0,0.0007239959379325311,0.000906300864918752,0.0006358112201450034,0.0,0.0
CPC-47,0.021506691986662337,0.00564636861580491,0.0018561485450106028,0.003964835908596645,0.03380806693965697,0.03503761877891542,0.00452705440286446,0.0006232678018913886
CPC-48,0.008828282375222962,0.009323014305676492,0.06905781531938107,0.009318284604178974,0.00880150094305821,0.00891086735996369,0.007475274931764193,0.06977631709208142
CPC-49,0.002275862865560609,0.0012925344120315232,0.0015592382378838117,0.0009367069694460237,0.000815116833963259,0.0010387892833011042,0.0008786316976418171,0.0012253111290977225
CPC-5,0.0,0.0,0.0031591630722092204,0.0,0.0,0.0,0.0,0.0010502175167017066
CPC-53,0.0,0.0,0.0,0.0,0.0,0.0019163257721889076,0.0,0.0
CPC-54,0.017318826371768164,0.0,0.002656982421915426,0.005534765693666199,0.003350299541391063,0.0,0.0,0.0
CPC-58,0.0,0.0,0.0004268220823722842,0.000544172589280838,0.0,0.0,0.0010487651630491513,0.0
CPC-59,0.0,0.0,0.00034878837004657237,0.0,0.0,0.0,0.0,0.0
CPC-6,0.0,0.0,0.03489171981809082,0.0,0.0,0.0,0.0,0.0035261631574075676
CPC-61,0.0,0.0,0.0013724831632786372,0.00015262744255099703,0.0,0.0,0.0,0.0
CPC-62,0.6541258536593728,0.767669982967981,0.008902144282412197,0.7547760662741885,0.6718145328527864,0.6699970691449253,0.6576394871351728,0.03534134686834248
CPC-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008376924965491027
CPC-69,0.4211039578707787,0.009895986308573808,0.01438037217848143,0.04147906414385331,0.26541524221551915,0.3025970171128969,0.03131176744983696,0.0035014638758210583
CPC-7,0.16889657713539663,0.060382219804029226,0.06723049147345826,0.05986475001880931,0.1904554940152221,0.18687503707937164,0.10208788297189647,0.001311298290696007
CPC-71,0.002138128752224996,0.001576801166317726,0.0,0.0022872192695420784,0.002925469591206096,0.0009154861971207649,0.009016276933613199,0.00808893256310673
CPC-72,0.0,0.0,0.00019366362056908365,0.0,0.00073157325464992,0.004118245673355243,0.0,0.0
CPC-75,0.0,0.00044006246200318616,0.0003182213393126137,3.648828042142405e-05,0.0,0.0,0.0,0.0
CPC-79,0.0007038739204102253,0.0006791178402426057,0.0,0.00046281327439677143,0.0006256620887397309,0.0007030341422782251,0.0005243174496182941,0.0
CPC-8,0.041864865474326836,0.01265535484241581,0.03666682617883658,0.01447687897356087,0.0397933226000628,0.034673722028582696,0.014669589230376145,0.005008267825586184
CPC-80,0.007220911932387726,0.012405762136162433,0.006740984680483949,0.0077893447080660694,0.019832972415045124,0.016433663704894366,0.009673857739981388,0.002323585029466897
CPC-81,0.005841175180914905,0.03097669689598515,0.00966959014950113,0.03860110678875295,0.007548311879000916,0.008607417828153146,0.042093548452644965,0.0
CPC-9,0.0,0.0,0.0012933240620477814,0.0,0.0,0.0,0.0,0.0018753142430370327
CPC-95,0.0,0.0,0.0011536094338802374,0.003947420096486631,0.00441792773194073,0.0,0.004489910955997553,0.0018902795323716196
CPC-98,0.0,0.0,0.0,0.0016683937827974226,0.0004593417916272779,0.0026563699648042348,0.004437758364561675,0.05840495542075782
