bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1,0.02908143041634388,0.029054396499408643,0.03386294541805797,0.029907275729045734,0.053111548829178186,0.030236711221186374,0.025824517444010153,0.03712274335879483,0.018157513926133188,0.02180602907712365,0.022945305896618216,0.019130833299543955,0.021594183926227535
NP-10,0.00526767236719748,0.005288418270810141,0.0056549606509240635,0.0017723915108589215,0.0035178882060650494,0.008571016883084223,0.0043441832152409845,0.0030802011676656135,0.0,0.003355592830545887,0.006252422578976979,0.0,0.0
NP-100,0.0011959385813682427,0.0005903129159609724,0.0013105914317031468,0.00196893607389871,0.0,0.002436001736234191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1044,0.0007845367540739399,0.0004346952355100116,0.0008152235869476636,0.0005698473916225137,0.0003566149100732961,0.0002788969300863033,0.0004735970811803795,0.0007001433187063038,0.00039084286872012255,0.0006858958314530987,0.0005921039282236813,0.0007632845233350292,0.00015991926704410247
NP-105,0.0,0.0,0.003137138082586171,0.0,0.0027801804193335095,0.0,0.0,0.0,0.0008214014994296345,0.00014895380706988391,0.0,0.0,0.0
NP-11,0.021933602543517654,0.008929633005260456,0.009746578856417438,0.003682418822467,0.026442092459037076,0.012887726723340862,0.19345032776655813,0.21011182777121928,0.15161337634079333,0.1730239280776418,0.08117591179513999,0.12389261727796688,0.1434249506574248
NP-113,0.027281576859455932,0.052536714411410404,0.16277270538827804,0.09026692274289645,0.19560570860315488,0.1324033418851349,0.09355636072144416,0.014337074233494514,0.13288622576941977,0.12324644727602747,0.014024070978584028,0.1983128391540235,0.0727675038179049
NP-12,0.01945897046122564,0.03096267676409996,0.03516782405819594,0.021017821233653766,0.017729557148421227,0.01997783362592868,0.0005384060157606574,0.013262854688464524,0.002906251278320182,0.005921561060236661,0.00842654743688312,0.0,0.004349652407842651
NP-124,0.0,0.005887884984641397,0.0036596284514859986,0.001945596367757638,0.003870333608023404,0.0003342536850842834,0.0019513643026068768,0.014340964389178939,0.0,0.05173341315969388,0.0,0.012752983536072411,0.014329273387447198
NP-125,0.01639159525193388,0.03379564863628249,0.014362956057188726,0.02110435734669327,0.024115636829389536,0.02074985721460399,0.012248393467173215,0.014926588452003238,0.04191387550203568,0.02317392046096494,0.01677003003883263,0.02431512966508488,0.04416300068550042
NP-127,0.02745416362826996,0.004889885640308092,0.0018566937896260793,0.0012790840019739447,0.07686035977805529,0.011493023863839226,0.022608548625500505,0.001177098289888614,,0.0,0.0,0.0,0.0
NP-13,0.00116448795220726,0.0011450488361296478,0.0014646469159837014,0.0016978668944090305,0.001822934341195111,0.0013980331248248266,0.0025832114941788044,0.006382668271583856,0.014378336807496693,0.06491838625163406,0.03471299539120517,0.010422093780464234,0.03168181211610683
NP-140,0.00982969800350608,0.014534832958997962,0.022039815041237858,0.009158265325047798,0.012042381695727586,0.012959971017869857,0.00924250625671682,0.006945512175842641,0.0,0.011667222998928863,0.004828091810742441,0.0,0.0
NP-1463,0.005839560455872318,0.0,0.0,0.02369045238929978,0.0,0.0,0.08672262954837551,0.0,0.01372117944363832,0.020000576989856026,0.03100352938103457,0.033469984264019315,0.009996486024980992
NP-15,0.024554183038281042,0.02242881891140804,0.022951931619068368,0.01656028885493436,0.02719309669564856,0.02018292017155656,0.03226301145729726,0.02697355106646704,0.031414790461469416,0.022104004577491308,0.03289349145779076,0.0571630940296425,0.033736511705557436
NP-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006713080629866871,0.0,0.0,0.0
NP-151,0.0,0.0022192042248102358,0.0016445352156203728,0.0024492173297542157,0.005791499085510339,0.0,0.000700373819791618,0.0009118205399780897,0.0016441909679082978,0.0031606372594581832,0.0030019188542501542,0.004875092801973148,0.011559864244121336
NP-153,0.0,0.0,0.0,0.0,0.02300138198637571,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-156,0.006186725466769603,0.00469436165189596,0.005847206681589541,0.005968891531725698,0.005145540392115769,0.006792085250534026,0.0030732888074920172,0.003153192683321988,0.007169993608536971,0.006178788601738723,0.006359238976993965,0.007126396169586222,0.008779914086603263
NP-16,0.025201242012963976,0.032760424850778076,0.2199498985405272,0.18200949486980275,0.032567911879155545,0.18552640784958102,0.021019094281409877,0.011320077194869112,0.027753305671729674,0.007222767057207454,0.1641044291668195,0.06189531138728758,0.2770044769085365
NP-2,0.005958450869557118,0.0030986644089871585,0.028434711346328193,0.008133453174993924,0.008724865379705134,0.035726308059581144,0.011682156109483907,0.014643632467068755,0.05315487009644208,0.06296900581296248,0.07008982781363497,0.13569118998077803,0.11187645741682072
NP-25,0.006611343604044862,0.003465473491878063,0.0037434575310918454,0.002312894943287169,0.0026782044090182034,0.004977731955462145,0.0008388201474637862,0.0012810285539419897,0.0,0.0,0.0,0.0,0.0
NP-26,7.117782241843876e-05,0.0001261093531813918,6.039407765777044e-05,0.00012278610940152105,0.00020048623667562863,0.0002548745861686504,9.440901554871064e-05,0.0005104333349215953,0.0,0.0010236970855051388,0.0004488017508632861,0.0,0.0
NP-27,0.025480709813850737,0.04699066003019578,0.023005622135104375,0.021620505764578007,0.057654425668645315,0.033877869522360375,0.07453092833223403,0.039208977709108424,0.5792535029231308,0.2173522836486343,0.29096136515116566,0.6446188218343091,0.49100632975357694
NP-28,0.021421303745550485,0.04709683481412226,0.0050700343428864226,0.006002317704119164,0.005490528368112409,0.20147946155240185,0.025148054891440223,0.03661650710331249,0.18122424810524754,0.05946160759938331,0.014922482054901319,0.07421007793171402,0.020994540081129394
NP-29,0.014487086769323424,0.01184249269614708,0.008443245000600771,0.01331657357710184,0.010303958330989243,0.007553786220435859,0.007188753670380631,0.012441093589960735,0.0,0.0,0.002185383045571385,0.0,0.0
NP-30,0.0,0.0,0.0,0.0021853986477411314,0.0,0.0007812758509801159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-32,0.4307623899120907,0.21487982477841985,0.06414828642760285,0.3047213337620138,0.07021714225811711,0.02201363999886227,0.0323161640370394,0.13651639185188846,0.06399840256696336,0.13228549689345978,0.03052342072746973,0.13901963051893662,0.0883561310781911
NP-33,0.016323004836372737,0.018442741996937368,0.010662246132590172,0.011196953351804642,0.01874744853795298,0.009588487419289438,0.003262451919425058,0.004557065963440651,0.0,0.0,0.0,0.0,0.0
NP-34,0.007127911099393657,0.008798899717505516,0.01700468543030749,0.009603308847301992,0.011916967167885989,0.014520764792315937,0.012851850248888025,0.009722151580580499,0.01599402656038776,0.013629312008834502,0.031508743714617385,0.08116929015363333,0.018440072313029483
NP-36,0.0,0.0,0.0,0.0,0.0007501184343402624,0.0158706555112057,0.0,0.0,0.0,0.0,0.0,0.0065531100532895134,0.0
NP-39,0.0969877417387349,0.12018786399946803,0.15036793805448279,0.14201412879040826,0.17635978716374903,0.16649568022817185,0.08411322092437921,0.10036977529437598,0.09743494805600475,0.058655113037151124,0.06316839852025465,0.08024401911629499,0.0805396018493329
NP-4,0.08419466606944646,0.009107018524610433,0.0020338164898275465,0.015417148028749505,0.01580627720457468,0.015657012330930385,0.013060852063409541,0.008708213386331466,0.24461555321047737,0.025725084760451104,0.16116440726393702,0.006141669249941152,0.0
NP-40,0.008442094361843039,0.02268534520347037,0.01098586462102501,0.022743317233764482,0.0062999860903098556,0.005398715711258279,0.014662811123883599,0.036330025539621585,0.0,0.0,0.0,0.034114029126643824,0.0
NP-41,0.0,0.0,0.0003800124171616453,0.0008696326719704647,0.0,0.0016826369837206019,0.0,0.0,0.0020044403546709156,0.0009294224119773795,0.002177689982321847,0.0,0.0
NP-42,0.0,0.0,0.0,4.1258598258138704e-05,0.0,0.0,0.00034404211413617054,0.00028094906607635403,0.0,0.0001221005711861259,2.6472134624521217e-05,0.0,0.0
NP-43,0.014770351311979128,0.025658812854106844,0.038686963031833846,0.018880866266319605,0.01875684340943562,0.03086372152803342,0.0982319406013856,0.0612489893910924,0.10908738344953971,0.14388268984224553,0.14015496526025414,0.27491532472376334,0.20992468622349414
NP-44,0.04868329058655239,0.01689390233226506,0.010723130110935656,0.007893805226311126,0.07384078976136428,0.02024879984885712,0.0012089773534216734,0.0014332744975653067,0.0,0.008589374334859798,0.005602604388393819,0.0,0.003215931206128176
NP-45,0.024790509730613825,0.01567973960197393,0.029115719290265383,0.004437642295127998,0.13178635608131334,0.05996981901532103,0.08103313547555158,0.002518002141005513,0.2067389289774114,0.057085327530150436,0.08365028663521902,0.32678801991178197,0.18117769912639756
NP-49,0.0,0.0012944718370705992,0.006422337636526911,0.0041321062664269785,0.009011435008795999,0.006720433972962271,0.015097994629975079,0.015166746677766688,0.0,0.013472078806156163,0.0,0.0,0.0
NP-5,0.445172405722535,0.45867506975007244,0.06036991118345912,0.44984207752036065,0.29987645321328704,0.07249303681775239,0.04375367486234725,0.33040248282182133,0.0,0.0,0.0,0.0,
NP-56,0.004800076299784356,0.016200338036364656,0.0077226824284804515,0.009790964595706067,0.004007845550970836,0.005853061118997808,0.0015495020489490004,0.0026165357650521854,0.0,0.0,0.0,0.0,0.0
NP-59,0.031093073342056743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-6,0.004577109940891245,0.003586019430251787,0.0010120415424648137,0.0014450184261556678,0.0009093546475916038,0.0009222637678555569,0.0018043297754305834,0.0020645773142787807,0.009710825790954601,0.004240351534437357,0.0,0.004883748903158077,0.0
NP-69,0.0,0.0030237977702757724,0.0,0.0,0.0,0.0,2.2903445188100943e-05,0.005828883638974448,0.004816084170841572,0.07832656602709998,0.043347005794721026,0.013775902975644534,0.10799339419702483
NP-7,0.0004486555905031112,0.00022459984646774664,0.00021343801631147538,0.0001996840914182372,0.001068341184836783,0.0002661842757555819,0.0003139257474118087,0.0004507396898322399,0.0,0.001170264955709225,0.0005340960358516888,0.006332434175693326,0.0
NP-72,0.0,0.0,0.0,0.0031468060511372084,0.0,0.0,0.0,0.0,0.0010031518470990284,0.001188316328312469,0.0012104573616851487,0.0025458731032497583,0.0025331719226287567
NP-8,0.0,0.03023030385701478,0.0,0.00019938978979816164,0.0,0.0,0.03592098102521748,0.006208208370398865,0.0,0.0,0.0033037039844444733,0.0,0.0
