bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-1001,0.006328991337203158,0.007471832974219399,0.0068556655481452405,0.0019358385850587205,0.00634598378407823,0.0070427762391691556,0.007045033125295532,0.007221547339983355,0.0,0.0,0.004975417921639989,0.007230032366157059,0.0036258992356792918,0.007592152365492731,0.005657369876890052,0.0034081289762324884,0.0034963005971110138,0.006584886629472898,0.006101761491025872,0.007294748731971787,0.007148453409241703,0.008134720756076661,0.008052394732206874,0.0,0.0,0.0,0.0,0.00768963611948535,0.007406628974716356,0.005499129377976466,0.004240017874804246
MED-1008,0.0011094435623199496,0.0008049448786826334,0.0008565516366636363,0.00017561338278048293,0.0007686068835495068,0.0012860857092165843,0.0009577540715992248,0.001244767345347783,0.0,0.0,0.0007193913784956516,0.0008039577934259357,0.0010464296587738217,0.0019964181005640512,0.00098085687281433,0.0007607652883397726,0.001138318404124294,0.0008567872208632926,0.0,0.0008704368360999817,0.0,0.0011053051566596143,0.0013651191903828923,0.0,0.0,0.0,0.0,0.0015410333989219849,0.0021284699497329715,8.554002236587381e-05,0.0
MED-1017,0.0009721430632945774,0.001429407588378752,0.0019757917159513787,0.0010078877034334019,0.0014926054487069556,0.000898020731772221,0.0013181267566962057,0.0018410081911933033,0.0,0.000294677629600437,0.0012415854650183293,0.0,0.0012900959883387379,0.0,0.0005832399932771217,0.0012737591527288718,0.001357053963391398,0.0035602818821273,0.002560243356358343,0.0018216482538787862,0.0074824759879340424,0.0,0.007980872587984257,0.0,0.0,0.0,0.0,0.0,0.0,0.0016415061325527566,0.0
MED-104,0.0033557617481545913,0.0045967726260913505,0.004655414662707665,0.004999960440810063,0.0021388148115435096,0.004144501112668857,0.004273582225897658,0.004437978002711263,0.0,0.0,0.00442954748889733,0.006214122392141754,0.004011790823475671,0.006291009802889944,0.0031553627978900827,0.0053344140805692405,0.005055996035222135,0.004884991861646291,0.004523245172437604,0.0047236616011525935,0.0053158830518220054,0.00614044749142342,0.006503418678163292,0.00011008045538850177,0.0,0.0,0.0,0.006504681736753142,0.006660638133977926,0.005712018238633117,0.005671863449175832
MED-1076,0.01338200154171445,0.0,0.0019671947315441233,0.0022192880222498055,0.0024788422340151694,0.014196136893036553,0.009015878195718972,0.01351426732552699,0.0,0.0,0.0,0.012265558688831682,0.0013334468375825227,0.012100161765881095,0.0022575418208689683,0.004920039154138609,0.005509749866092802,0.005384516376704499,0.0,0.0019212613317337347,0.003005690254660861,0.012783908427391633,0.013329417648082521,0.0,0.0,0.0,0.0,0.011980460658739386,0.012347845772865816,0.0030601135933159937,0.015014399585664698
MED-1093,0.05190776970096307,0.0032026022159108336,0.005178416294213383,0.003655949287917896,0.05527500447750414,0.03869227810951156,0.027480296022363293,0.02374189806986685,0.13510602161821716,0.06442491908986811,0.02177494530825976,0.0037482323789117364,0.02525719567744704,0.004956038398779544,0.011058753486342448,0.003996239048559605,0.0037316277119231827,0.021399464551612027,0.0076830874649523465,0.019333730950528222,0.03704938994353527,0.003972549201657057,0.0037563118285315134,0.013205607129251404,0.004403787121393386,0.09648914395401048,0.0,0.003925836757349514,0.003897774862838964,0.00371604702781287,0.003145364153786571
MED-1094,0.06640015902088997,0.016061364369162008,0.01267763303271299,0.00589320170970989,0.010947258178545128,0.07034289183456192,0.023020262723292387,0.05492312549907706,0.0,0.0,0.009578885415194312,0.0128800367312844,0.008663488426256869,0.011397764826461522,0.07827987755532272,0.15921442133265562,0.19988538273331583,0.0087649893060734,0.00876415176645733,0.00851380856916966,0.010678779620053444,0.07943646892100563,0.053809971036405176,0.0,0.0,0.0,0.0,0.01317595890895484,0.013473689191614619,0.19652405599240122,0.2062574073298417
MED-1105,0.009822420317905436,0.00937886097405366,0.011270133647008802,0.030437577903666052,0.008107106624399184,0.0070925717677675654,0.013847060102214797,0.016459807072486385,0.0,0.0,0.011764568052596692,0.009258878695405318,0.010614374398691336,0.009404169428807816,0.009350503927104818,0.009953059513460193,0.009679772291596268,0.008267327104863241,0.005223141031521459,0.008440712508233479,0.005777831268050617,0.010303649253665757,0.009984825086838199,0.0,0.0,0.0,0.0,0.0082233048701509,0.009138006818880643,0.009630055327442115,0.009456003502115612
MED-1116,0.0005249228849345274,0.0015300604148615836,0.0011416491367842849,0.0023851320799482237,0.0025023924985433095,0.0018423980498996342,0.0017765971931989102,0.0015623180656314237,0.004586945790996308,0.0,0.0019710389944091514,0.0024082673398563865,0.0015988808165511895,0.00245855567883922,0.0006307342422912001,0.0005037593338925239,0.0016889184723016557,0.0032857660171573804,0.0046837912936491715,0.0029296564560358004,0.0035787714415313793,0.0,7.098515685556055e-05,0.0,0.0,0.0,0.0,0.0018067506525688722,0.002313387511182605,0.001366169527018303,0.0014462220234083246
MED-1122,0.025602887911522418,0.019024992355959787,0.03339422606018277,0.0,0.005982325634392416,0.024679955539381876,0.016724468709559837,0.021393493610497524,0.0,0.0,0.026000576694946608,0.025268763965942808,0.024381181407548115,0.026592397747566693,0.0257128038627454,0.025627129881134487,0.023911024375619195,0.0,0.0,0.0,0.0,0.02880222051139203,0.02475664542432402,0.0,0.0,0.0,0.015527375503307605,0.025606094822648733,0.025696879827272437,0.030593384939021882,0.022837147801889158
