bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120,ERR598948,ERR598957,ERR598962,ERR599007,ERR599014,ERR599042,ERR599079,ERR599168,ERR598999,ERR599020,ERR599033,ERR599055,ERR599071,ERR599072,ERR599083,ERR599085,ERR599096,ERR599128,ERR599132,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-1,0.0,0.011502492285913338,0.002514083424959865,0.012883387272930456,0.012452665370397275,0.0,0.0,0.01465363885198491,0.01726095038195328,0.0,0.0035487058430234125,0.004437243693430134,0.022787582481769385,0.024766559800331434,0.0,0.013274352719794213,0.006266997991647483,0.014514126798776533,0.016546806410763948,0.014683032642531069,0.0178293027334108,0.013780976008460321,0.018520609185507436,0.014705735656535707,0.01885399390622162,0.0166813507507037,0.0,0.0,0.0,0.0,0.0,0.0
SP-10,0.0,0.07353015997349253,0.033971233799395345,0.07257129428957886,0.0732169382534025,0.0,0.0,0.0,0.05476352938745638,0.0,0.04678567266269407,0.0735001341799785,0.0,0.0,0.0,0.06970607705067278,0.0636705724493015,0.048347108643042015,0.03778328798469227,0.012991519245779041,0.0684171915341447,0.016782883953725042,0.0,0.04649746754600913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP-101,0.03878097867688307,0.012319260328974771,0.04887258589980928,0.15506977411517917,0.12853410434718093,0.012368194316078655,0.011711616581905636,0.12324797229993262,0.015062706050760318,0.05138954903230228,0.09959264592274701,0.12024870729277401,0.035936400676709314,0.016214751544923467,0.0869819518865497,0.21321455198661504,0.13272184761369915,0.1998748306144001,0.26510996539295784,0.015882631562797137,0.026926705200215215,0.1763560571356907,0.06452491045765538,0.1671791469453235,0.3252618617658721,0.22563954358570718,0.0,0.0,1.0,0.0,0.0,0.0
SP-102,0.01629793594715942,0.013538570855997757,0.01609422859385685,0.018384396306990992,0.019752071329518794,0.013506120308145974,0.010263708334556245,0.018695495447701986,0.0067179184310429095,0.016529711159065416,0.017454246325954506,0.013367753744923829,0.029739190732039122,0.0,0.01775799799687855,0.01700363835482837,0.03349823029619477,0.020350888496447145,0.1282393070545633,0.0,0.01627291796888856,0.020178396852248703,0.0,0.0176693028450868,0.0,0.039277027985786334,0.0,0.0,0.0,0.0,0.0,0.0
SP-104,0.041879049660878076,0.0376581964818407,0.0401468632835418,0.040656529909562374,0.03960804947421492,0.041949968762818216,0.03913287424597979,0.05756069592590408,0.039435741278287126,0.03745139128400228,0.04407120210002269,0.04051390781353644,0.05022923120103896,0.03670671411000019,0.036833629338596616,0.04449022399764977,0.036117253192009785,0.052987826958220914,0.044181329665295095,0.03985102939886402,0.055297659217912846,0.05016038196203008,0.033510254482226234,0.04794435264206702,0.03914564713351233,0.04033684822776275,0.017543084028085458,0.10305414572676042,0.040292367164053676,0.0,0.032003172360346326,0.024224421553767573
SP-105,0.0,0.10962195255981337,0.0,0.042403471258921036,0.10069404071176179,0.13859881201400853,0.1733371535001232,0.06313081216698298,0.09409059855008789,0.0,0.1547995064068168,0.0839630060690654,0.07227797066139262,0.09925420259525615,0.09958029748765797,0.044895137098510174,0.34766036176728526,0.04276631641391077,0.4554116834625786,0.17953028617175115,0.12627799809155493,0.04170695619969419,0.2694502796020597,0.043726644346369296,0.40199245308591713,0.27496456847193856,0.14317514736853143,0.029820910895752086,0.049860502198824076,0.2153037599401983,0.364631233511619,0.031427722209310505
SP-107,0.0,0.013259203635847266,0.001966593158291306,0.01708466991736235,0.002317448546820811,0.005042273028006643,0.0,0.015744916028015702,0.01594545571484118,0.0037258285964169493,0.008062691404885964,0.006952086758231657,0.013543564827002948,0.014494523413591621,0.0038182029990537713,0.012171121704185597,0.005121612689860683,0.017924278942705214,0.0,0.0,0.012856019225582691,0.011508759109500513,0.0,0.01765766086429577,0.0,0.0,0.0,0.0,0.0,0.0,0.0675597487971313,0.0
SP-108,0.002363475992599279,0.004428960129198919,0.005420530677439017,0.004694781983185375,0.004449227832402576,0.0,0.0,0.001748128866540149,0.0031418656061100083,0.005343496124269791,0.0043927074917649335,0.004603814384333469,0.0041058769701756755,0.002836293397249581,0.0,0.003435534857272744,0.004498620446333151,0.0034059439821560564,0.007487338988835908,0.0,0.0,0.005505847373387523,0.0,0.005128336587161492,0.0,0.00195629441975385,0.0,0.0,0.0,0.0,0.09135248525400642,0.0
SP-109,0.0,0.0,0.001706651480328093,0.0217674016956761,0.0,0.0,0.0,0.013807511562060646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012883634153212229,0.0,0.0016413452138478671,0.0,0.0,0.0,0.013255632396775666,0.0,0.018594512818062015,0.0,0.040345382714925604,0.0,0.0,0.0,0.0,0.0,0.0
SP-11,0.054694674234340386,0.04899654961876986,0.0398608533224342,0.03830650532443256,0.04164132894533356,0.04483678490590279,0.04766495268337699,0.020560513682056844,0.04389582411760685,0.03273169056411395,0.03429681048975639,0.04171020255870523,0.0452785443907109,0.0491976545155149,0.040532873076343436,0.01823404752732039,0.030274186759778294,0.023198110653349223,0.030707787878181618,0.03858214523283438,0.032915562056656966,0.02858627207333814,0.045152443027563,0.0,0.02754537978051778,0.04197036925977937,0.08226700754037611,0.12650724771242397,0.03454721977641467,0.12474135918131876,0.0,0.10991507735678195
SP-110,0.0,0.0,0.004548584055973834,0.0,0.012345390809086133,0.0,0.0,0.027138456653455406,0.010029306218616333,0.0,0.0,0.0,0.0,0.0,0.0,0.019876126563692132,0.0,0.025306365120779627,0.0,0.0,0.024447140990517143,0.019867423146964477,0.0,0.03615918619392175,0.0,0.0,0.0,0.0,0.05733401042076794,0.0,0.0,0.0
SP-112,0.055455217025501234,0.0,0.0,0.01943722493608446,0.043493586338396305,0.03582703021585525,0.06190509514373127,0.038018727318244266,0.03846039480005455,0.0,0.0,0.019930228679735436,0.030155312469055697,0.03898703934825401,0.0,0.03760091501613864,0.03906158382006685,0.03843831820143122,0.0385221076452401,0.037548797819295085,0.037169636672330295,0.0375759772998009,0.0401975029299363,0.0366884447280078,0.04241697142907248,0.03865040816060117,0.04244562407880403,0.040048687727001146,0.03919436857659592,0.04063602737633324,0.03966385271135938,0.035843502953434477
SP-114,0.06146998290152283,0.029054801265486298,0.057228666696365026,0.04071678513634113,0.0532776812891971,0.0,0.0,0.03866106951736525,0.0393240973980851,0.064891442394354,0.061753183088728,0.05279477594183367,0.03589007403490082,0.04074302276126378,0.0656734023572492,0.03996015364497013,0.052319610283919384,0.03895055713878833,0.030283201820115895,0.021927057837333605,0.0046550431779105225,0.038868519208884005,0.0,0.03713820066963797,0.012090014556626252,0.041650232456107675,0.0,0.20805243200873777,0.0442091603275372,0.0,0.0,0.5004665321651727
SP-115,0.0142699678898906,0.0208013946421232,0.0056929220475240416,0.021757002719642808,0.026426226490151,0.04050427062341031,0.03578285031745391,0.014679484265134586,0.019669859022922124,0.011609420494652694,0.02360222792564946,0.020117473322187076,0.020394441678824492,0.018426758717197858,0.03733366627328509,0.012892324368231345,0.023676425051836477,0.013324606827203954,0.0,0.0,0.007930562481077465,0.0026645582090880837,0.0,0.00563998987919317,0.036097574366023684,0.01001029484676917,0.0,0.0,0.0,0.0,0.053673156464752264,0.0
SP-118,0.023640187939572073,0.020672716964923,0.022454456888074792,0.021848520203218005,0.020660543505545186,0.021909028899295784,0.021222164819646554,0.01369449322509693,0.0047048944606974796,0.021292554197583836,0.021367560629101542,0.01834734407430713,0.012315954224331056,0.017170545085379258,0.02105613617140902,0.0022439691142180467,0.019616266368758982,0.006874374244189048,0.021825665848094436,0.019470402097504114,0.012568991434688884,0.007410069954331862,0.012871682663588341,0.006638568353796163,0.031556669022993644,0.020640292208806768,0.0026591086077308,0.007568262005996534,0.002089920680346394,0.006424067563411638,0.00156428841476981,0.0009650309689095676
SP-119,0.024217477589445112,0.0214508050793975,0.02358474353442351,0.024237819823956397,0.026667202789435972,0.02376943226395573,0.023486590360448725,0.016584889213259006,0.02035151574973039,0.02897217742413905,0.023750161145410894,0.025627101282233042,0.02082134643236404,0.024753410772335515,0.030889772361285123,0.02902915030941906,0.02643923579690413,0.028020158412172216,0.025713784544549836,0.025054830283178675,0.022343214425051564,0.021496201462881746,0.02318972402684183,0.028983780072090518,0.02596682511728882,0.02495353969963604,0.0,0.0,0.0029189246670184594,0.0,0.0026288767101744336,0.008930550651377715
SP-12,0.0,0.030888503055422085,0.0,0.005792892440819983,0.0,0.0,0.0,0.014881905394200892,0.012404441045406613,0.0,0.001385215560842205,0.0008658052033206831,0.037523332919491226,0.00768474702662505,0.0,0.0006604328592232644,0.0006111865076815323,0.0014748671161192858,0.0,0.0006355599745488674,0.0007366271955769475,0.00268802222964835,0.0,0.002751780586996866,0.0013470830205877511,0.000931348781688551,0.0,0.0,0.0,0.0,0.0,0.0
SP-121,0.038505393236595596,0.04123227761545624,0.04314709603826659,0.041746001534856206,0.03742399024341853,0.04192844982070063,0.0409838607544001,0.01337397957672132,0.013225589702870896,0.04352021434670685,0.04345521133152062,0.04285279939362239,0.0049667848139015565,0.02745472607771525,0.046297962647612545,0.006525235436123571,0.008132984246340883,0.01488385534212256,0.03916954575885231,0.02195200992987317,0.018662536017019987,0.0,0.039131989818523935,0.00449401801709811,0.03740622756256883,0.019863119999383654,0.0,0.0,0.0,0.0,0.024604401776170483,0.0
SP-123,0.0,0.0,0.0,0.001581161248069549,0.0,0.0,0.0,0.0018683641419610234,0.0017994268596506443,0.0,0.0,0.0,0.0,0.0,0.0,0.005608814728945663,0.0,0.011454953185649389,0.0,0.0012328753908565392,0.002557890642815761,0.006109122564120601,0.0,0.01107982591917779,0.0,0.0017721347407694467,0.012476559660802786,0.0126996341053462,0.012017216740040824,0.011104828505613853,0.011602684868758942,0.009259682424732468
SP-124,0.0,0.0,0.0,0.005396820021544849,0.0,0.0,0.0,0.009594503089102847,0.015332434370158547,0.0,0.006070446402709829,0.0,0.0,0.0,0.0,0.023868454478317005,0.0,0.016705541589328746,0.0,0.0,0.004377712134460794,0.01004223549011582,0.0,0.011301690185696621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP-125,0.01187978057392738,0.008365913468751955,0.007416679120051456,0.00822912867089775,0.0073631334865213545,0.00892469697918603,0.008948801097033443,0.007836937265165952,0.013921125825988439,0.004343708460794729,0.004212310516095973,0.00793748331748181,0.017752767585023962,0.0,0.0077446985258466695,0.0071521262824181175,0.0104348064992683,0.008844146290645671,0.0237665431132303,0.011627780493416468,0.0075067351803925755,0.006590764826855769,0.01808377198548377,0.00807123370417101,0.010332816691617175,0.014938153293055293,0.009158155483402763,0.008755251727230377,0.004934756019851668,0.013871646502601238,0.011733573992026711,0.006992623932993337
SP-126,0.024158922036359515,0.002678901615038644,0.0,0.007374316238543514,0.006262106948535719,0.004745384449523609,0.0,0.014369157939365364,0.020523293018148123,0.0,0.0,0.001998075613655513,0.01557535241119298,0.016793160787476665,0.0,0.026028725750053352,0.017939284944722172,0.024039007261382986,0.0218163635244653,0.022476338172029903,0.018244307676616646,0.026090192404141718,0.024253790386974998,0.02626291559651725,0.020240980714403688,0.029897329452751205,0.001785386472910496,0.00410747568781359,0.0027086796789581673,0.007478205270302386,0.009013549557438098,0.009893754359764823
SP-127,0.04887435198280021,0.014818343131776662,0.05886995173064336,0.04530699623458189,0.012351851595386735,0.0,0.0,0.04891835017266575,0.05489618572842265,0.07660769987837653,0.08218222972864768,0.021916637722315852,0.04344621565476122,0.04381801262514879,0.07987538260621262,0.0638446689146948,0.02762875652542812,0.0518532234180716,0.034790786476683974,0.06367735707967531,0.05850692579689807,0.04412719153958101,0.028233868906798153,0.05387683617995508,0.03587942836452617,0.030913425315961363,0.0,0.0,0.0,0.0,0.0,0.06706735657787329
SP-128,0.028896443317326263,0.0211360233178134,0.023324431622886294,0.02140411807522189,0.023125117957992918,0.013786399931904217,0.017057708638528908,0.030316385239068946,0.03189128265241549,0.026266009704907743,0.017201138976883284,0.025420007052078954,0.0,0.0,0.009829584508627155,0.02349182203659736,0.0,0.03433961226212799,0.0,0.008953098205722923,0.020788857417393027,0.0263284883654578,0.0,0.018909660659631785,0.0,0.0076562813559803485,0.03285821238245086,0.0,0.03531738304848167,0.0,0.02755966676077389,0.0
SP-13,0.0,0.0029416244015413153,0.0,0.0020471139767940863,0.0015055538064971006,0.0,0.0,0.0,0.002936046023553255,0.0,0.0017670462531615971,0.0034412236680451676,0.0,0.0018229575971402852,0.005479313463514582,0.0,0.0,0.0010244812575935607,0.0,0.0,0.0022900539651940083,0.0,0.0,0.0,0.0,0.0028505639892464217,0.018838190227702292,0.0,3.528526212653801e-05,0.0,0.006000219458535971,0.0
SP-131,0.0,0.010273773329382136,0.014365398372567579,0.00821732216248718,0.003448251013642496,0.010766214467421377,0.0,0.012448826507974606,0.011254680352884348,0.0,0.01213457341488667,0.00903320119020367,0.011556444582389427,0.032606149630905995,0.01886236674278062,0.015745225989644673,0.017237655628023398,0.011624084805669925,0.0,0.01448384504390762,0.013387054371103383,0.01473419265508447,0.020563603904981666,0.013560025653316422,0.030225309878935708,0.00816444981110805,0.015225884329495542,0.0,0.005787204435995357,0.006485023680027246,0.012742470934040843,0.0
SP-133,0.0,0.023135008152580867,0.005856662504670958,0.004422752440570375,0.004048816431155667,0.021746735402512613,0.0,0.006488506653634469,0.003047520168968413,0.06003065754340495,0.0,0.005866849334230523,0.0,0.013169968975403555,0.0,0.0029903676762959366,0.002462633179522566,0.0028154809083385597,0.0,0.0036323595031849433,0.004574468723185446,0.0038306855027764874,0.0,0.0056561666492820845,0.0,0.0,0.0,0.008654944581020589,0.0,0.01480046478210701,0.011253409343726619,0.0054763719856623086
SP-135,0.014698183837215963,0.005319226784096285,0.016472024613481705,0.01730644482619293,0.022776966982068863,0.0093468182478553,0.02271741407842412,0.006665888920110906,0.0,0.020939434929242395,0.028060355806667412,0.01890140785478332,0.01956655118057475,0.012848727010355346,0.02533984498360206,0.013923087485701459,0.0184947142737838,0.02222807391012283,0.027868961468804857,0.0,0.009293815361663373,0.0207378131434411,0.0,0.012925585665176119,0.01975511212477927,0.019048262838702736,0.0,0.0,0.0,0.0,0.0,0.0
SP-136,0.010119741710678495,0.002463481322235457,0.003990905921751651,0.015037589689930643,0.013896618969900477,0.0,0.0,0.018110686194570617,0.026455517741327875,0.002551654660455629,0.00946788219181911,0.024269528330551328,0.0186281148865187,0.017789317443978898,0.018415355981905156,0.013477380146642855,0.021380561137497048,0.022396647756918766,0.0,0.012562325414990978,0.012376501820316134,0.01471634202957878,0.0,0.014214381880393673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP-137,0.012244893803144238,0.004443900393188946,0.011726846869911378,0.013701225752378837,0.019029948490773295,0.008215884300107156,0.004375120705122439,0.0048828477509050075,0.0038745356674144494,0.016640558827404617,0.013552030482423896,0.019990920628695754,0.010465815762711606,0.004166216718169098,0.015683294477214393,0.015604476658738325,0.01583704137198717,0.012231666503573988,0.014269501292860805,0.0014015495931596273,0.0022421631203163018,0.007265472865313024,0.0,0.007947662778965008,0.01007449029737224,0.012993186003865832,0.0,0.0,0.0063528205237880124,0.0,0.0,0.0
SP-138,0.0,0.0,0.0,0.0,0.014134270469544189,0.0,0.0,0.0,0.010185935203313448,0.0,0.0,0.0,0.0,0.0,0.0,0.019599704006128222,0.021229922160626972,0.02060343609661408,0.005883337084613768,0.02174365392159407,0.01976857638556904,0.023381077146610276,0.021769733264141437,0.0218710241820682,0.02447970728945956,0.014568613047988357,0.05477313174867538,0.0,0.03150926579859483,0.07108746889449873,0.0,0.05274098271458706
SP-14,0.0,0.0,0.0,0.015342718177286075,0.0,0.0,0.0,0.03763710570358513,0.02054771560952712,0.0,0.0,0.0,0.02856361585693739,0.03855713209574218,0.028850267598424382,0.03291736057019637,0.006013796014652308,0.03367263443663905,0.023325036680412473,0.01304675497391716,0.02093411192200008,0.01316550305239133,0.011142753861711504,0.03740533735754676,0.03123985193629154,0.01397013246606208,0.0,0.0,0.0,0.0,0.0,0.0
SP-140,0.018960169002391312,0.01763521257590316,0.022414373489426678,0.023340889814523185,0.017554811167249093,0.019928576788867357,0.023728673881594442,0.01450088035106375,0.009164296172160273,0.009573560277137445,0.019007319725026502,0.021546630207426243,0.037734326318984525,0.009930199868272066,0.02119862820382043,0.012872429804443078,0.0,0.008386678438280979,0.017098868903729216,0.024754894381051978,0.005317629241313719,0.01643895508882999,0.011768299255741176,0.012115041971621424,0.028721504589167706,0.016909947153621305,0.0,0.0,0.01621573362661654,0.0,0.004495605454750866,0.0
SP-141,0.0,0.0895883195101617,0.0,0.0,0.0,0.0,0.0,0.0,0.07769504187506189,0.0,0.0,0.03412275369148625,0.04958153167668592,0.032526236953054594,0.0,0.030619903374631982,0.05233532472904377,0.020593352678391668,0.0,0.06373548590123686,0.058723591068595794,0.01910987886582015,0.05048434462006655,0.018424600501180815,0.0,0.021571016116706435,0.0,0.0,0.3344326890950877,0.07143826702565852,0.09569107430992874,0.0
SP-142,0.0,0.19788915996365697,0.0,0.0,0.0,0.0,0.0,0.21056339863239476,0.16833546613190162,0.0,0.0,0.0,0.12214848893493244,0.13801057400679864,0.0,0.0190417393283745,0.022370267092820847,0.025124433139357603,0.023078818250207314,0.024833987162263635,0.022286492672995633,0.018999895507891978,0.025175061892427072,0.01846005195642815,0.021069918387764976,0.01804912145465406,0.0,0.028216113611375784,0.0,0.01567682686222055,0.0,0.028071308161463054
SP-144,0.010024662344785256,0.01459183933587304,0.015009716738999236,0.009661453664598153,0.025757342302977902,0.016117508132633268,0.014209996928042489,0.011006820526267612,0.009939803360168474,0.021054470110522968,0.020852749680162652,0.01905811040812222,0.01997256542376422,0.018952781800152575,0.022319367623209116,0.0065600879983406905,0.015578217082795012,0.004985065332084675,0.014622964133774207,0.018681498245049652,0.007128392985436775,0.005248957939468942,0.021819491432988017,0.0028628772058049644,0.025874043337916337,0.03185527878505145,0.0014179624817196564,0.015644625168642474,1.1128922176750893e-05,0.004829693874795731,0.01133036058326394,0.0032732773428560827
SP-145,0.03443172114546442,0.04434299673039182,0.033690562069644436,0.038541845824648785,0.030561790931726108,0.0,0.0,0.009221130225048507,0.053828001701522764,0.032013912204882485,0.03311117516668079,0.021622353611114514,0.05547883645992667,0.038623002502597745,0.03112029361905784,0.04015529992120724,0.029041577372566473,0.03329643560130637,0.027972612164176035,0.017458062336319753,0.028991246570695663,0.014857972099343227,0.029162405241332203,0.032734440952791044,0.02174040174917921,0.026560071575396853,0.0355884500150694,0.0,0.0,0.08029794348114225,0.011785275098094222,0.0
SP-149,0.013440793177426776,0.03845761569731846,0.017757947463819188,0.036663458274035804,0.03204461003419242,0.03775236128498637,0.04039729245655103,0.002384040170536932,0.023366349836627415,0.015321377804038375,0.018362033323748493,0.03714444803776205,0.05275352146131577,0.023848763729088663,0.023698259911479436,0.02181383089931875,0.04185786988389004,0.018123864103089735,0.04027937893947217,0.04318576518078716,0.02226083792805415,0.016605084979375448,0.04043287107732208,0.005783635100234346,0.03698271424525822,0.036175923595129715,0.043775703192808144,0.04636471645838361,0.03610414905568704,0.042764165943816566,0.02501138826130265,0.033210566391298456
SP-15,0.009657902250312538,0.0089368978593376,0.009624772198843093,0.010255750153452108,0.010283940351930603,0.0,0.0,0.0,0.0,0.008354980204943711,0.00659402451766422,0.007098550770569127,0.0,0.0,0.01086606957947135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP-150,0.013871757959427905,0.029700798607982935,0.02410246751734339,0.0225451796537871,0.025593692462825446,0.02670036318702166,0.02787950830540901,0.022428090946386543,0.02293318115557558,0.0,0.02067163492030332,0.015272218079744916,0.006718025011866759,0.02208677277011171,0.0032479593353896444,0.026052680857838788,0.03255448854192199,0.026702166573329137,0.0,0.025812511010291046,0.02878925008013693,0.02459226907308464,0.03118354385543658,0.022598374946739802,0.04086636448292608,0.012041973159615397,0.0,0.0,0.0,0.0,0.0,0.0
SP-151,0.016471063636013715,0.016207794569447598,0.017870350615812915,0.008692855992064853,0.013628524272766658,0.018363561598638684,0.015783314477174633,0.0,0.013143469164695441,0.007741301427842058,0.009826112792932763,0.021819803618957218,0.006074322469442543,0.01968701234124366,0.012955345965087775,0.0,0.0,0.03457904512323949,0.04563098784065396,0.01583623781941353,0.017853353765799638,0.02137968821603224,0.014681582055142639,0.01703235038608172,0.019945070104388226,0.01440919387970005,0.0,0.0,0.0,0.0,0.0,0.0
SP-154,0.0,0.013899425690464373,0.0029227491001622176,0.01378331537974668,0.010845169555773386,0.0,0.0,0.014988108122028544,0.013520827847265274,0.009723597421886337,0.008769117061911599,0.001679749235881727,0.04376823658793774,0.00448776858267274,0.019972044790532727,0.011503337993584743,0.0,0.01697317195203127,0.0,0.0,0.0,0.013739795177165066,0.0,0.017148072120201835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP-156,0.021140843862112898,0.012328990728239297,0.012454503238213864,0.015470366607370637,0.016025055954070406,0.012869472192467583,0.009801295768701857,0.0,0.0,0.005598359370492477,0.015050904231866408,0.011507164997198319,0.0,0.10729122968970307,0.02055198432694704,0.022227636729156036,0.020915684467020003,0.014265968917013858,0.0,0.012018313440784533,0.0014499759487186668,0.019418612587266872,0.0,0.023435790227210943,0.0,0.004202273593913147,0.0,0.0,0.0,0.0,0.0,0.0
SP-157,0.02310485434941142,0.006877135643040387,0.021838272658265857,0.01820941354484656,0.01130033870456811,0.03101704873735111,0.0,0.018362260450203546,0.0,0.01191800521647087,0.014145322051187044,0.007195479275581594,0.0,0.0,0.01633248673787698,0.03684499858334901,0.02076227557643568,0.019323413496620066,0.017314716913662796,0.0,0.0,0.03072903364804311,0.0,0.014858216789846846,0.02272145696236657,0.025666682260737126,0.0,0.0,0.0,0.0,0.0,0.0
SP-158,0.0,0.008333226658084667,0.0,0.0,0.0,0.0,0.0,0.002955599587139416,0.008019895433492187,0.0,0.0,0.0,0.0,0.0,0.0,0.0017444148193116698,0.009504314437409811,0.0021554565170273745,0.0,0.0010428075813095248,0.006618291704086063,0.0068038436380064874,0.014832377115590904,0.0,0.0,0.0,0.0007968715849759753,0.0017468006977506261,0.004497557224816023,0.00036194598293435307,0.002805343504754854,0.0017886123805164523
SP-159,0.0016265623403222199,0.019421207427270375,0.0,0.014622316254417898,0.0,0.014768936214104486,0.00675603809290842,0.02057795163775454,0.018062173948151107,0.0,0.052361605622868755,0.015260555158041363,0.0,0.009431927641163393,0.0,0.02359963579088675,0.017078270863660407,0.02625352913849946,0.036868578101554465,0.013350725487946294,0.02198058825441833,0.04141078032124928,0.007875360523368723,0.01595580010124054,0.027665284880863495,0.012542188583550886,0.012336760126516168,0.027717438876113526,0.01223857996262068,0.017373779897391205,0.015998615674321245,0.020307208981930377
SP-16,0.005152595349271734,0.01441122016876979,0.013229619819389405,0.013955501360057767,0.014421381593044224,0.012862770436559012,0.01389100773356973,0.022877613554793046,0.019202188587154986,0.018406094447342418,0.015666463533741144,0.013318626763008498,0.015774933920864407,0.021859278599190273,0.010319208101334862,0.01851335309079382,0.024795059683710093,0.018700375578868115,0.008644722180147014,0.017687855781712634,0.02069414029725746,0.018399844612008408,0.014087987581606851,0.017682106063673014,0.008670043612823834,0.01792350843815296,0.029985262970460135,0.03279586302668268,0.03547368193383502,0.02714349525703852,0.021412291790061606,0.01147562586454475
