bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
deep-0045,720585.344315532,225810.60052023095,13946.892231935732,114633.98675891229,85570.34335329289,62394.99298994851,5322597.214216104,387545.7669966472,133912.2012669572
deep-0070,3264649.014401615,375753.6824189005,46850.42066456638,530996.2302750521,251086.13860507347,131998.17776555114,16822460.41630578,634960.0975662357,288580.1395142989
deep-0077,120476.20075808842,28077.79648663749,5991.383746077293,18473.922149734553,33949.27583565633,7864.901650054047,963782.0234322886,45534.8897156992,20642.725917381944
deep-0101,44912.6803114008,29194.33260597758,7154.936756874298,6040.516130294453,43521.86122399157,16001.799103565078,481833.8824591629,46938.999765750115,37512.052802413054
deep-0126,356446.13881634903,68914.76271284935,6318.086217679724,58121.74222502235,39328.15307106762,42918.45031847097,1383131.8950407687,122769.44151920592,90806.37073884926
deep-0165,130707.74136145755,34931.08813636409,18453.023007114098,20422.142930155245,105588.4785586203,57047.19687772374,789300.6645386561,64924.84837925079,130435.80866404534
deep-0166,6594145.644266986,2194826.883729485,2969413.6750602787,1014861.5126907666,17068528.950577803,1416215.112386896,4015582.9242966054,3724585.3712662044,3224433.220191341
deep-0169,187641.31721433296,44646.198742355344,31869.50391221449,27326.4433619119,203273.09243914447,32140.762824816906,633669.5880653153,76747.40142841726,70991.76042141402
deep-0176,2461761.7219428006,290174.9450865716,39135.04761394388,403304.7784327481,214676.25619365004,122558.18100365624,12513365.980280012,491778.5424800309,285770.7830172641
deep-0210,1872235.6738140285,241388.62661727972,29606.659281608903,309163.0766989421,168726.33501329343,79302.06142638907,8429080.403706316,398317.6384577909,164942.14287600853
deep-0241,161475.88861051927,15260.879571854604,1903.4220742705709,27816.752216373352,12051.819713535824,2572.065607296446,922765.0007429657,32376.874887847465,5358.361328751891
deep-0255,145408.21031409924,25052.822679056026,5666.014072611918,22982.775549392503,33418.324265486786,9291.804818421415,798645.8608770956,44594.95308084614,23327.676587177404
deep-0283,3341182.0890272954,419248.4820614706,68392.41734313118,548963.2532483197,374188.0584169947,152996.89218750098,15374021.55878153,707686.8022525356,335577.35811368073
deep-0285,1101016.210558853,201591.45905444483,31419.71178444627,176386.92436772858,189052.59256246744,125167.16024668209,5528936.665706173,343108.8368334276,272184.1584607058
deep-0293,2804617.65200326,366028.88513790496,47672.73891474964,459392.1690366903,263092.75857136364,130891.58491096584,14224700.048821598,611611.8805434866,306201.53672396234
deep-0307,224047.84994378322,46911.38187952198,3778.76488246398,35377.7581302945,21086.13306861625,19100.243076104904,1582978.7764010604,87050.05420009265,43293.10884664721
deep-0314,4802729.178000779,1593330.3335073623,2018552.668962006,744222.7910982369,11558070.64287551,974690.0387647444,5261146.222861029,2731105.4046261,2188177.277528921
deep-0338,5274392.636993705,1750729.2806448836,2331589.9808217697,800462.1622914359,13413344.61789745,1137545.0533643274,1337205.519073394,2998404.0804270795,2633785.6173246237
deep-0351,463002.0336261188,102612.02928397151,20106.710222240235,76856.18250976072,114142.42788956244,69358.94016184227,2243887.965389631,173366.01771873274,152243.065984616
deep-0373,460040.78270101413,173070.25341606172,9417.355931959592,73623.16071001317,56117.9380068998,64824.90990237367,3832571.511814196,289048.42090785434,140113.9588515875
deep-0383,255787.15323174928,57525.9123749984,10439.490310512701,41243.200632077605,63869.31197891823,53321.17605569661,1108619.2480956886,98494.71600371167,115888.24372347923
deep-0399,128714.69918196982,57613.46899976918,2802.7475070205187,21097.32481871995,13484.57042450329,28951.214922224848,1233709.3642866982,100328.38064948577,62011.429863653626
deep-0416,235047.25869642635,84986.18750401211,20874.478088628803,38900.73118387593,118793.28026492038,14255.171149732801,1745540.8279804,143744.17330936113,32805.35041715826
deep-0434,86439.38628046172,17975.233522734212,6547.649171201834,14306.431421492674,34459.68396992337,18573.382546327855,807662.9347125095,34413.94031410182,40605.80584463313
deep-0457,284749.1534546804,113380.5891532453,8406.081016494334,46395.865977946676,52929.65146070095,30255.95109553235,2672479.613151601,191350.89176644816,66937.8689670782
deep-0461,178679.3730113984,105666.33310444972,12304.96430157634,28526.497250663764,67581.29718361198,32216.08208972939,1884259.8505677173,184180.05903377465,82420.79104214755
deep-0466,1989885.800168716,248240.22423857544,35287.60503281905,322823.47559649864,190543.3886583137,110848.13069494462,9622980.711680356,424316.01454339805,238660.45098483955
deep-0478,2848181.3006124594,450870.9403486115,57185.08395921622,454719.68134904595,329519.5891937875,185445.9704573522,14931683.138999008,798087.9185024028,426410.29753534857
deep-0489,7352154.917778547,2432270.6776367715,3332256.643824359,1128868.519403111,19299496.398936644,1498824.5132326747,1894595.0115855227,4121155.7482749247,3467287.4826202244
deep-0505,6769366.720539724,2215110.62675317,3181083.0413512136,1042223.9392947962,18265907.390316002,1416472.2024547313,969900.7690701591,3804747.566669271,3283570.898632328
deep-0509,7010755.326399878,2338422.3953324957,2961802.580389606,1091795.360029961,16870547.72600513,1445545.9287084397,4960547.202589426,3935829.109440092,3293816.888028371
deep-0523,3899249.12833323,1361826.4713065564,2068693.8036848982,613380.8752474264,11855129.390994545,936188.5522757159,933059.9415726775,2338462.607509785,2120973.869515791
deep-0539,9479517.015419358,2536687.896019932,2642794.8710967894,1544293.422893112,14559449.33942707,1728337.8297521514,20545586.419374533,4462512.204919317,3382971.671110234
deep-0553,266389.8274789918,124944.49300909163,9387.784615764715,44242.40043404289,53164.704520084604,52863.87771117573,2879373.0907923654,214993.62440505487,113721.18444012784
deep-0564,1520909.841993022,243880.11366238908,38225.08291125885,249528.87666466145,216488.91301050544,138670.20447891092,7087388.031260449,406019.9475896773,301139.50759433507
deep-0586,392454.0036044429,206944.13631854867,16265.974633573322,63868.51313746011,90607.69528911953,34185.05325326685,3966612.207876921,356022.98791340244,74643.77395636323
deep-0592,4602737.101893899,1648856.8029574049,2131965.732603816,703291.3802116389,12276522.806474317,1039810.1050511509,976424.6204266577,2836718.981648357,2411783.4079838446
deep-0617,603338.2854506903,133606.21840345397,3508.826211659074,98758.5935763192,25383.049512876434,12457.188422389949,3388973.1993308854,224671.12670865565,28525.65047165171
