bin,ERR594327,ERR594330,ERR594334,ERR598966,ERR599102,ERR599143,ERR599158
ARS-1,2936.1079257841093,3651.6451751786544,6125.700212145413,139260.17646572774,401786.41921303,313612.2869076244,115723.07669896398
ARS-100,4450.616312290602,101709.05203780414,103316.71161459683,1855997.5295560758,4360926.648428565,3227922.6013439796,2049957.1740506557
ARS-1004,213683.315788684,186737.164154826,131245.43671432036,1174953.5036903583,2039017.7529701397,2191760.02577567,898762.0991175822
ARS-1009,11015.309615905944,27599.01228021448,38221.5391826063,5025854.853667796,12961455.985277997,9557638.3914683,5707514.171668844
ARS-1012,26969.65301008395,48379.37918822427,55859.98216107032,10123098.148372982,14931310.330564644,17779550.95423892,6949238.71464761
ARS-1018,5865.217706451392,6076.858036068327,2601.1337124915094,1481.0341718704308,4997.267973362498,3520.2654122100935,2177.0054317183817
ARS-1019,31244.76322537666,52045.49461611355,87910.8735948802,2706295.7816579007,8050142.468392016,4828533.21634983,3694667.991431443
ARS-102,134.47251878782689,67.07301014957264,0.0,0.0,2110.4650520101764,43.91470193173455,250.59757073299272
ARS-1030,28114.199386838685,14445.172622903845,11039.044808666655,1893330.5921371342,5123931.277436981,3125525.82235956,2600777.7944241944
ARS-1032,914.5015514337807,1469.582583965032,87.23459573175363,1164.1171486122862,5129.998788653076,1970.714239757907,1144.9868026150136
ARS-1034,84874.53737460927,50248.95360029008,38943.37074014497,3490270.9946269603,15001314.745619945,6445902.052818938,6747758.317782387
ARS-1036,88825.9950057245,18256.579946424587,3472.193079183794,10150.059657751186,14421.48466994268,15260.46005404743,6337.176057479852
ARS-1037,406519.1942714989,163798.46557130234,2614.4313887598732,22897.8741954549,39737.95644634453,41520.84474330455,20084.58832897609
ARS-104,13306.847279310705,19721.068094948405,4498.445462126327,6481.391910685562,16161.455006950393,8709.910399084381,5701.181211487694
ARS-11,2552352.3380388278,968273.9313202853,1727.9809164905657,38058.420299691024,431904.3179542611,71809.0690386958,197410.5667386006
ARS-112,926073.3408852338,556860.9817849935,326440.35144684295,422585.5552359921,247270.1137141647,734597.1355659297,116765.35746927954
ARS-1134,22137.23587109248,118220.2678326656,75671.91079774509,2294828.585164347,11042036.693523081,4358767.493892019,4768230.839503539
ARS-115,35174.74352518021,21271.070987242245,4028.961889465705,3296.1111866814085,46025.97592415069,4891.884103970488,22464.40964355071
ARS-1168,0.0,0.0,0.0,0.0,384.62083157002075,53.20084761378293,43.510681297488546
ARS-117,134.27169240075375,67.13470993117011,184.23631197948632,0.0,223.7743732995792,148.04861953204357,81.74299652499332
ARS-1176,0.0,0.0,0.0,10.648918469217971,121.14739256377555,158.0,0.0
ARS-1199,0.0,0.0,33.61573373676248,362.1180030257186,741.1776246469003,808.4417549167928,198.03328290468986
ARS-120,334.327165510279,0.0,33.617083946980856,207.56234594015984,753.362414208364,331.1993902155259,226.25317256783282
ARS-1203,0.0,0.0,0.0,4180.71600600452,979.6779962414324,1289.7442491205995,1674.6830405058884
ARS-1215,2222.945906988125,3186.283705346016,2296.496101235071,829.0673409770161,11685.006236314488,1075.5459122937007,3120.104747457847
ARS-123,31195.100605219657,30211.790053068496,5620.743552156594,157355.08170420805,617930.9188714519,266196.46485834656,291039.14321616164
ARS-125,33.666666666666664,33.666666666666664,33.56495468277946,1016.282095363901,2478.1784525780604,1171.0405791840456,947.3216858081353
ARS-1279,134.46424546256446,67.14577530176416,0.0,267.52703737376805,712.1877855899228,506.3405779724922,93.28382216726017
ARS-1297,8811.678476418872,477.37300932209905,0.0,147.25094095851006,1731.0392633019192,790.47926820951,201.54303651168897
ARS-13,6627778.96608324,320206.64258011477,2713.3002964809953,820.6257643813366,57074.62015473881,5315.735214555586,25300.52020102443
ARS-1307,0.0,106.33017875920085,0.0,0.0,0.0,0.0,0.0
ARS-1330,0.0,0.0,167.27455953343625,19.28998505231689,650.6115621524392,126.37763007139984,151.31322473377287
ARS-1358,783.1303626997561,259.637822800353,168.0832314169493,0.0,392.6752643674904,0.0,66.90360475767406
ARS-1360,0.0,0.0,0.0,0.0,41.08282828282828,0.0,0.0
ARS-1386,0.0,0.0,0.0,33.44517543859649,687.204042230853,41.280777460087805,33.58186397984886
ARS-14,604052.2777580412,94327.98619750873,45.77321494635591,3126.6131425891235,203009.01881872347,4988.952897186132,86848.62723570787
