bin,ERR598984,ERR599006,ERR599009,ERR599010,ERR599022,ERR599035,ERR599105,ERR599126,ERR599129,ERR599171,ERR599174,ERR599017,ERR599027,ERR599040,ERR599046,ERR599056,ERR599101,ERR599103,ERR599122,ERR599133,ERR599137,ERR599148,ERR598947,ERR599000,ERR599005,ERR599044,ERR599048,ERR599124,ERR599131,ERR599149,ERR599154,ERR599159,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1,0.013102196579108848,0.0092615082420519,0.008412711994449621,0.013469433550175016,0.01026826903782516,0.010568571681458996,0.012897902783017653,0.014109609996901999,0.010888825694979676,0.01023561892359089,0.010463048627300334,0.008728724964325677,0.004608027850978619,0.014371560935127236,0.010649822092994452,0.008620581839080712,0.010884730157516224,0.008883671343206329,0.0049690945649034845,0.01119454028711622,0.012486142130285031,0.013727956130200796,0.010710144087058077,0.013664208317273377,0.013531143338952431,0.012302009202459224,0.014406253132140822,0.010922479081008858,0.010142680095915261,0.013095883125017653,0.0,0.011911261562976876,0.012120853429404724,0.017565327366056132,0.012521623413766897,0.015816925558254886,0.008737437301148003,0.0109631622033795,0.011366800295087716,0.010538920091940412,0.013832877393585331,0.013525671052355125,0.012269025333984912,0.012932489673631234,0.012443279463713021,0.013170049133871658,0.012985521917395245,0.01146585949123472,0.021729746793410925
SAT-10,0.016925460631146756,0.016849828283546153,0.0,0.007095115882286779,0.01730044595184057,0.0,0.018146446335971105,0.007726579798000232,0.019731767456145053,0.017772176571180333,0.018697171468109865,0.017902653977370845,0.0,0.02286109692066689,0.02207465800213494,0.017901954228190794,0.022691069762872444,0.021235851280596768,0.0,0.02255847756931948,0.021630157574083212,0.02249423972616172,0.029038280927798674,0.01300741863347977,0.017538410374620353,0.011711548417213915,0.020906033321050857,0.027822769429726533,0.022323730943800787,0.0,0.0,0.02687168649027012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027828648145376417,0.0,0.00043857357616491525,0.0,0.0,0.0,0.0,0.0
SAT-101,0.06968432002010942,0.06236078099557358,0.031054626355762872,0.06194905524451013,0.058398824890198174,0.03040663612524744,0.07893362708771032,0.06941240238387844,0.06859328499798605,0.07283218376118666,0.07100931216438455,0.06541501645901301,0.026738967567210857,0.07171293333273956,0.047423496513232,0.06712255928553257,0.04554471970379033,0.0783337709222226,0.010504706141978718,0.07229534561113701,0.06792786737348878,0.07211528975006899,0.0685368090910139,0.07266014805261523,0.06523248932173506,0.07275007349451867,0.06387258987099234,0.0642053922242384,0.06771568167571324,0.07513842380009046,0.0,0.06409882120154053,0.07259783729259973,0.07433425024790954,0.07039220409803246,0.07280614994932594,0.07669227322619979,0.07691133418047194,0.070619639306148,0.07171674154172608,0.07183693483340382,0.07160751281850877,0.07202750751566996,0.07287646399292215,0.06770282077373814,0.07242046662476924,0.07529819598859744,0.0661377261106401,0.0641158241939745
SAT-103,0.028738334525478804,0.0232202747949101,0.031651263007911545,0.021794030503899237,0.024175522889658588,0.02750347435634303,0.029046754068665057,0.02495097766321332,0.015124062970622984,0.022069014011707203,0.014929616851391696,0.02825095136947287,0.03260021266492578,0.017630606615029742,0.021241513196748964,0.023243096186256886,0.02317496055745625,0.016448527091629476,0.03179850721500113,0.026494274998201024,0.034906714304504614,0.0071187559963528935,0.010200931953015392,0.0,0.02418068209144765,0.02966372932105887,0.0484063461044857,0.015316749432880592,0.0,0.0,0.0,0.02201430468736083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10246827599400686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-104,0.0011415195279548924,0.0,0.00011469728788776863,0.0,0.0,0.0,0.013519928819260847,0.0,0.0,0.017704857830116785,0.02170068591361045,0.0,0.0,0.029527472965381992,0.005071550514434381,0.0,0.0,0.0,0.0,0.007944374940568147,0.008817298956809312,0.005595057209303695,0.028229771201420287,0.012218442275106248,0.009827629343532476,0.016853203419541055,0.02648992171119782,0.0,0.026157049588355213,0.04418221952883434,0.0,0.003408863054857486,0.005091923565676364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002131404112719566,0.0,0.0,0.0,0.0
SAT-105,0.03412967462328944,0.029153535580535496,0.00444031764781161,0.02341719609760663,0.028780196912476217,0.0,0.03247187354689296,0.024221053446695593,0.08532999475503006,0.09075625613536513,0.06606143605596855,0.07635022720290098,0.0023212857368451766,0.020988140161940734,0.02673533040780951,0.09602412262114254,0.02650429030604515,0.06440553606455544,0.0023898377997102955,0.07270494373807965,0.07740240000011231,0.030723036088879673,0.0,0.017915725347939178,0.03549755261108258,0.019056367898681002,0.023223811911719985,0.03307656434196923,0.0,0.0,0.0,0.02902335291937967,0.021109668442442657,0.0,0.1634414371296631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06577377212374776,0.0,0.0,0.0,0.0,0.0,0.0
SAT-106,0.0,0.0,0.0,0.0,0.0,0.0028688889542715103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003944239054264783,0.0,0.0,0.009941780786981342,0.0,0.0052691908852467596,0.0017646924942441907,0.0031604831807245395,0.0,0.018748670225658307,0.0,0.0,0.0,0.015964342070443373,0.0,0.009020177752539625,0.0,0.0,0.011067716056695286,0.010509790482856699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-107,0.011054151485777113,0.0333791920518448,0.0024300414422615403,0.032145858408893925,0.03514448213350111,0.00432458461533159,0.00789469637030403,0.031990588494071964,0.026549369609471633,0.018137113279749473,0.020277473316987024,0.02557627315690042,0.006242573017212868,0.038818929099806596,0.04222844257002553,0.0185629466891817,0.037261345299079346,0.01922753244689076,0.005374512685091574,0.023213733711708474,0.025737714064134137,0.03682979008678104,0.058730027677016766,0.029105514683575768,0.011515139969815527,0.050011268971882544,0.005086902095507478,0.04475037299510781,0.09955564874620407,0.004193227098768219,0.0,0.03134274559367788,0.0,0.0,0.0,0.0,0.0,0.33354646367223467,0.0,0.0,0.0,0.40006423232928523,0.0,0.0,0.0,0.0,0.16679953365266972,0.0,0.0
SAT-108,0.01205361854430133,0.007444254232079844,0.008991032077509214,0.0006100659485000125,0.003671472064713864,0.009060555453090894,0.01078010909718219,0.005609238117972492,0.016303978146599174,0.021292241599826102,0.028913718340918913,0.021348558215922506,0.007216094473748297,0.014566862160355746,0.008682329167133598,0.01492204789264001,0.018956818381328098,0.01543581872314198,0.0016310553368428088,0.017574347173873555,0.02438341131872671,0.016588622537329904,0.02319265895066969,0.015286204992166031,0.014092108748025434,0.022529990362343107,0.02207690876247145,0.019858977774365474,0.02397782153272969,0.02376877485209993,0.0,0.01579891526935161,0.0005280278629247534,0.003040934275833342,0.0025966861568896362,0.0005322985137750579,0.0010319252646908818,0.0009606363974300747,0.0006355730887615817,0.000963613534656593,0.0015178070833497055,0.0029090115213680646,0.0,0.0,0.006326286397184749,0.005206044627185318,0.0,0.007563935201347588,0.0
SAT-109,0.035280549167411954,0.012530463501674027,0.008907966084131204,0.014476022632697186,0.00843697833202434,0.02339621811431452,0.02862199798906367,0.015606434163855418,0.021984955015775003,0.008400490762417738,0.018176094092067153,0.007535063201565778,0.006932489825696291,0.01277980142997647,0.017736062295066427,0.01317707299060709,0.010067250649313162,0.012403492142433952,0.019566953847228435,0.015494219478234221,0.011550434722075748,0.014969167103340817,0.014491030167083271,0.015228453991151652,0.01779256139064,0.01629746810690044,0.014230325536905557,0.011087485233833029,0.018725403020789188,0.013346652004440948,0.0,0.012529478576935246,0.017001905165241044,0.02184593373638912,0.017528967304988097,0.015527064235485818,0.01768520500644728,0.015527004601395757,0.014577983517662062,0.012246733758568155,0.0177448708824178,0.018329938623116965,0.019179638197806197,0.018931385763081704,0.017637997401285656,0.02004281937471951,0.018895713737942268,0.0234165375606068,0.014574377725193556
