bin,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-1,0.0002959247761149537,0.0002716089615408661,0.00033783095580878125,0.0002985023881229847,0.00031027091950002644,0.0
CPC-11,0.006481965103699507,0.012830856415966785,0.004983360330380691,0.009650706069715203,0.009953316217534784,0.014973890105005385
CPC-12,0.10761060467163916,0.15981149225421423,0.12205870788763143,0.1626321615270111,0.13408115354486924,0.00434151341883215
CPC-13,0.03170281187719608,0.11217156956301555,0.02728408401737711,0.1338386275480886,0.10613193684178193,0.004424966702070809
CPC-14,0.003451815048116799,0.0023200540790552205,0.0030475867457051714,0.005010187343311853,0.002810840334628474,0.18667792292461133
CPC-16,0.0,0.17633333973830495,0.0,0.0,0.0,0.0
CPC-17,0.007264603790335544,0.0018737591369506084,0.005828693085980783,0.0008358286684364147,0.0018203251736654705,0.0004876684818429736
CPC-19,0.006429540643357263,0.0031205505438602742,0.007263709587545099,0.0037052590549388037,0.0025959476314849047,0.009726305017901815
CPC-2,0.015006080474256816,0.0021972135659479265,0.011800765754406035,0.0026210657747250637,0.0026190018479304066,0.008736311303613289
CPC-21,0.004761043056532972,0.0,0.0077637456529633655,0.0008628383510183001,0.003223291560779666,0.0013540185253137131
CPC-24,0.05186903659579018,0.0370901216041664,0.06446967979256885,0.031361599361663106,0.03317293422671312,0.33522938078483433
CPC-25,0.035012733291176164,0.001537008784173491,0.025321732283860456,0.001977783270323322,0.0019639978854816592,0.005654220110058477
CPC-27,0.0,0.0,0.0030813590800865044,0.0,0.0,0.0014871200602218587
CPC-28,0.019541670628796817,0.020327764324637104,0.01882783992402511,0.013075613793580033,0.014257145437617634,0.02968653475831209
CPC-294,0.005162178708926022,0.009964766763301575,0.005116862821047282,0.00993703068324977,0.010001128383445764,0.010343069799651728
CPC-31,0.0,0.0,0.0,0.0,0.0,0.0003249530063969225
CPC-32,0.0008992225976177351,0.0,0.0,0.0032084979820731674,0.001067817306198012,0.003831550464569057
CPC-320,0.003737051952010133,0.0,0.0,0.005878041484913112,0.006531389658451174,0.03234222754108547
CPC-327,0.004183569551098051,0.0029245995127999205,0.005245647063594267,0.002686527417699465,0.002753407425494222,0.0
CPC-33,0.15384830468381933,0.7584027031221218,0.16051721948564113,0.7066489622128312,0.727598569935705,0.012650767872551056
CPC-34,0.0,0.0,0.0,0.0,0.0,0.0014579401254035378
CPC-38,0.005033675557166718,0.002760093797089475,0.0033350179176712277,0.0013511306645357434,0.005255765501829461,0.006581795489850585
CPC-39,0.005584228439959999,0.004300992829502916,0.004559653634567491,0.010954727150920877,0.0020159169792517534,0.017863506382104405
CPC-40,0.008458937635408998,0.00953937849056974,0.008888640871368663,0.009639342364730947,0.008821383884320692,0.021252331251746106
CPC-41,8.351182354046674e-05,0.0,0.0,0.0029232593149823814,0.001288631463726261,0.0
CPC-42,0.0412114828063743,0.02632159574645666,0.040810379069426105,0.025697077552988057,0.035278924959580245,0.014900487642006948
CPC-43,0.00012073049933658761,0.0,0.0,0.0,0.000964609314467008,0.0016346237338830166
CPC-45,0.12336785170141601,0.032244262047586396,0.12169986479885977,0.036879830375446974,0.043732302836482544,0.003230496126847548
CPC-46,0.0006877693279695412,0.002169382503019576,0.00045432818980610745,0.0021142117297455634,0.00039796453125586693,0.00228250401205886
CPC-47,0.002458515609434924,0.0007798457942820638,0.0022355583211983877,0.0006810717829438515,0.0006495626367800514,0.004983502551299171
CPC-48,0.008918158135889176,0.010719863340672164,0.008781140403350035,0.011071200527586022,0.011115208160949368,0.12268043400947501
CPC-49,0.0016229232375013206,0.0014655689099391928,0.0016550077030086728,0.0013459914169192658,0.001438719739612034,0.0014589160469336978
CPC-5,0.0,0.0,0.0,0.0,0.0,0.0010990224824297494
