bin,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1,404800.2314112261,101976.10418091789,511506.1885185181,195869.23162906663,292068.7919620259,325516.3547564466,308580.0117457349,515975.24797777843,2300887.4480713815,7442502.929108012,1309979.2245940673,1551635.487364866,1587518.6978956973,4197752.684212264,253597.66248089215,649271.6325302852,74777.85700451871
SAT-10,4320.443467222229,55486.89362477231,91351.44452578328,4863.750901113345,56984.528909752094,2867.773412370953,3437.650896698058,158829.07932618345,3176.9002453853464,71766.96704594938,7200.603752632123,223645.52304476794,4512.21136808198,103108.73337922295,5636.554103856542,175128.528807693,3247.5800405960545
SAT-101,1112100.556714308,996705.1491078777,1536659.869718526,2451082.9208429833,2291329.061219785,3181048.2959347405,1616039.7938777006,1615344.1891987629,2042470.4858628875,1957664.1970716526,1268547.5746791174,1477535.460780542,1936579.3691512751,1486372.401654867,669531.5360497017,1090302.1034416582,119833.01521482736
SAT-103,1054.841814038562,354.21625682212874,540.7561156198474,802.6564747482768,444.91861477495337,1595.7100097851865,49.68152866242038,212.46218866950574,949.3431552082775,117.44916508952888,927.2026135829328,198.56940653118994,586.5377315742941,148.38216560509557,376.85417486741267,75.72873919215382,199.31828802804074
SAT-104,9798.534787171395,3113.3891413683828,9412.476224741624,16410.652500003154,8964.943545613378,15150.859564219947,4909.717493946475,4556.66989505293,51797.95734371647,21520.442365777562,8509.55328849624,16889.86892073354,40379.18305418598,16738.664630939864,29595.314221875444,31966.618141225714,5227.282429612758
SAT-105,3181.657170164726,0.0,498.36125410799445,513.920719112864,298.4947719748169,590.419977425789,1329.7946052974917,249.26161945148039,793.4086591887651,713.7998079728164,2275.9737997310403,428.3170719287705,249.76603285123642,0.0,547.6929998153121,299.7397657983656,229.9065736051148
SAT-106,4204.638320373451,2981.950085041272,4420.326824242219,4628.783462179105,8482.406069105062,4022.7726212325547,2420.103990745011,1981.741358163219,7322.461011818996,6257.57625692625,2248.5347524616154,6557.151270371908,5813.976524675739,6463.785036590931,4314.549983259415,7658.250290248684,1297.1065752129628
SAT-107,149.696906809283,49.803149606299215,99.85744401274306,199.6050792879276,0.0,299.4453412129266,0.0,89.7335423197492,448.5460455311311,249.30551605322057,841.1728288963876,0.0,99.80002442449776,99.73753280839897,299.3981231166911,99.86522715745234,99.72437637811811
SAT-108,94562.78859872323,49196.016185142566,134529.95085364467,93752.99547381554,48339.64792615799,51949.49960898634,78561.8334994036,155366.99628380509,32865.114762263576,68627.38990802827,34821.83776512911,58581.49348822982,15777.735147662766,27298.52694257649,4606.666146253937,19784.148354499415,880.1736559399227
SAT-109,2974243.4164468357,148214.21128610356,1532377.7919023274,768173.8705375752,368259.6201239629,677750.8500173712,707935.3556001569,426258.08582755964,1686866.1360623,713423.9197345047,1593485.9379402765,727128.937037425,301875.56330098724,361295.953702642,333768.4740783273,1060811.2782362064,98641.85844155685
SAT-110,92400.04166677696,2362.436490321326,22736.19035309629,15770.387802681493,6446.446675382962,8806.586242997588,15200.719296347985,6071.845400987386,25519.58620530475,21074.557960302645,24156.107430401185,20344.42066612345,52001.37462969187,46199.42893000727,43864.88279667829,103265.54810705916,2383.663275839876
SAT-111,89603.73258303486,169006.9194288332,289722.5751205474,89424.32843977645,304629.5868787468,94866.81546878391,83834.05745784576,227780.58881437863,382776.5151298693,993033.0293079168,315199.2972862664,1076909.9697095018,356216.6794752243,1166249.993862342,196328.4546190488,1528341.8362252265,48357.97505214722
SAT-112,391745.9084320143,23345.204012033126,170212.43709999192,118426.49851297835,49655.59126926809,143567.83146665138,113297.42998970755,65807.80545384438,9293971.007752584,2229986.911794257,573648.5108322758,214438.14161505963,3074114.650891272,829813.5774665681,136597.70761340408,145809.3661967905,15836.991067070412
SAT-113,55302.00404426475,19559.34139414697,67021.53499546222,30142.766655895037,32492.348653496887,16775.357793320483,33628.9612621396,66576.78704461345,57005.18539208498,122271.30357589747,38036.79636776629,101220.98123337462,179985.4413905938,668524.2688830087,27575.568133016244,188352.97868537836,5755.790684408218
SAT-114,986662.1374813943,94423.00626394036,817191.376564014,491780.77956137,226884.00356905244,286932.0880083619,87557.62569669983,121633.37723603434,364610.691923327,112736.85165132377,376702.51200566307,183473.2557901477,684660.1354686198,148849.29487845374,78300.60670245605,113958.35194810964,4064.746971729577
SAT-115,10808.765949373455,5915.8118437264275,11549.412967106486,9951.057970195414,4812.326240724999,4834.910996617612,6031.513979809151,5472.314905141642,8608.28787246078,6248.167235283423,11078.441777987764,10052.593226453651,7573.460668878546,2599.0977200132884,2586.105827625015,2557.1871967806555,949.7897364220175
SAT-116,1046.5557048984472,248.99820788530465,497.9964157706093,1604.0195421669682,670.6325169255276,1531.9470953276086,791.8746515332538,1346.5210573476702,496.6487455197132,848.5246415770611,1886.0683990442058,1297.2540322580644,1804.0834328952612,796.9274193548388,774.9919354838711,747.6603942652329,810.0008253159781
