bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-1,0.00030870190622630123,0.0007622505980598852,0.0002042210485361556,0.0,7.379029203266562e-05,0.00010806101609656326,0.0,0.00036459227303381936,0.00010408558021115771,2.7341115124626467e-05,0.0,0.0,0.0,0.0001665810456056847,0.00016336940165204535,0.0
EAC-102,0.0024018045424828447,0.005588214770893944,0.004629832329125895,0.0038790627942435424,0.004296875284387985,0.004814939834970066,0.030024144038017418,0.005189402535341885,0.005316278513526376,0.007061086242012686,0.017907104478081002,0.038503510059451365,0.013084619798791287,0.0042946615265681614,0.00596108345758033,0.0036952111972726716
EAC-103,0.0031379693153275007,0.0016861921530169572,0.0,0.0,0.019741504704847743,0.0014501457212901323,0.0,0.004352934615167277,0.002413197698773602,0.0038377145669405512,0.003917074249169536,0.0,0.0,0.0036304378313704254,0.0030871970927115354,0.00351591300858892
EAC-109,0.0,0.0,0.0,0.0001350365623394808,0.0006950905193955887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-16,0.0,0.0,0.00617029927575186,0.004400059462510704,0.004825247440179099,0.004943310876508569,0.0,0.0,0.001617630353215269,0.0,0.0,0.0,0.0,0.0,0.0026510032581610627,0.00091378457388798
EAC-17,0.003273506460124868,0.002334008445534356,0.0,0.0,0.00850889225381747,0.0,0.014281786328045632,0.000867924517034917,0.002392872285482414,0.0011548881082568063,0.018811150795876072,0.011110478685556981,0.010778674775158986,0.0005742421497568603,0.001761079333659181,0.21512651368927657
EAC-2,0.001942355838336977,0.010855569950507585,0.0018087363259186053,0.0,0.0009921204356120395,0.0007806419416966962,0.0,0.0005192264338422308,0.0012540295457244104,0.001356823565333558,0.0,0.0,0.0009297115990226307,0.0003144997304470704,0.0007166661011540799,0.0016649801272173147
EAC-20,0.006199682400622819,0.0,0.005769715187444839,0.0023560563425751983,0.004977073870695543,0.004869709372397587,0.028746364107293636,0.011243559257454277,0.004415005622409136,0.006987469733968525,0.04401996074362773,0.03536472333494624,0.03415926816791673,0.0048128116813337925,0.006036634595811746,0.004004861993413012
EAC-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4718288392309084e-05
EAC-3,0.004346690498165565,0.02805503015423908,0.020140998574256573,0.020993781286979145,0.013600425319636119,0.018966271341596362,0.0,0.003313919418935432,0.0035968834785024494,0.00388005047443043,0.0,0.0,0.0042783154324206015,0.004004531259058866,0.004054514407568591,0.025915933647748295
EAC-31,0.0,0.0,0.0006887060121855244,0.00032710756038492036,0.0,0.0007008030411364143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007174154083010817
EAC-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0020093955036446214,0.0,0.0,0.0,0.0018109935761877298,0.0023829885378446446,0.0023219837913063812,0.006705545385828398,0.0,0.00042454514196903085
EAC-37,0.005460105777669482,0.03646986721985383,0.027347720507463563,0.0,0.047933915068954586,0.024845130160805966,0.014941445960530726,0.005982568363634101,0.005298620382379609,0.006178646616041719,0.016782313053914144,0.016874946886388183,0.01599582434214473,0.005964397519728259,0.005615189939964855,0.06409210813699903
