bin,ERR598955,ERR598963,ERR598968,ERR598976,ERR598983,ERR599003,ERR599029,ERR599078,ERR599123,ERR599136,ERR599170,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-1,0.04142671090689746,0.026212370693027957,0.02271201456468899,0.0,0.027592439362167268,0.0,0.010647535548117351,0.0029221436587548422,0.03753549249605972,0.020267939259376592,0.003041746613720653,0.0,0.03310582081783953,0.021582212281377005,0.00642200144060111,0.017604826851476362,0.04158262643295963,0.044865012384970315,0.04199858506818601,0.040996895810680445,0.04348427879132952,0.0423162081467676,0.20828730731252706,0.6993172464915769,0.2519291510458988,0.5982678398789094,0.8613121200377651,0.1398049078573862,0.350280291595338
NAT-10,0.09315167165893969,0.07590924527570635,0.07587186144769305,0.06503584727441053,0.06180536242230315,0.11974612175359875,0.07271650113455246,0.0692003551999691,0.08509225929298012,0.06378428612151972,0.07066788905150134,0.048611772407948436,0.08823173197694813,0.06253003025882187,0.14089690622080808,0.07447605159956518,0.08344973876291317,0.09596943583941875,0.08242584500278677,0.07542614117597411,0.07910348469240214,0.08763574169127349,0.06427638409392358,0.0850830661430412,0.08283691830341272,0.059396481959628454,0.05765905504191247,0.16007786660529272,0.1412851039805553
NAT-100,0.12232450226277536,0.17421946602388946,0.1170055828486755,0.10665992006798976,0.07339061465350381,0.05354065120647638,0.11813665660132967,0.05922756407583828,0.17069563248194117,0.07049211947144521,0.17675694186102203,0.07141020613820546,0.067386618676756,0.15787975030350826,0.1222528542903613,0.06963881073907746,0.047029427435734114,0.08594515850926285,0.04807741340149917,0.04767715505119639,0.05100448628059287,0.042089075367860634,0.11407953332009656,0.10328270437952594,0.13148298796236005,0.07344450595791469,0.053955019204914176,0.14864393096378956,0.1854655685620364
NAT-101,0.1722242377938952,0.14713147659680406,0.07678667908674698,0.11101038246878588,0.05146484796965548,0.31662915180008716,0.21048040080792618,0.034780825577262205,0.08979770613658193,0.45276440703154525,0.12606672679606493,0.014772144001065213,0.040419845497693965,0.07117533458137057,0.07696808113557417,0.0671480105554668,0.05327930018486278,0.057389317551965476,0.054108154228020594,0.05545307137609042,0.053009523081904354,0.05852613837826249,0.07288682134163979,0.03742338197933493,0.09462546588450778,0.040803268145595296,0.05975782478322835,0.07937148762933623,0.0
NAT-102,0.037320914791479955,0.05306910119070031,0.0466985463079767,0.03762568262320834,0.07876425415891586,0.04482939983488986,0.04476245928246027,0.04799080449300484,0.03680848834380871,0.023293672516558544,0.04699378428755763,0.04829351504705086,0.04784110515519268,0.045591135468895184,0.05068205100910465,0.016954665096566165,0.03187344030873269,0.05447705297886902,0.0224149509400786,0.008095915251772293,0.019961766882774932,0.052814755110985434,0.26186614550574455,0.11246081250162647,0.0,0.0,0.0,0.0,0.0
NAT-108,0.03980598228284846,0.04170016222200352,0.04497807049789001,0.04119629851090216,0.051031684266212476,0.03968897264631173,0.040101219309435464,0.042122329609752734,0.03335707319470378,0.040318744216946846,0.04002868270826351,0.03824747632149974,0.03874290409117851,0.039635253056840444,0.039731202923330516,0.038389285528799076,0.1564869391866388,0.12828113206827269,0.1498111544460601,0.1578991814555251,0.14207159411053927,0.16909321067295635,0.2788161697050625,0.25021021869872506,0.14476454626635304,0.1239359572121349,0.038423256411545356,0.3197154932564078,0.38092695854080866
NAT-109,0.04855683029832332,0.029784929315880063,0.012423685536281693,0.04701489008894868,0.013712787060756427,0.051566718577172176,0.048391073599327025,0.024439812166036513,0.02194941430706175,0.049780749857934264,0.04440774440506358,0.048248687108717395,0.04202757036234968,0.04273823877157826,0.04739753351827229,0.04777550486294362,0.005054488000293135,0.03417593151867089,0.019220421302163136,0.154926331012592,0.0,0.016002578394105977,0.2003567506927225,0.0,0.050689399342824175,0.011359164129150745,0.05120440495247137,0.0,0.0
NAT-11,0.021277966000613772,0.03357937893439913,0.03378356005811826,0.0319760698925222,0.035403238961655405,0.014120357321795526,0.030293678598430965,0.0329907320433708,0.032780643374484913,0.026153822724121187,0.03342755655194634,0.030615260267638302,0.031064097110055564,0.03360083110577347,0.030719946213093114,0.03376820498273527,0.0019047549443899979,0.036995910783423035,0.01309688910886952,0.00884215959664598,0.013988781828207057,0.008200233797950816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-111,0.09862266955029828,0.04733077067640401,0.07660957591099256,0.06369021175017954,0.06238189345650769,0.12871839985890346,0.06967261698441121,0.08582141277563093,0.03137700738380788,0.07674158819148681,0.06689396603962298,0.09889786583750945,0.06246689593138957,0.09618116378479319,0.07119656221816345,0.06047792936399302,0.06286679425670531,0.058413593786189384,0.06405930693325294,0.060033660935742084,0.06489026457853381,0.05664616961284028,0.05516610531111152,0.04820378871803735,0.06958794573441625,0.04473886664133101,0.049666375288764976,0.06101348999031461,0.046268671381841854
NAT-113,0.0789385196075015,0.03887247362050483,0.04113133690482871,0.04990145329727892,0.0276548819754309,0.07168851147919302,0.059918207588711775,0.015251883577812767,0.03702202940831292,0.05483016309026997,0.04084678816756975,0.029242842645658157,0.05107956094174013,0.03708831494712854,0.03685008013908813,0.048118441137803884,0.05119953999217834,0.05192344013643312,0.05287008074415261,0.05357288283574047,0.05254056085223006,0.05594837190945185,0.010915785980299379,0.023410989030135915,0.049298205784345066,0.06119432296677315,0.0675177817925924,0.01158989662986078,0.05805187688039986
NAT-116,0.12807202784232158,0.07298502407169057,0.08824215889230856,0.07483723877745921,0.03751650988116861,0.032052440025797435,0.11675354185983469,0.06970258753772823,0.08162136471078213,0.1650777961205262,0.053751778401197346,0.027134743672702473,0.06650298277534283,0.1459269685139655,0.29695957200093137,0.0816333371899659,0.07149053246876978,0.06857996873101652,0.06859490668482617,0.08114599386048514,0.06774432963676782,0.06835155239111841,0.07819321841844865,0.06713389672656078,0.13290315100816544,0.083000868633772,0.08546141127261145,0.08909160524030256,0.07937279004401399
