bin,ERR594327,ERR594330,ERR594334,ERR598966,ERR599102,ERR599143,ERR599158,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145,ERR594290,ERR594312,ERR594345,ERR594346,ERR599031,ERR599037,ERR599062,ERR599109,ERR599167,ERR599172
ARS-100,0.0,0.004299774891871285,0.0035655866172157533,0.0038547229885166007,0.003958980778309413,0.003917536097959139,0.003865978438172707,0.005502056831289166,0.004322369052682188,0.00421748145214811,0.0024499838474379334,0.0027841544531915534,0.005391417454197336,0.0,0.009381199193487783,0.0,0.0,0.0,0.0,0.0,0.011733568820285919,0.0
ARS-1004,0.015040968041947819,0.02331605193926382,0.02405078568644811,0.014397604859655458,0.012630293772840187,0.013987649376785125,0.013360223981008603,0.008488911946204238,0.014734909435930196,0.01585646526142613,0.012515547993573451,0.0077331498998118794,0.029227392371234926,0.009981369384774797,0.01905370811602523,0.015311355060956771,0.0,0.0,0.03106387699381851,0.0,0.013035275114369244,0.09715607233561205
ARS-1009,0.029397000735129436,0.02679337537093723,0.018633025535759892,0.02285784119498607,0.023870944792254923,0.022331103936003724,0.023152462837236484,0.023165921887080866,0.02428253940653499,0.022987638827018965,0.024628993819040906,0.023041907084358205,0.024205393590861,0.016409312944905923,0.026801236130407902,0.04915892718417263,0.03958687296792279,0.01627071575449186,0.020730192871072355,0.009966695023354516,0.0023244280831426077,0.0
ARS-1012,0.0024929125179513037,0.0031092454448075424,0.0014396439873734003,0.00389615403477212,0.0036390115607208735,0.003627526245602403,0.003501935510383458,0.003662992996509916,0.0035521027778142025,0.0036390411958195155,0.003544902827463428,0.003880249326780357,0.0016939447116746927,0.005059976969130881,0.00042539860738568613,0.012100519750885788,0.0010842448416557272,0.009052600974843193,0.0022047060193712553,0.0,0.0,0.0
ARS-1019,0.0010759008548916471,0.0,0.0005406257471566964,0.001946177879450421,0.00257143362834115,0.0017809389108146127,0.0026552762314490013,0.0032171783045901845,0.0015499552799422796,0.0017147291630952282,0.0032459500414587345,0.002113141225207746,0.00413300440074321,0.004832313297121286,0.0009765243243062045,0.0,0.0,0.0,0.0038169134665204316,0.0,0.009207426337030825,0.03720085946855971
ARS-1030,0.004780879937864463,0.0,0.0,0.001698208737343556,0.0016789775111251354,0.0014592129090547513,0.0014780042966139955,0.0015948251215553652,0.0011576137079578064,0.0011928088374288416,0.0016258487301408812,0.0013485722336779892,0.0028031765888030216,0.0,0.001225157634126996,0.0,0.0,0.0,4.021477254661123e-05,0.0,0.0,0.0
ARS-1034,0.0007915490771679813,0.0,0.0,0.0008759957709584687,0.0007282550525636237,0.0008175980502787637,0.000750316722368732,0.0007625133435967627,0.0007171753130312386,0.0007694954994756273,0.0008084870985398745,0.0008132299956083051,0.0,0.0,0.0,0.0,0.0,0.0,0.001976841323100327,0.0,0.0014412469711327105,0.0
ARS-1036,0.007302341016606687,0.00785755187952727,0.01935644975527628,0.0,0.0,0.006414474928199383,0.0,0.006926585833965176,0.004477708785413904,0.005840412582423813,0.007818481928640505,0.00696502800590038,0.005708562289553353,0.007932195110814309,0.005968726022161548,0.008303254595077858,0.005016697976000951,0.007285669235424974,0.006017027052558438,0.007372828693771949,0.007646284331743286,0.00617883991173017
ARS-1037,0.00533460218724771,0.004102460843429786,0.0,0.0,0.002117346346450617,0.004444810814271871,0.001192652512888429,0.004060631210320775,0.0,0.0027914537892627187,0.0034649506102126955,0.002891659439217942,0.002878378969584694,0.00393347325120628,0.0023290030597148334,0.0039462740059409826,0.0,0.0031538705998783723,0.004037486754723362,0.0062326604360267105,0.0032717748395606375,0.0035105407025690046
ARS-104,0.015933885109519128,0.03238542674286701,0.014939293412813377,0.0,0.0,0.0,0.0,0.0,0.02287550827745729,0.0,0.0007959853956782956,0.0037423393078544454,0.03165743668105298,0.019115217471475727,0.03189444851748674,0.027617466203913373,0.03493618057204076,0.03573599951153495,0.03361645394976075,0.03525663399210819,0.030602284531543185,0.04184867794317228
ARS-11,0.0020106081739275196,0.002636585065876001,0.0,0.0,0.0012326705371188357,0.0,0.003346865429004783,0.0023065953454944684,0.0,0.0,0.0024299492796716515,1.556062927683458e-05,0.002233940346201873,0.002273429403122914,0.0021788070752969285,0.0014701138718319782,0.0,0.0020207312648143454,0.0007705828480067688,0.0024407612480289026,0.0020940505876002103,0.0023916280518203924
ARS-112,0.003666861026687364,0.004296691071911491,0.004198275795954439,0.0028005251373270723,0.0030018974794139702,0.0037857787266738904,0.006537849605225805,0.003859753936156476,0.006231918145848723,0.002756212143004391,0.004873058476805773,0.003664683635061829,0.0038586842548335647,0.0036163929565652397,0.0034995710742144704,0.003909231893441726,0.005889328708001093,0.0016430308044484401,0.003001991003661334,0.0011574931273745533,0.004018294163723183,0.005631997696105882
ARS-115,0.0,0.006323607580347689,0.0,0.0,0.010139854185223226,0.0,0.017930148109825742,0.009969981838488325,0.0,0.002879441506899811,0.005385939927309388,0.010935176295471178,0.01000602324020631,0.008585513118133926,0.008774495549556857,0.013672594615026193,0.00869536345065654,0.012096404829305444,0.010364579577383973,0.011590168152229692,0.0095034289063116,0.010856469042746097
ARS-1215,0.0,0.0,0.0,0.0,0.001649907406817322,0.0,0.0,0.0,0.0027800126416866596,0.0,0.0,0.0,0.002447857213484904,0.003290025998541965,0.002536937662217021,0.002177444891998049,0.0026199183348759067,0.0025924372711830894,0.002690283464538438,0.00258170974801975,0.0026425277852524663,0.00255230466042898
ARS-123,0.0,0.00222558466620427,0.0,0.0008503828428154389,0.002106769870889175,0.00202198041794848,0.00045062369845026983,0.00113727507440724,0.006522807461293236,0.0047525404981661286,0.001106205650249157,0.0008965762322696371,0.04957766164323255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARS-13,0.0028025175081294153,0.004234232236172476,0.0,0.0,0.0017076587194637441,0.0,0.00042070169097846064,0.0,0.0,0.0,0.0023825129348493683,0.0013458753801805674,0.00306609463598984,0.002618044037087698,0.0022270097015912264,0.00233073729979398,0.008970877173194036,0.002705797133484614,0.001589735565812202,0.002930384367779058,0.0026869825831868474,0.0027136845178931546
ARS-14,0.0047801940843195815,0.007028489492667636,0.0,0.0,0.004627627313586027,0.0,0.007338576458941009,0.006474893112854171,0.0,0.0,0.004821833817218484,0.005268413065139066,0.0,0.005018927035756374,0.0,0.004768542593360661,0.0,0.005068590189438559,0.0,0.0040097377041734125,0.005581175550555997,0.005544588604245799
ARS-1426,0.0,0.0,0.0,0.0,0.004734630635072325,0.0,0.0,0.0,0.001870874004267026,0.0,0.0,0.0,0.0016716589602587602,0.001087596769996923,0.0015386526257256425,0.00132775065538454,0.0015978691544731856,0.0016020923475213548,0.0015525537564188053,0.001518116332761535,0.0015613106594483577,0.00157292790608408
ARS-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0030037408722645865,0.0,0.006059936898334887,0.0,0.0,0.0,0.006762622316077553,0.0024746173041748937,0.006636146096949266,0.004625280556263017,0.006749920606053252,0.006983260631244482,0.007041102098835489,0.00694628347666686,0.006730196433654819,0.007169632612980785
ARS-18,0.024786492738703533,0.034191294480335824,0.0,0.053225152644212764,0.0,0.0,0.012522730326264744,0.041780431874287836,0.029660511154890296,0.0,0.047131480979753136,0.03412698897601439,0.037997233472499684,0.026747930355749818,0.03716270515690175,0.0399681081797683,0.03544001285121394,0.04114645529991961,0.04025532702189231,0.03790647034390231,0.042719289427122685,0.03988293349115559
ARS-24,0.0028451271208285674,0.005297309681658179,0.008632065235517029,0.0,0.006811567734851983,0.006141672457596022,0.0,0.002485249768038896,0.004521848529183674,0.003646440840482131,0.003189476469478883,0.003846704161056629,0.005246401051786857,0.003676157355196316,0.004790858443611614,0.0038307628479723062,0.005206780169611705,0.0047091930231874714,0.00470712520803302,0.004899832385011999,0.005015691414749402,0.00443443670213794
ARS-27,0.0,0.0,0.0,0.0,0.0037646046750972996,0.0,0.0,0.0,0.004100751444801224,0.0,0.0,0.0,0.004578307163602492,0.0054536860043143676,0.004613698304189076,0.004715651549011964,0.00435283800761668,0.004211878232707343,0.00432248732407971,0.004652345005488925,0.004393950666665309,0.0042649862932435416
ARS-28,0.0,0.0,0.0,0.0,0.0032022224442393773,0.0,0.0036643665588270836,0.005907515755548209,0.0,0.0,0.007296973735269312,0.005533605085333086,0.0,0.0,0.0,0.0,0.0,0.00535770306817869,0.0,0.0,0.0,0.0
ARS-29,0.0,0.00878615326228585,0.0,0.0,0.0,0.0,0.0022517732329020183,0.0,0.0012428131643976166,0.0,0.0,0.0,0.0002515572893336083,0.0014674469334186662,0.0004327200570008361,0.002475002951703353,0.0013376452948620037,0.0028623636927963434,0.0015669781633775885,0.0029152720776987593,0.0029207086685734164,0.0028988695346770107
ARS-3,0.0053860650354998225,0.007251995784412971,0.005061769404875122,0.005851181931862298,0.0071108576665833145,0.005036585852745822,0.005956001929366667,0.005131195736179798,0.0020220147678235967,0.006630743987838186,0.006911753611762599,0.0058223981072743946,0.006252495776739737,0.006571867418559806,0.006474937973600865,0.0058348727659271165,0.0042265757322500165,0.004749427237428982,0.006257344909498152,0.00717236125311051,0.005141898955233205,0.003394555039167869
ARS-30,0.0,0.0,0.0,0.0003937775709122745,0.0006849071068340648,0.0013591932446596253,0.0008829106747175877,0.0009900360400810122,0.0005875190760924815,0.000910637482132098,0.0006342708737239189,0.0008331036568954753,0.0,0.0,0.0,0.0,0.0,0.0,0.0005231042163572102,0.0,0.0,0.0
ARS-31,0.0,0.0,0.0,0.0,0.00834177695930159,0.0,0.0,0.0,0.0010742548738457655,0.0,0.0,0.0,0.0013726598605143855,0.0016250295952723757,0.0013017846478879276,0.0026276425579922864,0.0013871939762556667,0.0014789516931076928,0.0014827617500507155,0.0015125803816531432,0.0014481250193191032,0.001432281735174988
ARS-38,0.0031979979484058623,0.0023147871069421322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007619516883026121,0.0034381415966783977,0.0044642542902455186,0.0045596116625910175,0.004319190413504444,0.0,0.0035761227432959384,0.0,0.0053624704260952834,0.003233047845377325,0.002978963648005991
ARS-4,0.0038473002417518825,0.0030618072893894214,0.0,0.0,0.0010912306951784754,0.0,0.0007286643872802857,0.0025513848028364695,0.0,0.0,0.0027707142996721635,0.0003173125399358238,0.0006209858290985444,0.003097462422262873,0.0012050077490774953,0.0026766843931860444,0.0,0.003017030258088394,0.00035010003044479247,0.0029047136211331724,0.0028801717565017145,0.003114982637831121
ARS-40,0.0,0.02859558498953331,0.014192582262915279,0.025149177358844314,0.029124133959371468,0.027425760973813405,0.02906001376766318,0.029328075050218477,0.03170232058269941,0.03074212271463113,0.028405956106907645,0.030395377056741467,0.02217898975397266,0.010135111563230204,0.023406898714462325,0.09399354540281342,0.010378940590107657,0.019860278510821516,0.023706529264925724,0.026605797768230157,0.016853243723857336,0.0
ARS-42,0.0,0.0,0.0,0.0002894640001792699,0.0008583998239874956,0.001146774050007819,0.0007974319513926157,0.000962927619277012,0.0008019310205569151,0.001074864207102848,0.0009581063354387388,0.0008796383103820542,0.0,0.0008010877650169952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARS-45,0.0031712044780002036,0.0,0.0,0.0,0.025792763867616614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004744701546079537,0.004683857136773713,0.0035835355277891697,0.004102950114259193,0.007268564832993433,0.0036172510038534403,0.0,0.001184789508696054,0.0011721242587807432,0.003564062855173982
ARS-5,0.009754754654527365,0.022603207053305863,0.0,0.0,0.012847350362058464,0.0,0.007042080937880328,0.01190327428467651,0.007646149454685789,0.0,0.010399792652331291,0.0084906133293677,0.016291201823252548,0.020400961685253453,0.015327837434114117,0.009703087906358272,0.007894094311043598,0.003960396379105123,0.00700018797746105,0.013969284328494725,0.010403543319495057,0.0047663534800590265
ARS-59,0.0,0.0,0.0,0.0009816481988369275,0.001278341694016005,0.00103329260132435,0.0008412449977121491,0.0,0.0010623784567536077,0.001103066711308605,0.0008911202356427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005222897828623905,0.0,0.0,0.0
ARS-61,0.0,0.0,0.0,0.0,0.02835710002318496,0.0,0.0,0.0,0.009477181882919388,0.0,0.0,0.0,0.007930329265130081,0.012698601080283417,0.008554129651261084,0.008283138416348859,0.007194190333415379,0.00805323221379979,0.00851774135319904,0.007939524421073447,0.00901558548377776,0.006903372249369474
ARS-62,0.01859831410858422,0.0,0.0,0.0,0.0,0.0,0.0,0.000777918667668393,0.019016790569914573,0.0,0.009945513351776883,0.0,0.017347918247044316,0.01617605663346329,0.01753085908562733,0.017546263123176007,0.016741639794948627,0.01684085269534978,0.017269157678305693,0.01572033215314985,0.015886873489232407,0.012437170055944432
ARS-7,0.0029468404570949353,0.00477225161370511,0.0,0.0,0.001943365683610922,0.0,0.003089389727961323,0.0025529813962212643,0.004165452387153537,0.0,0.0028770406197630004,0.0008358989134037818,0.002684872420602252,0.0026365128754515985,0.002393030590383758,0.00173413223723205,0.0021684468208062685,0.002456122609090595,0.0016739475428062586,0.0021893673652561263,0.0020909979630053554,0.0024530602042129113
ARS-71,0.008974992122368413,0.0,0.0,0.004265198247122553,0.004662244426516492,0.0028872002486071222,0.0024332312558741197,0.0040022799104809,0.004527486069771345,0.0012236152917985315,0.002760879773570685,0.00450831095646279,0.0,0.001217675111349312,0.0,0.011773126497441931,0.0,0.0,0.0,0.0,0.0,0.0
ARS-75,0.02677560991396022,0.029379375070912483,0.022123708484740122,0.018661890902948293,0.018536734776657352,0.01907460217798536,0.01766340605584898,0.01790298508130469,0.01937910621291212,0.01915647533338544,0.01841924353460422,0.018851556659073274,0.013744591859867579,0.011925855912779233,0.012727748792605636,0.0,0.03221052592921062,0.014162908725477125,0.013642006089331414,0.04789584986484544,0.011849276452323788,0.0
ARS-76,0.016333031092565942,0.018469675229881303,0.017094862196081233,0.0135838322154897,0.017000837435806743,0.013531452319064139,0.015916600377032922,0.0,0.01347016251473642,0.014298403286976758,0.009982992532710533,0.040247250998030094,0.017451302903130614,0.0,0.008034287511566214,0.0,0.025681596124151215,0.0,0.025117243954700046,0.0,0.0,0.0
ARS-81,0.0,0.02119555633002884,0.0,0.0035492010218978525,0.012640092966993248,0.025692637134970865,0.019073698606029442,0.024660272542964778,0.02672208481361015,0.019920618183577193,0.021371747139234506,0.021631270331938526,0.026179752509521956,0.02089973129160454,0.026303667796289072,0.02694525832760913,0.027540256059681696,0.025630630147225327,0.028246599551222377,0.02506938167991541,0.026100258664303974,0.02675948323652476
ARS-86,0.021823681351792166,0.01202383700333866,0.014633755714104402,0.01643062410115886,0.017380237306071585,0.01654515872277733,0.017926731193276233,0.019511276392209502,0.016449796340717197,0.016692208828402822,0.015509387939894521,0.014538323680072436,0.008854216543570994,0.036766488028820564,0.016119461508624245,0.0,0.011097224733230136,0.0,0.017191583871868078,0.0,0.011902992318335978,0.0
ARS-95,0.017567080943747128,0.01045949797825534,0.0,0.0,0.0026547405047831823,0.0,0.0,0.0,0.00528818042613154,0.0,0.0,0.0,0.004796856684845517,0.0041607049880107785,0.004903554433971784,0.0047778932713522775,0.005040364476827817,0.004552100733906555,0.004998732809541479,0.004565635734364341,0.0045974256546841945,0.004664508083213585
ARS-1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008642393575644267,0.0,0.0,0.0,0.0008713039780359509,0.00014127776891426804,0.000837949296165282,0.0015602867013499262,0.0008122027197982023,0.0010224265425789,0.0008952117067448652,0.0009781367747188417,0.0010259423228434863,0.001069843881275981
ARS-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006589061772645576,0.002971713220086005,0.002341081240514679,0.0013627317348057374,0.0018783279471643118,0.0,0.0012441321177700387,0.0,0.0,0.0015269823868003885,0.0
ARS-1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04976965346225015,0.0,0.0,0.0,0.0,0.005720639072501462,0.006600110952051849,0.005687642388189405,0.0078000128962216276,0.005538616337048618,0.006364405368776957,0.004266195822822066,0.0050755008709918725,0.0054954902480658235
ARS-1441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016050621458113753,0.0,0.0,0.0,0.0013644375188456858,0.0,0.0013438922841378352,0.0011673559568423759,0.0009697086557490681,0.0017544560604073063,0.0018943239805775207,0.0020636284934575843,0.0013862761981717857,0.0018684008123885341
ARS-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013857325311074948,0.0,0.0,0.0,0.0009733386148638907,0.0,0.0012565147545487983,0.00018760804337794172,0.0010254712214830316,0.0013336095280341563,0.001072327656520038,0.0014244942266568575,0.001300821716120797,0.0015263881197605446
ARS-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007109425129316082,0.0,0.0,0.0,0.00043395621697067167,0.0007006522702435092,0.00040967498151176266,0.0004550256180577886,0.00033714701885839606,0.0004429925214351934,0.0003538061552693295,0.0004152107956384594,0.00034857511210455963,0.00043241035444187525
ARS-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011909594905611508,0.0,0.0,0.0,0.0018477692735098905,0.0028960122237762244,0.0017413582972991605,0.0,0.0018020986654515622,0.0008736502014893791,0.0018188839534527294,0.0017673137966079762,0.001788217133532838,0.0020137080991014756
ARS-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010790712919886586,0.015623772574195689,0.01086076269566942,0.013761185437923857,0.009408016052688553,0.012841202181691797,0.008326799651065536,0.008789551658840431,0.008104986436226747,0.004820479431848047
ARS-1279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003505682512176946,0.004654713388694619,0.0011214616857051806,0.0,0.003072610412607352,0.0,0.0,0.0,0.001329085437564006
ARS-1434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013451182535319088,0.012032070999170936,0.016092183098462363,0.012578575698816388,0.0,0.007416758814543634,0.0,0.0,0.004744526653312404,0.009892093024201565
ARS-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015799056135764857,0.009693334540542296,0.016357896445464013,0.0114427916211222,0.041230479304190326,0.03792382363412071,0.029195999456869952,0.03614636993255351,0.03608444066321368,0.03505667874581889
ARS-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005210986602075777,0.0,0.005840925709145935,0.004392232956637736,0.0,0.004010190336560021,0.0,0.003461977729754106,0.0015631866356640377,0.0039006594613815527
ARS-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030125842996931385,0.0005007361785219418,0.029617789319677967,0.025665154216887198,0.003698540958597016,0.010157519235865393,0.0011489039088377897,0.004964128242702233,0.0,0.008122315812557767
ARS-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004870400168002706,0.0,0.00428731861872901,0.005266656342025098,0.005866150010273467,0.0044978377608231,0.004497177867543289,0.0,0.0034374905103082827,0.0002500600873237882
ARS-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037075232671156563,0.0021683544680424797,0.006137134588765317,0.0050095945641423145,0.0,0.0,0.0,0.0,0.0,0.0
ARS-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008922215290929171,0.0,0.0014593845546929031,0.00242246102012337,0.006045156923178856,0.002457485085511971,0.003019934553798961,0.0,0.0019400815805448292,0.0026645797107191574
ARS-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018713703870511748,0.0,0.0063189918165268795,0.0,0.0,0.0,0.0,0.0,0.0
ARS-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278514858008813,0.0020762299606270286,0.006844753468800007,0.010490831412029892,0.0,0.008853260715067679,0.003583450962365159,0.023684151278011024,0.017947653675825626,0.003417868109404406
ARS-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008632698517112312,0.007001385614386184,0.004247621766088055,0.010800441883939688,0.005628348745034236,0.00956616081395704,0.0058236323188147615,0.002914763941784993,0.0018813051096850126,0.006346481106113079
ARS-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036622511876378415,0.006007522476792161,0.00305337820529397,0.013491537248645071,0.0,0.01287590164406746,0.0,0.0,0.0,0.013897052486668273
