bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-1,0.0016855983312309931,0.00016287904788661934,0.00031150536274755845,0.00011929268111973008,0.0,0.0,0.0,0.0,0.0,0.0004333282448477631,0.0,0.0,0.0,0.0,0.0,0.0,0.00016789199649287762,7.918756426666806e-05
EAC-102,0.0018384893110864962,0.0048263852459607594,0.004821379038025618,0.004462482858073039,0.006002445171238743,0.02547958736538099,0.0022758732522190394,0.0,0.006243064297649923,0.0035588923131493278,0.017386989061743883,0.0,0.015566870487292401,0.026004354225825494,0.024035903886887054,0.0025966736390224173,0.007337853131497557,0.010078208557409965
EAC-103,0.0,0.010083875640204762,0.015191595190612542,0.01980493843890977,0.05943069446330326,0.0,0.0,0.0,0.0023704581499924154,0.008601629526611297,0.0,0.0,0.0,0.01089061386260201,0.0,0.0,0.06296173652126294,0.03268954403884514
EAC-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004480590049551158
EAC-109,0.0,0.0005921182370851565,0.0009362769178068253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003226733459746362
EAC-16,0.0,0.008832440347213281,0.008979712092731896,0.0016627378498361824,0.0007649657568274429,0.0,0.0,0.0,0.0,0.0,0.0024284630372131697,0.0,0.0,0.0,0.0,0.0,0.0012857046048908327,0.0011852419547216972
EAC-17,0.014259720300806389,0.02804309002333263,0.0,0.0,0.04695934545041282,0.006900586653108962,0.0,0.01160924952278929,0.010863298097863251,0.008774292149685291,0.02224846032807019,0.0,0.004970799919527915,0.0031793547599673062,0.0036965702999762007,0.0025036591015780863,0.0,0.0
EAC-2,0.0,0.0012698479772773313,0.0013362164446886913,0.0011183834021073493,0.004228020260958555,0.0,0.0,0.0,0.0,0.0,0.0022647118943799225,0.0,0.0,0.0,0.0,0.0,0.014897700143594128,0.0006923515209439323
EAC-20,0.007882743795089948,0.0036014379499598914,0.003884392784671202,0.010081281236099839,0.004887008117225148,0.0,0.0,0.0,0.007283431172630551,0.0011883907376161588,0.002875714519926606,0.0035183916005973935,0.0,0.0013430096577889334,0.0012505558156126622,0.0,0.004496641779767479,0.004572927858024624
EAC-21,0.0,0.0,9.728329651963117e-05,9.836875566221048e-05,9.654044936318698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6113388884485665e-05
EAC-3,0.009792111354473778,0.02022918708045931,0.014165384580745729,0.0020801561517899336,0.07573552276603043,0.0,0.0,0.0,0.0,0.022615999610013267,0.007475553505153516,0.0,0.0,0.00759735649603844,0.022030788922569457,0.003777496726540109,0.380236952366484,0.009895059442935939
EAC-31,0.0,0.0005772100977696396,0.0006457672909169318,6.184090696599931e-05,0.0004798127886160009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004114576083942946
EAC-36,0.0,0.0,0.0,0.0,0.000831986389478606,0.002282391616700379,0.0023955892173797276,0.0022510605091443535,0.002333105192565672,0.0025282455704134133,0.0014537879480579967,0.0019116071393448187,0.0024662299061931864,0.0029888168164482506,0.0020323725002835175,0.0029125558826158552,0.0003861010138305483,0.0
EAC-37,0.012031930114144952,0.009801399585654569,0.01189612141358896,0.03382346704222922,0.0027817563636096457,0.010116902237228548,0.0032011326136077937,0.0,0.02049925146427796,0.03465764550089195,0.020471094028502026,0.030268902715538983,0.021924546998895133,0.029354815064983178,0.04050486596740308,0.008276391894962485,0.007682836086876767,0.0
EAC-39,0.0,0.0021687552235275915,0.0017574065047871955,0.011411672346807202,0.021100717654361993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033180246524229474,0.005678767392556712
EAC-4,0.0,0.0027267436261835852,0.0018886142236421973,0.002047755504831287,0.00170735371222378,0.0,0.0,0.0,0.0044948008791456644,0.0014085241834376992,0.0021880234044222282,0.0,0.0,0.003326538269064489,0.0020612330951425713,0.0,0.0012804052034703513,0.000815867550592274
EAC-41,0.24812417919860177,0.03087692774674236,0.03083125741926117,0.030243597931421312,0.03293597561792496,0.26474925425359674,0.07466709736438314,0.17292273705149352,0.14473305068495282,0.03363853044179094,0.06607083522268874,0.1967569913319912,0.28673755092697906,0.11792855021663004,0.2643577540337675,0.1858062925547671,0.03742920033520019,0.029525085870353428
