bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-11,0.0,0.006460377016888502,0.0,0.0,0.0,0.0
SP-112,0.0,0.0003094406305268848,0.0,0.0002947661830423863,0.0,0.00010371028790105806
SP-118,0.01993418335409208,0.042042380886847135,0.016186749184275383,0.2812355524185223,0.04299862732118271,0.14287943409157625
SP-123,0.01290566065686301,0.03965904545580729,0.013267850150182404,0.046609229391089295,0.0052874261184246785,0.059019504876368305
SP-125,0.01889928340133048,0.18666767366351816,0.13149164597830118,0.11646899495879914,0.019549272257748163,0.029783062453588475
SP-126,0.01418948073780397,0.018398609739007758,0.007470623726912433,0.018394126515783014,0.010508519571152904,0.009785379756251784
SP-131,0.0012652427979190145,0.0,0.0,0.0,0.0,0.0
SP-133,0.0,0.01431712000133398,0.005867500366928698,0.0,0.016806555433670062,0.008185216201832872
SP-138,0.0,0.0,0.0,0.0,0.01567303287130285,0.0
SP-144,0.0016549030320512578,0.003843160177691062,0.012926995402459479,0.011450632249356564,0.005721294508949286,0.011262506054902106
SP-158,0.0015959730942839007,0.0018705765847290695,0.00033251574758111135,0.0017152343615584279,0.002847543344547894,0.0005956497967256446
SP-159,0.007443779161842786,0.006119366815976285,0.003678624829344943,0.006558893905466462,0.005660632075030585,0.00695929523896246
SP-16,0.00233238518779876,0.0009604123278341834,0.0,0.0,0.010332589444683966,0.002857242863807985
SP-161,0.0,0.013615825283494566,0.04297557429832127,0.011825746404613209,0.05353309417715242,0.0159610885664159
SP-162,0.0,0.0,0.000329849800403318,0.0,0.0,0.0
SP-163,0.007906070919068149,0.03572971628789783,0.007081042858702111,0.010010743467000167,0.004918717581038778,0.013865055685553193
SP-169,0.003712023238586599,0.003323324447364303,0.0032861236456757366,0.0033985442188396043,0.005520040454728188,0.005748727606929705
SP-17,0.0027443953251408914,0.0018903874535320887,0.0008628425047281843,0.0022680004040301284,0.0034711127496301858,0.004078842097892595
SP-176,0.0,0.04952884215716667,0.014367090234098141,0.057130518344806244,0.0,0.026986700562290494
SP-177,0.0,0.0,0.0,0.0,0.0,0.01894900139447119
SP-179,0.0,0.0,0.0,0.0,0.005649443765979748,0.0
SP-180,0.01610354581970335,0.08828444982240478,0.06854670382920416,0.045214531857590126,0.021771159632761942,0.023637625303061377
SP-181,0.057617342292687924,0.13900127692261832,0.11854010718733421,0.128148859731915,0.05530910576324458,0.08924466477029461
SP-186,0.02946574024508258,0.009759654209208374,0.023722019618789916,0.024672407535127727,0.03432467809294007,0.02929234758936557
SP-2,0.0004672760703888579,0.0,0.00044247586089817995,0.0005418617680205097,0.001811361476891404,0.0
SP-20,0.005914341401414779,0.001980751915921924,0.0027842624336648666,0.0023131568539823772,0.0040323505045771245,0.006150629062062605
SP-23,0.005418821018302022,0.0,0.0,0.0,0.0018433956365524137,0.0
SP-236,0.010965536379481836,0.011241645209088751,0.008101237489148684,0.010329940754939402,0.010116758227513956,0.008073416968840058
SP-245,0.004888953599741265,0.015301796594502036,0.0045376853142812595,0.00945773067109267,0.009354038444197361,0.024226146650447027
SP-252,0.0,0.0,0.0,0.0,0.009401965814605643,0.0
SP-259,0.022764308744657336,0.007142352557358801,0.012164894824739876,0.016529103260853804,0.0683474464409788,0.011815814231198481
SP-269,0.0037829970773730452,0.007423184417147177,0.00690710078898398,0.0033488321102042237,0.004117497881923282,0.007218536274938338
SP-288,0.29860358451618807,0.3116381434054202,0.156674240449309,0.2361057316228782,0.18447559664214785,0.2771402143255445
SP-291,0.008892020581385177,0.008728656400610907,0.002061862957385377,0.0,0.014441812304963433,0.008519647403303273
SP-2982,0.2414642107356561,0.13566709138357466,0.06079350094738184,0.13518870101510225,0.019406299293466857,0.02625654224864931
SP-2999,0.1587353731489029,0.065844480579466,0.037502650371511355,0.09717323934316628,0.2127101402412823,0.09851527326940993
SP-3018,0.0,0.0,0.0,0.03042088004267893,0.011634625275006008,0.0
SP-302,0.054994588473200594,0.17419320929384488,0.15786161575143554,0.14996106625214967,0.11263043099673335,0.08388273614040484
SP-3021,0.0,0.0007937660249665027,0.0,0.0,0.0,0.0
SP-3030,0.02504645986673819,0.06930569007104735,0.08455009588471334,0.011833037010582753,0.01050695136687781,0.011013085808651058
SP-3031,0.002062799084401788,0.0014744673950987373,0.00219608382498972,0.0034862428794918987,0.0007520976648377107,0.001932737353918609
SP-3048,0.0,0.020228786892993688,0.02686193012927461,0.03364089670152684,0.02954174376139481,0.0
SP-306,0.0,0.0,0.0,0.0,0.020898323762345763,0.0
SP-3072,0.004439477007970674,0.006142123309416883,0.006734354598152249,0.005760924008668423,0.0076805746688432845,0.005061179404173479
SP-3084,0.0,0.0,0.0,0.0,0.0,0.002478252301069778
SP-3094,0.03494121172020994,0.03532073726333745,0.0069223336283195745,0.037890427441855765,0.015292654152890406,0.04253902125276572
SP-312,0.024219524762439257,0.04745964887539644,0.05686684255780804,0.01258788260446906,0.006301019589257415,0.008615510007587692
SP-32,0.09587748925833792,0.11646825233097793,0.07456538683536967,0.13990221995161112,0.09649114465313902,0.11939092732752538
SP-333,0.11582207837068144,0.05226171092131373,0.04006127041856495,0.04062764205385366,0.05508091678539201,0.04585583692859651
SP-34,0.0,0.0,0.0012822688444313187,0.0,0.0,0.003324591816433604
SP-347,0.03111932268384286,0.04046216244401978,0.05607089341871217,0.045202884583084954,0.030410315934949726,0.029359813890227602
SP-35,0.0028583388450992625,0.0,0.002236961658015194,0.0,0.0,0.0
SP-350,0.137771661226189,0.26267231539276603,0.11839449608090488,0.38231256219103665,0.12799141774691994,0.380414991242758
SP-37,0.08824222106382561,0.08754799377698527,0.07396802128386945,0.06871454319934689,0.1156263844867332,0.07144566332377494
SP-43,0.0,6.718056434720867e-05,0.0,0.0,0.0,0.0
SP-4387,0.0,0.006680017609439665,0.0,0.005135646753046783,0.0,0.012194645477529825
SP-45,0.001129948579961761,0.0028264658817364775,0.0013136777246766612,0.003936417031347895,0.0014246453903284009,0.0036379583684314864
SP-57,0.0003152498502995844,0.00032310113695778757,0.00034069119516762583,0.00031817804584358404,0.00037666482645666924,0.0002923524826961596
SP-59,0.0,0.0,9.506104646131158e-05,6.977863403563413e-05,0.0,0.0
SP-60,0.001280599975210394,0.0010708850257508363,0.0006911900159472004,0.0007092570896876022,0.0013398441780009338,0.0014122509341540554
SP-63,0.002033497374424676,0.0012040921783129128,0.0018613070988120367,0.0028229120318028107,0.0025085811312402753,0.002875423456381211
SP-64,0.0037793870501017855,0.0022883829231046394,0.0015154736166403165,0.0010225623395718178,0.0017036397326754993,0.0016371427686665441
SP-73,0.0,0.000924683974629136,0.0,0.00390941098914675,0.0,0.0
SP-86,0.011476173854431879,0.058580286779713275,0.023644015681503316,0.0,0.12970684446060926,0.08772919524009026
SP-93,0.022032342350396354,0.031408017387935,0.026216863915237552,0.03393598725926117,0.026811306931754573,0.05470858782778973
