bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-580,0.0013531756454951455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012929737920214425,0.0,0.0,0.0,0.0,0.0,0.0,0.00028447230875980393,0.0
MED-581,0.0,0.0001814345103674128,0.0,0.0007277325513514831,0.00020692237094166325,0.0008848922455941409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048038348987577013,0.0005139819726573244,0.0,0.0
MED-587,0.0027586696920823914,0.0037095839232465376,0.002428728999114991,0.001151202358326313,0.0,0.0,0.0,0.002848534255805285,0.0028966386884753267,0.0,0.0008105577725043136,0.00042698833509473733,0.0,0.0027321932177958768,0.003005453002685405,0.004167579976231751,0.004303217068521302
MED-588,0.010893044549944348,0.04565878960070634,0.06834072389578816,0.014303919164847764,0.060724228836596644,0.008706064284259012,0.027113181214926296,0.006933774580314557,0.005939903627012769,0.000897702730394707,0.00032013542989170723,0.00831596398338978,0.00020718721173860455,0.024319196396303196,0.010821049288896373,0.12166840033702675,0.10937842070359767
MED-592,0.005693225221689177,0.008519904338116438,0.009082951843662278,0.004917501503861741,0.004372091110580251,0.005987092568122259,0.009254716545110097,0.0,0.006123771759609861,0.0020279663746263386,0.028085976496441564,0.004925214204173386,0.0050627561312583036,0.009097776669921703,0.0015882352705679224,0.01281491036444338,0.010738337643837878
MED-597,0.0,0.0,0.0011320397572774925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001380353417905451,0.0,0.055869512534979064
MED-599,0.0016265829026472151,0.0007673339071554709,0.0,0.003916640285637281,0.0,0.003887941895923331,0.0,0.0,0.0003819536152991154,0.0030075789028671724,0.00011099231476421847,0.00012278570254233362,0.0,0.0006740926582996937,0.00013922847377259307,0.0,0.0
MED-601,0.0,0.0,0.0008635531689331174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038534487899192496,0.0,0.0,0.0,0.0,0.0,0.0
MED-609,0.0,0.0,0.0,0.0010663369774491502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059107853393846,0.0
MED-610,0.01571889885151213,0.10764369399564795,0.1074553487644002,0.0911106999247622,0.1797638306999099,0.09417041909830734,0.1776533124426976,0.025277043486954115,0.025692766189163555,0.09379404774687611,0.07144667737161357,0.09545063238337106,0.0660581453149395,0.055491749493210556,0.05928716788833293,0.06813884759669679,0.06365417351608259
MED-621,0.06946047665142988,0.0018910674440465428,0.005266215487725787,0.00027929946158507425,0.0,0.001061673039268571,0.0,0.01913259021006143,0.023735181933022577,0.6736615017134459,0.9824535643885413,0.454711736378709,0.2940972090444802,0.001329692077476647,0.0006275847009368757,0.04915782531618019,0.06620486672474665
MED-633,0.01677257836493664,0.010268819373163282,0.009370286345625185,0.006922840104970745,0.0,0.005280869409478545,0.00305388134147093,0.018000902752723168,0.0197047646732502,0.013659139442200114,0.005143187817210933,0.0016855257785006786,0.006151105592292003,0.0023082766566831685,0.004252796979915004,0.008366164518133826,0.007356760240154332
MED-660,0.0,0.0,0.0,0.0,0.006018195063512125,0.0,0.0,0.0024760393995859596,0.001417871046606446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-661,0.0008724047792774118,0.0013704685313630774,0.0008902413326588867,0.0,0.0,0.0,0.0,0.0009628320338210695,0.0010779607318333936,0.0,0.0,0.0,0.0,0.0020049478865102562,0.0007924154361152822,0.00042933164579322096,0.0008774180097892957
MED-665,0.014292627459446398,0.009757600045414823,0.0,0.012245751660379608,0.03440886024679406,0.013581154993348768,0.0447164932767622,0.01676513938381692,0.009429477556428542,0.0,0.0,0.0,0.0,0.0,0.011520194536943425,0.0016997303762697528,0.0
MED-668,0.015409711536903218,0.06477422935116217,0.06626055869418114,0.05918984662041222,0.08041454296694932,0.05251852938647541,0.05793904187585997,0.042936316111955725,0.04247556129584201,0.0836747967267951,0.1323928632317713,0.10272885482266104,0.007181358302326613,0.016242223043335304,0.017171861279638004,0.06006818088102028,0.05215128396242722
MED-671,0.0,0.0,0.0,0.02948933792293623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-690,0.0,0.0,0.00035245782769291483,0.0,0.0,0.0,0.0,0.0,0.0005508529632842579,0.0,0.0,0.0,0.0,0.0,0.0,8.912938160118462e-05,0.0
MED-697,0.002352471879120458,0.047769129874901874,0.044892611318453894,0.0008129596678314456,0.0047090293144667235,0.0003794723644044264,0.0041051958316282,0.04890042442838849,0.020791953747807613,0.020345940059754736,0.017791464043880795,0.009108801471602332,0.14355165278514573,0.02617073137573746,0.023928078173349562,0.04217484812208169,0.04288812995418519
MED-698,0.0002494177650191791,0.0,0.0,0.0,0.0,0.0,0.0,0.0006751064192100625,0.00014167472335891712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-719,0.00034755889959264753,0.00031550125653983873,0.00036433790561464513,0.0003681433007165242,0.0003525249598799256,0.00045349790706981956,0.00027693913751713453,0.0003594656738415187,0.0003586363721787823,0.0,0.0,0.0,0.0,0.0003077359936950101,0.00038798950673949156,0.0003185304220345278,0.0001670554508670284
MED-728,0.003526874258992934,0.0038650764020754,0.0037181351726621923,0.0004985642123769898,0.0,0.0011877617108814681,0.0,0.0,0.0,0.006722860433295324,0.12359847581346202,0.009186611306427863,0.0880136212749636,0.0,0.0006165092544991746,0.0,0.0
MED-752,0.004368527511849958,0.0021676876206895173,0.00018144887899742212,0.0009778365869293106,0.0,0.0,0.0,0.0037654055020295255,0.0038496339056287004,0.007022681335480037,0.01229051548652776,0.010553468894798643,0.0,0.0008691944867407895,0.0018190544106289526,0.0011718009614954453,0.0
MED-797,0.0,3.689135345785398e-05,3.7872816206781496e-05,5.297299306666076e-05,6.924910873425435e-05,3.677205470310648e-05,1.715968339848571e-05,5.2135084368508654e-05,4.687046583113427e-05,0.0,0.0,0.0,0.0,1.7583434935101312e-05,3.861730770919866e-05,9.322934955059638e-05,5.608242287131978e-05
MED-803,0.0001919847213634391,0.001145061560618021,0.0012155129013326903,0.0011280924926006927,0.0009200460460580583,0.001630293376438226,0.0,0.0,0.0025543158710433296,0.0,0.0,0.0,0.0,0.0067451169992417985,0.0,0.00020547583731774936,0.0
MED-815,0.0,0.0,0.0,0.00014578396416329957,0.00022546383544780875,0.0002819654651904951,0.00013065576264618495,0.0,0.0,0.0,0.0,0.0,0.0,0.00022774417341654265,0.00024655027215412595,8.719781996302345e-05,0.0
MED-820,0.0,0.0,0.0,1.6065316766962595e-05,0.0,0.00011872511157164252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003150062078341146,0.0002615410908078773,0.0,0.0
MED-828,0.0005475835874539875,0.0005243269480986247,0.000557673230583648,0.0006146294721823498,0.0005337392782804833,0.0007249229879066558,0.000790780348282339,0.0006613682986069538,0.0005761767677734453,,0.0,0.0,0.0,0.0006301880185559848,0.0005899223557604826,0.000570681292414845,0.0005509801527817827
MED-830,0.01725303361668971,0.0009927531575492626,0.0028704623892902193,0.008693620533438303,0.035165093653817356,0.01655452498768175,0.009965294504314834,0.0,0.0,0.0,0.06484458902821527,0.04646077668241406,0.029494894536679892,0.0,0.0,0.0,0.044261404596795124
MED-834,0.0,0.0038676297993079987,0.0009202927306024072,0.000827580544727577,0.0,0.0,0.0,0.0,0.0012995501943409372,0.0,0.0,0.0,0.0,0.0,0.0,0.0034107732595925365,0.0
MED-841,0.008144939873796367,0.013876798874984716,0.014831640808568991,0.0,0.0,0.0,0.0,0.06712010033521937,0.0910083802373956,0.0,0.0,0.0,0.0,0.013586899503565862,0.010809892292464266,0.08012626780491676,0.09029463169650354
MED-861,6.589835984480053e-05,0.0,6.149131962874454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED-928,0.0,0.00045418367820954493,0.0002365979200090071,0.00027951868773485163,0.0,0.00029911258611265773,0.0,0.00038525391947201947,0.0003539226036988344,0.0,0.0,0.0,0.0,0.00032940707742803424,0.0003150282736507845,0.0003820615333757975,0.000339865421208118
