Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Brandtodinium nutricula	species	class-Dinophyceae|order-Peridiniales|family-Endodiniaceae|genus-Brandtodinium|species-Brandtodinium_nutricula	1333877	71	1528	100.0%	67.93%	98.96%
Chloropicon roscoffensis	species	phylum-Chlorophyta|class-Chloropicophyceae|order-Chloropicales|family-Chloropicaceae|genus-Chloropicon|species-Chloropicon_roscoffensis	1461544	96	412	60.76%	16.08%	99.09%
Oithona nana	species	phylum-Arthropoda|class-Hexanauplia|order-Cyclopoida|family-Oithonidae|genus-Oithona|species-Oithona_nana	136191	80	701	53.69%	17.6%	96.63%
Tripos fusus	species	class-Dinophyceae|order-Gonyaulacales|family-Ceratiaceae|genus-Tripos|species-Tripos_fusus	2916	47	144	52.22%	14.44%	98.41%
Prasinococcaceae	family	phylum-Chlorophyta|class-Palmophyllophyceae|order-Prasinococcales|family-Prasinococcaceae	2201465	9	18	36.0%	10.43%	99.13%
Alexandrium andersonii	species	class-Dinophyceae|order-Gonyaulacales|family-Gonyaulacaceae|genus-Alexandrium|species-Alexandrium_andersonii	327968	9	24	33.33%	12.36%	98.75%
Pocillopora	genus	phylum-Cnidaria|class-Anthozoa|order-Scleractinia|family-Pocilloporidae|genus-Pocillopora	46730	11	42	31.43%	26.79%	99.37%
Pelagomonas calceolata	species	class-Pelagophyceae|order-Pelagomonadales|genus-Pelagomonas|species-Pelagomonas_calceolata	35677	23	138	29.87%	14.52%	97.73%
Gephyrocapsa oceanica	species	phylum-Haptista|class-Haptophyta|order-Isochrysidales|family-Noelaerhabdaceae|genus-Gephyrocapsa|species-Gephyrocapsa_oceanica	38817	18	33	18.0%	9.23%	99.12%
Prasinococcaceae sp. CCMP 1430	species	phylum-Chlorophyta|class-Palmophyllophyceae|order-Prasinococcales|family-Prasinococcaceae|species-Prasinococcaceae_sp._CCMP_1430	2489100	16	33	14.68%	9.76%	99.25%
Pocillopora verrucosa	species	phylum-Cnidaria|class-Anthozoa|order-Scleractinia|family-Pocilloporidae|genus-Pocillopora|species-Pocillopora_verrucosa	203993	16	54	12.8%	12.07%	99.48%
Prasinoderma coloniale	species	phylum-Chlorophyta|class-Palmophyllophyceae|order-Prasinococcales|family-Prasinococcaceae|genus-Prasinoderma|species-Prasinoderma_coloniale	156133	10	36	11.63%	16.75%	98.78%
Emiliania huxleyi CCMP1516	species	phylum-Haptista|class-Haptophyta|order-Isochrysidales|family-Noelaerhabdaceae|genus-Emiliania|species-Emiliania_huxleyi	280463	3	4	8.82%	16.78%	98.66%
Oikopleura longicauda	species	phylum-Chordata|class-Appendicularia|order-Copelata|family-Oikopleuridae|genus-Oikopleura|species-Oikopleura_longicauda	107032	6	75	8.22%	10.66%	95.92%
Malassezia restricta	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	76775	9	16	6.0%	3.97%	98.8%
Effrenium voratum	species	class-Dinophyceae|order-Suessiales|family-Symbiodiniaceae|genus-Effrenium|species-Effrenium_voratum	2562239	6	11	5.77%	7.94%	98.07%
Lingulodinium polyedra	species	class-Dinophyceae|order-Gonyaulacales|genus-Lingulodinium|species-Lingulodinium_polyedra	160621	6	12	5.5%	11.64%	97.97%
Pinctada imbricata	species	phylum-Mollusca|class-Bivalvia|order-Pterioida|family-Pteriidae|genus-Pinctada|species-Pinctada_imbricata	66713	8	18	5.16%	10.7%	98.92%
Scyphosphaera apsteinii	species	phylum-Haptista|class-Haptophyta|order-Coccosphaerales|family-Pontosphaeraceae|genus-Scyphosphaera|species-Scyphosphaera_apsteinii	418940	3	5	3.75%	5.21%	98.89%
Phaeomonas parva	species	class-Pinguiophyceae|order-Pinguiochrysidales|family-Pinguiochrysidaceae|genus-Phaeomonas|species-Phaeomonas_parva	124430	3	4	3.66%	14.15%	100.0%
Phaeocystis globosa	species	phylum-Haptista|class-Haptophyta|order-Phaeocystales|family-Phaeocystaceae|genus-Phaeocystis|species-Phaeocystis_globosa	33658	4	13	3.45%	25.62%	99.11%
Stylophora pistillata	species	phylum-Cnidaria|class-Anthozoa|order-Scleractinia|family-Pocilloporidae|genus-Stylophora|species-Stylophora_pistillata	50429	2	4	1.33%	8.67%	96.3%
