bin,bin_size,particle_abundance,freeLiving_abundance,ratio,lifestyle,SRR3967558_0.8,SRR3967699_0.8,SRR3962771_0.8,SRR3960576_0.8,SRR3963622_0.2,SRR3960581_0.8,SRR3961604_0.8,SRR3965809_0.8,SRR3962680_0.2,SRR3962508_0.8,SRR3961935_0.2,SRR3963804_0.2,SRR3963498_0.8,SRR3965586_0.2,SRR3960580_0.8,SRR3965875_0.8,SRR3963982_0.2,SRR3968061_0.2,SRR3963458_0.2,SRR3966130_0.2,SRR3968062_0.2,SRR3965758_0.2,SRR3963658_0.8,SRR3963599_0.8,SRR3960684_0.8,SRR3967905_0.8,SRR3967690_0.2,SRR3965873_0.2,SRR3961906_0.2,SRR3963571_0.8,SRR3963449_0.2,SRR3962772_0.8,SRR3963457_0.2,SRR3964650_0.8,SRR3961047_0.2,SRR3960578_0.2,SRR3963805_0.8,SRR3965592_0.2,SRR3968060_0.8,SRR3965874_0.2,SRR3960579_0.2,SRR3960572_0.8,SRR3965676_0.8,SRR3967700_0.2,SRR3960577_0.2,SRR3968777_0.2,SRR3965647_0.8,SRR3967319_0.2,SRR3965585_0.8,SRR3961936_0.8,SRR3962773_0.2,SRR3963456_0.8,SRR3967025_0.8,SRR3962293_0.2,SRR3962777_0.8,SRR3968063_0.8,SRR3960575_0.2,SRR3968770_0.8
deep_MAG_0031,866261,1.1666770560539428,2.8921502596689312,0.4033943437598204,planktonic,0.0005657582871936305,0.0006707075026325606,0.051023883102205916,0.004752390266706669,0.0015575852570054991,0.15620962398716529,0.3369477713712105,0.026112128676215356,0.011742005920900026,0.11125110181148604,0.14974715281329215,0.0008152854624645459,0.004844344176980617,0.0016102021278416527,0.07379944088997281,0.0018624592313152086,0.0011994849766913044,0.0,0.021710216413896883,0.00010930597129502542,4.947370695107232e-05,0.0005900994321845292,0.008421660489334858,0.011021256116860766,0.08210398811628854,0.0,0.00042782070946792666,0.0030558892067379163,0.37856749971378745,0.008772944717522293,0.0844526484677086,0.049063222770312255,0.00577759431874757,0.014965979588651047,1.417835388548898,0.01537592621322131,0.0018266031975815522,5.5485028333299386e-05,0.00032737964021356265,0.0005390240168620863,0.15857476086216518,0.008203446806520505,0.0007050919420286158,4.387846628398676e-05,0.018866868724148597,0.0,0.012066784808073855,0.00010044071476812188,0.02826140938672843,0.07021401940831536,0.03439659475773303,0.04334108022870706,0.0004583493283117044,0.18726954554974581,0.058583740378257275,5.092881597904503e-05,0.3976800822878,0.00024956101117130507
deep_MAG_0035,2550310,0.14524067525718462,2.253235000413137,0.0644587338784256,planktonic,1.3871787543697055e-05,2.2797046195843224e-05,0.0005720296229989389,0.04796044740470361,0.012210365559992453,0.00681525655671371,0.00041208928091594315,2.3909097229786797e-05,0.0014607530591686337,0.0012681598486044537,0.00621145047478739,0.00022056142194478318,0.0017457865199869765,0.0,0.015612297008245506,0.0,0.0003772479131417089,0.0,0.23555218597204278,0.00031233948029847354,8.402339883610788e-05,9.132978134359552e-05,0.004643883940874158,0.001464960038748907,0.01190066924348966,0.0,0.0001777418052302282,1.746563079051446e-05,0.02085696998813273,0.0002400668538174511,0.005268850602849215,0.01373114525010746,0.0002078071889470679,0.00026140612971233565,0.002644770558258255,0.9025567735755227,0.0001506657516107272,9.473864088122873e-05,5.5662188503415314e-05,4.743256385909316e-05,0.032596507001732236,0.028120144279774162,0.0,9.002507018154416e-05,0.6197224425187362,0.0,0.0,0.0001389363287841154,0.0,0.00591888829201156,0.11494060866069984,0.003326923981790449,8.674982180719102e-05,0.07993736576774559,0.0008928653117986964,0.0,0.21741630744923066,0.0
deep_MAG_0036,5235474,7.884526664839607,0.9370538977228048,8.41416559282268,particle,0.01715100334286288,0.015272674436446561,0.021532561728373447,0.17908330580560813,0.03618403600326254,0.03784845006797597,0.052999660383958466,0.019607250849210656,0.010599524004571212,0.015398100893505233,0.022862016146820773,0.004854956781372613,0.08942379844335943,0.017212407613941532,0.05872610175759433,0.013670581598207342,0.03128238897008889,0.020564040619817803,0.012607388311019662,0.014412973877818895,0.028937644559840374,0.004009081315997142,0.043220454645265645,0.08294033145457108,6.499253167192368,0.016137636695340574,0.019370130228287485,0.007513019506750591,0.008095110228879902,0.11591709793247992,0.005455627822628403,0.05944251229715956,0.015790205396734716,0.030800670791433803,0.010843782325254965,0.0760753343026073,0.01846579133389,0.029999748489975588,0.021252011434361597,0.005723362608434739,0.40522263896817134,0.04476038829500795,0.1310849912523801,0.028731488148670676,0.02565200735148994,0.00863454430360839,0.023950132978878835,0.009309522648670885,0.030137633631128202,0.055738983709975445,0.020182469804714404,0.06510310718762045,0.020990850140310626,0.019629961279290887,0.04940682634693721,0.03916376671012809,0.03729848610408305,0.016046821503269002
deep_MAG_0037,4316699,0.4381642774379933,3.4694780282900384,0.12629112329440123,planktonic,0.000630067401214381,0.0013875266456431015,0.00019064165543891787,0.02097687655983554,1.7050270978161652,0.0003298188763125069,0.00039861492240776463,0.0013986146298325967,0.0005870986969925296,0.000129177600255164,0.0005038229607869155,0.039451847349097076,0.006053735847005271,1.098067753687836,0.0007090870808823471,0.0009404302083901122,0.2964598616531272,0.0,0.01044542430458475,0.00394688163339626,0.0005957594647470871,0.005785563033579752,0.24175586634637902,0.0008216845455821757,0.003445476988606365,0.0,0.008150815098438735,0.0029393294714249248,0.0004385396059027673,0.006435142090882739,0.0006929760559212138,0.00018929293484861776,0.014100175280708697,0.1046517901243005,0.0013837546420622006,0.13912940944195917,0.012556486414101814,0.004553285112147635,0.0011598271284790147,0.0026456708045034024,0.0037257010055632626,0.009626396908272404,0.0010807052715696335,0.0028245198566813037,0.10675171729954767,0.0,0.001037276849810123,0.0024330982437982154,0.017467207158913717,0.0008918852113617374,0.002400620266097038,0.0007601294415014807,0.0014842544374805144,0.013770602097528107,0.0002178693002398802,0.0014383948584459616,0.0026667034074424442,0.0
deep_MAG_0038,3373499,1.666450167696204,1.2425926543833945,1.3411073708005607,mixed,0.057856269125242325,0.044401372135021835,0.009649659658112408,0.016968529993789012,0.042755032081235086,0.014434442183378873,0.10728385409993986,0.052727334365920246,0.05954459504532121,0.04328335561306627,0.024798230185847932,0.02152527687128409,0.06110787340483028,0.050974105297671185,0.019712627206652227,0.04360703241790707,0.03227644297655232,0.04079455625652834,0.05377667155175686,0.036293641260898554,0.06510374793987743,0.03877132646427363,0.05948596735709388,0.045375854375834225,0.029138181256261025,0.08500346770533877,0.02682202245622896,0.08030447901304186,0.04529073844977136,0.06527801138297329,0.08659177367616291,0.013783908043251237,0.013045503148396687,0.013924793746130586,0.13086022521594792,0.02423789713265972,0.025767610912676205,0.021876587235179358,0.06782967590877616,0.06226532633595927,0.08194429499296862,0.020039695563579214,0.01802828834347148,0.019353202773761496,0.021676693783418983,0.0509489616527056,0.023922413733032128,0.024465940784821207,0.37894911469055115,0.019633719569305735,0.027016474888656602,0.09386313364847597,0.05988880039969985,0.03986643158590164,0.04033045864390709,0.048677422253309593,0.019412475326565953,0.08649729995867639
deep_MAG_0039,2137196,1.9821706264247851,3.2697187914175485,0.6062205201339159,mixed,0.09701070759369525,0.11231154416615811,0.047007429255698174,0.14987400748941362,0.1225117030628592,0.016664160082269685,0.030347967215045974,0.028783820794474006,0.10322727322289843,0.1112672866690748,0.1710420082472493,0.03458199435147736,0.08184297913364466,0.008108559998039081,0.06422328437769546,0.11250573896199703,0.14079686450228346,0.05641122391454184,0.06602918706924049,0.0755306251742938,0.07041990667076996,0.08752398030930154,0.1398532507311148,0.0173415542231451,0.009789168626397518,0.04521785033613908,0.09209226985696715,0.03958085051545581,0.1346203155910829,0.029960898731407917,0.13667942214271142,0.03999549415062143,0.05933351781878166,0.054904364826103405,0.04316097589813602,0.34059184171181794,0.05232973800831163,0.2041084100004655,0.062034022313962926,0.26991897704492995,0.048557102188215365,0.0747643788341646,0.14262108217926964,0.04424379095844485,0.20861470914257188,0.11060045908614004,0.08774225108960597,0.26756174434341984,0.018316497853236646,0.035295000240190104,0.07688395047930627,0.06270511689147837,0.047244656758401074,0.0827160945131443,0.040092028905876584,0.058177383163844264,0.1742710336030029,0.1119469628223473
deep_MAG_0040,3777470,5.16226363226131,0.1952149863142618,26.443992491185966,particle,0.006383927427517,0.009064349969032019,0.2418243663819456,0.09854262518162357,0.008111402528714968,0.39828505071078646,0.13320039856150814,0.13286132644249934,0.002114395263659782,0.16883844375569604,0.004322263031847041,0.0023223215538442396,0.05297907200419194,0.016069977662536122,0.045227752668648445,0.11814659624826573,0.01380881666050397,2.612441939348712e-05,0.005005500297416145,0.004713885881290917,0.0003852162577446961,0.002601728223006141,0.1424277118464821,0.030769618264116817,1.69231269134198,0.0004470372897041979,0.0018000012043644423,0.003125658084913368,0.004883761054241389,0.3564424549426227,0.004051826953464822,0.04570349460526145,0.007711936197885833,0.3097022904513103,0.0057555288026161,0.012788695355218774,0.04477137026596776,0.006864041190908029,0.002166589576975473,0.00606556769477984,0.053701327397263944,0.3794188462125266,0.12512052977761506,0.00018220271931278052,0.009954194248038445,0.0002692143557837317,0.09558438959915089,0.0011641754389248866,0.24657465932975733,0.0856520369453629,0.003179633296294902,0.10940639502100612,0.04224862682006272,0.011328793402777487,0.04692703745906022,0.00033838396972514593,0.0029067971375155454,0.0008955591909078333
deep_MAG_0042,1033882,0.3832341724147819,5.104424892773629,0.0750788150409127,planktonic,0.0045085616682725696,0.003971259731273368,0.002097028288043271,0.03594003824487674,0.19614830599483374,0.0036374344133099277,0.016069852468841784,0.00842275045053576,0.3465656237355956,0.003937230719037785,0.13902219438842944,0.10065679642357638,0.00604534819103653,0.07011845860422129,0.007493806128364391,0.006233078355096198,0.16614219859851373,0.2192121283514081,0.14555146416056952,0.14115912164057406,0.22794256432137738,0.2848235224556364,0.006773892545527843,0.006803045536994158,0.0044017822951261405,0.007267077376925836,0.18322307957392037,0.16818845927191647,0.1172911583636279,0.0023200321272469323,0.21887888605874797,0.00304695753725201,0.1617466746464676,0.005272737980629209,0.2282073908606703,0.03511606698367646,0.004003579031088592,0.23399625501656113,0.004943848975876329,0.31408635202707036,0.22340739100094711,0.0032777510256374294,0.004278219954670458,0.0908479114716798,0.16297394154715483,0.32923333424810186,0.005411426177651787,0.17377190595183137,0.003966289843208098,0.003906635380053043,0.13237013705704936,0.0048875258491781455,0.007205138049480653,0.12908556344566313,0.006992542945630435,0.1934152344385188,0.16465800657380858,0.006704066685397724
deep_MAG_0044,4098530,0.3684296219549429,2.720218085456495,0.13544120742551224,planktonic,0.004530559023716235,0.006011608964658666,0.003665568239468475,0.002207951008843625,0.07608330551317852,0.003680029636090691,0.043330900013071334,0.009279948259854977,0.15515719487485705,0.010867619351455388,0.07181864902146978,0.019679921825630168,0.016815733442445396,0.15888050772623105,0.004443193872017941,0.0038663077600869203,0.05710552028328383,0.1286255457187667,0.1128905141625414,0.023349758937960683,0.05916093261312157,0.04034032319995718,0.012583005766796145,0.010965592908090816,0.014888213315068038,0.019804048691781952,0.023336026964157052,0.027092813268318586,0.12483903295550611,0.013264669590927333,0.20243400566498118,0.0089349677721122,0.0859369057628032,0.006200529349682827,0.6360262446235357,0.029695482547878512,0.005376643431948698,0.016058550654235355,0.006255455089264481,0.017742100767364037,0.2830219166764642,0.003354772329712445,0.0024031070528229264,0.01629311146251192,0.023307760931669034,0.028584866330950327,0.00668769082879406,0.018456828702420696,0.02652755658406465,0.010375671277262823,0.12329333409086395,0.03048570158081068,0.005686404565786941,0.1360563143556225,0.017155178052804764,0.055715958993044996,0.024950615820215325,0.0030650352024564173
deep_MAG_0045,3883005,2.6965566900230677,4.576046284746066,0.5892765331093467,mixed,0.042283617971133176,0.1108490767794131,0.05788585704092629,0.09408816820637803,0.1638474042281873,0.035828271128212144,0.031834626208015054,0.16546065556071352,0.1298533978284411,0.029461048278206368,0.06267167770060107,0.027078512646777433,0.12112163158689486,0.7655604979024122,0.03898253187857937,0.0579936953254496,0.09615760640851691,0.011784822918278362,0.22325210653511796,0.10960913326148176,0.07912796550977548,0.513950899636616,0.10003862070645926,0.08762325403812919,0.3103796685168678,0.00920888025609489,0.180167404900569,0.22998222353404263,0.026366177741208162,0.06194199812654738,0.12852995050899765,0.07903161485551097,0.10372588237486384,0.2151947324873963,0.034068575715978815,0.098315496688104,0.027225077624209323,0.27812546742668665,0.07625374957068946,0.23381832934427946,0.13009423010297508,0.04088294035173443,0.178648581017365,0.035680077251341924,0.05708097729735654,0.006784671988379435,0.12012834266859831,0.06744005705379144,0.0674113079807896,0.20144355552808543,0.14285498799333538,0.11471254221923484,0.049433174187742006,0.5867413889076741,0.07386208496720845,0.09264012248851841,0.053376361340276846,0.004707262467965394
