gene_caller_id,COG20_CATEGORY,pnps,gene_type
4851,O,nan,CN
4852,nan,nan,C_
4853,nan,nan,C_
4854,nan,nan,C_
6721,nan,1.0291959350630373,C_
9203,nan,nan,C_
9204,nan,nan,C_
9205,nan,0.4659841477999301,C_
9206,nan,nan,C_
9207,nan,nan,C_
10460,nan,0.7040939876785334,C_
10461,K,0.833030900888524,CN
14731,nan,0.9396078452167782,C_
14732,nan,0.482545020950136,C_
14733,nan,0.13167550234265402,C_
14736,O,nan,CN
14737,nan,nan,C_
16986,nan,1.9229578377201788,C_
16987,nan,nan,C_
16988,nan,nan,C_
16989,L,nan,CN
16990,L,nan,CN
25810,nan,inf,C_
25811,nan,nan,C_
25813,nan,0.7701309297415985,C_
60866,nan,8.300428451733662,C_
60867,V,0.07804301275588024,CD
60868,nan,0.04473482725920737,C_
60869,nan,0.6371491792211269,C_
68624,nan,nan,C_
68625,nan,nan,C_
68626,nan,nan,C_
68627,nan,nan,C_
68628,nan,nan,C_
71735,J,nan,CN
71736,J!!!O,nan,CN
71737,J,nan,CN
72480,S,0.14681524807804905,CN
72481,R,nan,CN
75499,nan,0.9748810643952472,C_
75500,nan,0.3438475878469163,C_
76512,nan,nan,C_
76513,nan,nan,C_
76514,nan,nan,C_
78973,nan,nan,C_
78974,nan,nan,C_
78975,nan,nan,C_
78976,nan,nan,C_
78977,R,0.5843729179368946,CN
78978,nan,nan,C_
78994,R,0.1049271948201666,CN
89970,nan,1.5368625379240148,C_
89971,nan,nan,C_
89972,O,nan,CN
89973,nan,nan,C_
89974,nan,1.2765422375591229,C_
89975,nan,nan,C_
89976,nan,nan,C_
116159,nan,nan,C_
116160,I,nan,CN
124532,R,nan,CN
124869,nan,nan,C_
124870,K,nan,CN
124871,nan,nan,C_
171410,L,nan,CN
175816,L,nan,CN
175817,nan,nan,C_
175818,nan,nan,C_
175819,nan,0.14009469740341926,C_
175820,nan,nan,C_
205628,nan,1.1563105055221028,C_
205629,S,nan,CN
205630,nan,nan,C_
206437,nan,1.2590911015268116,C_
206438,nan,1.6101882799314131,C_
206439,nan,2.091945309738679,C_
206440,nan,1.462128364369799,C_
