bin_name,biofilm_count
IN-37,0
IN-40,6
IN-42,0
IN-43,1
IN-47,2
IN-48,0
IN-5,8
IN-6,10
IN-7,9
IN-8,3
IN-9,7
IN-912,8
IN-918,0
IN-919,0
IN-921,0
IN-922,14
IN-924,0
IN-928,10
IN-929,1
IN-961,0
MED-1001,1
MED-1008,3
MED-1017,0
MED-104,1
MED-1047,0
MED-1076,0
MED-1093,0
MED-1094,0
MED-1105,4
MED-1116,1
MED-1122,0
MED-1153,1
MED-1155,6
MED-1190,1
MED-1223,0
MED-1227,1
MED-1233,0
MED-1247,0
MED-1261,4
MED-1269,0
MED-1270,0
MED-580,6
MED-581,2
MED-582,11
MED-584,3
MED-585,1
MED-586,0
MED-587,7
MED-588,3
MED-589,2
MED-590,0
MED-591,1
MED-592,17
MED-593,0
MED-594,0
MED-595,2
MED-596,0
MED-597,4
MED-598,1
MED-599,4
MED-601,4
MED-602,2
MED-603,2
MED-604,5
MED-605,2
MED-606,1
MED-608,2
MED-609,0
MED-610,8
MED-611,2
MED-613,1
MED-614,1
MED-615,1
MED-616,1
MED-617,4
MED-619,1
MED-620,6
MED-621,0
MED-622,0
MED-623,0
MED-624,4
MED-626,2
MED-629,1
MED-630,1
MED-632,3
MED-633,5
MED-635,0
MED-636,0
MED-637,1
MED-641,2
MED-643,3
MED-645,1
MED-648,2
MED-649,0
MED-650,5
MED-651,1
MED-652,7
MED-653,7
MED-654,2
MED-655,1
MED-657,7
MED-659,2
MED-660,4
MED-661,2
MED-665,9
MED-666,1
MED-667,1
MED-668,14
MED-670,2
MED-671,1
MED-672,4
MED-673,1
MED-674,3
MED-676,1
MED-677,1
MED-682,3
MED-689,4
MED-690,3
MED-692,2
MED-694,5
MED-695,3
MED-696,1
MED-697,4
MED-698,4
MED-702,4
MED-703,0
MED-704,1
MED-705,0
MED-706,0
MED-707,0
MED-708,0
MED-712,2
MED-713,0
MED-715,2
MED-716,3
MED-717,1
MED-718,2
MED-719,1
MED-721,0
MED-725,1
MED-728,7
MED-729,6
MED-730,1
MED-731,0
MED-732,1
MED-733,1
MED-734,3
MED-735,0
MED-736,0
MED-738,0
MED-739,0
MED-740,0
MED-741,2
MED-743,0
MED-744,0
MED-745,0
MED-746,1
MED-747,0
MED-748,8
MED-752,6
MED-753,1
MED-754,1
MED-756,4
MED-757,1
MED-759,3
MED-762,0
MED-763,0
MED-765,2
MED-766,0
MED-767,6
MED-768,3
MED-769,1
MED-775,2
MED-777,0
MED-778,0
MED-779,0
MED-783,1
MED-792,3
MED-796,0
MED-797,4
MED-801,1
MED-803,4
MED-806,1
MED-809,3
MED-810,2
MED-813,0
MED-814,2
MED-815,3
MED-818,0
MED-819,0
MED-820,2
MED-825,2
MED-827,0
MED-828,1
MED-829,1
MED-830,1
MED-831,4
MED-834,2
MED-835,0
MED-837,0
MED-841,0
MED-846,0
MED-850,4
MED-853,0
MED-855,1
MED-856,0
MED-857,0
MED-861,3
MED-862,0
MED-867,0
MED-870,0
MED-878,0
MED-879,0
MED-880,1
MED-882,0
MED-899,0
MED-921,0
MED-928,3
MED-950,1
MED-955,2
MED-965,1
MED-972,0
MED-995,0
NAT-1,4
NAT-10,8
NAT-100,0
NAT-101,2
NAT-102,2
NAT-108,3
NAT-109,1
NAT-11,0
NAT-111,8
NAT-113,5
NAT-116,6
NAT-117,27
NAT-118,1
