bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-1,0.016105804956191423,0.013136238969521428,0.0,0.0,0.001415148892705132,0.0007261225250898624,0.011848926001937439,0.004852665539550799,0.0018045084249300547,0.0,0.013667059924371675,0.0,0.0035849489722623645,0.011745802233760943,0.027224576364980047,0.010843264104893977,0.0,0.00746914729211996,0.011670550046309293,0.0,0.013284011138706087,0.013093494653494592,0.013454510940918272,0.013001812401149539,0.012943998499309118,0.0
CPC-11,0.018223389193121758,0.019227133606197044,0.01805813390193635,0.018579823283054946,0.007083870526228624,0.0061814951370979705,0.018432270822597806,0.010857631892921944,0.016474340566330927,0.016257409330250393,0.020332315739320574,0.01489321527318985,0.013491030893326044,0.015802794633922965,0.017116393171523803,0.014387407963743002,0.0182504593180934,0.01568784380930505,0.013049955955684905,0.018018349796690685,0.01765234945332982,0.013335582976715084,0.018032455485186668,0.011304873661477942,0.012126869259370617,0.013480931308866472
CPC-12,0.0,0.0005681464521687549,0.01600948632326911,0.016197969104673016,0.0,0.00025185433783622203,0.0,0.0029489746653759996,0.0,0.0018481162108936876,0.0,0.01477166053806222,0.0,0.0057096922777982615,0.0080949494896706,0.0009062805995195801,0.0026925876122809085,0.0026525288300508687,0.0,0.016771023537439943,0.00252045369236779,0.0,0.006992285971581609,0.0,0.0020819875821969235,0.014889724350722153
CPC-1232,0.0019803819472503,0.0022741494043612767,0.0,0.0,0.0017305699125136176,0.0037689832354935305,0.002281733041963516,0.0,0.01329486364493834,0.00012061854020986388,0.004459724249683598,0.0,0.0,0.0,0.012441044144368155,0.0028323340520247983,0.011620656211610255,0.004336709616419797,0.0020407536177602533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02690710871689511,0.0,0.0,0.0,0.0,0.0,0.02509680379460534,0.0,0.002784513543779581,0.0,0.0,0.023786529090104504,0.0,0.0,0.0,0.0,0.0026905930148100787,0.004544317183222526
CPC-1326,0.02698930021898769,0.026633854333560216,0.0,0.0,0.062392060025583895,0.07489816765816436,0.027792579619776808,0.11503434617868044,0.02820152401588807,0.11303303270595559,0.02774907537897024,0.0,0.0863999221666632,0.046878899122528996,0.02981453826080891,0.03825799322611881,0.11604406968101183,0.11599727680446768,0.0302284430702476,0.0,0.01121967288837256,0.0,0.0,0.0,0.029579651586582226,0.0
CPC-1399,0.01805136896995116,0.021143441757696797,0.00021726389740714318,0.0005563705491467117,0.0,0.0,0.019914249901827108,0.0,0.020818952230090775,0.0,0.02005596943815489,0.0,0.0,0.0,0.018787623691000743,0.0016451801854289296,0.0,0.0,0.0,0.0,0.007129456119182343,0.0,0.022710970722608845,0.010994169483076634,0.01666071179368295,0.0
CPC-14,0.008500159737357812,0.017574830644996257,0.0,0.0,0.01812177259882661,0.013072028868081622,0.0,0.013384983220995926,0.005403038466048397,0.012533261575072958,0.0,0.005614474079753736,0.02042730332565991,0.0,0.021792113685551614,0.024845995476376566,0.013739209165591236,0.013979929177779049,0.023488372028842814,0.008623681041114451,0.025725514405118027,0.013782462621242893,0.023322063590763293,0.015146734925064194,0.01478713609782724,0.01299479523251633
CPC-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00924647779160982,0.0,0.0,0.0,0.0,0.0,0.004359518052790386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02123278487879562,0.0,0.0,0.0,0.0,0.0,0.03996397735320236,0.0,0.0,0.0,0.0,0.012438798730391292,4.466677342751724e-05,0.0,0.0,0.0,0.0001313638147850498,0.041285874743863464
