bin,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1,0.004767260095862466,0.004225486436792397,0.0038419591378824,0.004175991408826091,0.004059207112117108,0.003917328596527963,0.004515792774552363,0.0030238859634739183,0.004250099277810626,0.003361062910783901,0.004140364633685196,0.00523547443269793,0.004530530097336895,0.004485753726093205,0.0038900110571917458,0.0050480593161275,0.007424867679762558
SAT-101,0.005905487336726439,0.004174199602946554,0.007114588755147789,0.005011848954900251,0.004585059313526227,0.004390990723035988,0.0069546042560642615,0.008386483515646916,0.010246094838074845,0.007431155461703485,0.004534067380786359,0.006297269990878125,0.008408463840303563,0.007878701965801874,0.014037816363774906,0.011179359270133745,0.01438893404601821
SAT-106,0.011854698715790434,0.016715477816659868,0.0225525045901733,0.04307371118495042,0.011752495716620013,0.024776163993491508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011715534684032431,0.0
SAT-108,0.02465784058574542,0.026985104404215008,0.01867280188169766,0.1566918516115442,0.031420892526400214,0.16306403074107553,0.017635197103866112,0.012540748004580871,0.09334201813982564,0.03814108890770965,0.10573532895598922,0.10422709491979573,0.1146557832045147,0.06241429074711615,0.0877548447509043,0.06562226526009793,0.05670273876515622
SAT-109,0.003676268133643286,0.007360903496288562,0.004468770835176304,0.008867156426455827,0.005570954898626957,0.006263136876730711,0.007480915699524208,0.0050641645420058425,0.009213882272332621,0.009227803773758118,0.006159904733500969,0.0076247366021289,0.01676026572349055,0.01419146596267249,0.009953305404461142,0.010703408729827859,0.01861018553606828
SAT-110,0.013540733482597002,0.0,0.035789017810520726,0.018985024423678547,0.030962917783126778,0.01344786774179712,0.03705133346088805,0.052816224435212805,0.01714206543088062,0.012722943293046714,0.024925090110922605,0.014847438840393211,0.021909849417641823,0.02996929262959331,0.0026695417289949825,0.011014243411768754,0.1603563442942403
SAT-111,0.003754760226685947,0.009595136887350602,0.010175573248279451,0.0077972502426784706,0.01192784861022181,0.0091452458823678,0.0128915126503906,0.0060624262337511765,0.009182198374422842,0.011271879876796198,0.011473340273850961,0.009558547756772165,0.01197349422126174,0.010914791032081516,0.013172977646612414,0.00917781054605539,0.007555886067650362
SAT-112,0.007042276271346281,0.0042708618849697155,0.013233829265615268,0.01170260953644045,0.013840599935231226,0.005394397396992951,0.01247355662975812,0.04080415367702119,0.003939980618739804,0.004595694037947012,0.005856596833182899,0.012020773006438612,0.00537494497980413,0.009315469365039615,0.030857318467348783,0.0499134423934358,0.12675913674814804
SAT-113,0.2116789994482146,0.1898796198592737,0.1600848478438606,0.14781575705725392,0.21979818155826733,0.1505847327311006,0.19340484015786844,0.16327708756779769,0.19646115374276804,0.19194221894504246,0.1467507344136712,0.13197819192829988,0.10453672435759091,0.09842329688468476,0.22877462850264207,0.24023112914289024,0.1891145525614687
SAT-114,0.0069515756073183724,0.004682699668730292,0.005231715171153826,0.007903909180836418,0.004865202806159793,0.00740459474754827,0.0021202612187202793,0.005426512591645929,0.00717322477908396,0.03643670705895746,0.008827500795539801,0.012863656333254972,0.010870802495985276,0.029350856503727558,0.009559889246060913,0.03620968804695343,0.02455353857516012
