bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120,ERR598948,ERR598957,ERR598962,ERR599007,ERR599014,ERR599042,ERR599079,ERR599168,ERR598999,ERR599020,ERR599033,ERR599055,ERR599071,ERR599072,ERR599083,ERR599085,ERR599096,ERR599128,ERR599132,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-1,0.14782329302521335,0.09045816457464546,0.13405654132051587,0.06824206562288969,0.0925313491312083,0.133175347504254,0.2060815430316946,0.052728003045537875,0.05160872844403296,0.18124883735778058,0.1682653925140455,0.1350749187399642,0.07634251527799292,0.07578439670338195,0.18099347480979874,0.061214891852385066,0.11070686654622675,0.05898851208537093,0.05629458788414713,0.05366129892632311,0.05299467768034181,0.059241603200935807,0.05885226282831608,0.05995587316393711,0.0551318603786471,0.05255557269748707,0.2520007559291164,0.23665136435808845,0.2542766518221963,0.2443921319452029,0.175758096231923,0.23308174039793136
SP-10,0.0,0.09390394871712635,0.078052342065107,0.09389825311667618,0.09371213667263627,0.0,0.0,0.006596552575995838,0.07058443591591278,0.0,0.0542313060965521,0.09335844440999518,0.0,0.06445289973676765,0.0,0.09504815013665963,0.07755598414231686,0.07134948829190005,0.03778328798469227,0.07005746534499557,0.08733520427556658,0.02797351107489969,0.029426732819258488,0.0906206291732915,0.0,0.0,0.0,0.0,0.0,0.42100752124950186,0.0,0.0
SP-101,0.08446439102657506,0.04998632536955197,0.08986146813551299,0.19309754493099335,0.1691496665396526,0.04825907292994737,0.04821574998981684,0.16061132855851132,0.0582119768890858,0.09530460373561163,0.14009348018127404,0.16048057768953924,0.08199351448179011,0.06994098189864287,0.09138237087715234,0.2499818924209587,0.1802260864680287,0.23662152170225365,0.49130074090705533,0.07931559309727677,0.11163778517731189,0.25696915864733866,0.11739772912962021,0.22953752958537485,0.4269458143885449,0.381781880113641,0.0,0.0,1.0,0.0,0.11121226476799234,0.0
SP-102,0.04684758705745872,0.037221455336225236,0.054304070137191775,0.05211090767504057,0.053933266736109764,0.034621234629212516,0.035746627688390646,0.051462625716171904,0.03907003050372368,0.05293317899316785,0.0557042805626928,0.05337186974221281,0.0429702614608711,0.02144101709951674,0.05563095193862429,0.05243250003631903,0.062375929769131915,0.05575079878790319,0.2557361737618212,0.0,0.063924455574919,0.05680925257364914,0.0,0.04895688836420426,0.0,0.06491283178899335,0.0,0.0,0.0,0.0,0.0,0.0
SP-104,0.0794622584777106,0.06755482910518991,0.07364124521542151,0.07131973445853197,0.0686345641299491,0.07245912291398773,0.07392637914546171,0.08920296370261475,0.07042955675521347,0.07794877979528762,0.07295349292355242,0.07099002947876795,0.10740875375654783,0.05492925188389979,0.06967406186058368,0.07305022386104372,0.06536779871861156,0.08238510828625989,0.06979808552548318,0.06615241974350057,0.08488252345153896,0.07574349084510933,0.07297193440204165,0.06854263222542341,0.07101605777676707,0.06844879374132583,0.03508673834389461,0.15459682554502355,0.07339192442017285,0.0,0.0858598286740538,0.060567196480416606
SP-105,0.0,0.17305864214956942,0.35019994281857075,0.10683542271574067,0.2169618000923195,0.1945274783990887,0.20649565911427498,0.13467063382124983,0.17116180545758056,0.0,0.22977348693286853,0.0839630060690654,0.13274800271750015,0.1684155846073093,0.11018355035173075,0.10936196198972341,0.4678067266041394,0.10877240874934377,0.4554116834625786,0.22931766768067882,0.20843708710010667,0.10888893998087186,0.296438411934089,0.11322754816193628,0.46663458567385335,0.3026412617304612,0.14317514736853143,0.12269528376331203,0.10793755292565022,0.2511852015661459,0.4329035873888057,0.031427722209310505
SP-107,0.009761599211659254,0.04241644183240001,0.009527202749144356,0.051743099444153416,0.011876082761665147,0.03454031364514345,0.008269210725603724,0.04077533065387943,0.03869216092415164,0.02229861675772733,0.03346087426046461,0.020545665748867837,0.03418654943796135,0.03391481321266324,0.02382354897009912,0.0428390552387407,0.016816392058326878,0.052415604358644154,0.0,0.026457861476635498,0.04601061973052905,0.050706904120572646,0.0,0.05362252310585239,0.0,0.06359771925631413,0.0,0.0,0.023335054171240054,0.0,0.08953591892903721,0.24348583368061832
SP-108,0.037501124146132776,0.04320267466170759,0.0407514190478224,0.0468740170090485,0.04349682961735358,0.011697057398060227,0.020167736623343552,0.06588417599992905,0.04144073457415733,0.05408099132423379,0.04238806359924375,0.0431202396433861,0.047347002310658214,0.04814344356805431,0.02771284121280974,0.0442379531859297,0.04124240810630626,0.049489922125611506,0.11138198105847477,0.14302628403704631,0.08275038367806706,0.04154298348522532,0.14614825976637452,0.042560749345969665,0.12636389925017946,0.1105801677574197,0.5002535695011266,0.0,0.03463195757259405,0.0,0.11423884863393946,0.0
SP-109,0.0,0.0005428625350574139,0.001706651480328093,0.04212889629574853,0.0,0.0,0.0,0.058572279890967485,0.002645371050330411,0.0,0.003508938804300946,0.0025418606729655214,0.0,0.0,0.009020563925363613,0.03383599071801215,0.013955792390168819,0.02857911175128928,0.0,0.08520845930949768,0.1396253927652116,0.017472191086461697,0.0,0.030267593777231993,0.0,0.040345382714925604,0.0,0.0,0.3330269615958172,0.5001716498161869,0.3179394657197986,0.0
SP-11,0.07785099396960295,0.08763122293337101,0.06902819569296531,0.07068739940195853,0.07725770013640731,0.08173148811921169,0.08232353994047725,0.023998042295942015,0.07719015935531881,0.05314474170127467,0.07721528829607749,0.0735028430664857,0.09321863077459834,0.08680126200306537,0.086845350085606,0.0736742387789323,0.06819319635224452,0.08859299138317624,0.0746769204310344,0.07469724438347133,0.09141518063939924,0.06282936089074855,0.07772913737362563,0.04130205611357095,0.05155390596264356,0.07675417965097067,0.10969437338943422,0.15384884478226796,0.09333545736628707,0.1585024821775236,0.06395382600248896,0.21982274077428313
