gene_callers_id,pnps,ocean,depth,bin,defense_count,sample_id,signal_CAZyme_abun,scg_pnps_median,integron
86313,0.1910721273376918,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86314,0.1601413348641495,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86314,0.11736702062940403,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86314,0.12825394156167302,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86314,0.1518842786448378,ARS,MES,ARS-1012,,ERR599062,,,
86334,0.14775201449315406,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86334,0.04222781974682044,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86334,0.078267311048172,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86334,0.059576861465708175,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86356,0.02842917915877906,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86356,0.16928559998150156,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86397,0.05070647059865061,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86397,0.07360491296099622,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86397,0.11050823372445542,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86398,0.031517264147182464,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86398,0.024513287749377725,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86398,0.05341741977152863,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86398,0.061082992699427026,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86461,0.055803294342324915,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86461,0.09079397058221167,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86461,0.07057873744325953,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86461,0.07927436990406812,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86726,0.0,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86726,0.007723903077101302,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86726,0.010344535734111432,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86726,0.09634585692228566,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86863,0.19737404567100136,ARS,SRF,ARS-1012,30.0,ERR599102,0.0036390115607208735,0.04735027417274417,
86863,0.0868044295122089,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86863,0.054057829905786406,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
86863,0.10487253560871826,ARS,DCM,ARS-1012,37.0,ERR599145,0.0038802493267803572,0.07325631706609738,
86921,0.2850496660992917,ARS,SRF,ARS-1012,42.0,ERR599143,0.0036275262456024033,0.02223239460687219,
86921,0.17879592914719245,ARS,DCM,ARS-1012,73.0,ERR599028,0.0036390411958195155,0.030608441204068783,
111230,0.0,ARS,SRF,ARS-60,,ERR599102,,,
111230,0.0632930314867435,ARS,DCM,ARS-60,,ERR599028,,,
136592,0.0,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136592,0.05233566370436931,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136592,0.10799466505134124,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136666,0.18928256911107547,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136666,0.0925252887257183,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136666,0.06920093067867898,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136812,0.032514564635490135,ARS,SRF,ARS-84,,ERR599102,,,
136812,0.055681680691691514,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136812,0.11214707188478942,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136812,0.1459382802190349,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136853,0.15983041047923033,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136853,0.14521471429760552,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136853,0.14614359806321056,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136857,0.0,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136857,0.008017414221048885,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136857,0.019055703562334887,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136858,0.5188828919101502,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136858,0.0944693624509021,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136858,0.07301813477237695,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136860,0.0,ARS,SRF,ARS-84,,ERR599102,,,
136860,0.03789279073694093,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136860,0.045588785295205735,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
136902,0.0,ARS,SRF,ARS-84,,ERR599102,,,
136902,0.024119414657814628,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
136902,0.026008501507388548,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
136902,0.0041291890366345315,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137382,0.013091981791319462,ARS,SRF,ARS-84,,ERR599102,,,
137382,0.016028733950969227,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137382,0.031311371325202834,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137383,0.034900805727925664,ARS,SRF,ARS-84,,ERR599102,,,
137383,0.1614784026586599,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137383,0.1163380108899904,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137441,0.11605833120284735,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
137441,0.12285921659298715,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137441,0.10113018622648116,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137703,0.06571192564340105,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
137703,0.08484223374736262,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137703,0.10137671723550727,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137715,0.0,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
137715,0.07735661354049181,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137715,0.08642290311312557,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137883,0.10207678561467083,ARS,SRF,ARS-84,,ERR598966,,,
137883,0.3290242110148542,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
137883,0.12711853925656266,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137883,0.26280743986210264,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
137898,0.5061431836633574,ARS,SRF,ARS-84,,ERR599102,,,
137898,0.3655333611452433,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
137898,0.279869217864508,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
137898,0.26428794417002177,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
