bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-1,4359.369040545834,22430.134016851473,16529.24503672465,23146.29022651153,7842.914121112317,25146.833417699178
SP-10,0.0,197.92749666788222,23.757575757575754,118.62234241548661,30.026936026936028,12.913206135428352
SP-101,99.83633387888706,0.0,149.82100238663483,0.0,449.2670208992049,0.0
SP-102,49.881516587677694,97.93682795698925,201.4428290700772,0.0,1081.7569294739083,247.22840343387008
SP-104,2848.048653892505,1937.5394345309896,9907.197589985752,1964.7841672967436,27878.14385231549,8224.130584887604
SP-105,346.4586715535411,5092.240093741383,12089.150840106484,1392.0531893987027,2192.0857837385392,1588.8805272225552
SP-107,49.831081081081074,299.39465543907886,1497.3895672259246,49.5700699428176,2953.4995773066084,1229.4467875238909
SP-108,199.6704288356577,0.0,3307.065557005703,0.0,2182.28231699407,99.68553459119495
SP-109,0.0,0.0,149.86551136643305,99.7842558983666,157.14892958297864,0.0
SP-11,1820.4507087026732,3652.322684020168,5780.609889738499,2958.8848621440757,2342.3083856652984,2271.253174984868
SP-110,199.40014345205918,747.4523794844202,5224.642574057862,349.4559805136571,599.3045862850873,698.834796257073
SP-112,95143.00753512034,931393.8684870908,188179.7533095494,1448318.6555095736,342037.37590721913,1986203.6114062036
SP-113,1289.1604796672773,2801.5899920394318,1593.601962060667,5723.115671696437,3042.0262494987574,2982.0982505852503
SP-114,340.2648611817166,959.8363310610001,9033.132262038946,470.52757147693245,598.6367734476028,199.6030093957496
SP-115,539.466740490288,198.92082945420685,1724.4676284988257,349.0169857217475,2787.694676451451,1612.6995028746967
SP-118,37555.62986583224,46091.9918002603,71648.76184951355,101036.88549105867,31920.10427938947,51373.16046683454
SP-119,5399.434702148705,3544.1639075168414,41641.98441692304,2292.0060087164898,8084.144043428716,4908.727366057872
SP-12,5941.710154665083,1894.1943792034513,4131.432741582434,6811.56805501705,19601.144440550084,7394.237597368664
SP-121,4493.944528760681,10208.24235928104,9290.74532588186,8431.772398898996,6089.519705636223,5514.464371399383
SP-123,349732.80208020494,87894.17947740703,888240.4519532672,185967.60335346597,660672.4285698973,89709.52828174006
SP-124,247.8699819085562,1589.6359791872842,1197.2589938787305,4144.956132760485,962.2802562160325,5036.631851545593
