bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142,ERR598942,ERR598952,ERR598987,ERR598995,ERR599065,ERR599070,ERR599087,ERR599099,ERR599108,ERR599147,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1,0.01564839027026691,0.020464153222535215,0.012475446544548685,0.010422598351269755,0.017154951113888265,0.015025944546815136,0.013249116113793119,0.012710591948981574,0.01585797214610959,0.013582463914122165,0.015844920840248498,0.014162635300748188,0.015533017087446047,0.01429321249152133,0.01905046174781961,0.01791740292323397,0.01839402345470356,0.016808156348521522,0.017465519861604956,0.012895545923069997,0.01678281503811764,0.01612702656165614,0.018753766028096867,0.015649961251607263,0.015972381459155673,0.015445505724761978,0.015307875224614884,0.01607884254733478,0.01361868887238281,0.014747565300932635,0.01656911037868163,0.016122423647411916,0.015858050537973824,0.015311897800666417,0.018162780351205804,0.017293720245581564,0.016700792125492726,0.017801270141991274,0.017698363112317296,0.017904262728751254,0.017581631662240544
NP-10,0.017472069277813723,0.0025819734592186934,0.020109627545447314,0.005923626647846191,0.005026892921957054,0.024710113993978572,0.01827930100262118,0.0,0.0035410219535071653,0.010932583173399756,0.0063869038475720214,0.024296279901783464,0.014262725712019727,0.0035794001295957186,0.015004374509542008,0.005471778182629868,0.013387795662086591,0.008842079921687498,0.012377290155225526,0.0076766560263569605,0.014632287713501198,0.017426091365606786,0.0,0.010575769868158147,0.020350596171420536,0.007565996573236471,0.003807423879635771,0.013924523476610943,0.017719463229824536,0.01442539908120156,0.015844324093302053,0.02330502957183895,0.02233780818552072,0.020222670074463833,0.019606821682456192,0.024660992450619822,0.02354717360914689,0.018200982434768646,0.02940429303144891,0.0007324013410232898,0.0
NP-100,0.0,0.0,0.023187461539447476,0.01582924043416338,0.004648929380905089,0.013436462273588154,0.013446106250819205,0.0262017892478901,0.05916824658231267,0.01738297317023316,0.023291841076038877,0.09604024492866103,0.019279615512724894,0.022267120999283626,0.027291861116717598,0.020608829710369862,0.04438225733692718,0.019868890792089033,0.04383589020669126,0.04535020790915644,0.029692158634332746,0.037000615762521165,0.06416136246960547,0.005608272796659992,0.018706521513726888,0.06430759106718228,0.028987506867891807,0.03188997187282646,0.018953054008600086,0.025615111793992097,0.019474863396298652,0.030773606458594154,0.03550578543756168,0.025012369039662467,0.0,0.08014775695543892,0.0,0.0,0.0,0.0,0.06259845756031823
NP-101,0.010374802011383265,0.01628363432567763,0.012820513240010788,0.0022689399701507846,0.011210555941464665,0.0023011352680826916,0.004070159148585291,0.006104085979484156,0.0,0.0150074578003757,0.010714311731201779,0.006796017460127347,0.007848696806167071,0.0,0.008905953293472012,0.0,0.005059403508344224,0.0006439313375689576,0.012788800378068888,0.0,0.0,0.0022381069508999886,0.012826459000533252,0.0,0.0,0.0,0.0,0.022319024081878924,0.07742787617714295,0.0,0.0,0.04435949562810063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-103,0.020235960965865614,0.0,0.017959039110243914,0.023084655174579336,0.0,0.018245865028533162,0.01623333761556564,0.0,0.024869187389532987,0.019489861111285225,0.0,0.04550504746618636,0.022438482557048327,0.023878388575443478,0.0,0.037489894342711653,0.0059971651091554,0.023611102725835244,0.01954190189636462,0.018788032671428524,0.019976269635269564,0.025070846825315782,0.031190347534213812,0.0207139039456863,0.019714737873703078,0.015135770084702498,0.012665817072704462,0.02442473278663462,0.004496282906464559,0.020061590493158678,0.018558795556055864,0.017609875646257607,0.00985572481658493,0.019878370573400948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-104,0.014862553269405377,0.014539056341544274,0.01492502763312761,0.010872077751547107,0.01573729150278339,0.007873431804195058,0.01418539764253624,0.009778334857759181,0.0,0.0034378590653291775,0.016491240750986857,0.003735677041873933,0.010442743003680643,0.0,0.014306601922858984,0.01780389095635917,0.007755196144231859,0.0048287107759892485,0.0,0.0025653077415433976,0.0,0.0,0.0,0.005487542372935731,0.002819582537456564,0.0017386558488325047,0.0,0.0,0.06311774068011566,0.0,0.0,0.004191888391969854,0.0,0.0,0.0,0.0,0.0,0.0,0.08210727599829828,0.0,0.003891474558227496
NP-1046,0.0,0.0,0.03130139515881575,0.015053879333383773,0.002445263267370941,0.02781081305293437,0.003752704569009484,0.0,0.0,0.007375444582095348,0.013296944317620393,0.0,0.009238102756913107,0.0,0.015453407215142767,0.0,0.0,0.0027571949113114878,0.0,0.0,0.0,0.0,0.0,0.0,0.00876284458469647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1052,0.0013494602604374839,0.0,0.016512381991731582,0.04227026023209206,0.0,0.0424721555227746,0.04415700072720452,0.0,0.0,0.006781739115967392,0.0,0.0,0.0034289421309656866,0.0,0.0,0.0,0.0,0.02077012470868283,0.0,0.0,0.0,0.0,0.0,0.0,0.04650276852785203,0.0,0.0,0.0,0.0,0.05945516105853921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-106,0.28766489172012927,0.0,0.5080405098244376,0.0,0.0,0.0,0.0,0.0,0.01791482727856667,0.19119196175250283,0.0,0.016653140688097322,0.09200477436856498,0.015181853070318867,0.23093293801130302,0.01806228000721768,0.007589001683666231,0.015220758958918832,0.012007057965548174,0.012662186444246208,0.01089113458972645,0.01146971650207143,0.011818692850790163,0.01222382561145441,0.013744593562781482,0.011952159887136833,0.012374455736374263,0.011514105199200748,0.016278823089674852,0.016522693216345714,0.017245957447380028,0.01742718841623727,0.02006662840068464,0.029041941293584485,0.020928649817153238,0.016231465828730862,0.022247191030916345,0.018547607718369784,0.015816986961159074,0.018216061942765767,0.01537357292434375
NP-107,0.0,0.0,0.0,0.02949770002755875,0.0,0.0,0.028327495814956475,0.0,0.0,0.0,0.0027009034602275485,0.0,0.0,0.0,0.0,0.0,0.030910501483344097,0.01630597347608666,0.0,0.0,0.0,0.0,0.0,0.0,0.01748286583847387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1070,0.004176897548539119,0.012251492979543142,0.001961805414828153,0.0,0.008337281811579418,0.012991767353580182,0.00225462193812119,0.07144619114075407,0.0053404669171037665,0.0008862628824214946,0.007168016949878468,0.006773141135400074,0.0004231707022117377,0.0035038813325348507,0.007396758925279314,0.011152727800207618,0.013642320125388536,0.013586256529869695,0.013515434161977735,0.016982341191394558,0.012881668952459164,0.01663128898675383,0.015210407925307218,0.014751687362686634,0.013218753265664965,0.012607072304967559,0.013468287622364305,0.014014789452187208,0.05823994995984605,0.05563853954950565,0.014627284087825694,0.023018033329892353,0.017408086297279454,0.010126096536230594,0.009080176067254945,0.08448249187108259,0.0123344998337271,0.028105561898522487,0.031783109955418914,0.02208915148397808,0.10362477076333368
NP-109,0.0,0.0,0.0,0.002773257193225612,0.0010881817111658904,0.002947982149055751,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960031475854704,0.0,0.0,0.0,0.0,0.004784456848421538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-11,0.0,0.0,0.0,0.0,0.0,0.001167329854322649,0.0,0.0,0.0,0.003853259834442635,0.016181892131502108,0.0,0.004640027401672318,0.0,0.012304552587915636,0.0,0.014920959653904114,4.783393189146476e-05,0.0046727559614853295,0.0040365998734817506,0.011141405448928329,0.0035155032856827445,0.012800272072111884,0.004715738167864401,0.0017787100350083746,0.004398944732238483,0.004573731280646421,0.012960427055953311,0.0036416554196212116,0.005615049837731554,0.004813025350847101,0.004558509942037217,0.012972530430334795,0.004018263077808784,0.0012206464977671206,0.0,0.0,0.0,0.0,0.0,0.0
NP-110,0.0009115040809970211,0.005848440930473063,0.0010519367127393069,0.0,0.0,0.0,0.0005143210633723199,0.0,0.011680542210718984,9.971378328854415e-05,0.0,0.011802746547775163,5.551708205135495e-05,0.012044611713067924,0.0,0.012143161380149608,0.00952583170742063,0.0017422513976004931,0.002256775752531996,0.003789553774959483,0.003898838038397144,0.002067256388621861,0.009241059743123562,0.0018316172782133079,0.0016692166967796802,0.001377761549347059,0.00511100842889491,0.002732681985604835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006681702745339508,0.0,0.0,0.0
NP-113,0.0,0.0,0.0,0.003914969250478605,0.0027750608493225365,0.0017159670619567684,0.0,0.0,0.012104164913117488,0.0,0.011738217632210255,0.01203461624404285,0.0018026319878615383,0.012217128724531508,0.008908218901493958,0.012111224469764722,0.005725538593626925,0.0019854678892887415,0.0110079215236971,0.01152084721568176,0.010254870371565998,0.011049278330205024,0.004795667641822318,0.010977597972120556,0.0063691907078891235,0.011065714099990192,0.01068463477240885,0.010224300030561333,0.02360766838430986,0.003392820972601913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004675871101725415,0.0025938993267342926,0.006434877219102421
NP-1160,0.0007294487664597891,0.0,0.0013018022830651134,0.01269749532589576,0.0023187610496762916,0.0,0.023577888380355492,0.012922233974135382,0.06214559174638203,0.008069939478806371,0.004190101597252353,0.05200191994893412,0.008775910134338075,0.035612474922337045,0.008491597122667272,0.060970499612035246,0.02925813938997391,0.020566548388364178,0.03767763518418895,0.03069070297712744,0.028198940820784075,0.05085985294403052,0.03390799795946876,0.0368657363199797,0.030591504562990215,0.023445292606792147,0.024791171147817648,0.02610840936737123,0.03105883885890518,0.0,0.0,0.0,0.0,0.0,0.0,0.01842190135984557,0.0,0.0536375099098424,0.04148930019976236,0.0,0.041485673496598
NP-117,0.0638134428395982,0.04355928257317551,0.052861017508348776,0.11069746911463611,0.029164746615365538,0.02926483377598919,0.043937951714620255,0.07698342776967587,0.12225457307989422,0.04879414272278256,0.06096404590457002,0.1300578722876288,0.059759220270443454,0.1491272808216414,0.0706140320178519,0.11830950144158649,0.07582824337319959,0.07805797623099839,0.128050061160464,0.16426711131334945,0.12010361343393228,0.11720927084214695,0.08000489315218225,0.13880807861720768,0.06448769927331965,0.14008942414026798,0.14463062186743922,0.11838184699900219,0.2731412010575527,0.276067907022207,0.3694900127963055,0.1895879954453706,0.43612984883618666,0.1685804604905039,0.31028882497537824,0.18904689869331454,0.17306252442959308,0.11597384887075254,0.11097217593449155,0.1910647882006761,0.24648923652059362
NP-119,0.008357626915432658,0.0,0.009535897005384236,0.0081012769511689,0.0,0.009699522745696623,0.009814607112086628,0.0,0.015199707300834857,0.009074556171949986,0.0,0.006769354809021306,0.012917650206995894,0.00398790461185683,0.0,0.003696751672319604,0.0,0.0130687749069108,0.01035718493373638,0.00766695358880654,0.010225757137363574,0.008622529452148222,0.0,0.01149569321989998,0.003643915561063137,0.010910265508552536,0.008812375147592649,0.00407043011211134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-12,0.006155765460112689,0.017509769864660196,0.017541351559970483,0.020199440727074632,0.014078544069275924,0.017752051687817655,0.016338357062167977,0.01182174051166898,0.015635680549855417,0.020551407470409157,0.015827378830828097,0.017662411163000352,0.01895241601220202,0.01558372651717703,0.015539075165992983,0.02505255880046662,0.01875006554412069,0.023121803005318742,0.017446812163517206,0.0164739924285371,0.018221320479895387,0.018043203889037476,0.015802246623582906,0.017065759693233644,0.02087643577758857,0.016585307065876846,0.016263291387648024,0.017367049414240464,0.018352118097586936,0.010868664305891935,0.010340790187729276,0.010681219736130537,0.002573779586565643,0.01434496153807217,0.006066460698181704,0.012119900956441644,0.029088833184864497,0.006343392698346724,0.02547510639962593,0.04453693097513072,0.025820031639254448
NP-120,0.018373861310313416,0.023446235766541503,0.018135728472497083,0.01894145710919156,0.017277764667252747,0.016389156585031008,0.016969839920916916,0.015654990259280993,0.022438617036789683,0.018131236579482495,0.020931713082548938,0.016698244420934406,0.012993595483438135,0.01838989718812669,0.006749131438924719,0.041216692852115835,0.01280292793578241,0.01887814155412767,0.018448270887518475,0.021269644112394605,0.0183984315778889,0.013483104240862936,0.010930875192877597,0.019562769025594305,0.019877505298627175,0.01917315065043822,0.018015481029395864,0.011782077100088908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-124,0.0008052580855491859,0.02327066501898573,0.02448821847660611,0.024539504512315066,0.023715335202615265,0.013733835847500915,0.014639758341809386,0.00496583908490919,0.023417167341461664,0.021765954584556716,0.002490055317408228,0.026298788368994772,0.025167705179963917,0.02489499876206346,0.004979944402337281,0.02642847894401507,0.022711040610390754,0.025223817308075717,0.025612741705278372,0.026052854093885004,0.023964461710798714,0.02556754377391592,0.030305017936657793,0.026688486136516847,0.01475607547580192,0.024285775205091415,0.02607681199774843,0.026683115912689848,0.010629478668766268,0.0,0.0024413593521985045,0.0,0.0,0.006524901453972894,0.029243678921985105,0.0,0.04065674693384703,0.0,0.0,0.020150959340806227,0.02621882369501547
NP-125,0.01232537500485606,0.03372848246847907,0.013922165393735211,0.015796605384919667,0.04856742639445748,0.017984608192057914,0.017209160347321298,0.043217607922610334,0.004578977907111637,0.017988892921577748,0.0354822384866001,0.010254334015811401,0.01502375966573582,0.017002811090194286,0.03380290589210051,0.014398675554437135,0.03190908229003856,0.019257971386438495,0.016621998154535977,0.01637454785861625,0.015434372063725589,0.01582110377965662,0.03176061050061157,0.016049144014869458,0.01723071795495912,0.015157410063645998,0.011315133189276039,0.0163952486926431,0.018552883343125413,0.013941398752532686,0.013290054083192428,0.013707739901562438,0.023088418763939828,0.014629556275894755,0.008502465867614484,0.007111309174904251,0.011775345842444171,0.05001961791819027,0.049924600350433126,0.016808722513781037,0.02656800843620569
NP-127,0.0,0.0,0.015763739908249644,0.014212099113817359,0.0,0.0,0.0005067410284643485,0.0,0.011233534723447904,0.01864803676370554,0.0,0.04667970314288321,0.02423879376617061,0.03397493629081631,0.0,0.025657624854901372,0.008062924255044807,0.029392674957556642,0.0306390452934094,0.020699998871186287,0.025643578627301614,0.02735561764115867,0.0,0.05093619871520433,0.023964678761112194,0.013409228372142321,0.020050842347894567,0.019409359501304093,0.01785684133769528,0.019494338027504488,0.016095262552186608,0.0212651984386604,0.011351713500537724,0.018916321989134996,0.031824896104183265,0.020347419963230175,0.0,0.0,0.0,0.0,0.0
