bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-1,0.024109861823443456,0.02739483763331433,0.02856270062725181,0.02738187504838736,0.013506525056801591,0.08116850800997782,0.0,0.0,0.0049711250964855624,0.00960355609905202,0.015405274881302427,0.10810512890986912,0.0,0.0,0.008966437255437134,0.0,0.03014341186069036,0.027612511085665283,0.03149098700023523,0.02999559454809642,0.025624914877034236,0.025168316365144494,0.025019551045747778,0.028190745233553922,0.03427464687781502,0.02834566286091181,0.02865710328160982,0.02671195333975762,0.005511032687953036,0.0,0.013407903086160935,0.027644094751292755,0.030654420521010525,0.021111345103860896
EAC-10,0.003587516606000258,0.0,0.0,0.0,0.0,0.0026769635818599717,0.002725423128639706,0.0028204310858316256,0.00321012138999987,0.00312951659640914,0.003276824683375728,0.0039003373677219772,0.0028409538715385993,0.002855828346396666,0.002789550938981889,0.0023055461837719103,0.0,0.0,0.0022868893324192014,0.0025491127127774344,0.0,0.0,0.0,0.0,0.0034487519901762807,0.0036433516462059915,0.0026821927966628072,0.0029617056405324823,0.003240896612922121,0.002988781229054087,0.003018879098588358,0.00269043151449117,0.002443059207460859,0.0
EAC-102,0.0011278811193643516,0.012226734058099783,0.01214705946282327,0.011423878974256008,0.005702486585648721,0.0,0.0,0.0,0.0,0.014725856939569498,0.015343807259979223,0.0,0.0,0.0,0.005078215522909173,0.00016919147757397214,0.008060752040945278,0.006082054856182495,0.0020904788600582805,0.008110273973274684,0.012176277272269663,0.004894716788276464,0.011468855950297212,0.012096850820862497,0.0038728791982310957,0.0,0.0061941471895479334,0.0064920812968979665,0.005853560742425252,0.010752175918678377,0.0032683618034422715,0.0010387585445719748,0.006845494953132932,0.0014679799654406618
EAC-103,0.0,0.017337862348728122,0.04005377544316272,0.026993586157589334,0.029108172010784004,0.0,0.0,0.03237450822189626,0.0015049053777793082,0.014552946338162674,0.012245163588748024,0.0,0.0,0.006163356318059073,0.01925732451816615,0.0,0.0032976886178379236,0.029026996113831742,0.03000243415700948,0.028476134806255885,0.0,0.0,0.0082592570203576,0.027458877406435704,0.0,0.02482054362145757,0.03470468336264796,0.02519705811233412,0.020115375580433803,0.0,0.013182877686066633,0.021499871283870795,0.02970918183928895,0.021050921332328318
EAC-107,0.01691611603342055,0.0,0.3250251155437755,0.0,0.0,0.01243611042167088,0.016658573791937626,0.009129797825249333,0.010774199691874636,0.011469915490471444,0.010669019242166101,0.01690843189008709,0.012566399279365394,0.009092027220454959,0.011244618418588533,0.010852535393267575,0.0,0.0,0.006478846940969709,0.009182755454473567,0.0,0.0,0.0,0.0,0.012058838595572606,0.016422319676446577,0.011097977194971936,0.00783926257818619,0.012365170734816217,0.0110737624055717,0.011604782641382452,0.021657510527455213,0.009449028382195013,0.0
EAC-108,0.0,0.0020423764787039786,0.0015855397636522362,0.007427748449179518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03967384475737484,0.0,0.0,0.0,0.0,0.027495985423037616,0.0,0.0,0.0037750443080343528,0.008251177202114131,0.00846809464768544,0.014433971319435678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009718188442483465,0.019306470863851746
EAC-109,0.0,0.026019859046563263,0.021251458128571328,0.0,0.002018942997229091,0.0,0.0,0.0,0.0,0.0025941956817322875,0.0,0.0,0.0,0.0,0.0,0.0,0.0070003383662317255,0.023326729548627485,0.0,0.0,0.006001097776706342,0.021529287033517273,0.010779255997295257,0.0023342596143499186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02317930109263458
EAC-11,0.040130553323647414,0.0,0.017414472323424263,0.0,0.0,0.019663026949999395,0.006726292103562451,0.011991421806069616,0.015201136025928258,0.016833665816199966,0.016661409572035393,0.0033951961500354386,0.0121294842427546,0.011164988507293878,0.012158249281804912,0.0030854463663170673,0.011092299858028376,0.0005194939131982054,0.014201586904742863,0.00825024756354385,0.0,0.0,0.0,0.0,0.008224388139124628,0.007022559038181703,0.008269952931862763,0.003985815973534653,0.0029393003650902702,0.0053596338060753,0.01668699392460584,0.007373034632060951,0.01208459745315456,0.0
EAC-113,0.0009256133600378117,0.0,0.0,0.0,0.0,0.005827845986930627,0.005926049344935292,0.004916044137634133,0.0038528466872471004,0.0025186490195549366,0.0008973247525672474,0.005137794004648346,0.007116116649361041,0.0048912436916471414,0.0049523669191307565,0.005372058723889077,0.0,0.0,0.0035910907998038064,0.0,0.0,0.0,0.0,0.0,0.00426968546692997,0.005463434013733294,0.005103341609807516,0.00495007233606729,0.004214123979620717,0.004589851398906498,0.002660854956747643,0.004313378022864094,0.004559264597154136,0.0
EAC-117,0.02697635479753066,0.0,0.0,0.0,0.0,0.01184693392206816,0.02249945367181157,0.028294188615836355,0.005950167312938276,0.023473498698505322,0.01809552335194209,0.029522687849317678,0.017314173419474714,0.024590226661468696,0.02603226410591651,0.019248829194942325,0.0,0.0,0.034880451158765396,0.02945808453449831,0.0,0.0,0.0,0.0,0.008845756359618588,0.025570747172935455,0.019364303740268308,0.015142991804161813,0.017083391458134596,0.01576304946254692,0.019981157833576926,0.0112413188175785,0.01872950932803489,0.0
