depth,ARS_median,count_x,CPC_median,count_y,RS_median,count_x,MED_median,count_y,EAC_median,count_x,IN_median,count_y,SAT_median,count_x,NAT_median,count_y,SP_median,count_x,NP_median,count_y
DCM,0.9118174640209897,24.0,1.1135730686000787,39.0,0.9857212740777522,85.0,0.9538080203123791,192.0,1.0491048477338918,48.0,0.9491380933568905,20.0,0.9626487488175167,67.0,0.8812594615451563,87.0,1.1146293372448748,83.0,1.0711632356927128,70.0
MES,0.9401163055095209,64.0,1.2708138712856707,29.0,,,,,,,0.9310292650822878,15.0,1.0738811439323412,75.0,0.9941681132913522,106.0,1.0002110863342424,85.0,1.0974124482048273,151.0
SRF,0.9032247056267262,14.0,1.081497199674168,54.0,1.045925595641218,57.0,0.991831995293825,262.0,1.0203982911687044,70.0,0.8664894956926948,11.0,0.962808314991884,25.0,0.9530643077535915,185.0,1.1477846507381224,42.0,1.015658991880986,32.0
deep,,,,,,,,,,,0.9566310373381008,18.0,1.0882302821701177,77.0,1.0206712521763575,60.0,0.9902805791105437,37.0,0.992890152661636,96.0
