bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120
SP-10,0.0,0.0018349141728368986,0.0,0.0021733284883706876,0.0016652255286403342,0.0,0.0
SP-104,0.0007969589903821172,0.0002122991637871262,0.0005165430364580828,0.00027845178107711003,0.00026730190703496976,0.00021500719533921567,0.0
SP-109,0.0,0.0,0.0,0.003126450807615366,0.0,0.0,
SP-11,0.0,0.0016222574335062168,0.001856848996927153,0.0025602831440044455,0.002627826149396438,0.0024491872532820228,0.000728883938508824
SP-118,0.005098062927418026,0.004598870129795796,0.0027999484407149316,0.0020167045076771462,0.002210656173968311,0.0027785766515172864,0.002354275537127695
SP-119,0.0003968937503001986,0.0005640321140269556,0.0004125366912660224,0.00018413255911140024,0.00039846719461228235,0.0004927574642455838,0.000309061309400249
SP-121,0.0011149563436965147,0.002126376051825181,0.0016166095649904335,0.0010895333943552192,0.0013484303193253755,0.0021788832318762235,0.0012048769037644944
SP-123,0.0024593403290344403,0.012910010277073473,0.002113153356673976,0.029561985279748636,0.003603445636960041,0.008079095592630927,0.0056772851836106525
SP-125,0.015474511107575738,0.017912561167602634,0.009475110741316227,0.030786310474104416,0.002477873144945764,0.0015831828942218208,0.001472892989627472
SP-126,0.0,0.026932070566085698,0.0040100349009230905,0.010146996625423179,0.02352407283007649,0.0028008300968160624,0.011518130207801874
SP-133,0.0,0.004720961789991253,0.006197553411496319,0.019373786854466092,0.04098739511310349,0.0057900415507700234,0.009385136259678014
SP-140,0.0023469165743459407,0.00033863730919015143,0.0007373728438677166,0.0011985491385531576,0.0,0.0008630292038440916,0.001822256341277173
SP-144,0.0,0.006175118950299307,0.0013052918806945794,0.004439428861300222,0.0052295386709846825,0.010695958218442932,0.006805120820909672
SP-149,0.0,0.0014904138776363767,0.001213584450842955,0.0014871385145414173,0.0004103164968924018,0.0015126972195017472,0.0
SP-15,0.006046026657424922,0.0034364952184724085,0.0003558860998726059,0.0032997092475898966,0.0,0.0,0.0
SP-151,0.0,0.0003078951413946097,0.0,1.4099368419705007e-05,0.0002484363585442941,0.00040914250214248203,0.00035445357677984444
SP-159,0.08193644412738343,0.06747862841266182,0.06617159216394529,0.07152066712295779,0.017127647094224915,0.04616742761247578,0.054306138704042176
SP-16,0.018740114763464127,0.00873171406870538,0.008846777987203302,0.006547964358617052,0.0060440373314477585,0.007960721007085034,0.006480448697600138
SP-161,0.04964917573128929,0.07358199750905833,0.029506280489076657,0.008082441602185953,0.052604231134141775,0.08857969520117685,0.0302771841678673
SP-162,0.0,0.00021147251308683532,0.000783246801602941,0.00015013268810260824,0.0002150632090625956,0.0,0.0
SP-163,0.013339880224868093,0.013310444433093389,0.020334550794687926,0.014960623235487993,0.003836615611725905,0.014470106386220632,0.028305547119194443
SP-169,0.000836454404069932,0.0038981070885555445,0.004901641974205754,0.0018350236799368575,0.0056745116495405725,0.0,0.00398986549793242
SP-17,0.0,0.0032432388213030723,0.008992870161654471,0.004732769516010808,0.0017735785556115024,0.0008360972325926543,0.0
SP-176,0.0,0.0,0.0,0.00018689946467848853,0.0,0.0,0.0
SP-177,0.0,0.002916709480661741,0.0,0.011350626111430931,0.007524975378784494,0.011734063021196974,0.010449955330545248
SP-180,0.08901444868339428,0.10835245756008995,0.007088681080750974,0.012793304140118306,0.09833108277353893,0.09568917158899257,0.0901376874562877
SP-181,0.19284196521329344,0.039047847721104055,0.13397391677689188,0.38762792074001606,0.004963683456480604,0.07851237541357337,0.0
SP-186,0.0,0.01622894414245892,0.0,0.01649534473410551,0.019988697269879115,0.018641250902182067,0.0494639017209878
SP-20,0.0015928517273551535,0.001238388356336022,0.00034731380497771456,0.0009379810972424352,0.0005692677410562761,0.0007938251397313434,0.0010517637631913207
SP-21,0.0,0.00018621818566718032,0.0,0.006798423544327421,0.0,0.0,0.0
SP-23,0.0021170600601319663,0.0,0.0,0.0005445237926770537,0.0,0.0,0.0
SP-236,0.002147727449905942,0.00762810241553885,0.00395030249035461,0.01273117473809197,0.0007675932447068433,0.019551720441532142,0.019913840232677206
SP-244,0.013898393881082646,0.014937933383388924,0.01605805926936802,0.017415298724265563,0.016613480323266434,0.015430309599415422,0.014884707583552582
SP-245,0.007101322347177557,0.007286950817919537,0.010267300109951236,0.008642903515785033,0.008850534849257097,0.009105318579884012,0.009316122826158072
SP-246,0.0,0.00019756701717298512,0.0,0.0,0.00012219793451319477,0.0005133926522215949,0.000306306119856661
SP-247,0.0,0.0006645659598626269,0.0,0.0008107960439870447,0.0,0.0,0.0
SP-251,,0.0,0.0,0.00744307699966894,0.0,0.0,0.0
SP-259,0.007915191898134707,0.009159357415395019,0.007495049475158965,0.021474514237709852,0.0817598182426998,0.09157793833650565,0.26514521392087886
SP-269,0.044986565641470695,0.045836809283089947,0.04062237896028318,0.021854501711479134,0.0751069704268006,0.033050292601897575,0.05809186812245288
SP-28,0.0,0.000595208591961806,0.0,0.0,0.0,0.0,0.0
SP-288,0.02500179191782132,0.021104963489285932,0.04010549760018783,0.016326240376702016,0.013171267530149864,0.013537084276591968,0.010582425018425571
SP-291,0.0,0.002272646629877639,0.0038829411992862112,0.0008301349201076056,0.0014147714539274245,0.038009921832888774,0.01734637438743878
SP-2982,0.5492443993741385,0.6026882622658815,0.6074396727327113,0.4111999318329103,0.3326256081598755,0.7192554440521719,0.6634707723666361
SP-3018,0.0,0.009051321498097176,0.0,0.0,0.008539117664775827,0.0,0.0
SP-302,0.017185237209705793,0.10987837186918639,0.007827251825503978,0.02638679177952817,0.09162426925754383,0.06257542168411961,0.06897368054561681
SP-3023,0.0,0.0,0.0,0.00048092386842309663,0.0,0.0,0.0
SP-3030,0.0,0.006824507707576671,0.004863822513494493,0.003042075369606862,0.00508118410283375,0.011257052867110498,0.011760039578406448
SP-3031,0.0,0.0006061040772567043,0.0,0.0017224826147714044,0.0,0.0,0.0
SP-3048,0.0,0.0,0.0,0.007543643713739054,0.0023967691491558994,0.0,0.0
SP-306,0.0,0.0,0.0,0.0007880521839926278,0.0,0.0,0.0
SP-3072,0.009807296053246999,0.03178204596721126,0.004927288672432951,0.008696880500820622,0.015240453613947033,0.03709669064754567,0.0597216659315737
SP-3094,0.06916097317202156,0.0149422051244372,0.05044550697243021,0.013632250901278535,0.017257913052599657,0.0,0.0
SP-31,0.00027028747300415453,0.0007515282687094925,0.0015138958351693002,0.0009406431766434016,0.0007541642726833945,0.0009440015012474428,0.000996390593190014
