bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count
NP-104,ERR599065,DCM,0.07869863014385362,8.0,0.014214339505641212,1.0
NP-104,ERR599087,DCM,0.029620649719740086,51.0,0.03639721831192712,12.0
NP-104,ERR599108,DCM,0.14854468971211576,2.0,0.006845180186541732,1.0
NP-104,ERR599118,SRF,0.09342386749834489,10.0,0.027211727219757342,1.0
NP-104,ERR599142,SRF,0.04420190789355252,130.0,0.024557288542907927,16.0
NP-1044,ERR598971,MES,0.17705207284877042,19.0,,
NP-1044,ERR598980,MES,0.12601392579295517,20.0,,
NP-1044,ERR599067,MES,0.2093473129829972,1.0,,
NP-1044,ERR599115,MES,0.16925994967118374,411.0,0.09181469272314056,2.0
NP-1046,ERR599052,SRF,0.14377730009256287,139.0,0.09668550054308506,6.0
NP-1046,ERR599142,SRF,0.9628775582058852,1.0,,
NP-105,ERR598971,MES,0.09472299520169489,34.0,,
NP-105,ERR598980,MES,0.14054283854471628,584.0,0.11456901391883585,11.0
NP-105,ERR599067,MES,0.35484065830564937,3.0,,
NP-105,ERR599115,MES,0.18346346195300225,815.0,0.10348256158955804,17.0
NP-1051,ERR598980,MES,0.04671365312283498,2.0,,
NP-1051,ERR598987,DCM,0.1768903334602549,885.0,0.18797892678653946,50.0
NP-1051,ERR599004,MES,0.17207600741120588,812.0,0.16191110588030375,43.0
NP-1051,ERR599015,MES,0.17117915491630908,840.0,0.15880610079483987,45.0
NP-1051,ERR599051,MES,0.1680470269914273,799.0,0.10941314416938176,38.0
NP-1051,ERR599060,MES,0.16520352940980246,809.0,0.15891654921024578,43.0
NP-1051,ERR599070,DCM,0.17349954163446962,890.0,0.1769452862159737,50.0
NP-1051,ERR599076,MES,0.17311606149972653,846.0,0.17020492648200522,46.0
NP-1051,ERR599099,DCM,0.17419799234044434,886.0,0.17431466468463755,52.0
NP-1051,ERR599115,MES,0.03619802427292293,2.0,,
NP-1051,ERR599127,MES,0.17590635204598706,838.0,0.18319305407887876,46.0
NP-1051,ERR599147,DCM,0.17332129794733572,888.0,0.16430105079116236,50.0
NP-1051,ERR599152,MES,0.1692385305249714,834.0,0.1880390443387597,45.0
NP-1051,ERR599175,MES,0.1725391466369595,797.0,0.1505611669156523,42.0
NP-1052,ERR598942,DCM,0.3587795824511893,1.0,,
NP-1052,ERR598952,DCM,0.39233818049604935,1.0,,
NP-1052,ERR598971,MES,0.39314543438556737,1.0,,
NP-1052,ERR598980,MES,0.33205396936611264,1.0,,
NP-1052,ERR598989,SRF,0.3679551464949704,1.0,,
NP-1052,ERR598995,DCM,0.34053645483297623,1.0,,
NP-1052,ERR598997,SRF,0.29861584958537035,1.0,,
NP-1052,ERR599015,MES,0.3034268160295596,1.0,,
NP-1052,ERR599030,SRF,0.3187430523956079,1.0,,
NP-1052,ERR599051,MES,0.44785704284046596,1.0,,
NP-1052,ERR599052,SRF,0.1459685044595202,1179.0,0.16744277928992246,30.0
NP-1052,ERR599065,DCM,0.38078055391555576,1.0,,
NP-1052,ERR599067,MES,0.2991175207860873,1.0,,
NP-1052,ERR599076,MES,0.3101575574820906,1.0,,
NP-1052,ERR599087,DCM,0.3887666562880037,1.0,,
NP-1052,ERR599108,DCM,0.3404028085535427,1.0,,
NP-1052,ERR599115,MES,0.3736278376434488,1.0,,
NP-1052,ERR599118,SRF,0.29270241399769437,2.0,,
NP-1052,ERR599142,SRF,0.3044916950365319,1.0,,
NP-1052,ERR599175,MES,0.2785293800539037,1.0,,
NP-106,ERR598971,MES,0.19686528536210007,45.0,,
NP-106,ERR598980,MES,0.14316583301012925,70.0,0.11752031196781293,1.0
NP-106,ERR598987,DCM,0.19784869066176405,37.0,,
NP-106,ERR598995,DCM,0.003811163019424624,1.0,,
NP-106,ERR599004,MES,0.21288970837324836,39.0,,
NP-106,ERR599015,MES,0.21949758692792065,53.0,,
NP-106,ERR599051,MES,0.19825299697745136,34.0,,
NP-106,ERR599060,MES,0.17302725724088666,37.0,,
NP-106,ERR599067,MES,0.31331679065448614,8.0,,
NP-106,ERR599070,DCM,0.21744318338353,35.0,0.003293093605134397,1.0
NP-106,ERR599076,MES,0.20447003340024422,52.0,0.10014038517798073,1.0
NP-106,ERR599099,DCM,0.19764219240547956,36.0,0.0,1.0
NP-106,ERR599115,MES,0.13908126267384652,100.0,0.10862448937019777,1.0
NP-106,ERR599127,MES,0.1679000613120772,51.0,0.1577381267538491,1.0
NP-106,ERR599147,DCM,0.1781412814656557,40.0,0.0,1.0
NP-106,ERR599152,MES,0.17878996794991375,58.0,0.08421070060981806,1.0
NP-106,ERR599175,MES,0.2326447664609003,39.0,,
NP-107,ERR598942,DCM,0.5619195368285966,1.0,,
NP-107,ERR599052,SRF,0.10040233244184213,165.0,0.008826610573709792,13.0
NP-107,ERR599065,DCM,0.0,3.0,,
NP-107,ERR599118,SRF,0.037455918177309394,3.0,,
NP-107,ERR599142,SRF,0.09600884071745261,4.0,,
NP-1070,ERR598942,DCM,0.030867297693070533,4.0,,
NP-1070,ERR598971,MES,0.10756994828950964,857.0,0.0809406822394648,34.0
NP-1070,ERR598980,MES,0.11034650558495593,889.0,0.105047125150628,43.0
NP-1070,ERR598987,DCM,0.17884542450038313,2.0,,
NP-1070,ERR598989,SRF,0.06480656349783184,3.0,,
NP-1070,ERR598995,DCM,0.06790812089305875,20.0,,
NP-1070,ERR599004,MES,0.3264120314157425,1.0,,
NP-1070,ERR599015,MES,0.3471423673244678,2.0,,
NP-1070,ERR599030,SRF,0.05440927150051656,5.0,,
NP-1070,ERR599051,MES,0.6180699526364736,1.0,,
NP-1070,ERR599052,SRF,0.028538930266431062,6.0,,
NP-1070,ERR599060,MES,0.2862234033856047,1.0,,
NP-1070,ERR599065,DCM,0.07314520190830595,2.0,,
NP-1070,ERR599067,MES,0.11667481433137197,8.0,,
NP-1070,ERR599070,DCM,0.19688918233891514,2.0,,
NP-1070,ERR599076,MES,0.1955250834739982,1.0,,
NP-1070,ERR599087,DCM,0.058587563765794735,21.0,,
NP-1070,ERR599099,DCM,0.1740286090611187,2.0,,
NP-1070,ERR599115,MES,0.12672173501770592,1197.0,0.09873519611381013,55.0
NP-1070,ERR599118,SRF,0.05976730347380885,2.0,,
NP-1070,ERR599127,MES,0.2501179632479748,2.0,,
NP-1070,ERR599142,SRF,0.04753976004871442,3.0,,
NP-1070,ERR599147,DCM,0.16696057845969928,2.0,,
NP-1070,ERR599152,MES,0.1959267832110763,1.0,,
NP-1070,ERR599175,MES,0.5559194164139143,1.0,,
NP-109,ERR598942,DCM,0.3371246919129852,1.0,,
NP-109,ERR598952,DCM,0.3859596950375557,1.0,,
NP-109,ERR598971,MES,0.34840001605213433,1.0,,
NP-109,ERR598980,MES,0.3316209422699377,1.0,,
NP-109,ERR598987,DCM,0.1862033265542046,1.0,,
NP-109,ERR598989,SRF,0.2921627360043761,1.0,,
NP-109,ERR598995,DCM,0.3530671005330717,1.0,,
NP-109,ERR598997,SRF,0.36483075165483947,1.0,,
NP-109,ERR599004,MES,0.184899483970928,1.0,,
NP-109,ERR599015,MES,0.16069249064192667,1.0,,
NP-109,ERR599030,SRF,0.3523173134192633,1.0,,
NP-109,ERR599051,MES,0.15466020448260856,1.0,,
NP-109,ERR599052,SRF,0.3475851756825385,1.0,,
NP-109,ERR599060,MES,0.17903552010351392,1.0,,
NP-109,ERR599065,DCM,0.3025497107248043,1.0,,
NP-109,ERR599067,MES,0.28862691132469953,1.0,,
NP-109,ERR599070,DCM,0.18433615900849434,1.0,,
NP-109,ERR599076,MES,0.15570849464794947,1.0,,
NP-109,ERR599087,DCM,0.36080644346690893,1.0,,
NP-109,ERR599099,DCM,0.1558683853459973,1.0,,
NP-109,ERR599108,DCM,0.2296676508249377,1.0,,
NP-109,ERR599115,MES,0.3125839524449131,1.0,,
NP-109,ERR599118,SRF,0.3388002147420265,1.0,,
NP-109,ERR599127,MES,0.1578517353642605,1.0,,
NP-109,ERR599142,SRF,0.34128334574739505,1.0,,
NP-109,ERR599147,DCM,0.15816436036893985,1.0,,
NP-109,ERR599152,MES,0.19628272308098094,1.0,,
NP-109,ERR599175,MES,0.17717387242084615,1.0,,
NP-11,ERR598942,DCM,1.5154505916369,1.0,,
NP-11,ERR598971,MES,0.0275307219141647,5.0,0.10258382330102668,1.0
NP-11,ERR598980,MES,0.12821801272170646,4.0,,
NP-11,ERR598987,DCM,0.0,1.0,,
NP-11,ERR598989,SRF,0.9367728340548639,2.0,,
NP-11,ERR598995,DCM,1.0623762499840106,2.0,,
NP-11,ERR599015,MES,0.04693242893823248,2.0,,
NP-11,ERR599030,SRF,0.022089251400126627,3.0,,
NP-11,ERR599052,SRF,1.1158772248863835,2.0,,
NP-11,ERR599065,DCM,1.0278810408921917,1.0,,
NP-11,ERR599067,MES,0.0,1.0,,
NP-11,ERR599070,DCM,0.0011145638880264023,1.0,,
NP-11,ERR599087,DCM,0.009845971789273112,3.0,,
NP-11,ERR599099,DCM,0.000985687799365808,1.0,,
NP-11,ERR599115,MES,1.3531598513011127,1.0,,
NP-11,ERR599118,SRF,0.9554199880905614,2.0,,
NP-11,ERR599142,SRF,0.8549906439540221,2.0,,
NP-11,ERR599147,DCM,0.0023892436862728637,1.0,,
NP-110,ERR598942,DCM,0.008089257805118572,3.0,,
NP-110,ERR598971,MES,0.07358251064646341,155.0,0.08454609229287091,2.0
NP-110,ERR598980,MES,0.0743622015505957,121.0,0.13260869565217326,3.0
NP-110,ERR598987,DCM,0.16292451735467026,367.0,0.06268089596896242,3.0
NP-110,ERR598989,SRF,0.3084789336665061,5.0,,
NP-110,ERR598995,DCM,0.039345185349284224,29.0,,
NP-110,ERR599015,MES,0.10567126498962952,1.0,,
NP-110,ERR599030,SRF,0.5212281775915713,8.0,,
NP-110,ERR599065,DCM,0.6411720616854112,3.0,,
NP-110,ERR599067,MES,0.035603262641517835,6.0,,
NP-110,ERR599070,DCM,0.17144276236523792,374.0,0.11765485303222278,4.0
NP-110,ERR599087,DCM,0.06117511875175325,23.0,0.11869461738292887,1.0
NP-110,ERR599099,DCM,0.17431177925574942,368.0,0.0776437103794814,4.0
NP-110,ERR599108,DCM,0.0037610477474148475,1.0,,
NP-110,ERR599115,MES,0.06490275086675965,109.0,0.043012820512820314,2.0
NP-110,ERR599118,SRF,0.8004517807633101,4.0,,
NP-110,ERR599142,SRF,0.16108933996741345,5.0,,
NP-110,ERR599147,DCM,0.1832300677626988,385.0,0.1297695670521291,2.0
