bin,ORF_count
deep_MAG_0298,3834
deep_MAG_0300,3646
deep_MAG_0303,3115
deep_MAG_0304,2095
deep_MAG_0305,2526
deep_MAG_0307,1076
deep_MAG_0309,3353
deep_MAG_0314,4794
deep_MAG_0315,2662
deep_MAG_0317,2810
deep_MAG_0318,3308
deep_MAG_0319,946
deep_MAG_0320,1882
deep_MAG_0321,2619
deep_MAG_0322,2683
deep_MAG_0323,1691
deep_MAG_0325,1883
deep_MAG_0327,2182
deep_MAG_0328,3695
deep_MAG_0329,1472
deep_MAG_0330,3774
deep_MAG_0334,1969
deep_MAG_0335,3189
deep_MAG_0336,1083
deep_MAG_0338,3659
deep_MAG_0339,1682
deep_MAG_0340,2271
deep_MAG_0342,1798
deep_MAG_0343,1476
deep_MAG_0344,3576
deep_MAG_0345,3045
deep_MAG_0347,3302
deep_MAG_0349,4924
deep_MAG_0351,4514
deep_MAG_0353,1504
deep_MAG_0354,1226
deep_MAG_0355,3217
deep_MAG_0356,2317
deep_MAG_0358,4046
deep_MAG_0361,2987
deep_MAG_0362,2724
deep_MAG_0363,1451
deep_MAG_0366,3203
deep_MAG_0367,4352
deep_MAG_0368,2170
deep_MAG_0373,3222
deep_MAG_0375,1956
deep_MAG_0376,2442
deep_MAG_0378,3994
deep_MAG_0380,3111
deep_MAG_0383,2564
deep_MAG_0386,3187
deep_MAG_0387,1792
deep_MAG_0390,2396
deep_MAG_0391,2431
deep_MAG_0397,3504
deep_MAG_0399,1884
deep_MAG_0400,2358
deep_MAG_0401,2365
deep_MAG_0404,1242
deep_MAG_0405,2371
deep_MAG_0410,6859
deep_MAG_0416,2411
deep_MAG_0419,1398
deep_MAG_0420,2989
deep_MAG_0421,6620
deep_MAG_0422,3324
deep_MAG_0427,2698
deep_MAG_0430,3515
deep_MAG_0434,4219
deep_MAG_0435,2591
deep_MAG_0437,1175
deep_MAG_0438,1503
deep_MAG_0439,3683
deep_MAG_0441,2166
deep_MAG_0447,1608
deep_MAG_0449,757
deep_MAG_0452,1538
deep_MAG_0455,2459
deep_MAG_0457,3740
deep_MAG_0459,2453
deep_MAG_0461,3861
deep_MAG_0465,844
deep_MAG_0466,2841
deep_MAG_0467,3302
deep_MAG_0469,1482
deep_MAG_0470,828
deep_MAG_0471,1985
deep_MAG_0472,2035
deep_MAG_0474,1864
deep_MAG_0477,950
deep_MAG_0478,7582
deep_MAG_0480,2328
deep_MAG_0483,2248
deep_MAG_0484,2454
deep_MAG_0485,375
deep_MAG_0488,4064
deep_MAG_0489,2958
deep_MAG_0490,6659
deep_MAG_0491,2233
deep_MAG_0494,2611
deep_MAG_0496,2631
deep_MAG_0502,1929
deep_MAG_0503,1914
deep_MAG_0505,3289
deep_MAG_0507,1313
deep_MAG_0508,3098
deep_MAG_0509,5582
deep_MAG_0510,1527
deep_MAG_0511,4277
deep_MAG_0512,2671
deep_MAG_0514,1540
deep_MAG_0518,3003
deep_MAG_0519,2133
deep_MAG_0523,2794
deep_MAG_0524,1939
deep_MAG_0526,981
deep_MAG_0527,2789
deep_MAG_0528,4086
deep_MAG_0531,3233
deep_MAG_0533,3351
deep_MAG_0534,1286
deep_MAG_0535,3029
deep_MAG_0539,9554
deep_MAG_0542,3970
deep_MAG_0545,3431
deep_MAG_0548,3706
deep_MAG_0549,1242
deep_MAG_0553,3807
deep_MAG_0554,2654
deep_MAG_0555,4947
deep_MAG_0557,2694
deep_MAG_0559,2020
deep_MAG_0560,2185
deep_MAG_0562,4947
deep_MAG_0564,3802
deep_MAG_0566,2089
deep_MAG_0568,997
deep_MAG_0569,411
deep_MAG_0570,2048
deep_MAG_0571,1658
deep_MAG_0572,3342
deep_MAG_0573,3207
deep_MAG_0576,476
deep_MAG_0577,815
deep_MAG_0578,2803
deep_MAG_0580,2862
deep_MAG_0582,2958
deep_MAG_0584,2065
deep_MAG_0585,2625
deep_MAG_0586,3034
deep_MAG_0589,2828
deep_MAG_0590,2688
deep_MAG_0591,1957
deep_MAG_0592,3237
deep_MAG_0593,2758
deep_MAG_0596,1605
deep_MAG_0598,2631
deep_MAG_0600,2305
deep_MAG_0603,2981
deep_MAG_0604,2687
deep_MAG_0605,1521
deep_MAG_0606,3420
deep_MAG_0607,1853
deep_MAG_0608,5295
deep_MAG_0609,1941
deep_MAG_0610,3203
deep_MAG_0611,1593
deep_MAG_0612,4846
deep_MAG_0614,2756
deep_MAG_0616,1187
deep_MAG_0617,3077
deep_MAG_0619,1934
