gene_caller_id,pnps,depth,gene_type
37,0.12569184455765534,BAT,n
38,0.2779431932770595,BAT,n
39,0.11355784812922493,BAT,defense
179,0.1761648007165267,BAT,n
181,5.635859403561998,BAT,defense
421,0.3999678821528866,BAT,defense
455,0.35202132372171274,BAT,n
492,0.420554519583397,BAT,n
528,0.1301011220722992,BAT,defense
554,0.17000445505972808,BAT,defense
722,0.6711253103991309,BAT,n
736,0.2934844262740983,BAT,n
737,0.1616767206465104,BAT,n
750,0.26082797966911997,BAT,n
923,0.09026630632903021,BAT,n
963,0.6613850655826531,BAT,transposase
989,0.1203320825820026,BAT,n
1318,0.7359031359873351,BAT,defense
1466,0.3254292750700489,BAT,n
1470,1.2243940154124298,BAT,n
1476,0.6269956016638782,BAT,n
1523,0.13943168239181025,BAT,defense
1672,0.0,BAT,n
2044,0.10615675927801978,BAT,n
2190,0.05876470085025158,BAT,n
2194,0.2140036766480285,BAT,n
2237,0.18532820507042508,BAT,defense
2395,0.32963433476993903,BAT,n
2477,0.07703659677418631,BAT,n
2482,0.7225309292521159,BAT,n
2507,0.060274033622024686,BAT,defense
2532,0.15728087827521825,BAT,n
2647,0.292473295456348,BAT,defense
2692,0.2793135480099814,BAT,transposase
2717,0.1400813829771656,BAT,n
2729,0.6981990073908572,BAT,defense
2752,0.27731632590541533,BAT,n
2763,0.6520452128053642,BAT,defense
2770,0.1341066165983975,BAT,n
2778,0.0831639507132355,BAT,defense
3044,0.02658394958684225,BAT,n
3102,0.27439702890957013,BAT,n
3408,0.7165901265487372,BAT,defense
3470,0.2074396724018007,BAT,n
3661,0.21348561069852762,BAT,defense
3706,0.48338524940911115,BAT,n
3713,0.09326621908383177,BAT,n
3744,0.1378293702676438,BAT,transposase
3856,0.009404493258804379,BAT,n
3990,0.07497959390433206,BAT,n
3991,0.5030292442732232,BAT,n
3998,0.23315544818735032,BAT,n
4002,0.28335902013545106,BAT,defense
4003,1.0528394518945392,BAT,defense
4026,0.5448954582349479,BAT,biofilm
4312,0.8004494382022448,BAT,n
4606,0.6473902809949756,BAT,n
4838,0.047704221873431506,BAT,n
4980,0.32380177870759475,BAT,n
5208,0.255020728371673,BAT,n
5279,2.280974020557646,BAT,n
5314,0.15011806904113872,BAT,n
5321,0.12026009850745747,BAT,n
5359,0.20417632600608876,BAT,n
5490,0.4593331257583988,BAT,defense
5555,0.09786822147720689,BAT,n
5659,0.13985364985009563,BAT,n
5661,0.49690028778896983,BAT,defense
5688,0.1219389596341538,BAT,n
5919,0.057954013820566606,BAT,defense
5947,0.2277087342373291,BAT,defense
6305,0.25410842178855897,BAT,n
6325,0.7611035208197047,BAT,n
6472,1.9072088952213944,BAT,transposase
6537,0.15016324530485237,BAT,n
6790,0.34766739290790344,BAT,defense
7094,0.1198083825282021,BAT,biofilm
7286,0.14181659372642658,BAT,n
7287,0.1290394290394304,BAT,n
7317,0.11440515579622414,BAT,n
7624,0.6022072813060938,BAT,n
7707,0.09111593503481927,BAT,n
7711,0.18751851486126134,BAT,defense
8236,0.05786995510451693,BAT,defense
8244,0.4945478517139772,BAT,defense
8362,0.3000712436536804,BAT,n
8656,0.31248985023160547,BAT,n
8710,0.29370851402929093,BAT,n
8732,0.12719163252344345,BAT,transposase
8738,0.15010640985869667,BAT,n
8852,0.08963830811343372,BAT,n
8897,0.461310063956895,BAT,n
9084,0.19545920048488716,BAT,defense
9086,0.8611917063497416,BAT,n
9243,0.15691208994424685,BAT,transposase
