sample,trans_sum,DNA_Transposase,biofilm_sum,DNA_Biofilm,defense_sum,DNA_Defense,toxin_sum,toxin_prop,CAZenzyme_sum_cov,DNA_CAZenzyme,secretory_CAZenzyme_sum_cov,DNA_sect_CAZ,peptidase_sum_cov,DNA_peptidase,secretory_peptidase_sum_cov,DNA_sect_pep,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp
SRR3968777,5613035.3230820475,0.001585603198610748,763154.7851310382,0.00021558044777712941,42558747.0,0.012022244915254237,6221101.0,0.001757373163841808,85883342.0,0.02426083107344633,11455578.0,0.0032360389830508474,123774890.0,0.034964658192090395,38677984.0,0.01092598418079096,7,0.2,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.54
SRR3968770,9191555.327833606,0.002656518880876765,735789.1266540338,0.0002126558169520329,28192446.0,0.008148105780346821,3319896.0,0.0009595075144508671,52841615.0,0.015272143063583815,10055890.0,0.002906326589595376,56656146.0,0.016374608670520232,19274236.0,0.005570588439306358,7,0.8,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.46
SRR3967905,3344450.306587406,0.001647512466299215,308616.24232993333,0.00015202770558124797,15804020.0,0.007785231527093597,2461771.0,0.0012126950738916259,31012634.0,0.015277159605911332,6359983.0,0.0031329965517241385,32614856.0,0.016066431527093597,10621731.0,0.005232379802955666,10,0.8,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,2.03
SRR3968061,1745040.3393977894,0.0011480528548669668,293658.3434210799,0.00019319627856649994,17821995.0,0.011724996710526316,2564328.0,0.0016870578947368422,38295602.0,0.025194475,5953895.0,0.003917036184210527,54474507.0,0.03583849144736842,18406456.0,0.01210951052631579,10,0.2,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,1.52
SRR3968063,11069913.294891188,0.0032558568514385847,1500986.8697052249,0.0004414667263838897,58501432.0,0.017206303529411764,6893396.0,0.0020274694117647057,104213973.0,0.030651168529411764,18564870.0,0.005460255882352941,129424821.0,0.03806612382352941,47850663.0,0.014073724411764707,13,0.8,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.4
SRR3968062,6794884.643095004,0.0019413956123128585,988201.5690772142,0.0002823433054506326,47989388.0,0.013711253714285714,6256335.0,0.0017875242857142858,92611569.0,0.026460448285714287,14843959.0,0.004241131142857143,122571799.0,0.035020514,42115621.0,0.012033034571428571,13,0.2,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.5
SRR3968060,9414027.108260335,0.0029697246398297586,682436.6604827859,0.00021527970362232994,31523656.0,0.00994437097791798,3955659.0,0.0012478419558359622,55682468.0,0.01756544731861199,10275878.0,0.0032416018927444797,56724986.0,0.01789431735015773,18927226.0,0.0059707337539432175,17,0.8,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.17
SRR3967700,3836007.939588683,0.000978573453976705,442369.80006748217,0.00011284943879272504,23768503.0,0.00606339362244898,3362333.0,0.0008577380102040816,46375056.0,0.01183037142857143,6577240.0,0.0016778673469387754,62137978.0,0.015851525,19386694.0,0.004945585204081632,17,0.2,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.92
SRR3967699,7993529.829876114,0.0030982673759209745,617668.0837702564,0.0002394062340194792,25503129.0,0.009884933720930232,2994272.0,0.001160570542635659,47769511.0,0.018515314341085273,9102022.0,0.003527915503875969,49331539.0,0.0191207515503876,16606671.0,0.006436694186046511,20,0.8,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,2.58
SRR3967690,6423823.485604012,0.0017647866718692343,882471.0700021329,0.0002424371071434431,44289053.0,0.012167322252747253,6527164.0,0.0017931769230769231,86446154.0,0.023748943406593406,11249097.0,0.0030904112637362637,117867536.0,0.03238119120879121,35254782.0,0.009685379670329671,20,0.2,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,3.64
SRR3967558,10728073.648131873,0.002530206049087706,638905.4024546108,0.00015068523642797424,32398496.0,0.007641154716981132,3934155.0,0.0009278667452830188,61393126.0,0.014479510849056604,11666245.0,0.0027514728773584906,66047932.0,0.01557734245283019,21048053.0,0.004964163443396227,23,0.8,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,4.24
SRR3967319,7568750.867991539,0.0014899115881873107,970114.4021538972,0.00019096740199879867,56482645.0,0.01111863090551181,7776619.0,0.0015308305118110236,114172172.0,0.022474837007874015,13850570.0,0.002726490157480315,159736963.0,0.03144428405511811,44388502.0,0.00873789409448819,23,0.2,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,5.08
SRR3967025,7913214.118943667,0.002334281451015831,752929.3276020143,0.0002221030464902697,36284993.0,0.010703537758112095,5500934.0,0.0016226943952802359,67011135.0,0.01976729646017699,13318709.0,0.003928822713864306,69203231.0,0.02041393244837758,23234638.0,0.006853875516224189,26,0.8,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.39
SRR3966130,5434458.864579731,0.0016982683951811657,915415.2090698103,0.00028606725283431575,44480502.0,0.013900156875,5922560.0,0.0018508,85621010.0,0.026756565625,13876783.0,0.0043364946875,113143133.0,0.0353572290625,38422855.0,0.0120071421875,26,0.2,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.2
SRR3965676,5687839.233300522,0.0018056632486668325,941487.0006498791,0.00029888476211107273,31257379.0,0.00992297746031746,4017867.0,0.0012755133333333334,53554046.0,0.017001284444444445,9640016.0,0.00306032253968254,61554402.0,0.01954108,21023856.0,0.00667424,32,0.8,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.776,NADW,Brazil basin,3.15
SRR3965592,4944033.954957459,0.001594849662889503,1304186.546719023,0.00042070533765129777,43780192.0,0.014122642580645162,5242639.0,0.001691173870967742,80953265.0,0.026113956451612904,11774777.0,0.0037983151612903227,109776303.0,0.03541171064516129,33657513.0,0.010857262258064515,32,0.2,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.776,NADW,Brazil basin,3.1
SRR3965875,5919459.154881164,0.0018851780748029186,875277.5310494995,0.0002787508060667196,27318442.0,0.00870014076433121,3394484.0,0.0010810458598726114,49508225.0,0.015766950636942674,9204421.0,0.0029313442675159237,53920558.0,0.017172152229299364,17991846.0,0.005729887261146497,35,0.8,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,3.14
SRR3965874,3291855.6900422066,0.0013273611653395994,942227.7548828931,0.0003799305463237472,34286094.0,0.013825037903225807,4035390.0,0.0016271733870967741,68095200.0,0.02745774193548387,10125951.0,0.004083044758064516,89791614.0,0.036206295967741935,28137426.0,0.01134573629032258,35,0.2,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,2.48
SRR3965647,1970761.7726717216,0.0014707177407997922,287862.0464054414,0.00021482242269062793,12737958.0,0.009505938805970148,1452127.0,0.0010836768656716418,26940013.0,0.020104487313432836,4433529.0,0.0033086037313432835,26951028.0,0.020112707462686567,8337161.0,0.006221761940298508,41,0.8,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,1.34
SRR3965758,3663616.224128489,0.0011377690137044996,1055344.7917874416,0.00032774682974765266,45035907.0,0.01398630652173913,6052099.0,0.001879533850931677,91561824.0,0.02843534906832298,13405854.0,0.004163308695652174,125433850.0,0.03895461180124224,41060281.0,0.012751640062111802,41,0.2,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,3.22
SRR3965809,4043870.12352099,0.0016438496437077195,407919.66850033967,0.00016582100345542263,23539972.0,0.00956909430894309,2627844.0,0.001068229268292683,54763772.0,0.02226169593495935,9062852.0,0.0036840861788617887,50979776.0,0.02072348617886179,15239665.0,0.006194985772357724,43,0.8,South Atlantic,Atlantic,-3900,12.7692,-32.8128,34.7503,0.9196,199.2961,WSDW,Agulhas-Cape basin,2.46
