sample,trans_sum,trans_prop,biofilm_sum,biofilm_prop,defense_sum,defense_prop,toxin_sum,toxin_prop,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp
SRR3963498,4848298.822951506,0.0017131797960959385,402633.4223782171,0.00014227329412657848,26056426.0,0.009207217667844523,3762203.0,0.0013294003533568905,67,0.8,Indian Ocean,Indian,-4004,110.18,-31.16,34.7202,0.9869,174.3169,CDW,South Australian basin,2.83
SRR3963458,3622166.1874139262,0.0012799173807116347,990857.4558246605,0.0003501263094786786,45455985.0,0.016062185512367492,6167121.0,0.0021791946996466433,74,0.2,Indian Ocean,Indian,-3996,135.19,-39.23,34.722,0.9479,180.6806,CDW,South Australian basin,2.83
SRR3963599,3226514.2818322796,0.00103083523381223,349622.0520447567,0.00011170033611653569,22968656.0,0.00733822875399361,3144025.0,0.0010044808306709264,77,0.8,Indian Ocean,Indian,-4001,150.41,-38.64,34.716,0.8366,179.3173,WSDW,South Australian basin,3.13
SRR3963456,4355848.968502434,0.0013612028026570107,459501.0745483154,0.00014359408579634855,28967052.0,0.00905220375,4088281.0,0.0012775878125,81,0.8,South Pacific,Pacific,-3501,179.1413,-28.4063,34.6818,1.5728,140.3662,CDW,Fiji basin,3.2
SRR3963449,3095249.9415269177,0.0009212053397401541,534186.2799240123,0.0001589840118821465,39878022.0,0.011868458928571428,5861130.0,0.0017443839285714285,81,0.2,South Pacific,Pacific,-3501,179.1413,-28.4063,34.6818,1.5728,140.3662,CDW,Fiji basin,3.36
SRR3962777,6342465.4936415795,0.0018876385397742796,561462.1942248426,0.0001671018435192984,41542186.0,0.012363745833333334,5075850.0,0.0015106696428571428,82,0.8,South Pacific,Pacific,-2150,-179.52,-25.49,34.6456,2.0126,139.1121,CDW,Out of basins,3.36
SRR3962680,1737796.9713201707,0.0008645756076219755,329355.8398209992,0.00016385862677661652,24457357.0,0.012167839303482588,3832617.0,0.001906774626865672,82,0.2,South Pacific,Pacific,-2150,-179.52,-25.49,34.6456,2.0126,139.1121,CDW,Out of basins,2.01
SRR3962772,6287693.502464474,0.0024465733472624415,585975.8607070126,0.00022800617148132786,38867054.0,0.015123367315175096,5237390.0,0.0020378949416342412,91,0.8,South Pacific,Pacific,-4018,-170.7407,-5.75,34.6955,1.1026,153.1939,CDW,Pacific basin,2.57
SRR3962773,5247159.227867159,0.0013385610275171325,1024955.8687487371,0.00026146833386447377,61730245.0,0.015747511479591837,8993007.0,0.00229413443877551,91,0.2,South Pacific,Pacific,-4018,-170.7407,-5.75,34.6955,1.1026,153.1939,CDW,Pacific basin,3.92
SRR3961936,6575602.910157284,0.0021918676367190947,831378.5693132253,0.0002771261897710751,46242076.0,0.015414025333333333,6894630.0,0.00229821,97,0.8,North Pacific,Pacific,-3818,-163.53,9.22,34.692,1.1537,142.4094,CDW,Pacific basin,3
SRR3962293,4837224.240824732,0.0012246137318543625,1336718.796526046,0.0003384098219053281,66195193.0,0.01675827670886076,9972239.0,0.0025246174683544306,97,0.2,North Pacific,Pacific,-3818,-163.53,9.22,34.692,1.1537,142.4094,CDW,Pacific basin,3.95
SRR3962771,9478419.19609463,0.002363695560123349,1007969.9293660452,0.00025136407216110854,63418476.0,0.015815081296758106,11832871.0,0.0029508406483790524,103,0.8,North Pacific,Pacific,-4013,-150.3192,21.0638,34.6888,1.162,134.3429,CDW,Pacific basin,4.01
SRR3961935,4135946.649294343,0.0012236528548208116,685565.025563355,0.0002028298892199275,45895547.0,0.013578564201183432,6750268.0,0.0019971207100591714,109,0.2,North Pacific,Pacific,-4004,-133.26,18.04,34.6897,1.1582,135.0573,CDW,Pacific basin,3.38
SRR3962508,5665793.497341872,0.0021062429358148223,407218.2272593364,0.00015138224061685368,32906382.0,0.012232855762081784,4489023.0,0.0016687817843866171,112,0.8,North Pacific,Pacific,-4002,-124.4738,15.9087,34.6897,1.1733,133.9248,CDW,Pacific basin,2.69
SRR3961906,2546053.4473296143,0.001106979759708528,382409.43516101886,0.00016626497180913865,32691971.0,0.014213900434782609,4845244.0,0.0021066278260869565,112,0.2,North Pacific,Pacific,-4002,-124.4738,15.9087,34.6897,1.1733,133.9248,CDW,Pacific basin,2.3
SRR3961604,4843185.024704531,0.0015424156129632263,366286.26451826515,0.00011665167659817361,31165424.0,0.009925294267515924,4215872.0,0.0013426343949044586,118,0.8,North Pacific,Pacific,-3103,-108.06,12,34.6805,1.4552,113.0293,CDW,Pacific basin,3.14
SRR3961047,2410869.5920111793,0.0007327871100337931,533308.6908827922,0.0001620999060434019,42486712.0,0.012913894224924012,5815982.0,0.0017677756838905775,118,0.2,North Pacific,Pacific,-3103,-108.06,12,34.6805,1.4552,113.0293,CDW,Pacific basin,3.29
SRR3960684,9627252.134712445,0.00254017206720645,838921.2836969269,0.00022135126218916277,59227162.0,0.015627219525065964,6849006.0,0.0018071255936675462,121,0.8,North Pacific,Pacific,-3008,-99.2462,10.0927,34.6755,1.6156,103.806,CDW,Guatemala basin,3.79
SRR3960579,3172686.400868308,0.0008837566576234841,572308.9683879,0.00015941753994091923,42660158.0,0.011883052367688022,6118235.0,0.0017042437325905293,121,0.2,North Pacific,Pacific,-3008,-99.2462,10.0927,34.6755,1.6156,103.806,CDW,Guatemala basin,3.59
SRR3960581,8943178.893296657,0.0030315860655242906,698215.105229658,0.0002366830865185281,47822082.0,0.016210875254237287,6587020.0,0.0022328881355932204,131,0.8,North Atlantic,Atlantic,-4003,-59.83,17.43,34.9004,1.9688,242.8925,NADW,North American basin,2.95
SRR3960580,15902317.876409821,0.0027997038514806023,844166.558411811,0.00014862087295982587,68828369.0,0.01211767059859155,10284624.0,0.0018106732394366197,134,0.8,North Atlantic,Atlantic,-4003,-52.6367,19.9897,34.8889,1.9211,230.8888,NADW,North American basin,5.68
SRR3960575,8474065.858552301,0.0014362823489071697,1062765.9577916213,0.0001801298233545121,77555359.0,0.013144976101694916,10503745.0,0.0017802957627118645,134,0.2,North Atlantic,Atlantic,-4003,-52.6367,19.9897,34.8889,1.9211,230.8888,NADW,North American basin,5.9
SRR3960576,11580982.59192478,0.0024959014206734436,792260.3540852567,0.00017074576596665014,56323469.0,0.012138678663793104,8499861.0,0.0018318665948275862,144,0.8,North Atlantic,Atlantic,-4003,-23.69,29.97,34.9071,2.1123,223.5273,NADW,Canary basin,4.64
SRR3960578,7595824.513545931,0.0016512661985969416,1489993.3903109862,0.0003239116065893448,77587431.0,0.016866832826086958,10369195.0,0.0022541728260869567,144,0.2,North Atlantic,Atlantic,-4003,-23.69,29.97,34.9071,2.1123,223.5273,NADW,Canary basin,4.6
SRR3960572,7049920.140072241,0.0017153090365139272,452199.6000804778,0.00011002423359622329,33270262.0,0.008094954257907542,4597871.0,0.001118703406326034,146,0.8,North Atlantic,Atlantic,-4002,-17.2662,32.0788,34.9058,2.0997,221.5695,NADW,Canary basin,4.11
SRR3960577,7351271.804245379,0.001534712276460413,919141.4525219215,0.00019188756837618402,69727551.0,0.0145569,10065635.0,0.002101385177453027,146,0.2,North Atlantic,Atlantic,-4002,-17.2662,32.0788,34.9058,2.0997,221.5695,NADW,Canary basin,4.79
