sample1,Acidobacteria,Actinobacteria,Aquificae,Bacteroidetes,Caldiserica,Candidatus Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Lentisphaerae,Microgenomates,Nitrospirae,Planctomycetes,Poribacteria,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,unclassified Proteobacteria,Zetaproteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermodesulfobacteria,Thermotogae,Verrucomicrobia
MP0758,7.75E-05,0.83497785,4.93E-05,0.001119821,0,0,0,0.00016903,0.001126864,0.00065499,2.11E-05,0.000845148,7.04E-05,0,0,0.00350032,4.23E-05,7.04E-05,0,8.45E-05,0,0.000493003,0.001028263,0,0.093452217,0.00383838,0.004760999,5.63E-05,0.021149824,0,0.000112686,0.000147901,9.86E-05,0,4.23E-05,0,0.00070429
MP0759,0.002061354,0.048530896,0.00086526,0.050595078,6.79E-05,0,0.000424147,0.005372528,0.010708297,0.008969295,0.001552378,0.00279937,4.81E-05,7.07E-05,4.24E-05,0.014989354,0.000395871,0.00072105,0.006480966,0.000834156,5.66E-06,0.000969883,0.007221809,0.004855069,0.223958083,0.010858162,0.020288363,0.001563688,0.176060579,0.015260808,0.000302558,0.003478005,0.000941606,0.000113106,0.000175314,0.00124982,0.014672658
MP0900,2.80E-05,0.128109935,0,0.001940272,0,0,0.000160022,0.000120017,0.000348049,0.00121217,2.00E-05,6.80E-05,0,0,0,0.001324185,0,8.00E-06,0.000232032,0.000208029,0,8.40E-05,0.005636789,6.00E-05,0.371428,0.004260596,0.001868262,0.000104015,0.467237413,0.005892825,3.20E-05,9.20E-05,2.00E-05,0,1.20E-05,0,0.001936271
MP0901,0.001039866,0.008567286,0.000308931,0.061673155,8.08E-06,4.24E-05,0.00021605,0.001746571,0.002097905,0.001835414,0.000258452,0.000700648,6.66E-05,4.04E-06,3.43E-05,0.007654627,0.000232203,0.002261457,0.003018641,0.000199897,5.05E-05,0.00040787,0.001718303,0,0.074850178,0.006893405,0.004547143,0.000496713,0.264703507,0,0.000100958,0.001060058,0.000464406,9.49E-05,7.47E-05,0.000428061,0.001290242
MP0959,7.99E-05,0.366989081,0.000147823,0.001693974,0,0,0,6.39E-05,0.000327608,0.000739116,0.000223732,0.00017579,0,0,0,0.001230528,0,5.99E-05,1.60E-05,0.000103876,0,2.00E-05,0.001610074,0,0.393932856,0.006568144,0.001801845,0.000143828,0.202933292,0,9.99E-05,8.39E-05,2.40E-05,1.60E-05,0,0,0.000419498
MP0960,0.001020077,0.003241211,0.001040643,0.041588687,0,0,6.17E-05,0.002229361,0.007041819,0.004573892,0.000830869,0.000629321,0.000119283,0,0.000185095,0.008744689,0.000172755,0.000337283,0.003183626,0.000473019,2.06E-05,0.00057585,0.001966115,0.002792871,0.103155245,0.008230537,0.011447069,0.128344556,0.541668895,0.006971894,0.000143962,0.001641172,0.000337283,4.11E-05,0.000131623,0.000361963,0.002217021
MP1091,0.000262192,0.288844742,0.00021177,0.0027631,0,5.04E-05,6.05E-05,0.000201686,0.00138155,0.00131096,0.000110927,0.00086725,0,0,0,0.003549675,5.04E-05,0.000363035,0,0,0,0.000736154,0.003942963,0,0.567574926,0.008299383,0.00681699,0.000100843,0.087844379,0,7.06E-05,0.000383204,0,9.08E-05,0,0.000110927,0.000463878
MP1092,0.003860085,0.012235941,0.002220871,0.065721915,3.70E-05,0,0.000682125,0.007757185,0.021997197,0.008338841,0.002146842,0.002643894,0.000253814,2.64E-05,6.87E-05,0.028596357,0.000248526,0.000978241,0.007138514,0.001448854,0,0.001448854,0.007011607,0,0.095793565,0.017365095,0.028913624,0.001485868,0.248235201,0,0.000486476,0.005964625,0.001279645,0.000222087,0.000290828,0.001126299,0.004991672
MP1140,0,0.034158243,0,0.090275357,0,0,0,0.003136982,0.000871384,0.001568491,0,0.006622517,0,0,0,0.008539561,0,0,0,0,0,0,0.002439875,0,0.712791914,0.038340885,0.003659812,0,0.031544092,0,0,0,0,0,0,0,0.001394214
MP1141,0.001199215,0.01219202,0.000817647,0.046266686,0,0,0.000623834,0.003470456,0.003258473,0.063921797,0.001562614,0.001980522,0.000169586,0.00010902,0.000163529,0.021464738,0.000363399,0.000345229,0.001502047,0.00070257,0,0.0008661,0.003912591,0,0.316326283,0.015444436,0.014923565,0.002107711,0.101333673,0,0.000448191,0.003179737,0.00072074,0.000205926,0.000199869,0.000975119,0.010714199
MP1201,0.000522781,0.200475049,4.55E-05,0.021820413,0,0,0.000772806,0.000522781,0.002386608,0.00170472,9.09E-05,0.001670625,4.55E-05,0,0,0.003193508,0.000363674,0.000113648,0.000136378,7.96E-05,0,0.000454592,0.007864441,0,0.632951097,0.014535578,0.006705231,0.000443227,0.084520008,0,0,0.000340944,0.000500051,0,0.000147742,0,0.001056926
MP1202,0.002660766,0.043474743,0.001920109,0.028798516,0,0,0.000672194,0.005878582,0.015973934,0.006656584,0.001282147,0.002365126,0.000220953,9.34E-06,7.47E-05,0.022552717,0.000217841,0.000516593,0.005243732,0.001082979,0,0.001176339,0.005959494,0,0.160277716,0.020582817,0.026470735,0.001708492,0.158376279,0,0.000283193,0.004845395,0.001244803,0,0.000252073,0.000871362,0.00330184
MP1241,2.87E-05,0.016123933,0,0.002586727,0,0,0,0.000919725,0.000747277,0.002328054,0.000143707,0.000689794,0,0,0,0.003937574,0,2.87E-05,0,0,0,0.000172448,0.004541143,0,0.501652631,0.025867272,0.011755238,0.00040238,0.415428391,0,0.000114966,0,0,0,0,0.000114966,0.000919725
MP1374,0.000648074,0.022052146,0.000313015,0.012930616,0,0,0.000260111,0.00185164,0.003359403,0.002698103,0.000339467,0.000498179,6.17E-05,0,2.65E-05,0.005770943,0.000207207,0.000119034,0.001904544,0.000167529,0,0.000621622,0.001856048,0.00119034,0.15492492,0.006511599,0.007781295,0.000489362,0.514359024,0.007128812,7.94E-05,0.001313782,0.000242477,4.85E-05,0.000176347,0.000202799,0.001538624
MP1434,0.000513875,0.227496574,0.000192703,0.005802501,0,0,0.000471052,0.000792223,0.002398082,0.002590785,0.000428229,0.003104659,8.56E-05,0,0,0.004624872,0,0,0,0.000428229,0,0.000406817,0.007750942,0,0.280018842,0.014302843,0.011069716,0.001070572,0.372666153,0,0,0.000342583,8.56E-05,0.000342583,0.000107057,0.000171292,0.001241864
MP1482,0.003021402,0.667003228,0.000596631,0.010525189,0,0,0.002057613,0.00182049,0.009890312,0.008697049,0.000390105,0.005163156,3.06E-05,3.82E-05,3.06E-05,0.025356831,0.000313614,0.000328912,0.000458947,2.29E-05,0,0.001047929,0.011596065,0,0.11954809,0.009155996,0.017424694,0.000198877,0.062302079,0,0.000290667,0.001277403,0.000458947,0,0.000191228,0.000191228,0.002600701
MP1483,0.002786053,0.025695134,0.001039023,0.03454522,1.84E-05,9.19E-06,0.000482732,0.005723822,0.011672919,0.009208687,0.001894148,0.002763066,0.000119534,1.84E-05,0,0.021033322,0.000354003,0.000694215,0.008634006,0.000363198,1.38E-05,0.001388429,0.005921512,0.005820369,0.297537607,0.013134907,0.024352679,0.001089595,0.082717275,0.023010225,0.000147118,0.004431939,0.000781566,0.000133326,0.000188495,0.001094193,0.009116738
MP1493,0.000231179,0.690738497,5.58E-05,0.002200185,1.59E-05,2.39E-05,0.000430471,0.000478301,0.002295845,0.002455279,3.99E-05,0.000558018,0,0,0,0.004296738,7.97E-06,8.77E-05,0.000342782,0,0,1.59E-05,0.00146679,0.000558018,0.216216001,0.005022161,0.003148815,0.000247122,0.023930997,0.01982558,2.39E-05,0.000239151,0.000334811,0,0,0,0.000773253
MP1494,0.003979141,0.01224875,0.001060456,0.034362656,0,0,0.000340513,0.007267527,0.007744245,0.008580935,0.002247388,0.002996517,3.89E-05,9.73E-05,0.000330784,0.024166715,0.000214037,0.000486448,0.006742163,0.001381511,0,0.003025704,0.005370381,0,0.133889829,0.021286946,0.03331193,0.001293951,0.096034479,0,0.000214037,0.007102135,0.001556632,0.0003697,0.000642111,0.001420427,0.004922849
MP1648,0.001008479,0.788653468,0.000120756,0.004592007,2.28E-05,0,0.000117493,0.000734329,0.003511726,0.003407288,0.000492817,0.001710172,4.57E-05,0,0,0.009425526,9.46E-05,5.22E-05,0.000166448,5.55E-05,0,0.000179503,0.004520205,0,0.080880673,0.009706203,0.007229065,0.000182766,0.071654232,0,0.000215403,0.00077023,8.49E-05,5.87E-05,9.79E-05,4.90E-05,0.001775445
MP1649,0.001281196,0.170492362,0.000557752,0.016597201,1.87E-05,0.00010735,0.000289378,0.002809762,0.010030198,0.005208795,0.00100582,0.001360541,0.000137688,6.07E-05,4.20E-05,0.011362735,0.000186695,0.000429399,0.00366856,0.000429399,0,0.000842462,0.002779424,0.003642889,0.220206952,0.010443261,0.013358039,0.000835461,0.21757455,0.009878508,9.80E-05,0.002135326,0.000627763,6.77E-05,9.57E-05,0.000625429,0.002483046
MP1787,0.000510756,0.593274626,9.81E-05,0.002875833,0,0,7.55E-06,0.000397534,0.00226192,0.002294628,0.000168575,0.001210215,1.26E-05,0,0,0.004845893,2.52E-05,0.000201283,0.000153478,6.79E-05,0,7.04E-05,0.002327337,0,0.146498931,0.013986665,0.005741603,0.00024154,0.214401812,0,0.000198767,0.000324569,0.000158511,1.76E-05,1.26E-05,8.05E-05,0.001215247
MP1788,0.001149887,0.11250006,0.000415967,0.016715196,1.67E-05,4.78E-06,0.000188859,0.002118087,0.007836444,0.004678438,0.000487686,0.001013622,0.000167343,9.32E-05,2.15E-05,0.009065221,0.000136265,0.000339468,0.003158005,0.000449436,4.78E-06,0.000497248,0.002087009,0.002811366,0.226802645,0.010277264,0.011157011,0.000719576,0.377045771,0.010188811,0.000157781,0.001541948,0.000392061,9.56E-06,5.26E-05,0.000635904,0.001833603
MP1896,0.000314276,0.599361897,7.86E-05,0.001671514,0,0,1.23E-05,0.000252653,0.001136938,0.001383428,0.000140192,0.000506846,1.85E-05,0,0,0.002657477,1.69E-05,5.70E-05,5.85E-05,2.16E-05,0,2.62E-05,0.001517458,0,0.244201309,0.01238153,0.003893011,0.000112461,0.12464721,0,0.000207976,0.000130948,0.000167922,1.39E-05,2.46E-05,3.54E-05,0.000705579
MP2016,0.001553285,0.126935692,0.000820008,0.020098086,2.76E-05,0,0.00031933,0.003394361,0.017413347,0.007797963,0.001135396,0.001206358,0.000161636,7.88E-06,0.00020106,0.015040054,0.00026808,0.000299618,0.004963415,0.000563756,9.07E-05,0.00115905,0.003051377,0.006362948,0.109628789,0.008893935,0.017113729,0.000733277,0.108978301,0.00566121,0.000291734,0.002491563,0.000729334,8.67E-05,0.000141924,0.001186646,0.002523102
MP2052,0.000816359,0.805961609,9.11E-05,0.003837617,0,0,0.024964558,0.000703381,0.002948369,0.002124721,4.74E-05,0.001005871,2.19E-05,0,0,0.005867582,0.000105689,0.000247823,8.75E-05,5.83E-05,0,4.37E-05,0.002751568,0,0.079886584,0.004242153,0.004861711,0.000116623,0.049550091,0,4.74E-05,0.000328001,6.20E-05,0,6.92E-05,6.56E-05,0.000827293
MP2053,0.001765551,0.093320332,0.000807768,0.025548561,2.31E-05,0,0.000484661,0.004431187,0.019028716,0.007269916,0.001194343,0.002094428,6.35E-05,3.46E-05,7.50E-05,0.019074874,0.000300028,0.00076161,0.006317903,0.000692373,2.88E-05,0.000986631,0.003958065,0.008089224,0.160065083,0.008925841,0.021584726,0.000877006,0.046862108,0.003369548,0.0002481,0.00306375,0.000992401,2.31E-05,0.000155784,0.001580918,0.005354351
MP2158,2.10E-05,0.82459769,2.10E-05,0.001437724,0,0,1.26E-05,1.68E-05,0.000428795,0.000475037,2.94E-05,0.000411979,0,0,0,0.002576973,0,2.94E-05,0,0,0,7.15E-05,0.000424591,0,0.063457432,0.003270612,0.002026266,0.000138728,0.091337504,0,0,2.10E-05,2.94E-05,0,2.10E-05,2.52E-05,0.000256436
MP2159,0.001619305,0.025933141,0.000803034,0.028966579,3.97E-05,7.50E-05,0.000207377,0.002918719,0.003161394,0.003099623,0.000681696,0.001279559,0.000103688,1.32E-05,4.41E-06,0.010187941,3.31E-05,0.001255292,0.002592211,0.000394899,0,0.000787591,0.003468047,0,0.101221979,0.008967947,0.012180083,0.000672872,0.055832916,0,1.76E-05,0.00277532,0.000408135,1.10E-05,7.72E-05,0.000723613,0.001495761
MP2252,0.00014026,0.646918667,6.84E-05,0.075885828,0,0,0.000101688,0.000156039,0.000501429,0.000722338,0.000161299,0.000229675,2.63E-05,5.26E-06,0,0.002465067,1.58E-05,0.000112208,5.96E-05,5.96E-05,0,2.63E-05,0.000652208,0,0.066151796,0.006895524,0.003089223,0.000201624,0.185227133,0,2.98E-05,0.000312078,4.03E-05,2.28E-05,1.75E-06,4.56E-05,0.00061013
MP2253,0.00200863,0.03579665,0.000911323,0.02792686,6.64E-05,0,0.000348056,0.00497375,0.006389887,0.004503475,0.000964461,0.002465619,4.78E-05,1.33E-05,6.38E-05,0.015410122,0.000201926,0.000797075,0.004049142,0.001068081,0,0.001200927,0.005077369,0,0.147846834,0.015542968,0.017955449,0.001084022,0.092673284,0,6.38E-05,0.004102281,0.000738623,0.0001727,0.000201926,0.000757222,0.003129849
MP2497,0.00094455,0.570378914,0.00012594,0.040065489,0,0,0.000149139,0.000821924,0.003181642,0.005680557,0,0.001590821,2.32E-05,0,4.31E-05,0.00686373,9.94E-05,0.000155768,0.000361249,8.62E-05,0,0.000281708,0.003453407,0.000470618,0.294311821,0.020326052,0.006631735,7.62E-05,0.03101438,0.001382026,8.29E-05,0.00037782,0.000334735,2.98E-05,9.28E-05,4.31E-05,0.00161402
MP2633,7.95E-05,0.566256863,1.52E-05,0.017600008,0,0,1.18E-05,7.62E-05,0.000648216,0.000661756,3.38E-05,0.00046543,1.86E-05,0,3.38E-06,0.001247351,6.77E-06,1.69E-05,2.03E-05,3.05E-05,0,2.88E-05,0.002999059,0,0.32009708,0.005974423,0.002900896,0.000116781,0.067654844,0,8.46E-06,0.000174325,7.79E-05,5.08E-06,1.86E-05,1.35E-05,0.000399423
MP2634,0.002058037,0.029192151,0.001072976,0.038601174,4.00E-05,0,0.000405613,0.003926254,0.024816325,0.009780669,0.001314746,0.002060035,0.000311703,5.00E-05,0.000175832,0.018422425,0.000239771,0.000621407,0.005608649,0.000339676,6.99E-05,0.001384679,0.00362654,0.009660784,0.480257834,0.014773906,0.018682177,0.000911131,0.089722405,0.017151637,0.00026175,0.002541575,0.001021026,2.40E-05,0.000255756,0.00148858,0.002873259
MP2913,0.000720753,0.045315107,0.000305344,0.007743653,1.07E-05,0,0.000582283,0.000873424,0.003905557,0.004331617,0.000837919,0.000596485,0,7.10E-05,0.000159773,0.005073673,0.000106515,5.68E-05,0.000571631,0.000237884,0,0.000426061,0.003426238,0.000337298,0.300674596,0.009202911,0.018238949,0.000440263,0.421842713,0.022559915,8.17E-05,0.001068702,0.000454465,8.17E-05,0.000301793,0.000365702,0.001899521
MP2914,0.00015097,0.007483819,0.000198418,0.004227172,0,0,0.000258806,0.000301941,0.000558591,0.001759884,0.000107836,0.000179008,8.63E-06,4.31E-06,4.53E-05,0.002195541,6.47E-05,5.18E-05,0.000215672,0.00013803,0,0.000112149,0.000746225,0.000237239,0.19688699,0.006317034,0.00389288,0.000433501,0.519590568,0.008551396,9.92E-05,0.000273903,4.96E-05,2.59E-05,5.18E-05,0.000101366,0.000534867
MP2968,0.000223178,0.007425743,0.000223178,0.005782341,0,0,0.000791268,0.000628956,0.002333225,0.003449115,0.000284045,0.001359357,0,0,0,0.004220094,8.12E-05,0,6.09E-05,0,0,2.03E-05,0.010164746,0,0.494177082,0.020207758,0.01513553,0.001156468,0.396141049,0,8.12E-05,0.000770979,0.000446356,0,0,6.09E-05,0.000953579
MP2969,0.001961233,0.009336983,0.000900566,0.020684119,7.12E-05,0,0.000382463,0.00379572,0.018084707,0.006653073,0.001202979,0.001409775,0.00038691,8.01E-05,5.78E-05,0.018376001,0.000137864,0.000571471,0.003835746,0.000947262,4.45E-05,0.001245228,0.005716929,0,0.176962401,0.02073971,0.020617411,0.001387539,0.252947965,0,0.000371345,0.003308748,0.000973946,0.000162324,0.000155653,0.000698217,0.002755066
