bin, biofilm_count, transposase_count, toxin_antitoxin_count
deep_MAG_0438,1,0,0
deep_MAG_0038,1,0,2
deep_MAG_0373,1,10,0
deep_MAG_0554,10,17,2
deep_MAG_0137,4,5,19
deep_MAG_0434,1,11,1
deep_MAG_0213,3,16,6
deep_MAG_0584,2,10,1
deep_MAG_0015,1,0,1
deep_MAG_0184,5,1,4
deep_MAG_0608,6,6,4
deep_MAG_0399,0,2,0
deep_MAG_0040,4,19,5
deep_MAG_0267,6,6,5
deep_MAG_0208,3,0,5
deep_MAG_0345,6,4,2
deep_MAG_0562,9,17,28
deep_MAG_0229,6,7,7
deep_MAG_0246,0,0,0
deep_MAG_0461,2,4,4
deep_MAG_0162,0,0,0
deep_MAG_0101,0,0,1
deep_MAG_0193,6,9,5
deep_MAG_0490,3,39,0
deep_MAG_0349,1,10,1
deep_MAG_0593,1,1,1
deep_MAG_0002,5,0,2
deep_MAG_0296,3,27,4
deep_MAG_0023,7,2,8
deep_MAG_0307,0,1,0
deep_MAG_0604,0,0,0
deep_MAG_0368,0,0,0
deep_MAG_0589,5,9,1
deep_MAG_0077,2,0,0
deep_MAG_0353,1,0,1
deep_MAG_0018,1,8,0
deep_MAG_0477,1,0,0
deep_MAG_0250,3,1,3
deep_MAG_0039,0,15,1
deep_MAG_0555,4,31,7
deep_MAG_0155,0,0,0
deep_MAG_0439,1,7,3
deep_MAG_0280,7,11,4
deep_MAG_0212,4,3,3
deep_MAG_0435,3,1,5
deep_MAG_0612,1,21,0
deep_MAG_0035,5,0,4
deep_MAG_0559,0,5,1
deep_MAG_0383,1,17,4
deep_MAG_0233,4,1,6
deep_MAG_0185,9,8,5
deep_MAG_0178,1,11,1
deep_MAG_0578,4,2,5
deep_MAG_0585,4,2,0
deep_MAG_0330,4,9,2
deep_MAG_0161,2,4,0
deep_MAG_0329,1,1,0
deep_MAG_0140,6,16,14
deep_MAG_0367,6,11,13
deep_MAG_0020,0,0,1
deep_MAG_0523,5,3,1
deep_MAG_0607,3,1,5
deep_MAG_0304,2,6,2
deep_MAG_0123,0,0,0
deep_MAG_0420,4,1,0
deep_MAG_0295,3,5,3
deep_MAG_0502,2,2,7
deep_MAG_0325,4,0,1
deep_MAG_0590,0,2,0
deep_MAG_0093,0,0,0
deep_MAG_0102,2,0,0
deep_MAG_0401,1,2,2
deep_MAG_0226,7,12,8
deep_MAG_0156,2,0,2
deep_MAG_0455,2,6,16
deep_MAG_0055,1,1,0
deep_MAG_0539,3,17,2
deep_MAG_0489,2,8,3
deep_MAG_0177,7,28,6
deep_MAG_0474,0,3,0
deep_MAG_0118,5,14,8
deep_MAG_0518,8,5,5
deep_MAG_0577,0,0,0
deep_MAG_0514,0,0,0
deep_MAG_0586,1,9,0
deep_MAG_0078,1,0,1
deep_MAG_0485,0,0,0
deep_MAG_0478,19,11,4
deep_MAG_0186,4,4,1
deep_MAG_0380,10,4,3
deep_MAG_0611,0,0,0
deep_MAG_0036,10,20,8
deep_MAG_0535,3,2,2
deep_MAG_0459,2,1,0
deep_MAG_0283,2,1,0
deep_MAG_0328,4,2,2
deep_MAG_0560,4,1,6
deep_MAG_0347,6,11,2
deep_MAG_0042,0,0,0
deep_MAG_0366,4,1,7
deep_MAG_0309,6,19,1
deep_MAG_0265,2,1,4
deep_MAG_0298,7,7,3
deep_MAG_0421,1,11,2
deep_MAG_0122,1,36,0
deep_MAG_0269,6,14,0
deep_MAG_0294,0,0,0
deep_MAG_0397,7,19,2
deep_MAG_0305,1,14,8
deep_MAG_0606,3,4,6
deep_MAG_0021,3,9,11
deep_MAG_0191,0,2,0
deep_MAG_0400,1,13,0
deep_MAG_0103,1,8,2
deep_MAG_0503,0,0,0
deep_MAG_0591,1,15,2
deep_MAG_0557,2,9,1
deep_MAG_0273,0,0,0
deep_MAG_0519,1,3,2
deep_MAG_0351,0,9,11
deep_MAG_0576,0,1,0
deep_MAG_0075,2,1,8
deep_MAG_0176,3,5,0
deep_MAG_0488,2,15,17
deep_MAG_0484,4,0,5
deep_MAG_0416,3,1,0
deep_MAG_0231,0,0,0
deep_MAG_0084,6,0,4
deep_MAG_0437,0,0,0
deep_MAG_0134,2,5,4
deep_MAG_0210,4,1,2
deep_MAG_0282,0,0,1
deep_MAG_0058,9,18,6
deep_MAG_0534,0,0,0
deep_MAG_0037,1,13,0
deep_MAG_0610,4,12,3
