sequence_id	class_fst_stage	class_snd_stage
c_000000006458	bacteria	n/a
c_000000006549	bacteria	n/a
c_000000006556	bacteria	n/a
c_000000006620	bacteria	n/a
c_000000006648	bacteria	n/a
c_000000006653	bacteria	n/a
c_000000006671	bacteria	n/a
c_000000006695	bacteria	n/a
c_000000006709	bacteria	n/a
c_000000006750	bacteria	n/a
c_000000006753	bacteria	n/a
c_000000006785	bacteria	n/a
c_000000006815	bacteria	n/a
c_000000006908	bacteria	n/a
c_000000006969	bacteria	n/a
c_000000006975	bacteria	n/a
c_000000006993	bacteria	n/a
c_000000007014	bacteria	n/a
c_000000007085	bacteria	n/a
c_000000007116	bacteria	n/a
c_000000007121	bacteria	n/a
c_000000007153	bacteria	n/a
c_000000007160	bacteria	n/a
c_000000007183	bacteria	n/a
c_000000007198	bacteria	n/a
c_000000007279	bacteria	n/a
c_000000007303	bacteria	n/a
c_000000007353	bacteria	n/a
c_000000007361	bacteria	n/a
c_000000007452	bacteria	n/a
c_000000007463	bacteria	n/a
c_000000007470	bacteria	n/a
c_000000007519	archaea	n/a
c_000000007554	bacteria	n/a
c_000000007575	archaea	n/a
c_000000007603	bacteria	n/a
c_000000007631	bacteria	n/a
c_000000007669	archaea	n/a
c_000000007707	bacteria	n/a
c_000000007738	bacteria	n/a
c_000000007742	bacteria	n/a
c_000000007831	bacteria	n/a
c_000000007913	bacteria	n/a
c_000000007993	bacteria	n/a
c_000000008003	archaea	n/a
c_000000008040	bacteria	n/a
c_000000008059	bacteria	n/a
c_000000008068	bacteria	n/a
c_000000008131	bacteria	n/a
c_000000008136	bacteria	n/a
c_000000008158	bacteria	n/a
c_000000008162	bacteria	n/a
c_000000008213	archaea	n/a
c_000000008234	bacteria	n/a
c_000000008273	bacteria	n/a
c_000000008332	bacteria	n/a
c_000000008342	bacteria	n/a
c_000000008378	bacteria	n/a
c_000000008454	archaea	n/a
c_000000008459	bacteria	n/a
c_000000008602	bacteria	n/a
c_000000008620	bacteria	n/a
c_000000008664	bacteria	n/a
c_000000008672	bacteria	n/a
c_000000008682	bacteria	n/a
c_000000008692	bacteria	n/a
c_000000008694	bacteria	n/a
c_000000008706	bacteria	n/a
c_000000008765	archaea	n/a
c_000000008768	bacteria	n/a
c_000000008886	archaea	n/a
c_000000008904	bacteria	n/a
c_000000008906	prokarya	n/a
c_000000008912	bacteria	n/a
c_000000008946	bacteria	n/a
c_000000009001	bacteria	n/a
c_000000009006	bacteria	n/a
c_000000009011	bacteria	n/a
c_000000009012	bacteria	n/a
c_000000009019	bacteria	n/a
c_000000009063	bacteria	n/a
c_000000009072	archaea	n/a
c_000000009125	bacteria	n/a
c_000000009134	bacteria	n/a
c_000000009169	bacteria	n/a
c_000000009306	bacteria	n/a
c_000000009371	bacteria	n/a
c_000000009391	bacteria	n/a
c_000000009408	bacteria	n/a
c_000000009425	bacteria	n/a
c_000000009431	bacteria	n/a
c_000000009461	bacteria	n/a
c_000000009488	bacteria	n/a
c_000000009496	bacteria	n/a
c_000000009529	bacteria	n/a
c_000000009539	bacteria	n/a
c_000000009548	bacteria	n/a
c_000000009561	bacteria	n/a
c_000000009584	bacteria	n/a
c_000000009630	bacteria	n/a
c_000000009683	bacteria	n/a
c_000000009706	bacteria	n/a
c_000000009734	bacteria	n/a
c_000000009778	bacteria	n/a
c_000000009791	bacteria	n/a
c_000000009832	bacteria	n/a
c_000000009872	bacteria	n/a
c_000000009873	bacteria	n/a
c_000000009896	prokarya	n/a
c_000000009990	archaea	n/a
c_000000010046	bacteria	n/a
c_000000010121	bacteria	n/a
c_000000010130	archaea	n/a
c_000000010136	bacteria	n/a
c_000000010148	bacteria	n/a
c_000000010149	bacteria	n/a
c_000000010199	bacteria	n/a
c_000000010254	bacteria	n/a
c_000000010268	bacteria	n/a
c_000000010287	archaea	n/a
c_000000010293	bacteria	n/a
c_000000010299	bacteria	n/a
c_000000010368	bacteria	n/a
c_000000010369	bacteria	n/a
c_000000010386	bacteria	n/a
c_000000010405	bacteria	n/a
c_000000010508	bacteria	n/a
c_000000010564	bacteria	n/a
c_000000010606	archaea	n/a
c_000000010614	bacteria	n/a
c_000000010635	bacteria	n/a
c_000000010700	bacteria	n/a
c_000000010720	bacteria	n/a
c_000000010766	bacteria	n/a
c_000000010782	bacteria	n/a
c_000000010806	bacteria	n/a
c_000000010809	bacteria	n/a
c_000000010813	bacteria	n/a
c_000000010819	bacteria	n/a
c_000000010848	bacteria	n/a
c_000000010852	eukarya	n/a
c_000000010872	bacteria	n/a
c_000000010893	bacteria	n/a
c_000000010983	bacteria	n/a
c_000000010985	bacteria	n/a
c_000000011068	bacteria	n/a
c_000000011084	bacteria	n/a
c_000000011100	bacteria	n/a
c_000000011132	bacteria	n/a
c_000000011159	bacteria	n/a
c_000000011164	bacteria	n/a
c_000000011221	bacteria	n/a
c_000000011249	bacteria	n/a
c_000000011282	bacteria	n/a
c_000000011319	bacteria	n/a
c_000000011523	bacteria	n/a
c_000000011547	bacteria	n/a
c_000000011559	bacteria	n/a
c_000000011591	bacteria	n/a
c_000000011596	bacteria	n/a
c_000000011602	bacteria	n/a
c_000000011603	bacteria	n/a
c_000000011620	bacteria	n/a
c_000000011634	bacteria	n/a
c_000000011640	bacteria	n/a
c_000000011655	bacteria	n/a
c_000000011671	bacteria	n/a
c_000000011674	bacteria	n/a
c_000000011690	bacteria	n/a
c_000000011726	bacteria	n/a
c_000000011777	bacteria	n/a
c_000000011789	bacteria	n/a
c_000000011802	bacteria	n/a
c_000000011811	bacteria	n/a
c_000000011859	bacteria	n/a
c_000000011998	bacteria	n/a
c_000000012039	archaea	n/a
c_000000012067	archaea	n/a
c_000000012073	bacteria	n/a
c_000000012157	bacteria	n/a
c_000000012196	archaea	n/a
c_000000012207	archaea	n/a
c_000000012218	bacteria	n/a
c_000000012233	bacteria	n/a
c_000000012303	bacteria	n/a
c_000000012319	bacteria	n/a
c_000000012333	bacteria	n/a
c_000000012358	archaea	n/a
c_000000012361	bacteria	n/a
c_000000012366	bacteria	n/a
c_000000012391	bacteria	n/a
c_000000012415	bacteria	n/a
c_000000012431	bacteria	n/a
c_000000012448	bacteria	n/a
c_000000012461	bacteria	n/a
c_000000012464	bacteria	n/a
c_000000012484	bacteria	n/a
c_000000012564	bacteria	n/a
c_000000012609	bacteria	n/a
c_000000012661	archaea	n/a
c_000000012703	prokarya	n/a
c_000000012732	bacteria	n/a
c_000000012751	bacteria	n/a
c_000000012777	archaea	n/a
c_000000012787	archaea	n/a
c_000000012852	bacteria	n/a
c_000000012940	bacteria	n/a
c_000000012974	bacteria	n/a
c_000000013043	bacteria	n/a
c_000000013107	bacteria	n/a
c_000000013109	archaea	n/a
c_000000013112	bacteria	n/a
c_000000013121	bacteria	n/a
c_000000013125	bacteria	n/a
c_000000013151	bacteria	n/a
c_000000013167	bacteria	n/a
c_000000013179	bacteria	n/a
c_000000013187	bacteria	n/a
c_000000013201	bacteria	n/a
c_000000013207	bacteria	n/a
c_000000013254	bacteria	n/a
c_000000013273	bacteria	n/a
c_000000013298	bacteria	n/a
c_000000013314	archaea	n/a
c_000000013380	bacteria	n/a
c_000000013417	bacteria	n/a
c_000000013438	bacteria	n/a
c_000000013443	bacteria	n/a
c_000000013524	bacteria	n/a
c_000000013526	archaea	n/a
c_000000013562	archaea	n/a
c_000000013592	bacteria	n/a
c_000000013620	bacteria	n/a
c_000000013625	bacteria	n/a
c_000000013686	bacteria	n/a
c_000000013696	archaea	n/a
c_000000013750	bacteria	n/a
c_000000013772	archaea	n/a
c_000000013791	bacteria	n/a
c_000000013799	archaea	n/a
c_000000013810	bacteria	n/a
c_000000013814	bacteria	n/a
c_000000013817	prokarya	n/a
c_000000013828	bacteria	n/a
c_000000013837	bacteria	n/a
c_000000013874	bacteria	n/a
c_000000014035	bacteria	n/a
c_000000014046	bacteria	n/a
c_000000014054	bacteria	n/a
c_000000014056	bacteria	n/a
c_000000014089	bacteria	n/a
c_000000014090	bacteria	n/a
c_000000014111	bacteria	n/a
c_000000014139	bacteria	n/a
c_000000014166	bacteria	n/a
c_000000014217	bacteria	n/a
c_000000014235	bacteria	n/a
c_000000014243	bacteria	n/a
c_000000014248	bacteria	n/a
c_000000014250	archaea	n/a
c_000000014314	bacteria	n/a
c_000000014376	bacteria	n/a
c_000000014381	bacteria	n/a
c_000000014393	bacteria	n/a
c_000000014435	bacteria	n/a
