sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_243713_cov_13.193759	bacteria	n/a
NODE_2_length_208276_cov_7.338357	bacteria	n/a
NODE_3_length_206952_cov_31.653373	archaea	n/a
NODE_4_length_205021_cov_60.412283	prokarya	n/a
NODE_5_length_192715_cov_134.266547	bacteria	n/a
NODE_6_length_191409_cov_46.539889	prokarya	n/a
NODE_7_length_184414_cov_13.308312	bacteria	n/a
NODE_8_length_172136_cov_13.229810	unknown	n/a
NODE_9_length_166767_cov_12.718569	unknown	n/a
NODE_10_length_159160_cov_54.051884	archaea	n/a
NODE_11_length_155367_cov_212.951465	prokarya	n/a
NODE_12_length_155124_cov_20.393734	archaea	n/a
NODE_13_length_153574_cov_31.451690	bacteria	n/a
NODE_14_length_151479_cov_16.710594	bacteria	n/a
NODE_15_length_150492_cov_60.846979	archaea	n/a
NODE_16_length_145724_cov_14.477178	eukarya	n/a
NODE_17_length_145194_cov_79.775856	bacteria	n/a
NODE_18_length_145036_cov_72.963133	bacteria	n/a
NODE_19_length_141131_cov_18.495215	archaea	n/a
NODE_20_length_139764_cov_110.019319	prokarya	n/a
NODE_21_length_137606_cov_34.364301	bacteria	n/a
NODE_22_length_136058_cov_11.804526	bacteria	n/a
NODE_23_length_135308_cov_6.085787	bacteria	n/a
NODE_24_length_135101_cov_84.906454	bacteria	n/a
NODE_25_length_134946_cov_9.954304	archaea	n/a
NODE_26_length_133869_cov_29.637347	archaea	n/a
NODE_27_length_133507_cov_13.132887	archaea	n/a
NODE_28_length_132440_cov_172.710700	prokarya	n/a
NODE_29_length_130053_cov_9.310643	unknown	n/a
NODE_30_length_128940_cov_36.108058	prokarya	n/a
NODE_31_length_128234_cov_54.500924	prokarya	n/a
NODE_32_length_127322_cov_14.434559	bacteria	n/a
NODE_33_length_127310_cov_8.800621	bacteria	n/a
NODE_34_length_125921_cov_14.529571	bacteria	n/a
NODE_35_length_125592_cov_7.277950	prokarya	n/a
NODE_36_length_124767_cov_7.134478	bacteria	n/a
NODE_37_length_122404_cov_45.615363	bacteria	n/a
NODE_38_length_118345_cov_56.169769	prokarya	n/a
NODE_39_length_117973_cov_7.831340	unknown	n/a
NODE_40_length_117246_cov_9.332577	bacteria	n/a
