sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_333585_cov_13.493707	bacteria	n/a
NODE_2_length_328118_cov_41.334634	bacteria	n/a
NODE_3_length_300514_cov_12.708087	bacteria	n/a
NODE_4_length_266944_cov_36.521378	bacteria	n/a
NODE_5_length_252495_cov_49.404389	prokarya	n/a
NODE_6_length_246282_cov_19.914485	bacteria	n/a
NODE_7_length_241578_cov_21.188479	bacteria	n/a
NODE_8_length_228054_cov_17.388265	bacteria	n/a
NODE_9_length_220390_cov_48.232373	bacteria	n/a
NODE_10_length_218562_cov_12.705369	bacteria	n/a
NODE_11_length_216052_cov_11.988018	bacteria	n/a
NODE_12_length_215225_cov_22.114087	prokarya	n/a
NODE_13_length_200410_cov_19.433605	bacteria	n/a
NODE_14_length_196338_cov_8.283585	prokarya	n/a
NODE_15_length_195558_cov_12.622318	bacteria	n/a
NODE_16_length_194922_cov_13.657690	bacteria	n/a
NODE_17_length_187344_cov_13.368943	bacteria	n/a
NODE_18_length_180063_cov_7.159843	bacteria	n/a
NODE_19_length_169610_cov_46.912607	bacteria	n/a
NODE_20_length_167914_cov_13.788954	bacteria	n/a
NODE_21_length_161767_cov_19.004360	bacteria	n/a
NODE_22_length_159873_cov_44.035309	prokarya	n/a
NODE_23_length_157700_cov_22.444962	bacteria	n/a
NODE_24_length_155297_cov_18.474588	bacteria	n/a
NODE_25_length_153194_cov_17.301073	bacteria	n/a
NODE_26_length_152601_cov_18.401040	bacteria	n/a
NODE_27_length_150793_cov_44.769401	bacteria	n/a
NODE_28_length_148853_cov_8.939408	prokarya	n/a
NODE_29_length_148626_cov_12.542165	bacteria	n/a
NODE_30_length_147573_cov_64.015496	bacteria	n/a
NODE_31_length_146973_cov_71.464395	bacteria	n/a
NODE_32_length_146161_cov_21.516084	bacteria	n/a
NODE_33_length_145790_cov_12.197482	bacteria	n/a
NODE_34_length_143440_cov_14.962751	bacteria	n/a
NODE_35_length_142527_cov_17.278525	bacteria	n/a
NODE_36_length_140599_cov_18.150771	bacteria	n/a
NODE_37_length_139994_cov_13.773744	prokarya	n/a
NODE_38_length_137345_cov_22.585600	prokarya	n/a
NODE_39_length_136413_cov_7.038289	prokarya	n/a
NODE_40_length_135757_cov_21.091369	prokarya	n/a
NODE_41_length_132421_cov_42.974525	bacteria	n/a
NODE_42_length_131425_cov_11.057220	bacteria	n/a
NODE_43_length_131128_cov_13.479656	bacteria	n/a
NODE_44_length_131013_cov_19.920356	prokarya	n/a
NODE_45_length_130140_cov_22.407703	bacteria	n/a
NODE_46_length_127385_cov_10.699835	bacteria	n/a
NODE_47_length_125802_cov_22.637741	bacteria	n/a
NODE_48_length_123997_cov_11.664012	bacteria	n/a
NODE_49_length_123755_cov_12.685926	prokarya	n/a
NODE_50_length_123410_cov_20.925070	bacteria	n/a
NODE_51_length_122725_cov_19.422842	bacteria	n/a
NODE_52_length_122172_cov_19.432626	bacteria	n/a
NODE_53_length_120759_cov_6.693556	bacteria	n/a
NODE_54_length_119929_cov_12.362130	bacteria	n/a
NODE_55_length_119350_cov_16.691353	prokarya	n/a
NODE_56_length_118390_cov_41.884489	bacteria	n/a
NODE_57_length_117203_cov_24.823352	bacteria	n/a
NODE_58_length_116968_cov_6.115445	bacteria	n/a
NODE_59_length_116826_cov_13.301787	bacteria	n/a
NODE_60_length_115589_cov_67.593903	bacteria	n/a
NODE_61_length_115374_cov_46.167318	bacteria	n/a
NODE_62_length_114120_cov_37.912366	bacteria	n/a
NODE_63_length_113454_cov_36.493955	bacteria	n/a
NODE_64_length_110636_cov_12.980711	bacteria	n/a
NODE_65_length_109690_cov_55.273079	bacteria	n/a
NODE_66_length_108348_cov_19.218962	prokarya	n/a
NODE_67_length_106066_cov_7.148862	bacteria	n/a
NODE_68_length_105963_cov_27.493438	bacteria	n/a
NODE_69_length_105281_cov_22.019026	bacteria	n/a
NODE_70_length_105080_cov_16.656091	prokarya	n/a
NODE_71_length_104871_cov_18.514778	bacteria	n/a
NODE_72_length_104324_cov_17.828693	bacteria	n/a
NODE_73_length_104279_cov_24.925679	bacteria	n/a
NODE_74_length_103067_cov_173.306925	bacteria	n/a
NODE_75_length_102976_cov_43.937778	bacteria	n/a
NODE_76_length_102155_cov_7.631920	bacteria	n/a
NODE_77_length_101770_cov_40.393059	bacteria	n/a
NODE_78_length_101481_cov_12.808875	bacteria	n/a
NODE_79_length_101079_cov_13.660150	bacteria	n/a
NODE_80_length_101004_cov_12.674529	bacteria	n/a
NODE_81_length_100244_cov_20.171266	bacteria	n/a
NODE_82_length_100177_cov_29.944598	bacteria	n/a
NODE_83_length_100138_cov_6.970734	bacteria	n/a
NODE_84_length_100093_cov_22.753944	bacteria	n/a
NODE_85_length_100057_cov_13.221616	bacteria	n/a
NODE_86_length_99661_cov_13.025832	bacteria	n/a
NODE_87_length_99343_cov_141.242839	bacteria	n/a
NODE_88_length_98789_cov_14.005378	prokarya	n/a
NODE_89_length_98577_cov_6.336301	bacteria	n/a
NODE_90_length_98516_cov_6.176019	bacteria	n/a
NODE_91_length_98031_cov_13.834347	bacteria	n/a
NODE_92_length_97268_cov_12.477518	bacteria	n/a
NODE_93_length_95947_cov_18.904997	bacteria	n/a
NODE_94_length_95712_cov_40.593673	prokarya	n/a
NODE_95_length_95086_cov_21.027223	prokarya	n/a
NODE_96_length_94673_cov_38.880393	bacteria	n/a
NODE_97_length_94192_cov_19.198848	bacteria	n/a
NODE_98_length_93677_cov_19.210923	bacteria	n/a
NODE_99_length_93325_cov_22.067932	bacteria	n/a
NODE_100_length_92965_cov_18.464858	bacteria	n/a
NODE_101_length_92899_cov_21.994992	bacteria	n/a
NODE_102_length_92889_cov_13.874906	bacteria	n/a
NODE_103_length_92194_cov_23.354627	bacteria	n/a
NODE_104_length_91581_cov_35.986823	bacteria	n/a
NODE_105_length_91532_cov_7.475486	bacteria	n/a
NODE_106_length_90509_cov_11.389447	bacteria	n/a
NODE_107_length_90259_cov_21.321360	bacteria	n/a
NODE_108_length_89824_cov_22.042431	bacteria	n/a
NODE_109_length_89805_cov_12.828412	bacteria	n/a
NODE_110_length_89698_cov_21.896567	bacteria	n/a
NODE_111_length_89633_cov_10.649155	bacteria	n/a
NODE_112_length_89037_cov_82.789002	bacteria	n/a
NODE_113_length_88839_cov_31.984333	bacteria	n/a
NODE_114_length_88515_cov_18.299367	bacteria	n/a
NODE_115_length_87447_cov_10.904488	bacteria	n/a
NODE_116_length_87265_cov_38.482169	bacteria	n/a
NODE_117_length_86821_cov_7.722702	bacteria	n/a
NODE_118_length_86751_cov_10.048872	bacteria	n/a
NODE_119_length_86736_cov_48.124272	bacteria	n/a
NODE_120_length_86642_cov_5.668946	bacteria	n/a
NODE_121_length_86384_cov_26.975895	bacteria	n/a
NODE_122_length_86351_cov_13.471540	bacteria	n/a
NODE_123_length_86311_cov_52.631724	bacteria	n/a
