sequence_id	class_fst_stage	class_snd_stage
NODE_115_length_32410_cov_20.0363	prokarya	n/a
NODE_116_length_32403_cov_5.75346	eukarya	n/a
NODE_117_length_32394_cov_9.59986	archaea	n/a
NODE_118_length_32332_cov_11.145	bacteria	n/a
NODE_119_length_32071_cov_544.956	bacteria	n/a
NODE_120_length_31740_cov_14.6583	bacteria	n/a
NODE_121_length_31665_cov_29.9198	bacteria	n/a
NODE_122_length_31583_cov_25.9451	bacteria	n/a
NODE_123_length_31512_cov_10.6569	prokarya	n/a
NODE_124_length_31427_cov_6.09907	unknown	n/a
NODE_125_length_31408_cov_8.33974	bacteria	n/a
NODE_126_length_31205_cov_5.64231	bacteria	n/a
NODE_127_length_31146_cov_16.517	prokarya	n/a
NODE_128_length_31096_cov_7.88882	archaea	n/a
NODE_129_length_31035_cov_5.44842	prokarya	n/a
NODE_130_length_30954_cov_16.9185	bacteria	n/a
NODE_131_length_30810_cov_27.2073	archaea	n/a
NODE_132_length_30104_cov_6.47958	bacteria	n/a
NODE_133_length_30061_cov_9.1428	unknown	n/a
NODE_134_length_30060_cov_7.93301	bacteria	n/a
NODE_135_length_29987_cov_24.6686	prokarya	n/a
NODE_136_length_29834_cov_30.6655	bacteria	n/a
NODE_137_length_29812_cov_95.0331	archaea	n/a
NODE_138_length_29774_cov_14.4784	archaea	n/a
NODE_139_length_29729_cov_13.0216	bacteria	n/a
NODE_140_length_29715_cov_8.41173	prokarya	n/a
NODE_141_length_29555_cov_15.0084	bacteria	n/a
NODE_142_length_29554_cov_9.99736	bacteria	n/a
NODE_143_length_29358_cov_5.97294	prokarya	n/a
NODE_144_length_29345_cov_10.5763	archaea	n/a
NODE_145_length_29340_cov_16.2443	bacteria	n/a
NODE_146_length_29190_cov_9.43693	prokarya	n/a
NODE_147_length_29023_cov_6.28942	unknown	n/a
NODE_148_length_28917_cov_59.193	prokarya	n/a
NODE_149_length_28899_cov_30.2258	bacteria	n/a
NODE_150_length_28866_cov_16.3379	bacteria	n/a
NODE_151_length_28828_cov_38.6992	bacteria	n/a
NODE_152_length_28317_cov_315.545	archaea	n/a
NODE_153_length_28280_cov_6.29205	eukarya	n/a
NODE_154_length_28222_cov_13.318	bacteria	n/a
NODE_155_length_28212_cov_54.0281	bacteria	n/a
NODE_156_length_28135_cov_16.5298	bacteria	n/a
NODE_157_length_27910_cov_6.52102	bacteria	n/a
NODE_158_length_27900_cov_8.17895	bacteria	n/a
NODE_159_length_27830_cov_5.29455	archaea	n/a
NODE_160_length_27816_cov_5.40334	unknown	n/a
NODE_161_length_27708_cov_39.3641	archaea	n/a
NODE_162_length_27527_cov_4.07182	bacteria	n/a
NODE_163_length_27435_cov_21.6285	bacteria	n/a
NODE_164_length_27389_cov_25.7787	bacteria	n/a
NODE_165_length_27317_cov_56.2889	archaea	n/a
NODE_166_length_27158_cov_14.827	bacteria	n/a
NODE_167_length_27127_cov_22.3996	prokarya	n/a
NODE_168_length_27009_cov_7.20542	bacteria	n/a
NODE_169_length_26928_cov_8.56082	prokarya	n/a
NODE_170_length_26907_cov_7.82765	bacteria	n/a
NODE_171_length_26804_cov_29.0893	bacteria	n/a
NODE_172_length_26683_cov_14.6032	unknown	n/a
NODE_173_length_26651_cov_20.3495	bacteria	n/a
NODE_174_length_26639_cov_29.6573	prokarya	n/a
NODE_175_length_26572_cov_7.31565	archaea	n/a
NODE_176_length_26529_cov_21.4362	bacteria	n/a
NODE_177_length_26433_cov_6.54462	archaea	n/a
