Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
class-Dinophyceae	class	Dinophyceae	2864	0.4677	13.1573	323	690542
class-Dinophyceae|order-Gonyaulacales	order	Gonyaulacales	40984	1.1431	13.4851	190	166211
class-Dinophyceae|order-Gonyaulacales|family-Gonyaulacaceae|genus-Alexandrium	genus	Alexandrium	2924	0.6003	6.4918	20	33319
class-Dinophyceae|order-Gonyaulacales|family-Gonyaulacaceae|genus-Alexandrium|species-Alexandrium_andersonii	species	Alexandrium andersonii	327968	0.3036	2.9709	9	29644
class-Dinophyceae|order-Gonyaulacales|family-Ceratiaceae|genus-Tripos	genus	Tripos	2126447	1.2792	13.8349	170	132892
class-Dinophyceae|order-Gonyaulacales|family-Ceratiaceae|genus-Tripos|species-Tripos_fusus	species	Tripos fusus	2916	1.2792	12.518	170	132892
class-Dinophyceae|order-Gymnodiniales	order	Gymnodiniales	2953	0.0808	0.9527	11	136208
class-Dinophyceae|order-Gymnodiniales|family-Kareniaceae|genus-Karlodinium	genus	Karlodinium	157684	0.0808	0.8734	11	136208
class-Dinophyceae|order-Gymnodiniales|family-Kareniaceae|genus-Karlodinium|species-Karlodinium_veneficum	species	Karlodinium veneficum	407301	0.0808	0.7903	11	136208
class-Dinophyceae|order-Peridiniales	order	Peridiniales	2910	1.0174	12.0019	90	88461
class-Dinophyceae|order-Peridiniales|family-Endodiniaceae|genus-Brandtodinium	genus	Brandtodinium	1482939	1.0174	11.0032	90	88461
class-Dinophyceae|order-Peridiniales|family-Endodiniaceae|genus-Brandtodinium|species-Brandtodinium_nutricula	species	Brandtodinium nutricula	1333877	1.0174	9.9558	90	88461
class-Dinophyceae|order-Thoracosphaerales	order	Thoracosphaerales	33835	0.1403	1.6555	23	163897
class-Dinophyceae|order-Thoracosphaerales|family-Thoracosphaeraceae|genus-Scrippsiella	genus	Scrippsiella	54902	0.1403	1.5177	23	163897
class-Dinophyceae|order-Thoracosphaerales|family-Thoracosphaeraceae|genus-Scrippsiella|species-Scrippsiella_trochoidea	species	Scrippsiella trochoidea	71861	0.1403	1.3732	23	163897
class-Dinophyceae|order-Prorocentrales	order	Prorocentrales	2942	0.0663	0.782	9	135765
class-Dinophyceae|order-Prorocentrales|family-Prorocentraceae|genus-Prorocentrum	genus	Prorocentrum	2944	0.0663	0.7169	9	135765
class-Dinophyceae|order-Prorocentrales|family-Prorocentraceae|genus-Prorocentrum|species-Prorocentrum_cordatum	species	Prorocentrum cordatum	2364126	0.0663	0.6487	9	135765
phylum-Haptista|class-Haptophyta	class	Haptophyta	2830	0.3635	10.2236	83	228366
phylum-Haptista|class-Haptophyta|order-Coccolithales	order	Coccolithales	418917	0.2264	2.6705	26	114854
phylum-Haptista|class-Haptophyta|order-Coccolithales|family-Calcidiscaceae|genus-Calcidiscus	genus	Calcidiscus	127548	0.2264	2.4482	26	114854
phylum-Haptista|class-Haptophyta|order-Coccolithales|family-Calcidiscaceae|genus-Calcidiscus|species-Calcidiscus_leptoporus	species	Calcidiscus leptoporus	127549	0.2264	2.2152	26	114854
phylum-Haptista|class-Haptophyta|order-Coccosphaerales	order	Coccosphaerales	73027	0.5021	5.9237	57	113512
