sample,sum_bases,HQ_reads,Avg_read_len,read_counts,DNA_signalT
TARA_B110000263,143755851,298777816,90,1597287.233,0.00534607
TARA_B110000285,135545273.6,315701877,93,1457476.061,0.004616621
TARA_B110000305,208709153,340814002,93,2244184.441,0.006584778
TARA_B110000438,154080056.5,307302490,94,1639149.537,0.005333994
TARA_B110000444,153968861.2,297683763,93,1655579.153,0.005561537
TARA_B110000459,159901952.9,282368061,91,1757164.317,0.006222957
TARA_B110000467,158760541.4,306158190,94,1688941.93,0.005516566
TARA_B110000483,183155332.1,333342581,94,1948460.979,0.005845221
TARA_B110000495,177237227.3,363194462,92,1926491.601,0.005304298
TARA_B110000503,195733272.4,284108697,93,2104658.843,0.007407935
TARA_B110000858,169928046.1,318899103,93,1827183.292,0.00572966
TARA_B110000879,287690283.2,366398924,94,3060534.927,0.008353013
TARA_B110000881,170879149.1,326725151,92,1857382.056,0.005684846
TARA_B110000902,303575824.2,438981200,90,3373064.713,0.007683848
TARA_B110000908,266825698.7,362668168,91,2932150.535,0.00808494
TARA_B110000914,158023217.6,302432611,91,1736518.874,0.005741837
TARA_B110000967,244282073.9,358306213,91,2684418.395,0.007491967
TARA_B110000971,248787213.1,389790405,92,2704208.839,0.006937597
TARA_B110000977,197742427,300364228,92,2149374.207,0.007155893
TARA_B110001450,226952703.8,373981684,92,2466877.215,0.006596251
TARA_B110001452,132337342.9,270128473,88,1503833.442,0.005567105
TARA_B110001454,126156173.3,277553979,94,1342086.95,0.004835409
TARA_B110001469,246870321.4,306718487,94,2626280.015,0.00856251
TARA_E500000075,84412702.11,134566031,93,907663.4636,0.006745116
TARA_E500000081,84268701.46,135522562,98,859884.7088,0.006344956
TARA_E500000178,251854810.3,402302512,91,2767635.278,0.006879488
TARA_E500000331,178748476.9,349127221,92,1942918.227,0.005565072
TARA_S200000501,192650424,374072229,90,2140560.267,0.005722318
TARA_X000000368,207788735.6,407529708,90,2308763.729,0.005665265
TARA_X000000950,236058638.7,432720305,90,2622873.764,0.00606136
TARA_X000001036,212754114.9,370409251,93,2287678.655,0.006176084
TARA_Y100000022,109655369.9,231266779,92,1191906.194,0.005153815
TARA_Y100000031,156624718.9,243015035,90,1740274.654,0.007161181
TARA_Y100000287,104483591.6,235650989,92,1135691.213,0.004819378
TARA_Y100000294,146357410.2,226744396,89,1644465.283,0.007252507
TARA_Y200000002,189577754.2,363703213,91,2083272.024,0.005727945
