sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_B100000920,73551064.24,259806433,87,845414.5315,0.003254017
TARA_B100000925,30289040.53,198246250,88,344193.6424,0.001736192
TARA_B100000927,42968822.72,246762914,88,488282.0764,0.00197875
TARA_B100000929,155978274.9,344757307,88,1772480.397,0.005141241
TARA_B100000939,31464351.69,175238058,86,365864.5546,0.002087814
TARA_B100000943,23840695.61,219166679,87,274030.984,0.001250331
TARA_B100000953,98083126.69,303923905,87,1127392.261,0.003709456
TARA_B100000959,114888298.9,282885949,88,1305548.851,0.004615107
TARA_B100000963,27229674.07,240256335,88,309428.1144,0.001287908
TARA_B100000965,77356336.07,260699888,88,879049.2735,0.003371882
TARA_B100000973,55134684.97,239210159,88,626530.511,0.002619163
TARA_B100000986,34153124.36,220245992,89,383742.9704,0.001742338
TARA_B100000987,20238301.83,183251506,89,227396.6498,0.001240899
TARA_B100000994,34215386.02,151417967,89,384442.5395,0.002538949
TARA_B100001000,62220634.93,259050170,87,715179.7119,0.002760777
TARA_B100001010,122778928.9,279980358,86,1427661.964,0.00509915
TARA_B100001031,40328653.86,203218697,89,453130.9423,0.00222977
TARA_B100001033,26270425.06,218954924,88,298527.5575,0.00136342
TARA_B100001061,64496436.46,249679566,88,732914.0506,0.002935419
TARA_B100001064,44398565.8,172743448,89,498860.2898,0.002887868
TARA_B100001076,53130110.72,177171197,86,617791.9852,0.003486978
TARA_B100001089,63683757.21,270877282,83,767274.1832,0.002832553
TARA_B100001090,63002408.58,355171301,87,724165.6158,0.002038919
TARA_B100001107,7971969.554,163415598,87,91631.83395,0.000560729
TARA_B100001111,34238096.31,123041084,86,398117.3989,0.003235646
TARA_B100001115,41173743.18,231001921,87,473261.4159,0.002048734
TARA_B100001121,45712261.98,245065556,86,531537.93,0.002168962
TARA_B100001123,112144590.4,351133123,87,1289018.28,0.003671024
TARA_B100001135,73130351.83,316403681,88,831026.7253,0.002626476
TARA_B100001139,6156730.454,51865276,87,70767.01672,0.001364439
TARA_B100001158,35820991.24,225948330,85,421423.4263,0.001865132
TARA_B100001171,194169078.1,1105582114,84,2311536.644,0.002090787
TARA_B100001196,44298788,339497667,86,515102.1861,0.001517248
TARA_B100001215,86767176.63,427715448,87,997323.8693,0.002331746
TARA_B100001217,84784796.42,205137897,85,997468.1932,0.004862428
TARA_B100001228,56399437.45,278679634,86,655807.4122,0.002353266
TARA_B100001230,156492803,246944301,85,1841091.8,0.007455494
TARA_B100001242,129145783.8,347539966,88,1467565.725,0.004222725
TARA_B100001261,52910121.47,238553827,86,615233.9706,0.002579015
TARA_B100001263,67746710.87,307524077,86,787752.452,0.002561596
TARA_B100001275,58625958.4,263340676,86,681697.1907,0.002588651
TARA_B100001287,33981350.21,231031969,86,395131.9791,0.001710291
TARA_B100001297,44321951.66,225978877,87,509447.7202,0.002254404
TARA_B100001557,41457407.76,293800009,86,482062.881,0.001640786
TARA_B100001564,67167040.31,372681787,88,763261.8217,0.002048026
TARA_B100001741,72480680.24,368263433,87,833111.2672,0.00226227
TARA_B100001750,91236705.45,319301079,88,1036780.744,0.003247032
TARA_B100001758,48722624.06,294815368,89,547445.2142,0.001856909
TARA_B100001765,72021556.33,325859594,85,847312.4275,0.002600238
TARA_B100001769,75001199.62,357794052,88,852286.3593,0.002382058
TARA_B100001776,48532504.74,284405550,86,564331.4505,0.001984249
TARA_B100001937,103299973.4,493882935,87,1187356.016,0.002404124
TARA_B100001964,87377436.91,294488097,88,992925.4194,0.0033717
TARA_B100001971,150329351.6,309226736,85,1768580.607,0.005719365
TARA_B100001977,42653082.68,285692059,87,490265.3181,0.001716062
