sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_B100001142,952549386.4,317878065,92,10353797.68,0.032571602
TARA_B100001146,913537469.6,317444967,92,9929755.104,0.031280241
TARA_B100001167,680251402.9,283448214,91,7475290.142,0.026372684
TARA_B100001173,975232979.2,302028834,91,10716845.93,0.035482857
TARA_B100001175,1071672601,349395064,92,11648615.23,0.033339381
TARA_B100001179,832492572.6,315718849,92,9048832.311,0.028661046
TARA_B100001245,922065428.2,360434425,89,10360285.71,0.028743885
TARA_B100001248,811603215.4,304975519,89,9119137.252,0.029901211
TARA_B100001250,1015239057,433149549,90,11280433.96,0.026042816
TARA_B100001287,1072634803,331881103,92,11659073.95,0.035130274
TARA_B100001540,1044090974,310522687,94,11107350.79,0.035769853
TARA_B100001559,963383696.9,316857199,90,10704263.3,0.03378261
TARA_B100001564,1097609192,341045048,92,11930534.7,0.034982284
TARA_B100001741,965065112.4,304342528,91,10605111.13,0.034845972
TARA_B100001750,785903630.6,300140171,91,8636303.633,0.028774234
TARA_B100001758,978826435.7,314545851,92,10639417.78,0.033824696
TARA_B100001765,807951255,329290893,90,8977236.166,0.027262327
TARA_B100001769,1019289692,333852872,92,11079235.78,0.033185983
TARA_B100001778,982793956.4,321040924,91,10799933.59,0.033640364
TARA_B100001939,921376997.6,311469542,91,10125021.95,0.032507262
TARA_B100001964,1286598882,359534838,93,13834396.59,0.038478598
TARA_B100001971,1279580693,372718152,93,13758932.18,0.036915112
TARA_B100001989,820320300.4,311888634,92,8916525.004,0.02858881
TARA_B100001996,787680235.8,342491361,90,8752002.62,0.025553937
TARA_B100002003,1042302644,319703262,92,11329376.57,0.035437163
TARA_B100002019,995934723.3,335660959,94,10595050.25,0.031564738
TARA_B100002049,907383622.5,300762214,91,9971248.599,0.033153262
TARA_B100002051,987491824,288959000,92,10733606.78,0.037145778
TARA_B100002052,998460025,288134459,92,10852826.36,0.03766584
TARA_B110000003,1421900092,366908583,91,15625275.74,0.042586291
TARA_B110000008,1230729985,333376323,93,13233655.75,0.039695848
TARA_B110000014,974257520,345266565,93,10475887.31,0.030341447
TARA_B110000027,1031125818,269640573,95,10853955.98,0.040253423
TARA_B110000037,1182946459,307362470,94,12584536.8,0.040943635
TARA_B110000046,1087653056,311678782,92,11822315.83,0.03793109
TARA_B110000090,1451771726,316894061,93,15610448.67,0.04926078
TARA_B110000091,1342235823,298480291,93,14432643.26,0.048353756
TARA_B110000093,1063358972,253608239,92,11558249.7,0.045575214
TARA_B110000114,1586086383,325056836,93,17054692.3,0.052466801
TARA_B110000116,1008194414,303538659,92,10958634.93,0.03610293
TARA_B110000196,1097288118,403657238,92,11927044.77,0.029547457
TARA_B110000208,1207951853,317570168,94,12850551.63,0.040465235
TARA_B110000211,1286099078,345187806,89,14450551.44,0.041862868
TARA_B110000238,1576780880,378641950,93,16954633.12,0.044777482
TARA_B110000240,1235125344,311139237,92,13425275.48,0.04314877
TARA_B110000259,1203879718,309043914,91,13229447.45,0.042807662
TARA_B110000261,924150107.4,265064735,93,9937097.929,0.037489325
TARA_B110000263,903309830.8,298777816,90,10036775.9,0.033592775
TARA_B110000285,665059665.6,315701877,93,7151179.2,0.022651684
TARA_B110000305,1157476118,340814002,93,12445979.77,0.036518393
TARA_B110000438,933904158,307302490,94,9935150.617,0.032330199
TARA_B110000444,995902544.5,297683763,93,10708629.51,0.035973173
TARA_B110000459,1048210373,282368061,91,11518795.31,0.040793549
TARA_B110000467,895471537.8,306158190,94,9526292.955,0.031115591
TARA_B110000483,1124739668,333342581,94,11965315.62,0.035894951
TARA_B110000495,1010164963,363194462,92,10980053.94,0.030231887
TARA_B110000503,986386422.4,284108697,93,10606305.62,0.037331858
TARA_B110000858,960012234.2,318899103,93,10322712.2,0.032369838
TARA_B110000879,1766040959,366398924,94,18787669.78,0.051276542
TARA_B110000881,992115536.5,326725151,92,10783864.53,0.033005921
TARA_B110000902,1559167987,438981200,90,17324088.75,0.039464307
TARA_B110000908,1459797459,362668168,91,16041730.32,0.044232529
TARA_B110000914,902819969.6,302432611,91,9921098.567,0.032804328
TARA_B110000967,1340804938,358306213,91,14734120.2,0.041121587
TARA_B110000971,1265612611,389790405,92,13756658.82,0.035292451
TARA_B110000977,975957962.6,300364228,92,10608238.72,0.035317916
TARA_B110001450,1321432528,373981684,92,14363397.04,0.038406686
TARA_B110001452,784028230,270128473,88,8909411.705,0.032982127
