sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_B110000969,786167.4051,176877743,89,8833.34163,4.99E-05
TARA_B110000975,1299307.548,93056969,89,14598.96121,0.000156882
TARA_B110001435,1696536.977,253003582,86,19727.17415,7.80E-05
TARA_B110001437,1409018.084,209698652,83,16976.12149,8.10E-05
TARA_B110001444,286807.7803,149703144,87,3296.641152,2.20E-05
TARA_B110001446,545320.1854,181183793,86,6340.932388,3.50E-05
TARA_B110001467,504584.596,178732939,88,5733.915863,3.21E-05
TARA_E500000176,3008630.451,262791876,89,33804.83653,0.000128637
TARA_S200002603,3289883.2,315217088,88,37385.03637,0.000118601
TARA_X100000009,2703800.516,292111463,89,30379.78108,0.000104001
