PANGAEA sample id,ENA_Run_ID,MetaG/MetaT,Station,Layer,Size_fraction
TARA_B110000467,ERR3589562,MetaG,209,MES,0.22-3
TARA_B100000475,ERR599129|ERR599171|ERR599174,MetaG,68,SRF,0.22-3
TARA_B110000438,ERR3589563,MetaG,210,MES,0.22-3
TARA_B100000459,ERR599135|ERR599165,MetaG,70,SRF,0.22-3
TARA_B100000427,ERR599133|ERR599137,MetaG,72,DCM,0.22-3
TARA_B100000424,ERR598984|ERR599105,MetaG,72,SRF,0.22-3
TARA_B100000519,ERR599040|ERR599148,MetaG,76,DCM,0.22-3
TARA_B100000513,ERR599010|ERR599126,MetaG,76,SRF,0.22-3
TARA_B100000530,ERR599046|ERR599101,MetaG,78,DCM,0.22-3
TARA_B100000524,ERR599006|ERR599022,MetaG,78,SRF,0.22-3
TARA_B100000767,ERR599027|ERR599122,MetaG,82,DCM,0.22-3
TARA_B100000768,ERR599009|ERR599035,MetaG,82,SRF,0.22-3
TARA_B100000780,ERR598945|ERR599059,MetaG,84,SRF,0.22-3
TARA_B100000795,ERR599104|ERR599121,MetaG,85,DCM,0.22-3
TARA_B100000787,ERR599090|ERR599176,MetaG,85,SRF,0.22-3
TARA_B100001059,ERR598965,MetaG,93,DCM,0.22-3
TARA_B100001063,ERR599064,MetaG,93,SRF,0.22-3
TARA_B100001057,ERR599050,MetaG,94,SRF,0.22-3
TARA_B100000989,ERR598967,MetaG,96,SRF,0.22-3
TARA_B100001029,ERR599042|ERR599079,MetaG,98,DCM,0.22-3
TARA_B100001027,ERR599093|ERR599120,MetaG,98,SRF,0.22-3
TARA_B100000886,ERR599024,MetaG,99,SRF,0.22-3
TARA_B100000965,ERR599081|ERR599113,MetaG,100,DCM,0.22-3
TARA_B100000959,ERR598946|ERR598953|ERR598981,MetaG,100,DCM,0.22-3
TARA_B100000963,ERR599063|ERR599163|ERR599169,MetaG,100,SRF,0.22-3
TARA_B100000902,ERR598962|ERR599007|ERR599168,MetaG,102,DCM,0.22-3
TARA_B100000315,ERR599031|ERR599062,MetaG,37,MES,0.22-1.6
TARA_B100000900,ERR598943|ERR598978,MetaG,102,SRF,0.22-3
TARA_B100000927,ERR598952|ERR599065|ERR599108,MetaG,109,DCM,0.22-3
TARA_Y100000294,ERR599109|ERR599167,MetaG,38,MES,0.22-1.6
TARA_B100000925,ERR598997|ERR599118,MetaG,109,SRF,0.22-3
TARA_B100001113,ERR599014,MetaG,110,DCM,0.22-3
TARA_Y100000031,ERR599037|ERR599172,MetaG,39,MES,0.22-1.6
TARA_B100001109,ERR599039,MetaG,110,SRF,0.22-3
TARA_B100000579,ERR598961,MetaG,111,DCM,0.22-3
TARA_B100000378,ERR599112,MetaG,56,MES,0.22-3
TARA_B100000575,ERR599077,MetaG,111,SRF,0.22-3
TARA_B100000945,ERR598957,MetaG,112,DCM,0.22-3
TARA_B100000408,ERR599021|ERR599164,MetaG,64,MES,0.22-3
TARA_B100000941,ERR598954,MetaG,112,SRF,0.22-3
TARA_B100000700,ERR598948,MetaG,122,DCM,0.22-3
TARA_B000000460,ERR598960|ERR599034,MetaG,65,MES,0.22-3
TARA_B100001115,ERR598992,MetaG,122,SRF,0.22-3
TARA_B100000686,ERR598956|ERR598998|ERR599117|ERR599157,MetaG,123,MIX,0.22-3
TARA_B100000683,ERR599160,MetaG,123,SRF,0.22-3
TARA_B100000676,ERR598988|ERR599084|ERR599089|ERR599161,MetaG,124,MIX,0.22-3
TARA_B100000674,ERR588857|ERR599036|ERR599069|ERR599080|ERR599151,MetaG,124,SRF,0.22-3
TARA_B100001123,ERR599156,MetaG,125,MIX,0.22-3
TARA_B100001121,ERR599066|ERR599091|ERR599114|ERR599119,MetaG,125,SRF,0.22-3
TARA_B100000614,ERR599032,MetaG,128,DCM,0.22-3
TARA_B100000609,ERR599038,MetaG,128,SRF,0.22-3
TARA_B100001250,ERR598995,MetaG,132,DCM,0.22-3
TARA_B100001248,ERR599142,MetaG,132,SRF,0.22-3
TARA_B100001094,ERR598942,MetaG,133,DCM,0.22-3
TARA_B100001093,ERR599052,MetaG,133,SRF,0.22-3
TARA_B100001964,ERR598987|ERR599070|ERR599099|ERR599147,MetaG,137,DCM,0.22-3
TARA_B100001287,ERR598989,MetaG,137,SRF,0.22-3
TARA_B100001996,ERR599087,MetaG,138,DCM,0.22-3
TARA_B100001989,ERR599030,MetaG,138,SRF,0.22-3
TARA_B100002019,ERR599162,MetaG,140,SRF,0.22-3
TARA_B100001939,ERR599029,MetaG,141,SRF,0.22-3
TARA_B100002052,ERR599100,MetaG,142,DCM,0.22-3
TARA_B100002049,ERR598985,MetaG,142,MES,0.22-3
TARA_B100002051,ERR599136,MetaG,142,SRF,0.22-3
TARA_B100001146,ERR599166,MetaG,145,MES,0.22-3
TARA_B100001142,ERR598983,MetaG,145,SRF,0.22-3
TARA_B100001167,ERR599047,MetaG,146,MES,0.22-3
TARA_B100001540,ERR598968,MetaG,146,SRF,0.22-3
TARA_B100001741,ERR599123,MetaG,148,SRF,0.22-3
TARA_B100001750,ERR598958,MetaG,148,MES,0.22-3
TARA_B100001765,ERR598964,MetaG,149,MES,0.22-3
TARA_B100001758,ERR598963,MetaG,149,SRF,0.22-3
TARA_B100001778,ERR598996,MetaG,150,DCM,0.22-3
TARA_B100001769,ERR599170,MetaG,150,SRF,0.22-3
TARA_B100001559,ERR598986,MetaG,151,DCM,0.22-3
TARA_B100001564,ERR598976,MetaG,151,SRF,0.22-3
TARA_B100001179,ERR598944,MetaG,152,MES,0.22-3
TARA_B100001175,ERR599001,MetaG,152,MIX,0.22-3
TARA_B100001173,ERR599078,MetaG,152,SRF,0.22-3
TARA_B110000008,ERR3589583,MetaG,155,DCM,0.22-3
TARA_B110000014,ERR3589584,MetaG,155,MES,0.22-3
TARA_B110000003,ERR3589591,MetaG,155,SRF,0.22-3
TARA_B110001452,ERR3589564,MetaG,158,DCM,0.22-3
TARA_B110001450,ERR3589592,MetaG,158,SRF,0.22-3
TARA_B110001469,ERR3589586,MetaG,163,SRF,0.22-3
TARA_B110000046,ERR3589565,MetaG,168,DCM,0.22-3
TARA_B110000037,ERR3589587,MetaG,168,MIX,0.22-3
TARA_B110000027,ERR3589588,MetaG,168,SRF,0.22-3
TARA_B110000093,ERR3589589,MetaG,173,DCM,0.22-3
TARA_B110000091,ERR3589553,MetaG,173,DCM,0.22-3
TARA_B110000090,ERR3589566,MetaG,173,SRF,0.22-3
TARA_B110000114,ERR3589577,MetaG,175,SRF,0.22-3
TARA_B110000116,ERR3589567,MetaG,175,MIX,0.22-3
TARA_B110000208,ERR3589590,MetaG,178,SRF,0.22-3
TARA_B110000503,ERR3589568,MetaG,180,SRF,0.22-3
TARA_B110000211,ERR3589578,MetaG,180,DCM,0.22-3
TARA_B110000240,ERR3589579,MetaG,188,DCM,0.22-3
TARA_B110000238,ERR3589554,MetaG,188,SRF,0.22-3
TARA_B110000261,ERR3589569,MetaG,189,DCM,0.22-3
TARA_B110000259,ERR3589555,MetaG,189,SRF,0.22-3
TARA_B110000285,ERR3589580,MetaG,191,SRF,0.22-3
TARA_B110000977,ERR3589581,MetaG,193,SRF,0.22-3
TARA_B110000967,ERR3589571,MetaG,194,DCM,0.22-3
TARA_B110000971,ERR3589556,MetaG,194,SRF,0.22-3
TARA_B110000305,ERR3589557,MetaG,196,SRF,0.22-3
TARA_B110000908,ERR3589572,MetaG,201,DCM,0.22-3
TARA_B110000902,ERR3589558,MetaG,201,SRF,0.22-3
TARA_B100000929,ERR598971|ERR599067,MetaG,109,MES,0.22-3
TARA_B110000879,ERR3589559,MetaG,205,SRF,0.22-3
TARA_B100001245,ERR598980,MetaG,132,MES,0.22-3
TARA_B110000483,ERR3589561,MetaG,206,SRF,0.22-3
TARA_B110000858,ERR3589575,MetaG,208,SRF,0.22-3
TARA_B100001105,ERR599115,MetaG,133,MES,0.22-3
TARA_B110000459,ERR3589576,MetaG,209,SRF,0.22-3
TARA_B100001971,ERR599015|ERR599076|ERR599127|ERR599152,MetaG,137,MES,0.22-3
TARA_B110000444,ERR3589582,MetaG,210,SRF,0.22-3
TARA_X000001316,ERR599383,MetaG,11,SRF,lt-0.22
TARA_A100000172,ERR594352,MetaG,18,DCM,lt-0.22
TARA_A100000171,ERR594358,MetaG,18,SRF,lt-0.22
TARA_S200002703,ERR594378|ERR594406,MetaG,22,SRF,lt-0.22
TARA_X000001382,ERR594408,MetaG,23,DCM,lt-0.22
TARA_E500000305,ERR594375,MetaG,25,DCM,lt-0.22
TARA_E500000318,ERR594396,MetaG,25,SRF,lt-0.22
TARA_X000001388,ERR594405,MetaG,30,DCM,lt-0.22
TARA_A100001391,ERR594401|ERR594410,MetaG,31,SRF,lt-0.22
TARA_A100001518,ERR594360,MetaG,32,DCM,lt-0.22
TARA_A100001515,ERR594393,MetaG,32,SRF,lt-0.22
TARA_A100001201,ERR599350,MetaG,33,SRF,lt-0.22
TARA_R100000008,ERR594390,MetaG,34,DCM,lt-0.22
TARA_R100000005,ERR594368|ERR594370,MetaG,34,SRF,lt-0.22
TARA_R100000030,ERR594402,MetaG,36,DCM,lt-0.22
TARA_R100000027,ERR594369,MetaG,36,SRF,lt-0.22
TARA_R100000049,ERR599372,MetaG,37,MES,lt-0.22
TARA_R100000084,ERR594386|ERR594399,MetaG,38,DCM,lt-0.22
TARA_R100000093,ERR599379,MetaG,38,MES,lt-0.22
TARA_R100000081,ERR594374|ERR594400,MetaG,38,SRF,lt-0.22
TARA_R100000482,ERR594363|ERR594397,MetaG,39,DCM,lt-0.22
TARA_R100000501,ERR599360,MetaG,39,MES,lt-0.22
TARA_R100000479,ERR594356|ERR594365,MetaG,39,SRF,lt-0.22
TARA_R100000458,ERR594366|ERR594367|ERR594371|ERR594372|ERR594373,MetaG,41,DCM,lt-0.22
TARA_R100000455,ERR594384,MetaG,41,SRF,lt-0.22
TARA_R100000152,ERR594413,MetaG,42,DCM,lt-0.22
TARA_R100000149,ERR594398|ERR594403,MetaG,42,SRF,lt-0.22
TARA_R100000388,ERR599356,MetaG,45,SRF,lt-0.22
TARA_R100000406,ERR594376,MetaG,46,SRF,lt-0.22
TARA_R100000426,ERR599344,MetaG,48,SRF,lt-0.22
TARA_R100000234,ERR594394,MetaG,52,DCM,lt-0.22
TARA_R100000231,ERR599358,MetaG,52,SRF,lt-0.22
TARA_R100000365,ERR599371,MetaG,56,MES,lt-0.22
TARA_R100000353,ERR599376,MetaG,56,SRF,lt-0.22
TARA_R100000278,ERR599362,MetaG,58,DCM,lt-0.22
TARA_R100000329,ERR599339,MetaG,62,SRF,lt-0.22
TARA_R100000315,ERR594385,MetaG,64,DCM,lt-0.22
TARA_R100000306,ERR599351,MetaG,64,MES,lt-0.22
TARA_R100000322,ERR594392,MetaG,64,SRF,lt-0.22
TARA_R100001198,ERR594382|ERR594414,MetaG,65,DCM,lt-0.22
TARA_R100001230,ERR594359|ERR594361,MetaG,65,SRF,lt-0.22
TARA_R100000908,ERR594389,MetaG,66,DCM,lt-0.22
TARA_R100000900,ERR594362,MetaG,66,SRF,lt-0.22
TARA_R100000951,ERR594395|ERR594404,MetaG,67,SRF,lt-0.22
TARA_R100000995,ERR594415,MetaG,68,DCM,lt-0.22
TARA_R100000963,ERR599382,MetaG,68,MES,lt-0.22
TARA_R100000988,ERR594391,MetaG,68,SRF,lt-0.22
TARA_R100001039,ERR594407,MetaG,70,MES,lt-0.22
TARA_R100001015,ERR594353,MetaG,70,SRF,lt-0.22
TARA_R100001082,ERR594379,MetaG,72,DCM,lt-0.22
TARA_R100001086,ERR594388,MetaG,72,MES,lt-0.22
TARA_R100001079,ERR594364,MetaG,72,SRF,lt-0.22
TARA_R100001129,ERR594355,MetaG,76,DCM,lt-0.22
TARA_R100001132,ERR599347|ERR599370,MetaG,76,MES,lt-0.22
TARA_R100001126,ERR594354,MetaG,76,SRF,lt-0.22
TARA_R100001163,ERR599374,MetaG,78,DCM,lt-0.22
TARA_R100001143,ERR599361,MetaG,78,MES,lt-0.22
TARA_R100001224,ERR594411,MetaG,78,SRF,lt-0.22
TARA_R100000544,ERR594409,MetaG,82,DCM,lt-0.22
TARA_R100000541,ERR599384,MetaG,82,SRF,lt-0.22
TARA_R100000935,ERR599352,MetaG,84,SRF,lt-0.22
TARA_R100001377,ERR594377,MetaG,85,DCM,lt-0.22
TARA_R100001244,ERR599373,MetaG,85,MES,lt-0.22
TARA_R100001369,ERR599364,MetaG,85,SRF,lt-0.22
TARA_R100001443,ERR599359,MetaG,100,DCM,lt-0.22
TARA_R100001530,ERR599375,MetaG,100,MES,lt-0.22
TARA_R100001440,ERR599342,MetaG,100,SRF,lt-0.22
TARA_R100001463,ERR599349,MetaG,102,DCM,lt-0.22
TARA_R100001480,ERR599346,MetaG,102,MES,lt-0.22
TARA_R100001460,ERR599353,MetaG,102,SRF,lt-0.22
TARA_R100001510,ERR594357|ERR594380|ERR594381|ERR594383|ERR594387,MetaG,109,DCM,lt-0.22
TARA_R100001509,ERR594412,MetaG,109,SRF,lt-0.22
TARA_R100000655,ERR599369,MetaG,111,DCM,lt-0.22
TARA_R100000656,ERR599368,MetaG,111,MES,lt-0.22
TARA_R100000654,ERR599357,MetaG,111,SRF,lt-0.22
TARA_R100000664,ERR599377,MetaG,122,DCM,lt-0.22
TARA_R100000687,ERR599341,MetaG,122,MES,lt-0.22
TARA_R100000657,ERR599380,MetaG,122,SRF,lt-0.22
TARA_R100001594,ERR599343|ERR599348,MetaG,123,MIX,lt-0.22
TARA_R100001591,ERR599378|ERR634968,MetaG,123,SRF,lt-0.22
TARA_R100000700,ERR599367,MetaG,124,MIX,lt-0.22
TARA_R100000697,ERR599354,MetaG,124,SRF,lt-0.22
TARA_R100000808,ERR599338,MetaG,125,MIX,lt-0.22
TARA_R100000805,ERR599337,MetaG,125,SRF,lt-0.22
TARA_R100000742,ERR599340,MetaG,137,DCM,lt-0.22
TARA_R100000750,ERR599366,MetaG,137,MES,lt-0.22
TARA_R100000734,ERR599363,MetaG,137,SRF,lt-0.22
TARA_R100000781,ERR599345,MetaG,138,DCM,lt-0.22
TARA_R100000789,ERR599365,MetaG,138,MES,lt-0.22
TARA_R100000773,ERR599355,MetaG,138,SRF,lt-0.22
TARA_R110002012,ERR2762100|ERR2762101,MetaG,155,DCM,lt-0.22
TARA_R110002020,ERR2762102|ERR2762103,MetaG,155,MES,lt-0.22
TARA_R110002003,ERR2762104|ERR2762105,MetaG,155,SRF,lt-0.22
TARA_R110002050,ERR2762106|ERR2762107,MetaG,158,DCM,lt-0.22
TARA_R110002051,ERR2762108|ERR2762109,MetaG,158,MES,lt-0.22
TARA_R110002049,ERR2762110|ERR2762111,MetaG,158,SRF,lt-0.22
TARA_R110002060,ERR2762112|ERR2762113,MetaG,163,MES,lt-0.22
TARA_R110002033,ERR2762114|ERR2762115,MetaG,163,SRF,lt-0.22
